Date,Demandware
2011-05-04,7
2011-05-05,7
2011-05-06,7
2011-05-07,8
2011-05-08,7
2011-05-09,7
2011-05-10,7
2011-05-11,6
2011-05-12,6
2011-05-13,6
2011-05-14,6
2011-05-15,6
2011-05-16,7
2011-05-17,7
2011-05-18,8
2011-05-19,8
2011-05-20,9
2011-05-21,10
2011-05-22,9
2011-05-23,9
2011-05-24,9
2011-05-25,8
2011-05-26,8
2011-05-27,8
2011-05-28,8
2011-05-29,8
2011-05-30,8
2011-05-31,8
2011-06-01,8
2011-06-02,8
2011-06-03,8
2011-06-04,9
2011-06-05,8
2011-06-06,8
2011-06-07,7
2011-06-08,7
2011-06-09,6
2011-06-10,6
2011-06-11,6
2011-06-12,6
2011-06-13,6
2011-06-14,7
2011-06-15,7
2011-06-16,8
2011-06-17,8
2011-06-18,9
2011-06-19,8
2011-06-20,8
2011-06-21,8
2011-06-22,8
2011-06-23,8
2011-06-24,8
2011-06-25,8
2011-06-26,7
2011-07-03,6
2011-07-04,6
2011-07-05,6
2011-07-06,6
2011-07-07,6
2011-07-08,6
2011-07-09,6
2011-07-10,6
2011-07-11,6
2011-07-12,6
2011-07-13,7
2011-07-14,7
2011-07-15,7
2011-07-16,8
2011-07-17,8
2011-07-18,9
2011-07-19,10
2011-07-20,10
2011-07-21,11
2011-07-22,12
2011-07-23,13
2011-07-24,12
2011-07-25,12
2011-07-26,12
2011-07-27,12
2011-07-28,12
2011-07-29,12
2011-07-30,12
2011-07-31,11
2011-08-01,11
2011-08-02,10
2011-08-03,10
2011-08-04,9
2011-08-05,9
2011-08-06,9
2011-08-07,9
2011-08-08,9
2011-08-09,9
2011-08-10,9
2011-08-11,9
2011-08-12,9
2011-08-13,9
2011-08-14,8
2011-08-15,8
2011-08-16,8
2011-08-17,8
2011-08-18,8
2011-08-19,8
2011-08-20,8
2011-08-21,8
2011-08-22,8
2011-08-23,8
2011-08-24,8
2011-08-25,8
2011-08-26,8
2011-08-27,9
2011-08-28,8
2011-08-29,8
2011-08-30,7
2011-08-31,7
2011-09-01,6
2011-09-02,6
2011-09-03,6
2011-09-04,6
2011-09-05,6
2011-09-06,7
2011-09-07,7
2011-09-08,8
2011-09-09,8
2011-09-10,9
2011-09-11,9
2011-09-12,9
2011-09-13,10
2011-09-14,10
2011-09-15,11
2011-09-16,11
2011-09-17,12
2011-09-18,11
2011-09-19,10
2011-09-20,9
2011-09-21,8
2011-09-22,7
2011-09-23,6
2011-09-24,6
2011-09-25,5
2011-10-02,5
2011-10-03,6
2011-10-04,6
2011-10-05,7
2011-10-06,7
2011-10-07,8
2011-10-08,9
2011-10-09,8
2011-10-10,8
2011-10-11,8
2011-10-12,7
2011-10-13,7
2011-10-14,7
2011-10-15,7
2011-10-16,7
2011-10-17,7
2011-10-18,7
2011-10-19,8
2011-10-20,8
2011-10-21,8
2011-10-22,9
2011-10-23,8
2011-10-24,8
2011-10-25,7
2011-10-26,7
2011-10-27,6
2011-10-28,6
2011-10-29,6
2011-10-30,6
2011-10-31,7
2011-11-01,8
2011-11-02,8
2011-11-03,9
2011-11-04,10
2011-11-05,11
2011-11-06,10
2011-11-07,10
2011-11-08,9
2011-11-09,9
2011-11-10,8
2011-11-11,8
2011-11-12,8
2011-11-13,8
2011-11-14,8
2011-11-15,8
2011-11-16,8
2011-11-17,8
2011-11-18,8
2011-11-19,8
2011-11-20,8
2011-11-21,8
2011-11-22,8
2011-11-23,8
2011-11-24,8
2011-11-25,8
2011-11-26,8
2011-11-27,8
2011-11-28,8
2011-11-29,8
2011-11-30,8
2011-12-01,8
2011-12-02,8
2011-12-03,9
2011-12-04,9
2011-12-05,9
2011-12-06,9
2011-12-07,10
2011-12-08,10
2011-12-09,10
2011-12-10,11
2011-12-11,10
2011-12-12,10
2011-12-13,10
2011-12-14,10
2011-12-15,10
2011-12-16,10
2011-12-17,10
2011-12-18,9
2011-12-19,9
2011-12-20,8
2011-12-21,8
2011-12-22,7
2011-12-23,7
2011-12-24,7
2011-12-25,7
2012-01-01,7
2012-01-02,7
2012-01-03,7
2012-01-04,7
2012-01-05,7
2012-01-06,7
2012-01-07,7
2012-01-08,7
2012-01-09,7
2012-01-10,7
2012-01-11,8
2012-01-12,8
2012-01-13,8
2012-01-14,9
2012-01-15,8
2012-01-16,8
2012-01-17,7
2012-01-18,7
2012-01-19,6
2012-01-20,6
2012-01-21,6
2012-01-22,6
2012-01-23,7
2012-01-24,7
2012-01-25,8
2012-01-26,8
2012-01-27,9
2012-01-28,10
2012-01-29,9
2012-01-30,9
2012-01-31,9
2012-02-01,8
2012-02-02,8
2012-02-03,8
2012-02-04,8
2012-02-05,8
2012-02-06,8
2012-02-07,8
2012-02-08,8
2012-02-09,8
2012-02-10,8
2012-02-11,8
2012-02-12,7
2012-02-13,7
2012-02-14,7
2012-02-15,6
2012-02-16,6
2012-02-17,6
2012-02-18,6
2012-02-19,6
2012-02-20,6
2012-02-21,6
2012-02-22,6
2012-02-23,6
2012-02-24,6
2012-02-25,7
2012-02-26,7
2012-02-27,8
2012-02-28,9
2012-02-29,10
2012-03-01,11
2012-03-02,12
2012-03-03,13
2012-03-04,14
2012-03-05,15
2012-03-06,17
2012-03-07,18
2012-03-08,20
2012-03-09,21
2012-03-10,23
2012-03-11,34
2012-03-12,45
2012-03-13,57
2012-03-14,68
2012-03-15,80
2012-03-16,92
2012-03-17,105
2012-03-18,95
2012-03-19,79
2012-03-20,67
2012-03-21,56
2012-03-22,45
2012-03-23,34
2012-03-24,23
2012-03-25,21
2012-04-01,11
2012-04-02,11
2012-04-03,11
2012-04-04,10
2012-04-05,10
2012-04-06,10
2012-04-07,10
2012-04-08,10
2012-04-09,10
2012-04-10,10
2012-04-11,10
2012-04-12,10
2012-04-13,10
2012-04-14,11
2012-04-15,11
2012-04-16,11
2012-04-17,12
2012-04-18,12
2012-04-19,13
2012-04-20,13
2012-04-21,14
2012-04-22,13
2012-04-23,13
2012-04-24,13
2012-04-25,12
2012-04-26,12
2012-04-27,12
2012-04-28,12
2012-04-29,12
2012-04-30,12
2012-05-01,12
2012-05-02,12
2012-05-03,12
2012-05-04,12
2012-05-05,12
2012-05-06,12
2012-05-07,13
2012-05-08,13
2012-05-09,14
2012-05-10,14
2012-05-11,14
2012-05-12,15
2012-05-13,14
2012-05-14,13
2012-05-15,12
2012-05-16,11
2012-05-17,10
2012-05-18,9
2012-05-19,9
2012-05-20,9
2012-05-21,9
2012-05-22,9
2012-05-23,9
2012-05-24,9
2012-05-25,9
2012-05-26,9
2012-05-27,9
2012-05-28,9
2012-05-29,9
2012-05-30,10
2012-05-31,10
2012-06-01,10
2012-06-02,11
2012-06-03,11
2012-06-04,11
2012-06-05,11
2012-06-06,11
2012-06-07,11
2012-06-08,11
2012-06-09,12
2012-06-10,12
2012-06-11,12
2012-06-12,12
2012-06-13,12
2012-06-14,12
2012-06-15,12
2012-06-16,13
2012-06-17,13
2012-06-18,13
2012-06-19,13
2012-06-20,13
2012-06-21,13
2012-06-22,13
2012-06-23,14
2012-06-24,13
2012-07-01,11
2012-07-02,10
2012-07-03,10
2012-07-04,9
2012-07-05,9
2012-07-06,8
2012-07-07,8
2012-07-08,8
2012-07-09,8
2012-07-10,8
2012-07-11,8
2012-07-12,8
2012-07-13,8
2012-07-14,9
2012-07-15,9
2012-07-16,9
2012-07-17,9
2012-07-18,9
2012-07-19,9
2012-07-20,9
2012-07-21,10
2012-07-22,10
2012-07-23,10
2012-07-24,11
2012-07-25,11
2012-07-26,12
2012-07-27,12
2012-07-28,13
2012-07-29,13
2012-07-30,13
2012-07-31,13
2012-08-01,13
2012-08-02,13
2012-08-03,13
2012-08-04,13
2012-08-05,13
2012-08-06,13
2012-08-07,13
2012-08-08,13
2012-08-09,13
2012-08-10,13
2012-08-11,14
2012-08-12,13
2012-08-13,13
2012-08-14,13
2012-08-15,13
2012-08-16,13
2012-08-17,13
2012-08-18,13
2012-08-19,12
2012-08-20,11
2012-08-21,10
2012-08-22,10
2012-08-23,9
2012-08-24,8
2012-08-25,8
2012-08-26,8
2012-08-27,8
2012-08-28,9
2012-08-29,9
2012-08-30,10
2012-08-31,10
2012-09-01,11
2012-09-02,10
2012-09-03,10
2012-09-04,10
2012-09-05,9
2012-09-06,9
2012-09-07,9
2012-09-08,9
2012-09-09,9
2012-09-10,9
2012-09-11,10
2012-09-12,10
2012-09-13,11
2012-09-14,11
2012-09-15,12
2012-09-16,11
2012-09-17,10
2012-09-18,10
2012-09-19,9
2012-09-20,9
2012-09-21,8
2012-09-22,8
2012-09-23,8
2012-09-24,9
2012-09-25,10
2012-09-26,11
2012-09-27,12
2012-09-28,13
2012-09-29,14
2012-09-30,13
2012-10-07,12
2012-10-08,12
2012-10-09,11
2012-10-10,11
2012-10-11,10
2012-10-12,10
2012-10-13,10
2012-10-14,10
2012-10-15,10
2012-10-16,10
2012-10-17,10
2012-10-18,10
2012-10-19,10
2012-10-20,10
2012-10-21,10
2012-10-22,10
2012-10-23,10
2012-10-24,10
2012-10-25,10
2012-10-26,10
2012-10-27,11
2012-10-28,10
2012-10-29,10
2012-10-30,10
2012-10-31,10
2012-11-01,10
2012-11-02,10
2012-11-03,10
2012-11-04,10
2012-11-05,10
2012-11-06,11
2012-11-07,11
2012-11-08,12
2012-11-09,12
2012-11-10,13
2012-11-11,12
2012-11-12,12
2012-11-13,12
2012-11-14,12
2012-11-15,11
2012-11-16,11
2012-11-17,11
2012-11-18,11
2012-11-19,10
2012-11-20,10
2012-11-21,9
2012-11-22,9
2012-11-23,9
2012-11-24,9
2012-11-25,10
2012-11-26,11
2012-11-27,13
2012-11-28,14
2012-11-29,15
2012-11-30,17
2012-12-01,18
2012-12-02,16
2012-12-03,15
2012-12-04,13
2012-12-05,12
2012-12-06,10
2012-12-07,9
2012-12-08,8
2012-12-09,8
2012-12-10,9
2012-12-11,9
2012-12-12,10
2012-12-13,10
2012-12-14,11
2012-12-15,12
2012-12-16,11
2012-12-17,11
2012-12-18,11
2012-12-19,10
2012-12-20,10
2012-12-21,10
2012-12-22,10
2012-12-23,9
2012-12-24,8
2012-12-25,7
2012-12-26,7
2012-12-27,6
2012-12-28,5
2012-12-29,5
2012-12-30,5
