Date,Bankrate
2010-10-09,90
2010-10-10,88
2010-10-11,84
2010-10-12,82
2010-10-13,79
2010-10-14,77
2010-10-15,74
2010-10-16,72
2010-10-17,74
2010-10-18,76
2010-10-19,78
2010-10-20,80
2010-10-21,82
2010-10-22,84
2010-10-23,86
2010-10-24,88
2010-10-25,90
2010-10-26,92
2010-10-27,94
2010-10-28,96
2010-10-29,98
2010-10-30,100
2010-10-31,94
2010-11-01,86
2010-11-02,80
2010-11-03,73
2010-11-04,67
2010-11-05,60
2010-11-06,54
2010-11-07,56
2010-11-08,58
2010-11-09,60
2010-11-10,63
2010-11-11,65
2010-11-12,67
2010-11-13,69
2010-11-14,67
2010-11-15,64
2010-11-16,62
2010-11-17,60
2010-11-18,57
2010-11-19,55
2010-11-20,53
2010-11-21,50
2010-11-22,47
2010-11-23,45
2010-11-24,42
2010-11-25,40
2010-11-26,37
2010-11-27,35
2010-11-28,37
2010-11-29,40
2010-11-30,42
2010-12-01,45
2010-12-02,47
2010-12-03,50
2010-12-04,53
2010-12-05,54
2010-12-06,55
2010-12-07,56
2010-12-08,57
2010-12-09,58
2010-12-10,59
2010-12-11,60
2010-12-12,59
2010-12-13,60
2010-12-14,59
2010-12-15,59
2010-12-16,59
2010-12-17,59
2010-12-18,58
2010-12-19,57
2010-12-20,55
2010-12-21,54
2010-12-22,53
2010-12-23,52
2010-12-24,51
2010-12-25,50
2010-12-26,50
2011-01-02,54
2011-01-03,54
2011-01-04,53
2011-01-05,53
2011-01-06,52
2011-01-07,51
2011-01-08,51
2011-01-09,50
2011-01-10,50
2011-01-11,49
2011-01-12,49
2011-01-13,48
2011-01-14,48
2011-01-15,48
2011-01-16,48
2011-01-17,48
2011-01-18,48
2011-01-19,48
2011-01-20,48
2011-01-21,48
2011-01-22,49
2011-01-23,48
2011-01-24,48
2011-01-25,47
2011-01-26,47
2011-01-27,46
2011-01-28,46
2011-01-29,45
2011-01-30,44
2011-01-31,42
2011-02-01,41
2011-02-02,39
2011-02-03,38
2011-02-04,37
2011-02-05,36
2011-02-06,39
2011-02-07,42
2011-02-08,46
2011-02-09,49
2011-02-10,53
2011-02-11,56
2011-02-12,59
2011-02-13,57
2011-02-14,55
2011-02-15,53
2011-02-16,51
2011-02-17,49
2011-02-18,47
2011-02-19,46
2011-02-20,46
2011-02-21,46
2011-02-22,47
2011-02-23,47
2011-02-24,48
2011-02-25,48
2011-02-26,49
2011-02-27,49
2011-02-28,50
2011-03-01,50
2011-03-02,51
2011-03-03,52
2011-03-04,52
2011-03-05,53
2011-03-06,52
2011-03-07,51
2011-03-08,50
2011-03-09,49
2011-03-10,48
2011-03-11,47
2011-03-12,46
2011-03-13,44
2011-03-14,41
2011-03-15,39
2011-03-16,36
2011-03-17,34
2011-03-18,32
2011-03-19,30
2011-03-20,32
2011-03-21,34
2011-03-22,36
2011-03-23,38
2011-03-24,40
2011-03-25,42
2011-03-26,44
2011-03-27,47
2011-04-03,67
2011-04-04,65
2011-04-05,61
2011-04-06,58
2011-04-07,55
2011-04-08,51
2011-04-09,48
2011-04-10,47
2011-04-11,46
2011-04-12,45
2011-04-13,45
2011-04-14,44
2011-04-15,43
2011-04-16,43
2011-04-17,47
2011-04-18,51
2011-04-19,55
2011-04-20,59
2011-04-21,63
2011-04-22,67
2011-04-23,71
2011-04-24,67
2011-04-25,62
2011-04-26,58
2011-04-27,54
2011-04-28,50
2011-04-29,46
2011-04-30,42
2011-05-01,40
2011-05-02,38
2011-05-03,36
2011-05-04,35
2011-05-05,33
2011-05-06,31
2011-05-07,30
2011-05-08,33
2011-05-09,37
2011-05-10,41
2011-05-11,45
2011-05-12,49
2011-05-13,53
2011-05-14,57
2011-05-15,54
2011-05-16,53
2011-05-17,51
