Date,Responsys
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0
2010-07-16,0
2010-07-17,0
2010-07-18,6
2010-07-19,12
2010-07-20,19
2010-07-21,25
2010-07-22,32
2010-07-23,39
2010-07-24,47
2010-07-25,36
2010-07-26,30
2010-07-27,24
2010-07-28,18
2010-07-29,12
2010-07-30,6
2010-07-31,0
2010-08-01,0
2010-08-02,0
2010-08-03,0
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0
2010-08-08,0
2010-08-09,0
2010-08-10,0
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0
2010-08-18,0
2010-08-19,0
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-09-05,5
2010-09-06,14
2010-09-07,17
2010-09-08,23
2010-09-09,29
2010-09-10,35
2010-09-11,41
2010-09-12,40
2010-09-13,40
2010-09-14,40
2010-09-15,39
2010-09-16,39
2010-09-17,39
2010-09-18,39
2010-09-19,39
2010-09-20,39
2010-09-21,39
2010-09-22,39
2010-09-23,39
2010-09-24,39
2010-09-25,39
2010-09-26,38
2010-09-27,37
2010-09-28,36
2010-09-29,36
2010-09-30,35
2010-10-01,34
2010-10-02,34
2010-10-03,34
2010-10-04,35
2010-10-05,35
2010-10-06,36
2010-10-07,37
2010-10-08,37
2010-10-09,38
2010-10-10,38
2010-10-11,39
2010-10-12,39
2010-10-13,40
2010-10-14,40
2010-10-15,41
2010-10-16,42
2010-10-17,40
2010-10-18,39
2010-10-19,38
2010-10-20,37
2010-10-21,36
2010-10-22,35
2010-10-23,34
2010-10-24,34
2010-10-25,34
2010-10-26,34
2010-10-27,35
2010-10-28,35
2010-10-29,35
2010-10-30,36
2010-10-31,36
2010-11-01,36
2010-11-02,36
2010-11-03,36
2010-11-04,36
2010-11-05,36
2010-11-06,37
2010-11-07,37
2010-11-08,38
2010-11-09,39
2010-11-10,39
2010-11-11,40
2010-11-12,41
2010-11-13,42
2010-11-14,42
2010-11-15,43
2010-11-16,44
2010-11-17,44
2010-11-18,45
2010-11-19,46
2010-11-20,47
2010-11-21,46
2010-11-22,45
2010-11-23,45
2010-11-24,44
2010-11-25,44
2010-11-26,43
2010-11-27,43
2010-11-28,43
2010-12-05,43
2010-12-06,43
2010-12-07,43
2010-12-08,43
2010-12-09,43
2010-12-10,43
2010-12-11,43
2010-12-12,41
2010-12-13,40
2010-12-14,38
2010-12-15,37
2010-12-16,35
2010-12-17,34
2010-12-18,33
2010-12-19,33
2010-12-20,33
2010-12-21,33
2010-12-22,33
2010-12-23,33
2010-12-24,33
2010-12-25,34
2010-12-26,34
2010-12-27,34
2010-12-28,34
2010-12-29,34
2010-12-30,34
2010-12-31,34
2011-01-01,34
2011-01-02,34
2011-01-03,34
2011-01-04,34
2011-01-05,34
2011-01-06,34
2011-01-07,34
2011-01-08,34
2011-01-09,34
2011-01-10,34
2011-01-11,34
2011-01-12,34
2011-01-13,34
2011-01-14,34
2011-01-15,35
2011-01-16,34
2011-01-17,33
2011-01-18,33
2011-01-19,32
2011-01-20,32
2011-01-21,31
2011-01-22,31
2011-01-23,31
2011-01-24,31
2011-01-25,31
2011-01-26,31
2011-01-27,31
2011-01-28,31
2011-01-29,31
2011-01-30,35
2011-01-31,39
2011-02-01,44
2011-02-02,48
2011-02-03,53
2011-02-04,57
2011-02-05,62
2011-02-06,59
2011-02-07,56
2011-02-08,52
2011-02-09,49
2011-02-10,46
2011-02-11,43
2011-02-12,40
2011-02-13,39
2011-02-14,38
2011-02-15,38
2011-02-16,37
2011-02-17,37
2011-02-18,36
2011-02-19,36
2011-02-20,36
2011-02-21,36
2011-02-22,36
2011-02-23,36
2011-02-24,36
2011-02-25,36
2011-02-26,36
2011-02-27,36
2011-03-06,36
2011-03-07,36
2011-03-08,37
2011-03-09,37
2011-03-10,38
2011-03-11,38
2011-03-12,39
2011-03-13,38
2011-03-14,37
2011-03-15,36
2011-03-16,35
2011-03-17,34
2011-03-18,33
2011-03-19,33
2011-03-20,32
2011-03-21,32
2011-03-22,31
2011-03-23,31
2011-03-24,30
2011-03-25,30
2011-03-26,30
2011-03-27,33
2011-03-28,37
2011-03-29,40
2011-03-30,43
2011-03-31,47
2011-04-01,50
2011-04-02,54
2011-04-03,51
2011-04-04,49
2011-04-05,46
2011-04-06,44
2011-04-07,42
2011-04-08,39
2011-04-09,37
2011-04-10,37
2011-04-11,37
2011-04-12,37
2011-04-13,38
2011-04-14,38
2011-04-15,38
2011-04-16,39
2011-04-17,47
2011-04-18,56
2011-04-19,65
2011-04-20,74
2011-04-21,83
2011-04-22,92
2011-04-23,100
2011-04-24,100
2011-04-25,99
2011-04-26,99
2011-04-27,98
2011-04-28,97
2011-04-29,97
2011-04-30,96
2011-05-01,92
2011-05-02,85
2011-05-03,80
2011-05-04,76
2011-05-05,71
2011-05-06,67
2011-05-07,63
2011-05-08,63
2011-05-09,63
2011-05-10,63
2011-05-11,63
2011-05-12,63
2011-05-13,63
2011-05-14,63
2011-05-15,63
2011-05-16,63
2011-05-17,63
2011-05-18,63
2011-05-19,63
2011-05-20,63
2011-05-21,63
2011-05-22,62
2011-05-23,60
2011-05-24,59
2011-05-25,57
2011-05-26,56
2011-05-27,55
2011-05-28,54
2011-05-29,52
2011-06-05,38
2011-06-06,36
2011-06-07,35
2011-06-08,33
2011-06-09,32
2011-06-10,30
2011-06-11,29
2011-06-12,30
2011-06-13,32
2011-06-14,34
2011-06-15,36
2011-06-16,38
2011-06-17,40
2011-06-18,42
2011-06-19,43
2011-06-20,44
2011-06-21,45
2011-06-22,46
2011-06-23,47
2011-06-24,48
2011-06-25,50
2011-06-26,51
2011-06-27,52
2011-06-28,53
2011-06-29,54
2011-06-30,55
2011-07-01,56
2011-07-02,57
2011-07-03,55
2011-07-04,52
2011-07-05,50
2011-07-06,48
2011-07-07,46
2011-07-08,44
2011-07-09,42
2011-07-10,42
2011-07-11,43
2011-07-12,43
2011-07-13,44
2011-07-14,44
2011-07-15,45
2011-07-16,46
2011-07-17,47
2011-07-18,49
2011-07-19,50
2011-07-20,52
2011-07-21,54
2011-07-22,55
2011-07-23,57
2011-07-24,56
2011-07-25,55
2011-07-26,55
2011-07-27,54
2011-07-28,53
2011-07-29,52
2011-07-30,51
2011-07-31,49
2011-08-01,46
2011-08-02,44
2011-08-03,42
2011-08-04,40
2011-08-05,38
2011-08-06,36
2011-08-07,41
2011-08-08,47
2011-08-09,52
2011-08-10,57
2011-08-11,63
2011-08-12,68
2011-08-13,74
2011-08-14,70
2011-08-15,65
2011-08-16,61
2011-08-17,57
2011-08-18,53
2011-08-19,49
2011-08-20,45
2011-08-21,46
2011-08-22,48
2011-08-23,50
2011-08-24,52
2011-08-25,54
2011-08-26,56
2011-08-27,59
2011-08-28,53
2011-09-04,47
2011-09-05,46
2011-09-06,45
2011-09-07,44
2011-09-08,43
2011-09-09,42
2011-09-10,41
2011-09-11,44
2011-09-12,47
2011-09-13,50
2011-09-14,54
2011-09-15,57
2011-09-16,60
2011-09-17,63
2011-09-18,60
2011-09-19,55
2011-09-20,52
2011-09-21,48
2011-09-22,45
2011-09-23,41
2011-09-24,38
2011-09-25,37
2011-09-26,37
2011-09-27,36
2011-09-28,36
2011-09-29,35
2011-09-30,35
2011-10-01,35
2011-10-02,35
2011-10-03,35
2011-10-04,35
2011-10-05,35
2011-10-06,35
2011-10-07,35
2011-10-08,35
2011-10-09,36
2011-10-10,37
2011-10-11,38
2011-10-12,39
2011-10-13,40
2011-10-14,41
2011-10-15,43
2011-10-16,44
2011-10-17,45
2011-10-18,46
2011-10-19,47
2011-10-20,48
2011-10-21,49
2011-10-22,51
2011-10-23,48
2011-10-24,46
2011-10-25,44
2011-10-26,41
2011-10-27,39
2011-10-28,36
2011-10-29,34
2011-10-30,33
2011-10-31,31
2011-11-01,30
2011-11-02,29
2011-11-03,28
2011-11-04,27
2011-11-05,26
2011-11-06,31
2011-11-07,36
2011-11-08,42
2011-11-09,47
2011-11-10,52
2011-11-11,58
2011-11-12,63
2011-11-13,58
2011-11-14,52
2011-11-15,47
2011-11-16,41
2011-11-17,36
2011-11-18,31
2011-11-19,26
2011-11-20,26
2011-11-21,26
2011-11-22,26
2011-11-23,26
2011-11-24,26
2011-11-25,26
2011-11-26,26
2011-11-27,28
2011-12-04,42
2011-12-05,43
2011-12-06,45
2011-12-07,46
2011-12-08,48
2011-12-09,49
2011-12-10,51
2011-12-11,48
2011-12-12,45
2011-12-13,42
2011-12-14,39
2011-12-15,36
2011-12-16,33
2011-12-17,31
2011-12-18,31
2011-12-19,32
2011-12-20,33
2011-12-21,34
2011-12-22,35
2011-12-23,36
2011-12-24,37
2011-12-25,37
2011-12-26,38
2011-12-27,39
2011-12-28,40
2011-12-29,41
2011-12-30,42
2011-12-31,43
2012-01-01,43
2012-01-02,44
2012-01-03,45
2012-01-04,46
2012-01-05,47
2012-01-06,48
2012-01-07,49
2012-01-08,48
2012-01-09,48
2012-01-10,47
2012-01-11,47
2012-01-12,46
2012-01-13,46
2012-01-14,46
2012-01-15,45
2012-01-16,44
2012-01-17,43
2012-01-18,42
2012-01-19,41
2012-01-20,40
2012-01-21,39
2012-01-22,38
2012-01-23,38
2012-01-24,37
2012-01-25,37
2012-01-26,36
2012-01-27,36
2012-01-28,36
2012-01-29,38
2012-01-30,40
2012-01-31,42
2012-02-01,44
2012-02-02,46
2012-02-03,48
2012-02-04,50
2012-02-05,50
2012-02-06,50
2012-02-07,50
2012-02-08,51
2012-02-09,51
2012-02-10,51
2012-02-11,52
2012-02-12,52
2012-02-13,53
2012-02-14,54
2012-02-15,55
2012-02-16,55
2012-02-17,56
2012-02-18,57
2012-02-19,56
2012-02-20,54
2012-02-21,53
2012-02-22,52
2012-02-23,50
2012-02-24,49
2012-02-25,48
2012-02-26,48
2012-03-04,46
2012-03-05,44
2012-03-06,42
2012-03-07,41
2012-03-08,39
2012-03-09,37
2012-03-10,36
2012-03-11,38
2012-03-12,41
2012-03-13,44
2012-03-14,47
2012-03-15,50
2012-03-16,53
2012-03-17,56
2012-03-18,52
2012-03-19,49
2012-03-20,46
2012-03-21,42
2012-03-22,39
2012-03-23,36
2012-03-24,33
2012-03-25,35
2012-03-26,38
2012-03-27,40
2012-03-28,42
2012-03-29,45
2012-03-30,47
2012-03-31,50
2012-04-01,47
2012-04-02,44
2012-04-03,41
2012-04-04,38
2012-04-05,35
2012-04-06,32
2012-04-07,29
2012-04-08,29
2012-04-09,30
2012-04-10,31
2012-04-11,32
2012-04-12,33
2012-04-13,34
2012-04-14,35
2012-04-15,36
2012-04-16,38
2012-04-17,40
2012-04-18,42
2012-04-19,43
2012-04-20,45
2012-04-21,47
2012-04-22,47
2012-04-23,48
2012-04-24,48
2012-04-25,49
2012-04-26,49
2012-04-27,50
2012-04-28,51
2012-04-29,49
2012-04-30,48
2012-05-01,46
2012-05-02,45
2012-05-03,43
2012-05-04,42
2012-05-05,41
2012-05-06,41
2012-05-07,41
2012-05-08,42
2012-05-09,42
2012-05-10,43
2012-05-11,43
2012-05-12,44
2012-05-13,43
2012-05-14,43
2012-05-15,43
2012-05-16,43
2012-05-17,42
2012-05-18,42
2012-05-19,42
2012-05-20,42
2012-05-21,43
2012-05-22,44
2012-05-23,44
2012-05-24,45
2012-05-25,46
2012-05-26,47
2012-05-27,48
