Date,Francescas
2011-09-20,91
2011-09-21,92
2011-09-22,92
2011-09-23,93
2011-09-24,94
2011-09-25,95
2011-09-26,96
2011-09-27,96
2011-09-28,97
2011-09-29,98
2011-09-30,99
2011-10-01,100
2011-10-02,99
2011-10-03,98
2011-10-04,97
2011-10-05,96
2011-10-06,95
2011-10-07,94
2011-10-08,93
2011-10-09,93
2011-10-10,92
2011-10-11,91
2011-10-12,90
2011-10-13,89
2011-10-14,88
2011-10-15,87
2011-10-16,86
2011-10-17,86
2011-10-18,85
2011-10-19,84
2011-10-20,83
2011-10-21,82
2011-10-22,81
2011-10-23,80
2011-10-24,79
2011-10-25,79
2011-10-26,78
2011-10-27,77
2011-10-28,76
2011-10-29,75
2011-10-30,74
2011-10-31,73
2011-11-01,73
2011-11-02,72
2011-11-03,72
2011-11-04,72
2011-11-05,71
2011-11-06,71
2011-11-07,71
2011-11-08,70
2011-11-09,70
2011-11-10,70
2011-11-11,69
2011-11-12,69
2011-11-13,69
2011-11-14,68
2011-11-15,68
2011-11-16,68
2011-11-17,67
2011-11-18,67
2011-11-19,67
2011-11-20,66
2011-11-21,66
2011-11-22,66
2011-11-23,65
2011-11-24,65
2011-11-25,65
2011-11-26,64
2011-11-27,64
2011-11-28,64
2011-11-29,63
2011-11-30,63
2011-12-01,63
2011-12-02,62
2011-12-03,62
2011-12-04,62
2011-12-05,62
2011-12-06,62
2011-12-07,62
2011-12-08,62
2011-12-09,62
2011-12-10,62
2011-12-11,62
2011-12-12,62
2011-12-13,62
2011-12-14,62
2011-12-15,62
2011-12-16,62
2011-12-17,62
2011-12-18,62
2011-12-19,62
2011-12-20,62
2011-12-21,62
2011-12-22,62
2011-12-23,62
2011-12-24,62
2011-12-25,62
2011-12-26,62
2011-12-27,62
2011-12-28,62
2011-12-29,62
2011-12-30,62
2011-12-31,62
2012-01-01,62
2012-01-02,63
2012-01-03,64
2012-01-04,65
2012-01-05,66
2012-01-06,67
2012-01-07,68
2012-01-08,69
2012-01-09,70
2012-01-10,71
2012-01-11,72
2012-01-12,73
2012-01-13,74
2012-01-14,75
2012-01-15,76
2012-01-16,77
2012-01-17,79
2012-01-18,80
2012-01-19,81
2012-01-20,82
2012-01-21,83
2012-01-22,84
2012-01-23,85
2012-01-24,86
2012-01-25,87
2012-01-26,88
2012-01-27,89
2012-01-28,90
2012-01-29,91
2012-01-30,92
2012-01-31,93
2012-02-01,95
2012-02-02,94
2012-02-03,93
2012-02-04,92
2012-02-05,91
2012-02-06,90
2012-02-07,89
2012-02-08,88
2012-02-09,87
2012-02-10,86
2012-02-11,85
2012-02-12,84
2012-02-13,83
2012-02-14,82
2012-02-15,81
2012-02-16,81
2012-02-17,80
2012-02-18,79
2012-02-19,78
2012-02-20,77
2012-02-21,76
2012-02-22,75
2012-02-23,74
2012-02-24,73
2012-02-25,72
2012-02-26,71
2012-02-27,70
2012-02-28,69
2012-02-29,68
2012-03-01,68
2012-03-02,67
2012-03-03,67
2012-03-04,66
2012-03-05,66
2012-03-06,66
2012-03-07,65
2012-03-08,65
2012-03-09,64
2012-03-10,64
2012-03-11,64
2012-03-12,63
2012-03-13,63
2012-03-14,62
2012-03-15,62
2012-03-16,62
2012-03-17,61
2012-03-18,61
2012-03-19,61
2012-03-20,60
2012-03-21,60
2012-03-22,59
2012-03-23,59
2012-03-24,59
2012-03-25,58
2012-03-26,58
2012-03-27,57
2012-03-28,57
2012-03-29,57
2012-03-30,56
2012-03-31,56
2012-04-01,56
2012-04-02,56
2012-04-03,56
2012-04-04,56
2012-04-05,56
2012-04-06,56
2012-04-07,56
2012-04-08,56
2012-04-09,57
2012-04-10,57
2012-04-11,57
2012-04-12,57
2012-04-13,57
2012-04-14,57
2012-04-15,57
2012-04-16,58
2012-04-17,58
2012-04-18,58
2012-04-19,58
2012-04-20,58
2012-04-21,58
2012-04-22,58
2012-04-23,58
2012-04-24,59
2012-04-25,59
2012-04-26,59
2012-04-27,59
2012-04-28,59
2012-04-29,59
2012-04-30,59
2012-05-01,60
2012-05-02,59
2012-05-03,58
2012-05-04,57
2012-05-05,56
2012-05-06,56
2012-05-07,55
2012-05-08,54
2012-05-09,53
2012-05-10,53
2012-05-11,52
2012-05-12,51
2012-05-13,50
2012-05-14,49
2012-05-15,49
2012-05-16,48
2012-05-17,47
2012-05-18,46
2012-05-19,46
2012-05-20,45
2012-05-21,44
2012-05-22,43
2012-05-23,42
2012-05-24,42
2012-05-25,41
2012-05-26,40
2012-05-27,39
2012-05-28,39
2012-05-29,38
2012-05-30,37
2012-05-31,36
2012-06-01,36
2012-06-02,36
2012-06-03,37
2012-06-04,38
2012-06-05,38
2012-06-06,39
2012-06-07,40
2012-06-08,40
2012-06-09,41
2012-06-10,42
2012-06-11,43
2012-06-12,43
2012-06-13,44
2012-06-14,45
2012-06-15,45
2012-06-16,46
2012-06-17,47
2012-06-18,47
2012-06-19,48
2012-06-20,49
2012-06-21,50
2012-06-22,50
2012-06-23,51
2012-06-24,52
2012-06-25,52
2012-06-26,53
2012-06-27,54
2012-06-28,54
2012-06-29,55
2012-06-30,56
2012-07-01,57
2012-07-02,57
2012-07-03,58
2012-07-04,58
2012-07-05,59
2012-07-06,59
2012-07-07,60
2012-07-08,60
2012-07-09,61
2012-07-10,61
2012-07-11,62
2012-07-12,62
2012-07-13,63
2012-07-14,63
2012-07-15,64
2012-07-16,64
2012-07-17,65
2012-07-18,65
2012-07-19,66
2012-07-20,66
2012-07-21,67
2012-07-22,67
2012-07-23,68
2012-07-24,68
2012-07-25,69
2012-07-26,69
2012-07-27,70
2012-07-28,70
2012-07-29,71
2012-07-30,71
2012-07-31,72
2012-08-01,73
2012-08-02,73
2012-08-03,73
2012-08-04,73
2012-08-05,73
2012-08-06,73
2012-08-07,73
2012-08-08,73
2012-08-09,73
2012-08-10,73
2012-08-11,73
2012-08-12,73
2012-08-13,73
2012-08-14,73
2012-08-15,73
2012-08-16,73
2012-08-17,73
2012-08-18,73
2012-08-19,73
2012-08-20,73
2012-08-21,73
2012-08-22,73
2012-08-23,73
2012-08-24,73
2012-08-25,73
2012-08-26,73
2012-08-27,73
2012-08-28,73
2012-08-29,73
2012-08-30,73
2012-08-31,73
2012-09-01,74
2012-09-02,73
2012-09-03,72
2012-09-04,72
2012-09-05,71
2012-09-06,71
2012-09-07,70
2012-09-08,70
2012-09-09,69
2012-09-10,68
2012-09-11,68
2012-09-12,67
2012-09-13,67
2012-09-14,66
2012-09-15,66
2012-09-16,65
2012-09-17,64
2012-09-18,64
2012-09-19,63
2012-09-20,63
2012-09-21,62
2012-09-22,62
2012-09-23,61
2012-09-24,60
2012-09-25,60
2012-09-26,59
2012-09-27,59
2012-09-28,58
2012-09-29,58
2012-09-30,57
