Date,Kinder Morgan
2010-05-08,16
2010-05-09,16
2010-05-10,16
2010-05-11,16
2010-05-12,17
2010-05-13,16
2010-05-14,16
2010-05-15,17
2010-05-16,16
2010-05-17,16
2010-05-18,16
2010-05-19,15
2010-05-20,16
2010-05-21,15
2010-05-22,15
2010-05-23,14
2010-05-24,14
2010-05-25,14
2010-05-26,14
2010-05-27,13
2010-05-28,13
2010-05-29,13
2010-05-30,13
2010-05-31,13
2010-06-01,13
2010-06-02,13
2010-06-03,13
2010-06-04,13
2010-06-05,14
2010-06-06,14
2010-06-07,14
2010-06-08,14
2010-06-09,14
2010-06-10,14
2010-06-11,14
2010-06-12,14
2010-06-13,14
2010-06-14,15
2010-06-15,15
2010-06-16,17
2010-06-17,16
2010-06-18,17
2010-06-19,18
2010-06-20,17
2010-06-21,17
2010-06-22,17
2010-06-23,16
2010-06-24,16
2010-06-25,16
2010-06-26,17
2010-06-27,15
2010-06-28,15
2010-06-29,15
2010-06-30,15
2010-07-01,15
2010-07-02,15
2010-07-03,15
2010-07-04,14
2010-07-05,13
2010-07-06,13
2010-07-07,12
2010-07-08,12
2010-07-09,11
2010-07-10,11
2010-07-11,12
2010-07-12,13
2010-07-13,14
2010-07-14,15
2010-07-15,16
2010-07-16,17
2010-07-17,18
2010-07-18,18
2010-07-19,18
2010-07-20,19
2010-07-21,18
2010-07-22,20
2010-07-23,18
2010-07-24,19
2010-07-25,18
2010-07-26,18
2010-07-27,19
2010-07-28,18
2010-07-29,18
2010-07-30,18
2010-07-31,18
2010-08-01,17
2010-08-02,16
2010-08-03,15
2010-08-04,15
2010-08-05,14
2010-08-06,13
2010-08-07,13
2010-08-08,13
2010-08-09,13
2010-08-10,13
2010-08-11,13
2010-08-12,13
2010-08-13,13
2010-08-14,14
2010-08-15,13
2010-08-16,13
2010-08-17,13
2010-08-18,13
2010-08-19,12
2010-08-20,12
2010-08-21,12
2010-08-22,12
2010-08-23,12
2010-08-24,12
2010-08-25,13
2010-08-26,13
2010-08-27,13
2010-08-28,14
2010-08-29,14
2010-08-30,14
2010-08-31,14
2010-09-01,15
2010-09-02,14
2010-09-03,14
2010-09-04,15
2010-09-05,14
2010-09-06,14
2010-09-07,14
2010-09-08,13
2010-09-09,13
2010-09-10,13
2010-09-11,13
2010-09-12,12
2010-09-13,12
2010-09-14,12
2010-09-15,12
2010-09-16,12
2010-09-17,12
2010-09-18,12
2010-09-19,12
2010-09-20,12
2010-09-21,12
2010-09-22,12
2010-09-23,12
2010-09-24,12
2010-09-25,12
2010-09-26,12
2010-09-27,12
2010-09-28,12
2010-09-29,12
2010-09-30,13
2010-10-01,12
2010-10-02,13
2010-10-03,13
2010-10-04,13
2010-10-05,14
2010-10-06,15
2010-10-07,15
2010-10-08,16
2010-10-09,16
2010-10-10,15
2010-10-11,14
2010-10-12,14
2010-10-13,13
2010-10-14,13
2010-10-15,12
2010-10-16,12
2010-10-17,12
2010-10-18,12
2010-10-19,13
2010-10-20,13
2010-10-21,15
2010-10-22,14
2010-10-23,15
2010-10-24,14
2010-10-25,14
2010-10-26,13
2010-10-27,13
2010-10-28,12
2010-10-29,12
2010-10-30,12
2010-10-31,12
2010-11-01,12
2010-11-02,12
2010-11-03,12
2010-11-04,12
2010-11-05,12
2010-11-06,12
2010-11-07,12
2010-11-08,12
2010-11-09,13
2010-11-10,14
2010-11-11,14
2010-11-12,14
2010-11-13,15
2010-11-14,14
2010-11-15,14
2010-11-16,13
2010-11-17,13
2010-11-18,12
2010-11-19,12
2010-11-20,12
2010-11-21,11
2010-11-22,11
2010-11-23,10
2010-11-24,10
2010-11-25,9
2010-11-26,9
2010-11-27,9
2010-11-28,9
2010-11-29,10
2010-11-30,11
2010-12-01,12
2010-12-02,12
2010-12-03,13
2010-12-04,14
2010-12-05,13
2010-12-06,12
2010-12-07,12
2010-12-08,11
2010-12-09,11
2010-12-10,10
2010-12-11,10
2010-12-12,10
2010-12-13,11
2010-12-14,11
2010-12-15,12
2010-12-16,12
2010-12-17,13
2010-12-18,14
2010-12-19,13
2010-12-20,12
2010-12-21,11
2010-12-22,10
2010-12-23,9
2010-12-24,8
2010-12-25,8
2010-12-26,8
2010-12-27,8
2010-12-28,8
2010-12-29,8
2010-12-30,9
2010-12-31,8
2011-01-01,9
2011-01-02,9
2011-01-03,9
2011-01-04,10
2011-01-05,10
2011-01-06,11
2011-01-07,11
2011-01-08,12
2011-01-09,12
2011-01-10,12
2011-01-11,13
2011-01-12,13
2011-01-13,13
2011-01-14,13
2011-01-15,14
2011-01-16,14
2011-01-17,14
2011-01-18,14
2011-01-19,14
2011-01-20,14
2011-01-21,14
2011-01-22,14
2011-01-23,14
2011-01-24,14
2011-01-25,15
2011-01-26,16
2011-01-27,16
2011-01-28,17
2011-01-29,17
2011-01-30,18
2011-01-31,19
2011-02-01,20
2011-02-02,23
2011-02-03,23
2011-02-04,27
2011-02-05,28
2011-02-06,29
2011-02-07,33
2011-02-08,39
2011-02-09,41
2011-02-10,45
2011-02-11,49
2011-02-12,65
2011-02-13,48
2011-02-14,47
2011-02-15,40
2011-02-16,35
2011-02-17,32
2011-02-18,28
2011-02-19,23
2011-02-20,22
2011-02-21,21
2011-02-22,20
2011-02-23,20
2011-02-24,19
2011-02-25,18
2011-02-26,18
2011-02-27,17
2011-02-28,16
2011-03-01,16
2011-03-02,16
2011-03-03,15
2011-03-04,14
2011-03-05,14
2011-03-06,14
2011-03-07,14
2011-03-08,16
2011-03-09,15
2011-03-10,15
2011-03-11,16
2011-03-12,16
2011-03-13,16
