Date,Eyeblaster
2007-09-02,78
2007-09-03,77
2007-09-04,77
2007-09-05,76
2007-09-06,76
2007-09-07,75
2007-09-08,75
2007-09-09,75
2007-09-10,75
2007-09-11,75
2007-09-12,75
2007-09-13,75
2007-09-14,75
2007-09-15,75
2007-09-16,75
2007-09-17,92
2007-09-18,77
2007-09-19,78
2007-09-20,79
2007-09-21,80
2007-09-22,81
2007-09-23,80
2007-09-24,79
2007-09-25,78
2007-09-26,77
2007-09-27,76
2007-09-28,75
2007-09-29,74
2007-09-30,74
2007-10-01,74
2007-10-02,74
2007-10-03,74
2007-10-04,74
2007-10-05,74
2007-10-06,74
2007-10-07,74
2007-10-08,74
2007-10-09,74
2007-10-10,74
2007-10-11,74
2007-10-12,74
2007-10-13,75
2007-10-14,75
2007-10-15,75
2007-10-16,75
2007-10-17,76
2007-10-18,76
2007-10-19,76
2007-10-20,77
2007-10-21,75
2007-10-22,74
2007-10-23,73
2007-10-24,72
2007-10-25,71
2007-10-26,70
2007-10-27,69
2007-10-28,68
2007-10-29,68
2007-10-30,67
2007-10-31,67
2007-11-01,66
2007-11-02,66
2007-11-03,66
2007-11-04,66
2007-11-05,66
2007-11-06,67
2007-11-07,67
2007-11-08,68
2007-11-09,68
2007-11-10,69
2007-11-11,69
2007-11-12,69
2007-11-13,70
2007-11-14,70
2007-11-15,71
2007-11-16,71
2007-11-17,72
2007-11-18,61
2007-11-19,52
2007-11-20,42
2007-11-21,32
2007-11-22,21
2007-11-23,10
2007-11-24,0
2007-11-25,0
2007-12-01,0
2007-12-02,0
2007-12-03,0
2007-12-04,0
2007-12-05,0
2007-12-06,0
2007-12-07,0
2007-12-08,0
2007-12-09,0
2007-12-10,0
2007-12-11,0
2007-12-12,0
2007-12-13,0
2007-12-14,0
2007-12-15,0
2007-12-16,0
2007-12-17,0
2007-12-18,0
2007-12-19,0
2007-12-20,0
2007-12-21,0
2007-12-22,0
2007-12-23,0
2007-12-24,0
2007-12-25,0
2007-12-26,0
2007-12-27,0
2007-12-28,0
2007-12-29,0
2007-12-30,0
2007-12-31,0
2008-01-01,0
2008-01-02,0
2008-01-03,0
2008-01-04,0
2008-01-05,0
2008-01-06,0
2008-01-07,0
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,0
2008-01-12,0
2008-01-13,8
2008-01-14,16
2008-01-15,24
2008-01-16,32
2008-01-17,40
2008-01-18,48
2008-01-19,57
2008-01-20,56
2008-01-21,55
2008-01-22,54
2008-01-23,54
2008-01-24,53
2008-01-25,52
2008-01-26,52
2008-01-27,52
2008-01-28,52
2008-01-29,52
2008-01-30,52
2008-01-31,52
2008-02-01,52
2008-02-02,53
2008-02-03,53
2008-02-04,53
2008-02-05,53
2008-02-06,53
2008-02-07,53
2008-02-08,53
2008-02-09,54
2008-02-10,54
2008-02-11,54
2008-02-12,54
2008-02-13,54
2008-02-14,54
2008-02-15,54
2008-02-16,55
2008-02-17,55
2008-02-18,55
2008-02-19,55
2008-02-20,56
2008-02-21,56
2008-02-22,56
2008-02-23,57
2008-02-24,56
2008-02-25,55
2008-02-26,54
2008-02-27,53
2008-02-28,52
2008-02-29,51
2008-03-02,51
2008-03-03,52
2008-03-04,52
2008-03-05,53
2008-03-06,53
2008-03-07,54
2008-03-08,55
2008-03-09,61
2008-03-10,68
2008-03-11,74
2008-03-12,81
2008-03-13,87
2008-03-14,94
2008-03-15,100
2008-03-16,95
2008-03-17,88
2008-03-18,82
2008-03-19,77
2008-03-20,71
2008-03-21,65
2008-03-22,59
2008-03-23,58
2008-03-24,58
2008-03-25,57
2008-03-26,56
2008-03-27,55
2008-03-28,55
2008-03-29,56
2008-03-30,51
2008-03-31,52
2008-04-01,52
2008-04-02,53
2008-04-03,53
2008-04-04,54
2008-04-05,55
2008-04-06,55
2008-04-07,56
2008-04-08,56
2008-04-09,57
2008-04-10,57
2008-04-11,58
2008-04-12,59
2008-04-13,58
2008-04-14,57
2008-04-15,56
2008-04-16,56
2008-04-17,55
2008-04-18,54
2008-04-19,54
2008-04-20,54
2008-04-21,55
2008-04-22,55
2008-04-23,56
2008-04-24,56
2008-04-25,57
2008-04-26,58
2008-04-27,58
2008-04-28,59
2008-04-29,59
2008-04-30,60
2008-05-01,60
2008-05-02,61
2008-05-03,62
2008-05-04,62
2008-05-05,62
2008-05-06,63
2008-05-07,63
2008-05-08,64
2008-05-09,64
2008-05-10,65
2008-05-11,67
2008-05-12,70
2008-05-13,73
2008-05-14,75
2008-05-15,78
2008-05-16,81
2008-05-17,84
2008-05-18,79
2008-05-19,76
2008-05-20,72
2008-05-21,68
2008-05-22,64
2008-05-23,59
2008-05-24,55
2008-05-25,55
2008-06-01,55
2008-06-02,55
2008-06-03,55
2008-06-04,55
2008-06-05,55
2008-06-06,55
2008-06-07,55
2008-06-08,55
2008-06-09,55
2008-06-10,55
2008-06-11,55
2008-06-12,55
2008-06-13,55
2008-06-14,55
2008-06-15,57
2008-06-16,61
2008-06-17,63
2008-06-18,66
2008-06-19,69
2008-06-20,72
2008-06-21,75
2008-06-22,73
2008-06-23,71
2008-06-24,69
2008-06-25,67
2008-06-26,65
2008-06-27,63
2008-06-28,62
2008-06-29,62
2008-06-30,62
2008-07-01,62
2008-07-02,62
2008-07-03,62
2008-07-04,62
2008-07-05,62
2008-07-06,64
2008-07-07,66
2008-07-08,68
2008-07-09,70
2008-07-10,72
2008-07-11,74
2008-07-12,76
2008-07-13,76
2008-07-14,76
2008-07-15,76
2008-07-16,76
2008-07-17,76
2008-07-18,76
2008-07-19,76
2008-07-20,72
2008-07-21,68
2008-07-22,65
2008-07-23,61
2008-07-24,57
2008-07-25,53
2008-07-26,50
2008-07-27,50
2008-07-28,50
2008-07-29,50
2008-07-30,50
2008-07-31,50
2008-08-01,50
2008-08-02,50
2008-08-03,50
2008-08-04,50
2008-08-05,50
2008-08-06,50
2008-08-07,50
2008-08-08,50
2008-08-09,50
2008-08-10,51
2008-08-11,53
2008-08-12,55
2008-08-13,56
2008-08-14,58
2008-08-15,60
2008-08-16,62
2008-08-17,63
2008-08-18,65
2008-08-19,67
2008-08-20,68
2008-08-21,70
2008-08-22,72
2008-08-23,74
2008-08-24,73
2008-08-25,72
2008-08-26,71
2008-08-27,70
2008-08-28,69
2008-08-29,68
2008-08-30,67
2008-08-31,66
2008-09-07,63
2008-09-08,61
2008-09-09,60
2008-09-10,58
2008-09-11,57
2008-09-12,55
2008-09-13,54
2008-09-14,54
2008-09-15,55
2008-09-16,56
2008-09-17,57
2008-09-18,57
2008-09-19,58
2008-09-20,59
2008-09-21,61
2008-09-22,62
2008-09-23,64
2008-09-24,65
2008-09-25,67
2008-09-26,69
2008-09-27,71
2008-09-28,67
2008-09-29,64
2008-09-30,61
2008-10-01,58
2008-10-02,55
2008-10-03,52
2008-10-04,49
2008-10-05,48
2008-10-06,47
2008-10-07,46
2008-10-08,45
2008-10-09,44
2008-10-10,43
2008-10-11,43
2008-10-12,43
2008-10-13,43
2008-10-14,43
2008-10-15,43
2008-10-16,43
2008-10-17,43
2008-10-18,43
2008-10-19,45
2008-10-20,48
2008-10-21,51
2008-10-22,54
2008-10-23,57
2008-10-24,60
2008-10-25,63
2008-10-26,62
2008-10-27,63
2008-10-28,62
2008-10-29,62
2008-10-30,62
2008-10-31,62
2008-11-01,61
2008-11-02,60
2008-11-03,59
2008-11-04,58
2008-11-05,57
2008-11-06,56
2008-11-07,55
2008-11-08,54
2008-11-09,54
2008-11-10,54
2008-11-11,54
2008-11-12,54
2008-11-13,54
2008-11-14,54
2008-11-15,54
2008-11-16,55
2008-11-17,56
2008-11-18,57
2008-11-19,58
2008-11-20,60
2008-11-21,61
2008-11-22,62
2008-11-23,59
2008-11-24,56
2008-11-25,53
2008-11-26,50
2008-11-27,47
2008-11-28,44
2008-11-29,42
2008-11-30,42
2008-12-07,47
2008-12-08,49
2008-12-09,51
2008-12-10,53
2008-12-11,55
2008-12-12,57
2008-12-13,59
2008-12-14,57
2008-12-15,54
2008-12-16,51
2008-12-17,49
2008-12-18,46
2008-12-19,44
2008-12-20,42
2008-12-21,42
2008-12-22,43
2008-12-23,43
2008-12-24,44
2008-12-25,44
2008-12-26,45
2008-12-27,46
2008-12-28,46
2008-12-29,47
2008-12-30,47
2008-12-31,48
2009-01-01,48
2009-01-02,49
2009-01-03,50
2009-01-04,51
2009-01-05,52
2009-01-06,53
2009-01-07,54
2009-01-08,55
2009-01-09,56
2009-01-10,57
2009-01-11,60
2009-01-12,63
2009-01-13,66
2009-01-14,69
2009-01-15,72
2009-01-16,76
2009-01-17,79
2009-01-18,77
2009-01-19,75
2009-01-20,73
2009-01-21,71
2009-01-22,69
2009-01-23,67
2009-01-24,66
2009-01-25,63
2009-01-26,61
2009-01-27,59
2009-01-28,57
2009-01-29,55
2009-01-30,53
2009-01-31,51
2009-02-01,49
2009-02-02,47
2009-02-03,45
2009-02-04,43
2009-02-05,41
2009-02-06,39
2009-02-07,38
2009-02-08,42
2009-02-09,48
2009-02-10,52
2009-02-11,57
2009-02-12,62
2009-02-13,67
2009-02-14,72
2009-02-15,71
2009-02-16,69
2009-02-17,67
2009-02-18,66
2009-02-19,64
2009-02-20,63
2009-02-21,61
2009-02-22,62
2009-03-01,63
2009-03-02,63
2009-03-03,63
2009-03-04,63
2009-03-05,63
2009-03-06,63
2009-03-07,64
2009-03-08,62
2009-03-09,60
2009-03-10,58
2009-03-11,57
2009-03-12,55
2009-03-13,53
2009-03-14,52
2009-03-15,51
2009-03-16,51
2009-03-17,50
2009-03-18,50
2009-03-19,49
2009-03-20,49
2009-03-21,49
2009-03-22,51
2009-03-23,53
2009-03-24,56
2009-03-25,58
2009-03-26,61
2009-03-27,63
2009-03-28,66
2009-03-29,69
2009-03-30,72
2009-03-31,75
2009-04-01,78
2009-04-02,81
2009-04-03,84
2009-04-04,87
2009-04-05,83
2009-04-06,78
2009-04-07,73
2009-04-08,69
2009-04-09,64
2009-04-10,60
2009-04-11,55
2009-04-12,53
2009-04-13,50
2009-04-14,47
2009-04-15,45
2009-04-16,42
2009-04-17,40
2009-04-18,38
2009-04-19,40
2009-04-20,42
2009-04-21,44
2009-04-22,46
2009-04-23,48
2009-04-24,50
2009-04-25,52
2009-04-26,51
2009-04-27,50
2009-04-28,49
2009-04-29,48
2009-04-30,47
2009-05-01,46
2009-05-02,45
2009-05-03,46
2009-05-04,47
2009-05-05,49
2009-05-06,50
2009-05-07,52
2009-05-08,53
2009-05-09,55
2009-05-10,56
2009-05-11,58
2009-05-12,60
2009-05-13,62
2009-05-14,63
2009-05-15,65
2009-05-16,67
2009-05-17,63
2009-05-18,59
2009-05-19,56
2009-05-20,52
2009-05-21,49
2009-05-22,46
2009-05-23,43
2009-05-24,43
2009-05-25,43
2009-05-26,43
2009-05-27,43
2009-05-28,43
2009-05-29,43
2009-05-30,44
2009-05-31,46
2009-06-07,58
2009-06-08,55
2009-06-09,53
2009-06-10,50
2009-06-11,48
2009-06-12,45
2009-06-13,43
2009-06-14,46
2009-06-15,49
2009-06-16,52
2009-06-17,55
2009-06-18,58
2009-06-19,61
2009-06-20,64
2009-06-21,60
2009-06-22,56
2009-06-23,52
2009-06-24,48
2009-06-25,44
2009-06-26,40
2009-06-27,36
2009-06-28,37
2009-06-29,38
2009-06-30,39
2009-07-01,40
2009-07-02,41
2009-07-03,42
2009-07-04,44
2009-07-05,46
2009-07-06,48
2009-07-07,50
2009-07-08,52
2009-07-09,54
2009-07-10,57
2009-07-11,59
2009-07-12,56
2009-07-13,52
2009-07-14,49
2009-07-15,46
2009-07-16,43
2009-07-17,40
2009-07-18,37
2009-07-19,40
2009-07-20,43
2009-07-21,46
2009-07-22,49
2009-07-23,52
2009-07-24,55
2009-07-25,59
2009-07-26,60
2009-07-27,61
2009-07-28,62
2009-07-29,63
2009-07-30,64
2009-07-31,65
2009-08-01,66
2009-08-02,64
2009-08-03,63
2009-08-04,61
2009-08-05,60
2009-08-06,59
2009-08-07,57
2009-08-08,56
2009-08-09,53
2009-08-10,51
2009-08-11,49
2009-08-12,46
2009-08-13,44
2009-08-14,42
2009-08-15,40
2009-08-16,40
2009-08-17,40
2009-08-18,40
2009-08-19,40
2009-08-20,40
2009-08-21,40
2009-08-22,40
2009-08-23,41
2009-08-24,43
2009-08-25,45
2009-08-26,47
2009-08-27,49
2009-08-28,51
2009-08-29,53
2009-08-30,51
