Date,LinkedIn
2010-07-10,48
2010-07-11,43
2010-07-12,44
2010-07-13,45
2010-07-14,46
2010-07-15,46
2010-07-16,48
2010-07-17,55
2010-07-18,47
2010-07-19,47
2010-07-20,47
2010-07-21,48
2010-07-22,47
2010-07-23,47
2010-07-24,53
2010-07-25,47
2010-07-26,47
2010-07-27,47
2010-07-28,47
2010-07-29,48
2010-07-30,49
2010-07-31,53
2010-08-01,50
2010-08-02,47
2010-08-03,47
2010-08-04,46
2010-08-05,46
2010-08-06,46
2010-08-07,51
2010-08-08,47
2010-08-09,46
2010-08-10,46
2010-08-11,47
2010-08-12,47
2010-08-13,49
2010-08-14,53
2010-08-15,48
2010-08-16,48
2010-08-17,48
2010-08-18,48
2010-08-19,48
2010-08-20,49
2010-08-21,52
2010-08-22,49
2010-08-23,48
2010-08-24,48
2010-08-25,48
2010-08-26,48
2010-08-27,49
2010-08-28,53
2010-08-29,48
2010-08-30,47
2010-08-31,47
2010-09-01,47
2010-09-02,47
2010-09-03,47
2010-09-04,52
2010-09-05,48
2010-09-06,47
2010-09-07,47
2010-09-08,48
2010-09-09,49
2010-09-10,49
2010-09-11,54
2010-09-12,49
2010-09-13,49
2010-09-14,49
2010-09-15,50
2010-09-16,52
2010-09-17,50
2010-09-18,57
2010-09-19,51
2010-09-20,51
2010-09-21,51
2010-09-22,52
2010-09-23,52
2010-09-24,52
2010-09-25,57
2010-09-26,52
2010-09-27,52
2010-09-28,52
2010-09-29,53
2010-09-30,54
2010-10-01,53
2010-10-02,60
2010-10-03,53
2010-10-04,53
2010-10-05,53
2010-10-06,53
2010-10-07,52
2010-10-08,52
2010-10-09,59
2010-10-10,52
2010-10-11,51
2010-10-12,51
2010-10-13,51
2010-10-14,51
2010-10-15,52
2010-10-16,56
2010-10-17,52
2010-10-18,52
2010-10-19,53
2010-10-20,53
2010-10-21,53
2010-10-22,55
2010-10-23,62
2010-10-24,54
2010-10-25,54
2010-10-26,54
2010-10-27,54
2010-10-28,55
2010-10-29,54
2010-10-30,60
2010-10-31,54
2010-11-01,53
2010-11-02,53
2010-11-03,52
2010-11-04,52
2010-11-05,53
2010-11-06,57
2010-11-07,52
2010-11-08,53
2010-11-09,54
2010-11-10,54
2010-11-11,55
2010-11-12,55
2010-11-13,62
2010-11-14,57
2010-11-15,56
2010-11-16,57
2010-11-17,58
2010-11-18,58
2010-11-19,60
2010-11-20,65
2010-11-21,58
2010-11-22,56
2010-11-23,55
2010-11-24,53
2010-11-25,55
2010-11-26,51
2010-11-27,55
2010-11-28,50
