Date,Renewable Energy
2011-01-08,86
2011-01-09,80
2011-01-10,81
2011-01-11,83
2011-01-12,83
2011-01-13,86
2011-01-14,85
2011-01-15,92
2011-01-16,86
2011-01-17,86
2011-01-18,86
2011-01-19,86
2011-01-20,89
2011-01-21,86
2011-01-22,99
2011-01-23,88
2011-01-24,89
2011-01-25,93
2011-01-26,91
2011-01-27,92
2011-01-28,98
2011-01-29,103
2011-01-30,94
2011-01-31,94
2011-02-01,93
2011-02-02,95
2011-02-03,92
2011-02-04,96
2011-02-05,100
2011-02-06,91
2011-02-07,90
2011-02-08,89
2011-02-09,88
2011-02-10,91
2011-02-11,88
2011-02-12,90
2011-02-13,87
2011-02-14,86
2011-02-15,86
2011-02-16,87
2011-02-17,86
2011-02-18,90
2011-02-19,100
2011-02-20,86
2011-02-21,85
2011-02-22,84
2011-02-23,84
2011-02-24,85
2011-02-25,82
2011-02-26,89
2011-02-27,83
2011-02-28,85
2011-03-01,87
2011-03-02,93
2011-03-03,91
2011-03-04,96
2011-03-05,105
2011-03-06,95
2011-03-07,95
2011-03-08,95
2011-03-09,97
2011-03-10,97
2011-03-11,96
2011-03-12,105
2011-03-13,94
2011-03-14,93
2011-03-15,93
2011-03-16,93
2011-03-17,92
2011-03-18,93
2011-03-19,99
2011-03-20,92
2011-03-21,93
2011-03-22,96
2011-03-23,96
2011-03-24,102
2011-03-25,98
2011-03-26,110
2011-03-27,99
2011-03-28,98
2011-03-29,101
2011-03-30,97
2011-03-31,96
2011-04-01,95
2011-04-02,107
2011-04-03,95
2011-04-04,95
2011-04-05,96
2011-04-06,96
2011-04-07,96
2011-04-08,101
2011-04-09,104
2011-04-10,95
2011-04-11,94
2011-04-12,93
2011-04-13,92
2011-04-14,91
2011-04-15,95
2011-04-16,96
2011-04-17,88
2011-04-18,88
2011-04-19,87
2011-04-20,87
2011-04-21,90
2011-04-22,88
2011-04-23,92
2011-04-24,86
2011-04-25,86
2011-04-26,86
2011-04-27,87
2011-04-28,90
2011-04-29,91
2011-04-30,94
2011-05-01,88
2011-05-02,89
2011-05-03,90
2011-05-04,90
2011-05-05,93
2011-05-06,92
2011-05-07,102
2011-05-08,93
2011-05-09,94
2011-05-10,94
2011-05-11,96
2011-05-12,96
2011-05-13,99
2011-05-14,107
2011-05-15,97
2011-05-16,97
2011-05-17,98
2011-05-18,98
2011-05-19,100
2011-05-20,101
2011-05-21,109
2011-05-22,98
2011-05-23,97
2011-05-24,96
2011-05-25,94
2011-05-26,93
2011-05-27,95
2011-05-28,102
2011-05-29,90
2011-05-30,89
2011-05-31,88
2011-06-01,88
2011-06-02,86
2011-06-03,87
2011-06-04,89
2011-06-05,83
2011-06-06,82
2011-06-07,82
2011-06-08,81
2011-06-09,81
2011-06-10,82
2011-06-11,87
2011-06-12,80
2011-06-13,81
2011-06-14,82
2011-06-15,85
2011-06-16,83
2011-06-17,86
2011-06-18,92
2011-06-19,83
2011-06-20,82
2011-06-21,81
2011-06-22,82
2011-06-23,79
2011-06-24,82
2011-06-25,81
2011-06-26,76
2011-06-27,75
2011-06-28,75
2011-06-29,73
2011-06-30,72
2011-07-01,71
2011-07-02,75
2011-07-03,70
2011-07-04,70
2011-07-05,71
2011-07-06,71
2011-07-07,72
2011-07-08,75
2011-07-09,79
2011-07-10,73
2011-07-11,73
2011-07-12,73
2011-07-13,75
2011-07-14,76
2011-07-15,75
2011-07-16,82
2011-07-17,74
2011-07-18,74
2011-07-19,74
2011-07-20,74
2011-07-21,75
2011-07-22,77
2011-07-23,78
2011-07-24,73
2011-07-25,73
2011-07-26,72
2011-07-27,73
2011-07-28,72
2011-07-29,71
2011-07-30,79
2011-07-31,71
2011-08-01,72
2011-08-02,73
2011-08-03,73
2011-08-04,73
2011-08-05,75
2011-08-06,86
2011-08-07,74
2011-08-08,73
2011-08-09,73
2011-08-10,72
2011-08-11,72
2011-08-12,73
2011-08-13,77
2011-08-14,71
2011-08-15,71
2011-08-16,71
2011-08-17,72
2011-08-18,75
2011-08-19,74
2011-08-20,76
2011-08-21,72
2011-08-22,72
2011-08-23,72
2011-08-24,73
2011-08-25,73
2011-08-26,71
2011-08-27,76
2011-08-28,72
