Date,MSCI Inc
2007-01-13,85
2007-01-14,83
2007-01-15,81
2007-01-16,80
2007-01-17,84
2007-01-18,79
2007-01-19,77
2007-01-20,76
2007-01-21,75
2007-01-22,74
2007-01-23,76
2007-01-24,73
2007-01-25,74
2007-01-26,72
2007-01-27,72
2007-01-28,74
2007-01-29,77
2007-01-30,80
2007-01-31,82
2007-02-01,85
2007-02-02,88
2007-02-03,95
2007-02-04,88
2007-02-05,85
2007-02-06,86
2007-02-07,80
2007-02-08,83
2007-02-09,74
2007-02-10,75
2007-02-11,73
2007-02-12,76
2007-02-13,77
2007-02-14,79
2007-02-15,81
2007-02-16,90
2007-02-17,85
2007-02-18,83
2007-02-19,87
2007-02-20,80
2007-02-21,79
2007-02-22,81
2007-02-23,79
2007-02-24,76
2007-02-25,75
2007-02-26,76
2007-02-27,76
2007-02-28,77
2007-03-01,82
2007-03-02,84
2007-03-03,79
2007-03-04,78
2007-03-05,77
2007-03-06,77
2007-03-07,75
2007-03-08,83
2007-03-09,73
2007-03-10,73
2007-03-11,69
2007-03-12,66
2007-03-13,66
2007-03-14,59
2007-03-15,58
2007-03-16,53
2007-03-17,50
2007-03-18,52
2007-03-19,54
2007-03-20,57
2007-03-21,60
2007-03-22,60
2007-03-23,66
2007-03-24,69
2007-03-25,64
2007-03-26,63
2007-03-27,62
2007-03-28,62
2007-03-29,61
2007-03-30,64
2007-03-31,60
2007-04-01,59
2007-04-02,58
2007-04-03,57
2007-04-04,59
2007-04-05,57
2007-04-06,54
2007-04-07,56
2007-04-08,56
2007-04-09,58
2007-04-10,61
2007-04-11,68
2007-04-12,66
2007-04-13,72
2007-04-14,72
2007-04-15,70
2007-04-16,69
2007-04-17,68
2007-04-18,71
2007-04-19,67
2007-04-20,66
2007-04-21,66
2007-04-22,67
2007-04-23,69
2007-04-24,75
2007-04-25,73
2007-04-26,75
2007-04-27,83
2007-04-28,79
2007-04-29,78
2007-04-30,78
2007-05-01,78
2007-05-02,77
2007-05-03,83
2007-05-04,77
2007-05-05,83
2007-05-06,76
2007-05-07,75
2007-05-08,79
2007-05-09,75
2007-05-10,74
2007-05-11,75
2007-05-12,77
2007-05-13,72
2007-05-14,71
2007-05-15,70
2007-05-16,72
2007-05-17,68
2007-05-18,71
2007-05-19,71
2007-05-20,66
2007-05-21,65
2007-05-22,64
2007-05-23,63
2007-05-24,67
2007-05-25,61
2007-05-26,66
2007-05-27,62
2007-05-28,64
2007-05-29,66
2007-05-30,72
2007-05-31,70
2007-06-01,72
2007-06-02,74
2007-06-03,73
2007-06-04,73
2007-06-05,73
2007-06-06,76
2007-06-07,74
2007-06-08,72
2007-06-09,72
2007-06-10,68
2007-06-11,65
2007-06-12,61
2007-06-13,59
2007-06-14,58
2007-06-15,51
2007-06-16,48
2007-06-17,50
2007-06-18,52
2007-06-19,56
2007-06-20,56
2007-06-21,62
2007-06-22,60
2007-06-23,62
2007-06-24,62
2007-06-25,62
2007-06-26,65
2007-06-27,66
2007-06-28,62
2007-06-29,68
2007-06-30,63
2007-07-01,62
2007-07-02,62
2007-07-03,63
2007-07-04,66
2007-07-05,62
2007-07-06,62
2007-07-07,66
2007-07-08,62
2007-07-09,63
2007-07-10,64
2007-07-11,71
2007-07-12,66
2007-07-13,67
2007-07-14,68
2007-07-15,67
2007-07-16,66
2007-07-17,66
2007-07-18,69
2007-07-19,66
2007-07-20,64
2007-07-21,64
2007-07-22,66
2007-07-23,68
2007-07-24,71
2007-07-25,74
2007-07-26,78
2007-07-27,78
2007-07-28,81
2007-07-29,80
2007-07-30,80
2007-07-31,80
2007-08-01,82
2007-08-02,84
2007-08-03,80
2007-08-04,86
2007-08-05,77
2007-08-06,74
2007-08-07,71
2007-08-08,69
2007-08-09,69
2007-08-10,63
2007-08-11,61
2007-08-12,62
2007-08-13,63
2007-08-14,65
2007-08-15,67
2007-08-16,67
2007-08-17,68
2007-08-18,72
2007-08-19,69
2007-08-20,68
2007-08-21,69
2007-08-22,67
2007-08-23,70
2007-08-24,66
2007-08-25,72
2007-08-26,64
2007-08-27,63
2007-08-28,61
2007-08-29,60
2007-08-30,59
2007-08-31,61
