Date,Bazaarvoice
2011-02-01,31
2011-02-02,30
2011-02-03,30
2011-02-04,29
2011-02-05,29
2011-02-06,28
2011-02-07,28
2011-02-08,28
2011-02-09,27
2011-02-10,27
2011-02-11,26
2011-02-12,26
2011-02-13,25
2011-02-14,25
2011-02-15,25
2011-02-16,24
2011-02-17,24
2011-02-18,23
2011-02-19,23
2011-02-20,22
2011-02-21,22
2011-02-22,22
2011-02-23,21
2011-02-24,21
2011-02-25,20
2011-02-26,20
2011-02-27,19
2011-02-28,19
2011-03-01,19
2011-03-02,19
2011-03-03,19
2011-03-04,19
2011-03-05,19
2011-03-06,19
2011-03-07,19
2011-03-08,19
2011-03-09,19
2011-03-10,19
2011-03-11,19
2011-03-12,19
2011-03-13,19
2011-03-14,19
2011-03-15,19
2011-03-16,19
2011-03-17,19
2011-03-18,19
2011-03-19,19
2011-03-20,19
2011-03-21,19
2011-03-22,19
2011-03-23,19
2011-03-24,19
2011-03-25,19
2011-03-26,19
2011-03-27,19
2011-03-28,19
2011-03-29,19
2011-03-30,19
2011-03-31,19
2011-04-01,19
2011-04-02,19
2011-04-03,19
2011-04-04,19
2011-04-05,19
2011-04-06,20
2011-04-07,20
2011-04-08,20
2011-04-09,20
2011-04-10,21
2011-04-11,21
2011-04-12,21
2011-04-13,21
2011-04-14,22
2011-04-15,22
2011-04-16,22
2011-04-17,22
2011-04-18,22
2011-04-19,23
2011-04-20,23
2011-04-21,23
2011-04-22,23
2011-04-23,24
2011-04-24,24
2011-04-25,24
2011-04-26,24
2011-04-27,25
2011-04-28,25
2011-04-29,25
2011-04-30,25
2011-05-01,26
2011-05-02,26
2011-05-03,26
2011-05-04,26
2011-05-05,26
2011-05-06,26
2011-05-07,26
2011-05-08,26
2011-05-09,27
2011-05-10,27
2011-05-11,27
2011-05-12,27
2011-05-13,27
2011-05-14,27
2011-05-15,27
2011-05-16,27
2011-05-17,28
2011-05-18,28
2011-05-19,28
2011-05-20,28
2011-05-21,28
2011-05-22,28
2011-05-23,28
2011-05-24,28
2011-05-25,29
2011-05-26,29
2011-05-27,29
2011-05-28,29
2011-05-29,29
2011-05-30,29
2011-05-31,29
2011-06-01,30
2011-06-02,30
2011-06-03,30
2011-06-04,30
2011-06-05,30
2011-06-06,31
2011-06-07,31
2011-06-08,31
2011-06-09,31
2011-06-10,31
2011-06-11,32
2011-06-12,32
2011-06-13,32
2011-06-14,32
2011-06-15,32
2011-06-16,33
2011-06-17,33
2011-06-18,33
2011-06-19,33
2011-06-20,33
2011-06-21,34
2011-06-22,34
2011-06-23,34
2011-06-24,34
2011-06-25,34
2011-06-26,35
2011-06-27,35
2011-06-28,35
2011-06-29,35
2011-06-30,35
2011-07-01,36
2011-07-02,36
2011-07-03,36
2011-07-04,36
2011-07-05,36
2011-07-06,36
2011-07-07,36
2011-07-08,37
2011-07-09,37
2011-07-10,37
2011-07-11,37
2011-07-12,37
2011-07-13,37
2011-07-14,38
2011-07-15,38
2011-07-16,38
2011-07-17,38
2011-07-18,38
2011-07-19,38
2011-07-20,39
2011-07-21,39
2011-07-22,39
2011-07-23,39
2011-07-24,39
2011-07-25,39
2011-07-26,40
2011-07-27,40
2011-07-28,40
2011-07-29,40
2011-07-30,40
2011-07-31,40
2011-08-01,41
2011-08-02,41
2011-08-03,41
2011-08-04,41
2011-08-05,41
2011-08-06,41
2011-08-07,41
2011-08-08,42
2011-08-09,42
2011-08-10,42
2011-08-11,42
2011-08-12,42
2011-08-13,42
2011-08-14,43
2011-08-15,43
2011-08-16,43
2011-08-17,43
2011-08-18,43
