Date,Brand Energy
2008-01-12,38
2008-01-13,37
2008-01-14,37
2008-01-15,37
2008-01-16,36
2008-01-17,36
2008-01-18,35
2008-01-19,35
2008-01-20,35
2008-01-21,35
2008-01-22,35
2008-01-23,35
2008-01-24,35
2008-01-25,35
2008-01-26,35
2008-01-27,34
2008-01-28,33
2008-01-29,32
2008-01-30,32
2008-01-31,31
2008-02-01,30
2008-02-02,30
2008-02-03,29
2008-02-04,28
2008-02-05,28
2008-02-06,27
2008-02-07,27
2008-02-08,26
2008-02-09,26
2008-02-10,26
2008-02-11,27
2008-02-12,27
2008-02-13,28
2008-02-14,28
2008-02-15,29
2008-02-16,30
2008-02-17,30
2008-02-18,30
2008-02-19,30
2008-02-20,30
2008-02-21,30
2008-02-22,30
2008-02-23,30
2008-02-24,31
2008-02-25,33
2008-02-26,34
2008-02-27,36
2008-02-28,37
2008-02-29,39
2008-03-01,41
2008-03-02,39
2008-03-03,37
2008-03-04,35
2008-03-05,33
2008-03-06,31
2008-03-07,30
2008-03-08,28
2008-03-09,28
2008-03-10,28
2008-03-11,29
2008-03-12,29
2008-03-13,30
2008-03-14,30
2008-03-15,31
2008-03-16,32
2008-03-17,34
2008-03-18,36
2008-03-19,38
2008-03-20,39
2008-03-21,41
2008-03-22,43
2008-03-23,42
2008-03-24,40
2008-03-25,39
2008-03-26,38
2008-03-27,37
2008-03-28,36
2008-03-29,35
2008-03-30,35
2008-04-01,37
2008-04-02,37
2008-04-03,38
2008-04-04,39
2008-04-05,40
2008-04-06,41
2008-04-07,42
2008-04-08,44
2008-04-09,44
2008-04-10,45
2008-04-11,46
2008-04-12,47
2008-04-13,46
2008-04-14,46
2008-04-15,46
2008-04-16,46
2008-04-17,46
2008-04-18,46
2008-04-19,46
2008-04-20,45
2008-04-21,44
2008-04-22,43
2008-04-23,42
2008-04-24,41
2008-04-25,40
2008-04-26,40
2008-04-27,40
2008-04-28,41
2008-04-29,42
2008-04-30,43
2008-05-01,43
2008-05-02,44
2008-05-03,45
2008-05-04,45
2008-05-05,45
2008-05-06,47
2008-05-07,46
2008-05-08,47
2008-05-09,47
2008-05-10,48
2008-05-11,48
2008-05-12,48
2008-05-13,48
2008-05-14,48
2008-05-15,48
2008-05-16,48
2008-05-17,49
2008-05-18,47
2008-05-19,46
2008-05-20,45
2008-05-21,44
2008-05-22,43
2008-05-23,42
2008-05-24,41
2008-05-25,41
2008-05-26,42
2008-05-27,43
2008-05-28,44
2008-05-29,45
2008-05-30,46
2008-05-31,47
2008-06-01,47
2008-06-02,47
2008-06-03,47
2008-06-04,47
2008-06-05,47
2008-06-06,47
2008-06-07,47
2008-06-08,45
2008-06-09,43
2008-06-10,41
2008-06-11,39
2008-06-12,39
2008-06-13,35
2008-06-14,34
2008-06-15,35
2008-06-16,37
2008-06-17,40
2008-06-18,41
2008-06-19,42
2008-06-20,44
2008-06-21,46
2008-06-22,47
2008-06-23,48
2008-06-24,49
2008-06-25,51
2008-06-26,52
2008-06-27,53
2008-06-28,55
2008-06-29,54
2008-06-30,53
2008-07-01,52
2008-07-02,52
2008-07-03,51
2008-07-04,50
2008-07-05,50
2008-07-06,53
2008-07-07,56
2008-07-08,62
2008-07-09,63
2008-07-10,69
2008-07-11,70
2008-07-12,74
2008-07-13,75
2008-07-14,76
2008-07-15,78
2008-07-16,85
2008-07-17,82
2008-07-18,82
2008-07-19,84
2008-07-20,84
2008-07-21,84
2008-07-22,85
2008-07-23,85
2008-07-24,86
2008-07-25,86
2008-07-26,87
2008-07-27,88
2008-07-28,90
2008-07-29,94
2008-07-30,94
2008-07-31,96
2008-08-01,100
2008-08-02,106
2008-08-03,96
2008-08-04,92
2008-08-05,89
2008-08-06,85
2008-08-07,88
2008-08-08,78
2008-08-09,75
2008-08-10,76
2008-08-11,78
2008-08-12,80
2008-08-13,81
2008-08-14,88
2008-08-15,85
2008-08-16,87
2008-08-17,87
2008-08-18,87
2008-08-19,94
2008-08-20,89
2008-08-21,88
2008-08-22,87
2008-08-23,88
2008-08-24,84
2008-08-25,81
2008-08-26,87
2008-08-27,75
2008-08-28,72
2008-08-29,69
2008-08-30,66
2008-08-31,64
2008-09-01,62
2008-09-02,60
2008-09-03,62
2008-09-04,57
2008-09-05,55
2008-09-06,54
