Date,Peplin
2007-02-01,0
2007-02-02,3
2007-02-03,6
2007-02-04,10
2007-02-05,13
2007-02-06,17
2007-02-07,20
2007-02-08,24
2007-02-09,27
2007-02-10,30
2007-02-11,34
2007-02-12,37
2007-02-13,41
2007-02-14,44
2007-02-15,48
2007-02-16,51
2007-02-17,54
2007-02-18,58
2007-02-19,61
2007-02-20,65
2007-02-21,68
2007-02-22,72
2007-02-23,75
2007-02-24,78
2007-02-25,82
2007-02-26,85
2007-02-27,89
2007-02-28,92
2007-03-01,96
2007-03-02,95
2007-03-03,95
2007-03-04,95
2007-03-05,95
2007-03-06,95
2007-03-07,95
2007-03-08,95
2007-03-09,95
2007-03-10,95
2007-03-11,95
2007-03-12,95
2007-03-13,95
2007-03-14,95
2007-03-15,95
2007-03-16,95
2007-03-17,94
2007-03-18,94
2007-03-19,94
2007-03-20,94
2007-03-21,94
2007-03-22,94
2007-03-23,94
2007-03-24,94
2007-03-25,94
2007-03-26,94
2007-03-27,94
2007-03-28,94
2007-03-29,94
2007-03-30,94
2007-03-31,94
2007-04-01,94
2007-04-02,94
2007-04-03,94
2007-04-04,94
2007-04-05,94
2007-04-06,94
2007-04-07,94
2007-04-08,94
2007-04-09,94
2007-04-10,94
2007-04-11,94
2007-04-12,94
2007-04-13,94
2007-04-14,94
2007-04-15,94
2007-04-16,94
2007-04-17,94
2007-04-18,94
2007-04-19,94
2007-04-20,94
2007-04-21,94
2007-04-22,94
2007-04-23,94
2007-04-24,94
2007-04-25,94
2007-04-26,94
2007-04-27,94
2007-04-28,94
2007-04-29,94
2007-04-30,94
2007-05-01,94
2007-05-02,93
2007-05-03,93
2007-05-04,93
2007-05-05,92
2007-05-06,92
2007-05-07,92
2007-05-08,92
2007-05-09,91
2007-05-10,91
2007-05-11,91
2007-05-12,91
2007-05-13,90
2007-05-14,90
2007-05-15,90
2007-05-16,90
2007-05-17,89
2007-05-18,89
2007-05-19,89
2007-05-20,89
2007-05-21,88
2007-05-22,88
2007-05-23,88
2007-05-24,88
2007-05-25,87
2007-05-26,87
2007-05-27,87
2007-05-28,87
2007-05-29,86
2007-05-30,86
2007-05-31,86
2007-06-01,86
2007-06-02,86
2007-06-03,86
2007-06-04,86
2007-06-05,86
2007-06-06,86
2007-06-07,86
2007-06-08,86
2007-06-09,86
2007-06-10,86
2007-06-11,86
2007-06-12,86
2007-06-13,86
2007-06-14,86
2007-06-15,86
2007-06-16,86
2007-06-17,86
2007-06-18,86
2007-06-19,86
2007-06-20,86
2007-06-21,86
2007-06-22,86
2007-06-23,86
2007-06-24,86
2007-06-25,86
2007-06-26,86
2007-06-27,86
2007-06-28,86
2007-06-29,86
2007-06-30,86
2007-07-01,86
2007-07-02,86
2007-07-03,86
2007-07-04,87
2007-07-05,87
2007-07-06,88
2007-07-07,88
2007-07-08,89
2007-07-09,89
2007-07-10,90
2007-07-11,90
2007-07-12,90
2007-07-13,91
2007-07-14,91
2007-07-15,92
2007-07-16,92
2007-07-17,93
2007-07-18,93
2007-07-19,94
2007-07-20,94
2007-07-21,95
2007-07-22,95
2007-07-23,95
2007-07-24,96
2007-07-25,96
2007-07-26,97
2007-07-27,97
2007-07-28,98
2007-07-29,98
2007-07-30,99
2007-07-31,99
2007-08-01,100
2007-08-02,99
2007-08-03,98
2007-08-04,98
2007-08-05,97
2007-08-06,96
2007-08-07,96
2007-08-08,95
2007-08-09,94
2007-08-10,94
2007-08-11,93
2007-08-12,92
2007-08-13,92
2007-08-14,91
2007-08-15,90
2007-08-16,90
2007-08-17,89
2007-08-18,89
2007-08-19,88
2007-08-20,87
2007-08-21,87
2007-08-22,86
2007-08-23,85
2007-08-24,85
2007-08-25,84
2007-08-26,83
2007-08-27,83
2007-08-28,82
2007-08-29,81
2007-08-30,81
2007-08-31,80
2007-09-01,80
2007-09-02,80
2007-09-03,80
2007-09-04,80
2007-09-05,80
2007-09-06,80
2007-09-07,80
2007-09-08,80
2007-09-09,80
2007-09-10,80
2007-09-11,80
2007-09-12,80
2007-09-13,80
2007-09-14,80
2007-09-15,80
2007-09-16,80
2007-09-17,80
2007-09-18,80
2007-09-19,80
2007-09-20,80
2007-09-21,80
2007-09-22,80
2007-09-23,80
2007-09-24,80
2007-09-25,80
2007-09-26,80
2007-09-27,80
2007-09-28,80
2007-09-29,80
2007-09-30,80
2007-10-01,80
2007-10-02,80
2007-10-03,80
2007-10-04,80
2007-10-05,80
2007-10-06,80
2007-10-07,80
2007-10-08,81
2007-10-09,81
2007-10-10,81
2007-10-11,81
2007-10-12,81
2007-10-13,81
2007-10-14,82
2007-10-15,82
2007-10-16,82
2007-10-17,82
2007-10-18,82
2007-10-19,82
2007-10-20,83
2007-10-21,83
2007-10-22,83
2007-10-23,83
2007-10-24,83
2007-10-25,83
2007-10-26,84
2007-10-27,84
2007-10-28,84
2007-10-29,84
2007-10-30,84
2007-10-31,84
2007-11-01,85
2007-11-02,82
2007-11-03,79
2007-11-04,76
2007-11-05,73
2007-11-06,70
2007-11-07,68
2007-11-08,65
2007-11-09,62
2007-11-10,59
2007-11-11,56
2007-11-12,53
2007-11-13,51
2007-11-14,48
2007-11-15,45
2007-11-16,42
2007-11-17,39
2007-11-18,36
2007-11-19,34
2007-11-20,31
2007-11-21,28
2007-11-22,25
2007-11-23,22
2007-11-24,19
2007-11-25,17
2007-11-26,14
2007-11-27,11
2007-11-28,8
2007-11-29,5
2007-11-30,2
2007-12-01,0
2007-12-02,0
2007-12-03,0
2007-12-04,0
