Date,ComScore
2006-10-01,51
2006-10-02,52
2006-10-03,53
2006-10-04,54
2006-10-05,55
2006-10-06,56
2006-10-07,57
2006-10-08,58
2006-10-09,59
2006-10-10,60
2006-10-11,61
2006-10-12,63
2006-10-13,64
2006-10-14,65
2006-10-15,66
2006-10-16,67
2006-10-17,68
2006-10-18,69
2006-10-19,70
2006-10-20,71
2006-10-21,72
2006-10-22,74
2006-10-23,75
2006-10-24,76
2006-10-25,77
2006-10-26,78
2006-10-27,79
2006-10-28,80
2006-10-29,81
2006-10-30,82
2006-10-31,83
2006-11-01,85
2006-11-02,84
2006-11-03,83
2006-11-04,83
2006-11-05,82
2006-11-06,81
2006-11-07,81
2006-11-08,80
2006-11-09,79
2006-11-10,79
2006-11-11,78
2006-11-12,77
2006-11-13,77
2006-11-14,76
2006-11-15,75
2006-11-16,75
2006-11-17,74
2006-11-18,73
2006-11-19,73
2006-11-20,72
2006-11-21,71
2006-11-22,71
2006-11-23,70
2006-11-24,69
2006-11-25,69
2006-11-26,68
2006-11-27,67
2006-11-28,67
2006-11-29,66
2006-11-30,65
2006-12-01,65
2006-12-02,65
2006-12-03,65
2006-12-04,66
2006-12-05,66
2006-12-06,67
2006-12-07,67
2006-12-08,68
2006-12-09,68
2006-12-10,69
2006-12-11,69
2006-12-12,69
2006-12-13,70
2006-12-14,70
2006-12-15,71
2006-12-16,71
2006-12-17,72
2006-12-18,72
2006-12-19,73
2006-12-20,73
2006-12-21,74
2006-12-22,74
2006-12-23,74
2006-12-24,75
2006-12-25,75
2006-12-26,76
2006-12-27,76
2006-12-28,77
2006-12-29,77
2006-12-30,78
2006-12-31,78
2007-01-01,79
2007-01-02,78
2007-01-03,78
2007-01-04,78
2007-01-05,78
2007-01-06,78
2007-01-07,78
2007-01-08,78
2007-01-09,78
2007-01-10,78
2007-01-11,78
2007-01-12,77
2007-01-13,77
2007-01-14,77
2007-01-15,77
2007-01-16,77
2007-01-17,77
2007-01-18,77
2007-01-19,77
2007-01-20,77
2007-01-21,77
2007-01-22,76
2007-01-23,76
2007-01-24,76
2007-01-25,76
2007-01-26,76
2007-01-27,76
2007-01-28,76
2007-01-29,76
2007-01-30,76
2007-01-31,76
2007-02-01,76
2007-02-02,76
2007-02-03,76
2007-02-04,77
2007-02-05,77
2007-02-06,77
2007-02-07,78
2007-02-08,78
2007-02-09,78
2007-02-10,79
2007-02-11,79
2007-02-12,79
2007-02-13,80
2007-02-14,80
2007-02-15,81
2007-02-16,81
2007-02-17,81
2007-02-18,82
2007-02-19,82
2007-02-20,82
2007-02-21,83
2007-02-22,83
2007-02-23,83
2007-02-24,84
2007-02-25,84
2007-02-26,84
2007-02-27,85
2007-02-28,85
2007-03-01,86
2007-03-02,86
2007-03-03,86
2007-03-04,87
2007-03-05,87
2007-03-06,88
2007-03-07,88
2007-03-08,89
2007-03-09,89
2007-03-10,90
2007-03-11,90
2007-03-12,90
2007-03-13,91
2007-03-14,91
2007-03-15,92
2007-03-16,92
2007-03-17,93
2007-03-18,93
2007-03-19,94
2007-03-20,94
2007-03-21,95
2007-03-22,95
2007-03-23,95
