Date,Mead Johnson Nutrition Co
2008-03-08,27
2008-03-09,27
2008-03-10,27
2008-03-11,27
2008-03-12,27
2008-03-13,27
2008-03-14,27
2008-03-15,27
2008-03-16,25
2008-03-17,24
2008-03-18,23
2008-03-19,22
2008-03-20,21
2008-03-21,20
2008-03-22,19
2008-03-23,19
2008-03-24,19
2008-03-25,20
2008-03-26,20
2008-03-27,20
2008-03-28,20
2008-03-29,21
2008-03-30,20
2008-03-31,19
2008-04-01,18
2008-04-02,18
2008-04-03,17
2008-04-04,16
2008-04-05,16
2008-04-06,16
2008-04-07,16
2008-04-08,16
2008-04-09,16
2008-04-10,16
2008-04-11,16
2008-04-12,16
2008-04-13,16
2008-04-14,16
2008-04-15,16
2008-04-16,16
2008-04-17,16
2008-04-18,16
2008-04-19,16
2008-04-20,17
2008-04-21,18
2008-04-22,19
2008-04-23,21
2008-04-24,22
2008-04-25,23
2008-04-26,25
2008-04-27,25
2008-04-28,25
2008-04-29,25
2008-04-30,25
2008-05-01,25
2008-05-02,25
2008-05-03,26
2008-05-04,25
2008-05-05,25
2008-05-06,25
2008-05-07,24
2008-05-08,24
2008-05-09,24
2008-05-10,24
2008-05-11,22
2008-05-12,21
2008-05-13,20
2008-05-14,18
2008-05-15,17
2008-05-16,16
2008-05-17,15
2008-05-18,15
2008-05-19,15
2008-05-20,15
2008-05-21,15
2008-05-22,15
2008-05-23,16
2008-05-24,16
2008-05-25,15
2008-06-01,18
2008-06-02,18
2008-06-03,18
2008-06-04,19
2008-06-05,19
2008-06-06,19
2008-06-07,20
2008-06-08,21
2008-06-09,22
2008-06-10,23
2008-06-11,24
2008-06-12,25
2008-06-13,26
2008-06-14,27
2008-06-15,25
2008-06-16,24
2008-06-17,23
2008-06-18,22
2008-06-19,21
2008-06-20,20
2008-06-21,19
2008-06-22,20
2008-06-23,21
2008-06-24,22
2008-06-25,23
2008-06-26,24
2008-06-27,25
2008-06-28,26
2008-06-29,24
2008-06-30,23
2008-07-01,22
2008-07-02,21
2008-07-03,20
2008-07-04,19
2008-07-05,18
2008-07-06,18
2008-07-07,19
2008-07-08,19
2008-07-09,20
2008-07-10,20
2008-07-11,21
2008-07-12,22
2008-07-13,22
2008-07-14,23
2008-07-15,23
2008-07-16,24
2008-07-17,25
2008-07-18,25
2008-07-19,26
2008-07-20,25
2008-07-21,24
2008-07-22,23
2008-07-23,22
2008-07-24,21
2008-07-25,20
2008-07-26,19
2008-07-27,19
2008-07-28,19
2008-07-29,19
2008-07-30,19
2008-07-31,19
2008-08-01,19
2008-08-02,19
2008-08-03,18
2008-08-04,18
2008-08-05,18
2008-08-06,18
2008-08-07,18
2008-08-08,18
2008-08-09,18
2008-08-10,18
2008-08-11,19
2008-08-12,20
2008-08-13,20
2008-08-14,21
2008-08-15,22
2008-08-16,23
2008-08-17,23
2008-08-18,23
2008-08-19,24
2008-08-20,24
2008-08-21,24
2008-08-22,24
2008-08-23,25
2008-08-24,24
2008-08-25,23
2008-08-26,22
2008-08-27,21
2008-08-28,20
2008-08-29,19
2008-08-30,18
2008-08-31,18
2008-09-07,24
2008-09-08,25
2008-09-09,26
2008-09-10,27
2008-09-11,29
2008-09-12,30
2008-09-13,31
2008-09-14,30
2008-09-15,29
2008-09-16,28
2008-09-17,28
2008-09-18,27
2008-09-19,26
2008-09-20,26
2008-09-21,26
2008-09-22,27
2008-09-23,27
2008-09-24,28
2008-09-25,29
2008-09-26,29
2008-09-27,30
2008-09-28,29
2008-09-29,28
2008-09-30,27
2008-10-01,26
2008-10-02,25
2008-10-03,25
2008-10-04,24
2008-10-05,24
2008-10-06,24
2008-10-07,24
2008-10-08,25
2008-10-09,25
2008-10-10,25
2008-10-11,26
2008-10-12,26
2008-10-13,26
2008-10-14,26
2008-10-15,26
2008-10-16,26
2008-10-17,27
2008-10-18,27
2008-10-19,25
2008-10-20,23
