Date,EnergySolutions
2006-09-09,0
2006-09-10,0
2006-09-11,0
2006-09-12,0
2006-09-13,0
2006-09-14,0
2006-09-15,0
2006-09-16,0
2006-09-17,0
2006-09-18,0
2006-09-19,0
2006-09-20,0
2006-09-21,0
2006-09-22,0
2006-09-23,0
2006-09-24,0
2006-09-25,0
2006-09-26,0
2006-09-27,0
2006-09-28,0
2006-09-29,0
2006-09-30,0
2006-10-01,0
2006-10-02,0
2006-10-03,0
2006-10-04,0
2006-10-05,0
2006-10-06,0
2006-10-07,0
2006-10-08,0
2006-10-09,0
2006-10-10,0
2006-10-11,0
2006-10-12,0
2006-10-13,0
2006-10-14,0
2006-10-15,0
2006-10-16,0
2006-10-17,0
2006-10-18,0
2006-10-19,0
2006-10-20,0
2006-10-21,0
2006-10-22,0
2006-10-23,0
2006-10-24,0
2006-10-25,0
2006-10-26,0
2006-10-27,0
2006-10-28,0
2006-10-29,0
2006-10-30,0
2006-10-31,0
2006-11-01,0
2006-11-02,0
2006-11-03,0
2006-11-04,0
2006-11-05,0
2006-11-06,0
2006-11-07,0
2006-11-08,0
2006-11-09,0
2006-11-10,0
2006-11-11,0
2006-11-12,0
2006-11-13,0
2006-11-14,0
2006-11-15,0
2006-11-16,0
2006-11-17,0
2006-11-18,0
2006-11-19,11
2006-11-20,22
2006-11-21,33
2006-11-22,44
2006-11-23,55
2006-11-24,66
2006-11-25,77
2006-11-26,80
2006-12-03,96
2006-12-04,93
2006-12-05,89
2006-12-06,85
2006-12-07,81
2006-12-08,78
2006-12-09,74
2006-12-10,72
2006-12-11,69
2006-12-12,66
2006-12-13,64
2006-12-14,61
2006-12-15,59
2006-12-16,57
2006-12-17,57
2006-12-18,57
2006-12-19,57
2006-12-20,57
2006-12-21,57
2006-12-22,57
2006-12-23,57
2006-12-24,54
2006-12-25,52
2006-12-26,49
2006-12-27,47
2006-12-28,44
2006-12-29,42
2006-12-30,40
2006-12-31,40
2007-01-01,40
2007-01-02,40
2007-01-03,40
2007-01-04,40
2007-01-05,40
2007-01-06,40
2007-01-07,40
2007-01-08,40
2007-01-09,40
2007-01-10,40
2007-01-11,40
2007-01-12,40
2007-01-13,40
2007-01-14,40
2007-01-15,40
2007-01-16,40
2007-01-17,40
2007-01-18,40
2007-01-19,40
2007-01-20,40
2007-01-21,41
2007-01-22,42
2007-01-23,43
2007-01-24,45
2007-01-25,46
2007-01-26,47
2007-01-27,49
2007-01-28,52
2007-01-29,57
2007-01-30,61
2007-01-31,65
2007-02-01,69
2007-02-02,73
2007-02-03,77
2007-02-04,72
2007-02-05,67
2007-02-06,63
2007-02-07,59
2007-02-08,55
2007-02-09,51
2007-02-10,47
2007-02-11,49
2007-02-12,52
2007-02-13,54
2007-02-14,57
2007-02-15,59
2007-02-16,62
2007-02-17,64
2007-02-18,64
2007-02-19,64
2007-02-20,64
2007-02-21,64
2007-02-22,64
2007-02-23,65
2007-02-24,67
2007-02-25,62
2007-03-04,72
2007-03-05,74
2007-03-06,75
2007-03-07,76
2007-03-08,78
2007-03-09,79
2007-03-10,81
2007-03-11,77
2007-03-12,74
2007-03-13,71
2007-03-14,68
2007-03-15,65
2007-03-16,61
2007-03-17,58
2007-03-18,58
2007-03-19,57
2007-03-20,57
2007-03-21,57
2007-03-22,57
2007-03-23,57
2007-03-24,57
2007-03-25,57
2007-03-26,57
2007-03-27,57
2007-03-28,57
2007-03-29,57
2007-03-30,57
2007-03-31,57
2007-04-01,57
2007-04-02,57
2007-04-03,57
2007-04-04,57
2007-04-05,57
2007-04-06,57
2007-04-07,57
2007-04-08,54
2007-04-09,51
2007-04-10,49
2007-04-11,46
2007-04-12,44
2007-04-13,41
2007-04-14,39
2007-04-15,38
2007-04-16,38
2007-04-17,38
2007-04-18,38
2007-04-19,37
2007-04-20,37
2007-04-21,37
2007-04-22,37
2007-04-23,37
2007-04-24,37
2007-04-25,37
2007-04-26,37
2007-04-27,37
2007-04-28,37
2007-04-29,37
2007-04-30,38
2007-05-01,39
2007-05-02,39
2007-05-03,40
2007-05-04,41
2007-05-05,42
2007-05-06,42
2007-05-07,43
2007-05-08,44
2007-05-09,45
2007-05-10,46
2007-05-11,47
2007-05-12,48
2007-05-13,47
2007-05-14,48
2007-05-15,48
2007-05-16,48
2007-05-17,48
2007-05-18,48
2007-05-19,49
2007-05-20,44
2007-05-21,43
2007-05-22,42
2007-05-23,41
2007-05-24,40
2007-05-25,39
2007-05-26,38
2007-05-27,39
2007-06-03,51
2007-06-04,57
2007-06-05,63
2007-06-06,69
2007-06-07,75
2007-06-08,81
2007-06-09,87
2007-06-10,84
2007-06-11,82
2007-06-12,80
2007-06-13,77
2007-06-14,74
2007-06-15,72
2007-06-16,69
2007-06-17,64
2007-06-18,58
2007-06-19,53
2007-06-20,49
2007-06-21,44
2007-06-22,39
2007-06-23,35
2007-06-24,36
2007-06-25,38
2007-06-26,40
2007-06-27,41
2007-06-28,43
2007-06-29,45
2007-06-30,47
2007-07-01,45
2007-07-02,44
2007-07-03,43
2007-07-04,41
2007-07-05,40
2007-07-06,39
2007-07-07,38
2007-07-08,38
2007-07-09,38
2007-07-10,38
2007-07-11,38
2007-07-12,38
2007-07-13,38
2007-07-14,38
2007-07-15,39
2007-07-16,41
2007-07-17,42
2007-07-18,44
2007-07-19,45
2007-07-20,47
2007-07-21,49
2007-07-22,50
2007-07-23,51
2007-07-24,53
2007-07-25,54
2007-07-26,56
2007-07-27,57
2007-07-28,59
2007-07-29,58
2007-07-30,58
2007-07-31,57
2007-08-01,57
2007-08-02,56
2007-08-03,56
2007-08-04,56
2007-08-05,54
2007-08-06,52
2007-08-07,51
2007-08-08,49
2007-08-09,48
2007-08-10,46
2007-08-11,45
2007-08-12,43
2007-08-13,42
2007-08-14,40
2007-08-15,39
2007-08-16,37
2007-08-17,36
2007-08-18,35
2007-08-19,38
2007-08-20,41
2007-08-21,44
2007-08-22,47
2007-08-23,50
2007-08-24,53
2007-08-25,56
2007-08-26,55
2007-09-02,49
2007-09-03,57
2007-09-04,43
2007-09-05,40
2007-09-06,37
2007-09-07,34
2007-09-08,32
2007-09-09,37
2007-09-10,42
2007-09-11,47
2007-09-12,52
2007-09-13,57
2007-09-14,63
2007-09-15,68
2007-09-16,63
2007-09-17,58
2007-09-18,54
2007-09-19,49
2007-09-20,45
2007-09-21,40
2007-09-22,36
2007-09-23,36
2007-09-24,36
2007-09-25,36
2007-09-26,36
2007-09-27,36
2007-09-28,36
2007-09-29,36
2007-09-30,36
2007-10-01,37
2007-10-02,38
2007-10-03,38
2007-10-04,39
2007-10-05,39
2007-10-06,40
2007-10-07,38
2007-10-08,37
2007-10-09,35
2007-10-10,34
2007-10-11,32
2007-10-12,31
2007-10-13,30
2007-10-14,30
2007-10-15,31
2007-10-16,32
2007-10-17,32
2007-10-18,33
2007-10-19,34
2007-10-20,35
2007-10-21,37
2007-10-22,39
2007-10-23,41
2007-10-24,43
2007-10-25,45
2007-10-26,47
2007-10-27,49
2007-10-28,53
2007-10-29,57
2007-10-30,61
2007-10-31,65
2007-11-01,69
2007-11-02,73
2007-11-03,77
2007-11-04,72
2007-11-05,67
2007-11-06,62
2007-11-07,57
2007-11-08,52
2007-11-09,47
2007-11-10,42
2007-11-11,49
2007-11-12,57
2007-11-13,65
2007-11-14,73
2007-11-15,80
2007-11-16,88
2007-11-17,96
2007-11-18,87
2007-11-19,77
2007-11-20,69
2007-11-21,60
2007-11-22,52
2007-11-23,43
2007-11-24,35
2007-11-25,38
2007-12-02,59
2007-12-03,58
2007-12-04,56
2007-12-05,54
2007-12-06,52
2007-12-07,51
2007-12-08,49
2007-12-09,46
2007-12-10,42
2007-12-11,39
2007-12-12,36
2007-12-13,33
2007-12-14,30
2007-12-15,27
2007-12-16,27
2007-12-17,27
2007-12-18,28
2007-12-19,28
2007-12-20,29
2007-12-21,29
2007-12-22,30
2007-12-23,30
2007-12-24,31
2007-12-25,31
2007-12-26,32
2007-12-27,32
2007-12-28,33
2007-12-29,34
2007-12-30,34
2007-12-31,35
2008-01-01,36
2008-01-02,36
2008-01-03,37
2008-01-04,38
2008-01-05,39
2008-01-06,39
2008-01-07,40
2008-01-08,41
2008-01-09,41
2008-01-10,42
2008-01-11,43
2008-01-12,44
2008-01-13,43
2008-01-14,42
2008-01-15,42
2008-01-16,41
2008-01-17,40
