Date,Ancestry.com
2009-02-01,38
2009-02-02,38
2009-02-03,38
2009-02-04,38
2009-02-05,37
2009-02-06,37
2009-02-07,37
2009-02-08,36
2009-02-09,35
2009-02-10,35
2009-02-11,34
2009-02-12,34
2009-02-13,33
2009-02-14,33
2009-02-15,36
2009-02-16,39
2009-02-17,43
2009-02-18,46
2009-02-19,50
2009-02-20,53
2009-02-21,57
2009-02-22,57
2009-02-23,57
2009-02-24,57
2009-02-25,58
2009-02-26,58
2009-02-27,58
2009-02-28,58
2009-03-01,58
2009-03-02,57
2009-03-03,56
2009-03-04,56
2009-03-05,55
2009-03-06,55
2009-03-07,54
2009-03-08,51
2009-03-09,48
2009-03-10,46
2009-03-11,43
2009-03-12,41
2009-03-13,38
2009-03-14,36
2009-03-15,36
2009-03-16,36
2009-03-17,36
2009-03-18,36
2009-03-19,36
2009-03-20,36
2009-03-21,36
2009-03-22,36
2009-03-23,37
2009-03-24,37
2009-03-25,38
2009-03-26,38
2009-03-27,39
2009-03-28,40
2009-03-29,40
2009-05-03,58
2009-05-04,57
2009-05-05,56
2009-05-06,55
2009-05-07,54
2009-05-08,53
2009-05-09,52
2009-05-10,51
2009-05-11,50
2009-05-12,49
2009-05-13,48
2009-05-14,47
2009-05-15,46
2009-05-16,45
2009-05-17,45
2009-05-18,46
2009-05-19,47
2009-05-20,48
2009-05-21,49
2009-05-22,49
2009-05-23,50
2009-05-24,49
2009-05-25,47
2009-05-26,46
2009-05-27,44
2009-05-28,43
2009-05-29,42
2009-05-30,41
2009-05-31,41
2009-06-01,42
2009-06-02,43
2009-06-03,43
2009-06-04,44
2009-06-05,45
2009-06-06,46
2009-06-07,45
2009-06-08,45
2009-06-09,45
2009-06-10,44
2009-06-11,44
2009-06-12,44
2009-06-13,44
2009-06-14,44
2009-06-15,44
2009-06-16,44
2009-06-17,44
2009-06-18,44
2009-06-19,44
2009-06-20,44
2009-06-21,44
2009-06-22,44
2009-06-23,45
2009-06-24,45
2009-06-25,46
2009-06-26,46
2009-06-27,47
2009-06-28,46
2009-06-29,46
2009-06-30,45
2009-07-01,45
2009-07-02,44
2009-07-03,44
2009-07-04,44
2009-07-05,44
2009-07-06,45
2009-07-07,46
2009-07-08,46
2009-07-09,47
2009-07-10,48
2009-07-11,49
2009-07-12,49
2009-07-13,49
2009-07-14,49
2009-07-15,49
2009-07-16,49
2009-07-17,49
2009-07-18,49
2009-07-19,48
2009-07-20,47
2009-07-21,46
2009-07-22,46
2009-07-23,45
2009-07-24,44
2009-07-25,44
2009-07-26,46
2009-08-02,62
2009-08-03,60
2009-08-04,59
2009-08-05,57
2009-08-06,56
2009-08-07,54
2009-08-08,53
2009-08-09,53
2009-08-10,54
2009-08-11,55
2009-08-12,55
2009-08-13,56
2009-08-14,57
2009-08-15,58
2009-08-16,59
2009-08-17,61
2009-08-18,63
2009-08-19,65
2009-08-20,67
2009-08-21,68
2009-08-22,70
2009-08-23,67
2009-08-24,62
2009-08-25,59
2009-08-26,55
2009-08-27,52
2009-08-28,48
2009-08-29,45
2009-08-30,44
2009-08-31,43
2009-09-01,42
2009-09-02,42
2009-09-03,41
2009-09-04,40
2009-09-05,40
2009-09-06,41
2009-09-07,42
2009-09-08,43
2009-09-09,44
2009-09-10,45
2009-09-11,46
2009-09-12,47
2009-09-13,45
2009-09-14,44
2009-09-15,43
2009-09-16,41
2009-09-17,40
2009-09-18,39
2009-09-19,38
2009-09-20,41
2009-09-21,44
2009-09-22,47
2009-09-23,50
2009-09-24,53
2009-09-25,56
2009-09-26,59
2009-09-27,58
2009-09-28,57
2009-09-29,56
2009-09-30,56
2009-10-01,55
2009-10-02,54
2009-10-03,54
2009-10-04,54
2009-10-05,56
2009-10-06,56
2009-10-07,57
2009-10-08,58
2009-10-09,59
2009-10-10,60
2009-10-11,57
2009-10-12,54
2009-10-13,51
2009-10-14,48
2009-10-15,45
2009-10-16,42
2009-10-17,39
2009-10-18,41
2009-10-19,43
2009-10-20,46
2009-10-21,48
2009-10-22,51
