Date,Rocket Fuel Inc
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,0
2013-02-05,0
2013-02-06,0
2013-02-07,0
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,0
2013-02-12,0
2013-02-13,0
2013-02-14,0
2013-02-15,0
2013-02-16,0
2013-02-17,0
2013-02-18,0
2013-02-19,0
2013-02-20,0
2013-02-21,0
2013-02-22,0
2013-02-23,0
2013-02-24,0
2013-02-25,0
2013-02-26,0
2013-02-27,0
2013-02-28,0
2013-03-01,0
2013-03-02,1
2013-03-03,2
2013-03-04,4
2013-03-05,5
2013-03-06,6
2013-03-07,8
2013-03-08,9
2013-03-09,11
2013-03-10,12
2013-03-11,13
2013-03-12,15
2013-03-13,16
2013-03-14,18
2013-03-15,19
2013-03-16,20
2013-03-17,22
2013-03-18,23
2013-03-19,24
2013-03-20,26
2013-03-21,27
2013-03-22,29
2013-03-23,30
2013-03-24,31
2013-03-25,33
2013-03-26,34
2013-03-27,36
2013-03-28,37
2013-03-29,38
2013-03-30,40
2013-03-31,41
2013-04-01,43
2013-04-02,43
2013-04-03,43
2013-04-04,43
2013-04-05,43
2013-04-06,43
2013-04-07,43
2013-04-08,43
2013-04-09,43
2013-04-10,43
2013-04-11,44
2013-04-12,44
2013-04-13,44
2013-04-14,44
2013-04-15,44
2013-04-16,44
2013-04-17,44
2013-04-18,44
2013-04-19,44
2013-04-20,44
2013-04-21,45
2013-04-22,45
2013-04-23,45
2013-04-24,45
2013-04-25,45
2013-04-26,45
2013-04-27,45
2013-04-28,45
2013-04-29,45
2013-04-30,45
2013-05-01,46
2013-05-02,45
2013-05-03,45
2013-05-04,45
2013-05-05,45
2013-05-06,45
2013-05-07,45
2013-05-08,45
2013-05-09,45
2013-05-10,45
2013-05-11,45
2013-05-12,44
2013-05-13,44
2013-05-14,44
2013-05-15,44
2013-05-16,44
2013-05-17,44
2013-05-18,44
2013-05-19,44
2013-05-20,44
2013-05-21,44
2013-05-22,43
2013-05-23,43
2013-05-24,43
2013-05-25,43
2013-05-26,43
2013-05-27,43
2013-05-28,43
2013-05-29,43
2013-05-30,43
2013-05-31,43
2013-06-01,43
2013-06-02,43
2013-06-03,43
2013-06-04,43
2013-06-05,43
2013-06-06,43
2013-06-07,43
2013-06-08,43
2013-06-09,43
2013-06-10,43
2013-06-11,43
2013-06-12,43
2013-06-13,43
2013-06-14,43
2013-06-15,43
2013-06-16,43
2013-06-17,43
2013-06-18,43
2013-06-19,43
2013-06-20,43
2013-06-21,43
2013-06-22,43
2013-06-23,43
2013-06-24,43
2013-06-25,43
2013-06-26,43
2013-06-27,43
2013-06-28,43
2013-06-29,43
2013-06-30,43
2013-07-01,43
2013-07-02,43
2013-07-03,43
2013-07-04,43
2013-07-05,44
2013-07-06,44
2013-07-07,44
2013-07-08,44
2013-07-09,45
2013-07-10,45
2013-07-11,45
2013-07-12,45
2013-07-13,46
2013-07-14,46
2013-07-15,46
2013-07-16,46
2013-07-17,47
2013-07-18,47
2013-07-19,47
2013-07-20,47
2013-07-21,48
2013-07-22,48
2013-07-23,48
2013-07-24,48
2013-07-25,49
2013-07-26,49
2013-07-27,49
2013-07-28,49
2013-07-29,50
2013-07-30,50
2013-07-31,50
2013-08-01,51
2013-08-02,52
2013-08-03,54
2013-08-04,55
2013-08-05,57
2013-08-06,58
2013-08-07,60
2013-08-08,62
2013-08-09,63
2013-08-10,65
2013-08-11,66
2013-08-12,68
2013-08-13,69
2013-08-14,71
2013-08-15,73
2013-08-16,74
2013-08-17,76
2013-08-18,77
2013-08-19,79
2013-08-20,81
2013-08-21,82
2013-08-22,84
2013-08-23,85
2013-08-24,87
2013-08-25,88
2013-08-26,90
2013-08-27,92
2013-08-28,93
2013-08-29,95
2013-08-30,96
2013-08-31,98
2013-09-01,100
2013-09-02,98
2013-09-03,97
2013-09-04,95
2013-09-05,94
2013-09-06,92
2013-09-07,91
2013-09-08,89
2013-09-09,88
2013-09-10,86
2013-09-11,85
2013-09-12,83
2013-09-13,82
2013-09-14,80
2013-09-15,79
2013-09-16,77
2013-09-17,76
2013-09-18,74
2013-09-19,73
2013-09-20,71
2013-09-21,70
2013-09-22,68
2013-09-23,67
2013-09-24,65
2013-09-25,64
2013-09-26,62
2013-09-27,61
2013-09-28,59
2013-09-29,58
2013-09-30,56
2013-10-01,55
2013-10-02,55
2013-10-03,56
2013-10-04,56
2013-10-05,57
2013-10-06,57
2013-10-07,58
2013-10-08,59
2013-10-09,59
2013-10-10,60
2013-10-11,60
2013-10-12,61
2013-10-13,61
2013-10-14,62
2013-10-15,63
2013-10-16,63
2013-10-17,64
2013-10-18,64
2013-10-19,65
2013-10-20,66
2013-10-21,66
2013-10-22,67
2013-10-23,67
2013-10-24,68
2013-10-25,68
2013-10-26,69
2013-10-27,70
2013-10-28,70
2013-10-29,71
2013-10-30,71
2013-10-31,72
2013-11-01,73
2013-11-02,71
2013-11-03,70
2013-11-04,69
2013-11-05,68
