Date,Enphase Energy
2010-12-11,0
2010-12-12,6
2010-12-13,13
2010-12-14,20
2010-12-15,26
2010-12-16,33
2010-12-17,40
2010-12-18,47
2010-12-19,47
2010-12-20,47
2010-12-21,48
2010-12-22,48
2010-12-23,49
2010-12-24,49
2010-12-25,50
2010-12-26,50
2010-12-27,50
2010-12-28,51
2010-12-29,51
2010-12-30,52
2010-12-31,52
2011-01-01,53
2011-01-02,53
2011-01-03,55
2011-01-04,56
2011-01-05,56
2011-01-06,57
2011-01-07,59
2011-01-08,62
2011-01-09,54
2011-01-10,52
2011-01-11,50
2011-01-12,49
2011-01-13,47
2011-01-14,45
2011-01-15,44
2011-01-16,44
2011-01-17,44
2011-01-18,44
2011-01-19,45
2011-01-20,45
2011-01-21,45
2011-01-22,46
2011-01-23,46
2011-01-24,46
2011-01-25,46
2011-01-26,46
2011-01-27,46
2011-01-28,46
2011-01-29,47
2011-01-30,47
2011-01-31,47
2011-02-01,47
2011-02-02,47
2011-02-03,47
2011-02-04,47
2011-02-05,48
2011-02-06,48
2011-02-07,48
2011-02-08,48
2011-02-09,48
2011-02-10,48
2011-02-11,48
2011-02-12,49
2011-02-13,49
2011-02-14,49
2011-02-15,50
2011-02-16,50
2011-02-17,50
2011-02-18,51
2011-02-19,51
2011-02-20,49
2011-02-21,47
2011-02-22,45
2011-02-23,43
2011-02-24,41
2011-02-25,39
2011-02-26,38
2011-02-27,39
2011-03-06,47
2011-03-07,49
2011-03-08,51
2011-03-09,52
2011-03-10,54
2011-03-11,56
2011-03-12,58
2011-03-13,55
2011-03-14,52
2011-03-15,49
2011-03-16,47
2011-03-17,44
2011-03-18,41
2011-03-19,39
2011-03-20,39
2011-03-21,39
2011-03-22,39
2011-03-23,39
2011-03-24,39
2011-03-25,39
2011-03-26,39
2011-03-27,41
2011-03-28,43
2011-03-29,45
2011-03-30,48
2011-03-31,50
2011-04-01,52
2011-04-02,54
2011-04-03,54
2011-04-04,53
2011-04-05,52
2011-04-06,52
2011-04-07,51
2011-04-08,51
