Date,Boise Cascade
2012-05-12,40
2012-05-13,38
2012-05-14,37
2012-05-15,35
2012-05-16,34
2012-05-17,33
2012-05-18,31
2012-05-19,30
2012-05-20,29
2012-05-21,27
2012-05-22,26
2012-05-23,25
2012-05-24,24
2012-05-25,23
2012-05-26,22
2012-05-27,22
2012-05-28,22
2012-05-29,22
2012-05-30,22
2012-05-31,22
2012-06-01,22
2012-06-02,23
2012-06-03,25
2012-06-04,28
2012-06-05,31
2012-06-06,34
2012-06-07,37
2012-06-08,40
2012-06-09,43
2012-06-10,40
2012-06-11,37
2012-06-12,34
2012-06-13,32
2012-06-14,29
2012-06-15,27
2012-06-16,25
2012-06-17,26
2012-06-18,28
2012-06-19,30
2012-06-20,32
2012-06-21,33
2012-06-22,35
2012-06-23,37
2012-06-24,36
2012-06-25,34
2012-06-26,33
2012-06-27,32
2012-06-28,31
2012-06-29,30
2012-06-30,29
2012-07-01,27
2012-07-02,25
2012-07-03,23
2012-07-04,22
2012-07-05,20
2012-07-06,18
2012-07-07,17
2012-07-08,17
2012-07-09,17
2012-07-10,17
2012-07-11,17
2012-07-12,17
2012-07-13,17
2012-07-14,17
2012-07-15,18
2012-07-16,19
2012-07-17,21
2012-07-18,22
2012-07-19,24
2012-07-20,25
2012-07-21,27
2012-07-22,29
2012-07-23,31
2012-07-24,34
2012-07-25,36
2012-07-26,39
2012-07-27,41
2012-07-28,44
2012-07-29,42
2012-08-05,34
2012-08-06,36
2012-08-07,36
2012-08-08,37
2012-08-09,38
2012-08-10,39
2012-08-11,40
2012-08-12,38
2012-08-13,36
2012-08-14,34
2012-08-15,33
2012-08-16,31
2012-08-17,29
2012-08-18,28
2012-08-19,28
2012-08-20,29
2012-08-21,30
2012-08-22,31
2012-08-23,32
2012-08-24,33
2012-08-25,34
2012-08-26,33
2012-08-27,33
2012-08-28,32
2012-08-29,32
2012-08-30,32
2012-08-31,31
2012-09-01,31
2012-09-02,31
2012-09-03,31
2012-09-04,31
2012-09-05,31
2012-09-06,31
2012-09-07,31
2012-09-08,31
2012-09-09,31
2012-09-10,31
2012-09-11,31
2012-09-12,31
2012-09-13,31
2012-09-14,31
2012-09-15,31
2012-09-16,30
2012-09-17,29
2012-09-18,28
2012-09-19,28
2012-09-20,27
2012-09-21,26
2012-09-22,26
2012-09-23,25
2012-09-24,25
2012-09-25,25
2012-09-26,25
2012-09-27,25
2012-09-28,25
2012-09-29,25
2012-09-30,25
2012-10-01,25
2012-10-02,26
2012-10-03,26
2012-10-04,27
2012-10-05,27
2012-10-06,28
2012-10-07,27
2012-10-08,26
2012-10-09,25
2012-10-10,24
2012-10-11,23
2012-10-12,22
2012-10-13,22
2012-10-14,23
2012-10-15,25
2012-10-16,27
2012-10-17,29
2012-10-18,30
2012-10-19,32
2012-10-20,34
2012-10-21,35
2012-10-22,35
2012-10-23,36
2012-10-24,37
2012-10-25,38
2012-10-26,39
2012-10-27,40
2012-10-28,39
2012-11-04,35
2012-11-05,33
2012-11-06,31
2012-11-07,30
2012-11-08,28
2012-11-09,26
2012-11-10,25
2012-11-11,26
2012-11-12,29
2012-11-13,31
2012-11-14,32
2012-11-15,34
2012-11-16,36
2012-11-17,38
2012-11-18,36
2012-11-19,34
2012-11-20,32
2012-11-21,30
2012-11-22,28
2012-11-23,26
2012-11-24,24
2012-11-25,23
2012-11-26,23
2012-11-27,22
2012-11-28,22
2012-11-29,21
2012-11-30,21
2012-12-01,21
2012-12-02,21
2012-12-03,22
2012-12-04,22
2012-12-05,23
2012-12-06,23
2012-12-07,24
2012-12-08,25
2012-12-09,25
2012-12-10,26
2012-12-11,27
2012-12-12,28
2012-12-13,29
2012-12-14,30
2012-12-15,31
2012-12-16,29
2012-12-17,27
2012-12-18,26
2012-12-19,24
2012-12-20,23
2012-12-21,21
2012-12-22,20
2012-12-23,20
2012-12-24,20
2012-12-25,20
2012-12-26,21
2012-12-27,21
2012-12-28,21
2012-12-29,22
2012-12-30,23
2012-12-31,24
2013-01-01,25
2013-01-02,26
2013-01-03,27
2013-01-04,28
2013-01-05,30
2013-01-06,29
2013-01-07,28
2013-01-08,28
2013-01-09,27
2013-01-10,27
2013-01-11,26
2013-01-12,26
2013-01-13,26
2013-01-14,27
2013-01-15,27
2013-01-16,28
2013-01-17,28
2013-01-18,29
2013-01-19,30
2013-01-20,33
2013-01-21,36
2013-01-22,40
2013-01-23,43
2013-01-24,46
2013-01-25,50
2013-01-26,53
2013-01-27,51
2013-02-03,47
2013-02-04,57
2013-02-05,66
2013-02-06,74
2013-02-07,83
2013-02-08,92
2013-02-09,101
2013-02-10,94
2013-02-11,85
2013-02-12,78
2013-02-13,71
2013-02-14,63
2013-02-15,56
2013-02-16,49
2013-02-17,47
2013-02-18,45
2013-02-19,44
2013-02-20,42
2013-02-21,40
2013-02-22,38
2013-02-23,37
2013-02-24,36
2013-02-25,35
2013-02-26,35
2013-02-27,34
2013-02-28,34
2013-03-01,33
2013-03-02,33
2013-03-03,35
2013-03-04,37
2013-03-05,39
2013-03-06,41
2013-03-07,44
2013-03-08,46
2013-03-09,48
2013-03-10,45
2013-03-11,42
2013-03-12,40
2013-03-13,37
2013-03-14,35
2013-03-15,32
2013-03-16,30
2013-03-17,32
2013-03-18,34
2013-03-19,36
2013-03-20,38
2013-03-21,40
2013-03-22,42
2013-03-23,44
2013-03-24,43
2013-03-25,43
2013-03-26,42
2013-03-27,41
2013-03-28,41
2013-03-29,40
2013-03-30,40
2013-03-31,38
2013-05-05,38
2013-05-06,38
2013-05-07,38
2013-05-08,37
2013-05-09,37
2013-05-10,37
2013-05-11,37
2013-05-12,37
2013-05-13,37
2013-05-14,37
2013-05-15,37
2013-05-16,37
2013-05-17,37
2013-05-18,37
2013-05-19,36
2013-05-20,36
2013-05-21,36
2013-05-22,35
2013-05-23,35
2013-05-24,35
2013-05-25,35
2013-05-26,33
2013-05-27,32
