Date,Qualys
2012-03-25,66
2012-03-26,65
2012-03-27,65
2012-03-28,65
2012-03-29,65
2012-03-30,65
2012-03-31,65
2012-04-01,65
2012-04-02,64
2012-04-03,64
2012-04-04,63
2012-04-05,63
2012-04-06,62
2012-04-07,62
2012-04-08,61
2012-04-09,61
2012-04-10,60
2012-04-11,60
2012-04-12,59
2012-04-13,59
2012-04-14,58
2012-04-15,58
2012-04-16,57
2012-04-17,57
2012-04-18,56
2012-04-19,56
2012-04-20,55
2012-04-21,55
2012-04-22,54
2012-04-23,54
2012-04-24,53
2012-04-25,53
2012-04-26,52
2012-04-27,52
2012-04-28,51
2012-04-29,51
2012-04-30,50
2012-05-01,50
2012-05-02,50
2012-05-03,50
2012-05-04,50
2012-05-05,50
2012-05-06,51
2012-05-07,51
2012-05-08,51
2012-05-09,51
2012-05-10,52
2012-05-11,52
2012-05-12,52
2012-05-13,52
2012-05-14,52
2012-05-15,53
2012-05-16,53
2012-05-17,53
2012-05-18,53
2012-05-19,54
2012-05-20,54
2012-05-21,54
2012-05-22,54
2012-05-23,54
2012-05-24,55
2012-05-25,55
2012-05-26,55
2012-05-27,55
2012-05-28,56
2012-05-29,56
2012-05-30,56
2012-05-31,56
2012-06-01,57
2012-06-02,57
2012-06-03,57
2012-06-04,57
2012-06-05,57
2012-06-06,57
2012-06-07,57
2012-06-08,57
2012-06-09,57
2012-06-10,57
2012-06-11,57
2012-06-12,57
2012-06-13,57
2012-06-14,57
2012-06-15,57
2012-06-16,57
2012-06-17,57
2012-06-18,57
2012-06-19,57
2012-06-20,57
2012-06-21,57
2012-06-22,57
2012-06-23,57
2012-06-24,57
2012-06-25,57
2012-06-26,57
2012-06-27,57
2012-06-28,57
2012-06-29,57
2012-06-30,57
2012-07-01,58
2012-07-02,58
2012-07-03,58
2012-07-04,59
2012-07-05,59
2012-07-06,59
2012-07-07,60
2012-07-08,60
2012-07-09,60
2012-07-10,61
2012-07-11,61
2012-07-12,61
2012-07-13,62
2012-07-14,62
2012-07-15,62
2012-07-16,63
2012-07-17,63
2012-07-18,64
2012-07-19,64
2012-07-20,64
2012-07-21,65
2012-07-22,65
2012-07-23,65
2012-07-24,66
2012-07-25,66
2012-07-26,66
2012-07-27,67
2012-07-28,67
2012-07-29,67
2012-07-30,68
2012-07-31,68
2012-08-01,69
2012-08-02,70
2012-08-03,71
2012-08-04,72
2012-08-05,73
2012-08-06,74
2012-08-07,75
2012-08-08,76
2012-08-09,77
2012-08-10,78
2012-08-11,79
2012-08-12,80
2012-08-13,81
2012-08-14,82
2012-08-15,83
2012-08-16,84
2012-08-17,85
2012-08-18,86
2012-08-19,87
2012-08-20,88
2012-08-21,89
2012-08-22,90
2012-08-23,91
2012-08-24,92
2012-08-25,93
2012-08-26,94
2012-08-27,95
2012-08-28,96
2012-08-29,97
2012-08-30,98
2012-08-31,99
2012-09-01,100
2012-09-02,98
2012-09-03,97
2012-09-04,95
2012-09-05,94
2012-09-06,92
2012-09-07,91
2012-09-08,89
2012-09-09,88
2012-09-10,86
2012-09-11,85
2012-09-12,83
2012-09-13,82
2012-09-14,80
2012-09-15,79
2012-09-16,77
2012-09-17,76
2012-09-18,74
2012-09-19,73
2012-09-20,71
2012-09-21,70
2012-09-22,68
2012-09-23,67
2012-09-24,65
2012-09-25,64
2012-09-26,62
2012-09-27,61
2012-09-28,59
2012-09-29,58
2012-09-30,56
2012-10-01,55
2012-10-02,55
2012-10-03,56
2012-10-04,57
2012-10-05,58
2012-10-06,59
2012-10-07,60
2012-10-08,61
2012-10-09,62
2012-10-10,63
2012-10-11,64
2012-10-12,65
2012-10-13,66
2012-10-14,67
2012-10-15,68
2012-10-16,69
2012-10-17,70
2012-10-18,71
2012-10-19,72
2012-10-20,73
2012-10-21,74
2012-10-22,75
2012-10-23,76
2012-10-24,77
2012-10-25,78
2012-10-26,79
2012-10-27,80
2012-10-28,81
2012-10-29,82
2012-10-30,83
2012-10-31,84
2012-11-01,85
2012-11-02,83
2012-11-03,81
2012-11-04,80
2012-11-05,78
2012-11-06,76
2012-11-07,75
2012-11-08,73
2012-11-09,71
2012-11-10,70
2012-11-11,68
2012-11-12,67
2012-11-13,65
2012-11-14,63
2012-11-15,62
2012-11-16,60
2012-11-17,58
2012-11-18,57
2012-11-19,55
2012-11-20,53
2012-11-21,52
2012-11-22,50
2012-11-23,49
2012-11-24,47
2012-11-25,45
2012-11-26,44
2012-11-27,42
2012-11-28,40
2012-11-29,39
2012-11-30,37
2012-12-01,36
2012-12-02,37
2012-12-03,38
2012-12-04,39
2012-12-05,40
2012-12-06,41
2012-12-07,42
2012-12-08,43
2012-12-09,44
2012-12-10,45
2012-12-11,46
2012-12-12,47
2012-12-13,48
2012-12-14,49
2012-12-15,50
2012-12-16,51
2012-12-17,53
2012-12-18,54
2012-12-19,55
2012-12-20,56
2012-12-21,57
2012-12-22,58
2012-12-23,59
2012-12-24,60
2012-12-25,61
2012-12-26,62
2012-12-27,63
2012-12-28,64
2012-12-29,65
2012-12-30,66
2012-12-31,67
2013-01-01,69
2013-01-02,68
2013-01-03,67
2013-01-04,67
2013-01-05,66
2013-01-06,66
2013-01-07,65
2013-01-08,65
2013-01-09,64
2013-01-10,64
2013-01-11,63
2013-01-12,62
2013-01-13,62
2013-01-14,61
2013-01-15,61
2013-01-16,60
2013-01-17,60
2013-01-18,59
2013-01-19,59
2013-01-20,58
2013-01-21,58
2013-01-22,57
2013-01-23,56
2013-01-24,56
2013-01-25,55
2013-01-26,55
2013-01-27,54
2013-01-28,54
2013-01-29,53
2013-01-30,53
2013-01-31,52
2013-02-01,52
2013-02-02,52
2013-02-03,52
2013-02-04,52
2013-02-05,52
2013-02-06,52
2013-02-07,52
2013-02-08,52
2013-02-09,52
2013-02-10,52
2013-02-11,52
2013-02-12,52
2013-02-13,52
2013-02-14,52
2013-02-15,53
2013-02-16,53
2013-02-17,53
2013-02-18,53
2013-02-19,53
2013-02-20,53
2013-02-21,53
2013-02-22,53
2013-02-23,53
2013-02-24,53
2013-02-25,53
2013-02-26,53
2013-02-27,53
2013-02-28,53
2013-03-01,54
2013-03-02,54
2013-03-03,54
2013-03-04,55
2013-03-05,55
2013-03-06,55
2013-03-07,56
2013-03-08,56
2013-03-09,57
2013-03-10,57
2013-03-11,57
2013-03-12,58
2013-03-13,58
2013-03-14,59
2013-03-15,59
2013-03-16,59
2013-03-17,60
2013-03-18,60
2013-03-19,60
2013-03-20,61
2013-03-21,61
2013-03-22,62
2013-03-23,62
2013-03-24,62
2013-03-25,63
2013-03-26,63
2013-03-27,64
2013-03-28,64
2013-03-29,64
2013-03-30,65
2013-03-31,65
2013-04-01,66
2013-04-02,66
2013-04-03,66
2013-04-04,67
2013-04-05,67
2013-04-06,68
2013-04-07,68
2013-04-08,69
2013-04-09,69
2013-04-10,69
2013-04-11,70
2013-04-12,70
2013-04-13,71
2013-04-14,71
2013-04-15,72
2013-04-16,72
2013-04-17,72
2013-04-18,73
2013-04-19,73
2013-04-20,74
2013-04-21,74
2013-04-22,75
2013-04-23,75
2013-04-24,75
2013-04-25,76
2013-04-26,76
2013-04-27,77
2013-04-28,77
2013-04-29,78
2013-04-30,78
2013-05-01,79
2013-05-02,78
2013-05-03,78
2013-05-04,78
2013-05-05,78
2013-05-06,78
2013-05-07,78
2013-05-08,77
2013-05-09,77
2013-05-10,77
2013-05-11,77
2013-05-12,77
2013-05-13,77
2013-05-14,76
2013-05-15,76
2013-05-16,76
2013-05-17,76
2013-05-18,76
2013-05-19,76
2013-05-20,75
2013-05-21,75
2013-05-22,75
2013-05-23,75
2013-05-24,75
2013-05-25,75
2013-05-26,74
2013-05-27,74
2013-05-28,74
2013-05-29,74
2013-05-30,74
2013-05-31,74
2013-06-01,74
2013-06-02,73
2013-06-03,73
2013-06-04,73
2013-06-05,73
2013-06-06,73
2013-06-07,73
2013-06-08,73
2013-06-09,73
2013-06-10,73
2013-06-11,73
2013-06-12,73
2013-06-13,73
2013-06-14,73
2013-06-15,73
2013-06-16,73
2013-06-17,73
2013-06-18,73
2013-06-19,73
2013-06-20,73
2013-06-21,73
2013-06-22,73
2013-06-23,73
2013-06-24,73
2013-06-25,73
2013-06-26,73
2013-06-27,73
2013-06-28,73
2013-06-29,73
2013-06-30,73
2013-07-01,73
2013-07-02,72
2013-07-03,71
2013-07-04,70
2013-07-05,69
2013-07-06,69
2013-07-07,68
2013-07-08,67
2013-07-09,66
2013-07-10,66
2013-07-11,65
2013-07-12,64
2013-07-13,63
2013-07-14,62
2013-07-15,62
2013-07-16,61
2013-07-17,60
2013-07-18,59
2013-07-19,59
2013-07-20,58
2013-07-21,57
2013-07-22,56
2013-07-23,55
2013-07-24,55
2013-07-25,54
2013-07-26,53
2013-07-27,52
2013-07-28,52
2013-07-29,51
2013-07-30,50
2013-07-31,49
2013-08-01,49
2013-08-02,48
2013-08-03,48
2013-08-04,48
2013-08-05,48
2013-08-06,48
2013-08-07,48
2013-08-08,48
2013-08-09,48
2013-08-10,48
2013-08-11,48
2013-08-12,47
2013-08-13,47
2013-08-14,47
2013-08-15,47
2013-08-16,47
2013-08-17,47
2013-08-18,47
2013-08-19,47
2013-08-20,47
2013-08-21,47
2013-08-22,46
2013-08-23,46
2013-08-24,46
2013-08-25,46
2013-08-26,46
2013-08-27,46
2013-08-28,46
2013-08-29,46
2013-08-30,46
2013-08-31,46
2013-09-01,46
2013-09-02,46
2013-09-03,46
2013-09-04,46
2013-09-05,47
2013-09-06,47
2013-09-07,47
2013-09-08,47
2013-09-09,48
2013-09-10,48
2013-09-11,48
2013-09-12,48
2013-09-13,49
2013-09-14,49
2013-09-15,49
2013-09-16,50
2013-09-17,50
2013-09-18,50
2013-09-19,50
2013-09-20,51
2013-09-21,51
2013-09-22,51
2013-09-23,51
2013-09-24,52
2013-09-25,52
2013-09-26,52
2013-09-27,52
2013-09-28,53
2013-09-29,53
2013-09-30,53
2013-10-01,54
2013-10-02,54
2013-10-03,54
2013-10-04,54
2013-10-05,55
2013-10-06,55
2013-10-07,55
2013-10-08,56
2013-10-09,56
2013-10-10,56
2013-10-11,56
2013-10-12,57
2013-10-13,57
2013-10-14,57
2013-10-15,58
2013-10-16,58
2013-10-17,58
2013-10-18,58
2013-10-19,59
2013-10-20,59
2013-10-21,59
2013-10-22,60
2013-10-23,60
2013-10-24,60
2013-10-25,60
2013-10-26,61
2013-10-27,61
2013-10-28,61
2013-10-29,62
2013-10-30,62
2013-10-31,62
2013-11-01,63
