Date,Five Below
2011-10-08,21
2011-10-09,21
2011-10-10,21
2011-10-11,21
2011-10-12,21
2011-10-13,21
2011-10-14,21
2011-10-15,22
2011-10-16,21
2011-10-17,21
2011-10-18,20
2011-10-19,20
2011-10-20,19
2011-10-21,19
2011-10-22,19
2011-10-23,19
2011-10-24,19
2011-10-25,20
2011-10-26,20
2011-10-27,21
2011-10-28,21
2011-10-29,22
2011-10-30,21
2011-10-31,21
2011-11-01,20
2011-11-02,20
2011-11-03,19
2011-11-04,19
2011-11-05,19
2011-11-06,19
2011-11-07,20
2011-11-08,21
2011-11-09,22
2011-11-10,22
2011-11-11,23
2011-11-12,24
2011-11-13,23
2011-11-14,22
2011-11-15,22
2011-11-16,21
2011-11-17,21
2011-11-18,20
2011-11-19,20
2011-11-20,19
2011-11-21,19
2011-11-22,19
2011-11-23,19
2011-11-24,19
2011-11-25,19
2011-11-26,19
2011-11-27,20
2011-11-28,22
2011-11-29,24
2011-11-30,26
2011-12-01,28
2011-12-02,30
2011-12-03,32
2011-12-04,31
2011-12-05,30
2011-12-06,29
2011-12-07,28
2011-12-08,27
2011-12-09,26
2011-12-10,25
2011-12-11,27
2011-12-12,29
2011-12-13,31
2011-12-14,33
2011-12-15,35
2011-12-16,37
2011-12-17,39
2011-12-18,38
2011-12-19,38
2011-12-20,38
2011-12-21,37
2011-12-22,37
2011-12-23,37
2011-12-24,37
2011-12-25,36
2012-01-01,31
2012-01-02,30
2012-01-03,28
2012-01-04,27
2012-01-05,25
2012-01-06,23
2012-01-07,22
2012-01-08,22
2012-01-09,21
2012-01-10,21
2012-01-11,21
2012-01-12,21
2012-01-13,21
2012-01-14,21
2012-01-15,21
2012-01-16,22
2012-01-17,22
2012-01-18,23
2012-01-19,23
2012-01-20,24
2012-01-21,25
2012-01-22,23
2012-01-23,22
2012-01-24,21
2012-01-25,20
2012-01-26,19
2012-01-27,18
2012-01-28,17
2012-01-29,17
2012-01-30,17
2012-01-31,18
2012-02-01,18
2012-02-02,19
2012-02-03,19
2012-02-04,20
2012-02-05,20
2012-02-06,20
2012-02-07,21
2012-02-08,21
2012-02-09,22
2012-02-10,22
2012-02-11,23
2012-02-12,23
2012-02-13,23
2012-02-14,24
2012-02-15,24
2012-02-16,25
2012-02-17,25
2012-02-18,26
2012-02-19,26
2012-02-20,27
2012-02-21,27
2012-02-22,28
2012-02-23,29
2012-02-24,29
2012-02-25,30
2012-02-26,28
2012-02-27,27
2012-02-28,25
2012-02-29,24
2012-03-01,22
2012-03-02,21
2012-03-03,20
2012-03-04,20
2012-03-05,21
2012-03-06,21
2012-03-07,22
2012-03-08,23
2012-03-09,23
2012-03-10,24
2012-03-11,23
2012-03-12,22
2012-03-13,21
2012-03-14,20
2012-03-15,19
2012-03-16,18
2012-03-17,17
2012-03-18,20
2012-03-19,23
2012-03-20,26
2012-03-21,29
2012-03-22,32
2012-03-23,35
2012-03-24,38
2012-03-25,37
2012-04-01,32
2012-04-02,31
2012-04-03,30
2012-04-04,29
2012-04-05,28
2012-04-06,27
2012-04-07,26
2012-04-08,26
2012-04-09,26
2012-04-10,26
2012-04-11,26
2012-04-12,26
2012-04-13,26
2012-04-14,26
2012-04-15,24
2012-04-16,23
2012-04-17,22
2012-04-18,20
2012-04-19,19
2012-04-20,18
2012-04-21,17
2012-04-22,18
2012-04-23,19
2012-04-24,20
2012-04-25,21
2012-04-26,22
2012-04-27,23
2012-04-28,25
2012-04-29,23
2012-04-30,22
2012-05-01,21
2012-05-02,19
2012-05-03,18
2012-05-04,17
2012-05-05,16
2012-05-06,17
2012-05-07,18
2012-05-08,19
2012-05-09,20
2012-05-10,21
2012-05-11,22
2012-05-12,24
2012-05-13,25
2012-05-14,26
2012-05-15,27
2012-05-16,28
2012-05-17,30
2012-05-18,31
2012-05-19,32
2012-05-20,31
2012-05-21,29
2012-05-22,28
2012-05-23,26
2012-05-24,25
2012-05-25,24
2012-05-26,23
2012-05-27,22
2012-05-28,22
2012-05-29,21
2012-05-30,21
2012-05-31,20
2012-06-01,20
2012-06-02,20
2012-06-03,20
2012-06-04,21
2012-06-05,22
2012-06-06,23
2012-06-07,24
2012-06-08,25
2012-06-09,26
2012-06-10,25
2012-06-11,25
2012-06-12,24
2012-06-13,24
2012-06-14,23
2012-06-15,23
2012-06-16,23
2012-06-17,22
2012-06-18,22
2012-06-19,22
2012-06-20,22
2012-06-21,21
2012-06-22,21
2012-06-23,21
2012-06-24,21
2012-07-01,25
2012-07-02,26
2012-07-03,27
2012-07-04,28
2012-07-05,29
2012-07-06,30
2012-07-07,31
2012-07-08,31
2012-07-09,31
2012-07-10,32
2012-07-11,32
2012-07-12,33
2012-07-13,33
2012-07-14,34
2012-07-15,43
2012-07-16,53
2012-07-17,63
2012-07-18,73
2012-07-19,82
2012-07-20,92
2012-07-21,102
2012-07-22,95
2012-07-23,85
2012-07-24,77
2012-07-25,70
2012-07-26,62
2012-07-27,55
2012-07-28,48
2012-07-29,47
2012-07-30,46
2012-07-31,45
2012-08-01,44
2012-08-02,43
2012-08-03,43
2012-08-04,42
2012-08-05,43
2012-08-06,44
2012-08-07,45
2012-08-08,46
2012-08-09,47
2012-08-10,48
2012-08-11,50
2012-08-12,47
2012-08-13,44
2012-08-14,41
2012-08-15,38
2012-08-16,35
2012-08-17,33
2012-08-18,30
2012-08-19,30
2012-08-20,30
2012-08-21,30
2012-08-22,30
2012-08-23,30
2012-08-24,30
2012-08-25,30
2012-08-26,30
2012-08-27,30
2012-08-28,31
2012-08-29,31
2012-08-30,31
2012-08-31,31
2012-09-01,32
2012-09-02,31
2012-09-03,30
2012-09-04,30
2012-09-05,29
2012-09-06,29
2012-09-07,28
2012-09-08,28
2012-09-09,29
2012-09-10,30
2012-09-11,31
2012-09-12,32
2012-09-13,33
2012-09-14,34
2012-09-15,35
2012-09-16,33
2012-09-17,30
2012-09-18,27
2012-09-19,25
2012-09-20,22
2012-09-21,20
2012-09-22,18
2012-09-23,19
2012-09-24,21
2012-09-25,23
2012-09-26,25
2012-09-27,26
2012-09-28,28
2012-09-29,30
2012-09-30,29
2012-10-07,23
2012-10-08,24
2012-10-09,25
2012-10-10,26
2012-10-11,27
2012-10-12,28
2012-10-13,30
2012-10-14,29
2012-10-15,28
2012-10-16,27
2012-10-17,26
2012-10-18,25
2012-10-19,24
2012-10-20,24
2012-10-21,25
2012-10-22,27
2012-10-23,28
2012-10-24,30
2012-10-25,31
2012-10-26,33
2012-10-27,34
2012-10-28,31
2012-10-29,28
2012-10-30,25
2012-10-31,22
2012-11-01,19
2012-11-02,16
2012-11-03,14
2012-11-04,16
2012-11-05,19
2012-11-06,21
2012-11-07,24
2012-11-08,27
2012-11-09,29
2012-11-10,32
2012-11-11,30
2012-11-12,28
2012-11-13,26
2012-11-14,24
2012-11-15,22
2012-11-16,20
2012-11-17,19
2012-11-18,21
2012-11-19,24
2012-11-20,26
2012-11-21,29
2012-11-22,31
2012-11-23,34
2012-11-24,37
2012-11-25,37
2012-11-26,38
2012-11-27,38
2012-11-28,38
2012-11-29,39
2012-11-30,39
2012-12-01,40
2012-12-02,40
2012-12-03,39
2012-12-04,39
2012-12-05,39
2012-12-06,39
2012-12-07,39
2012-12-08,39
2012-12-09,42
2012-12-10,45
2012-12-11,49
2012-12-12,52
2012-12-13,55
2012-12-14,59
2012-12-15,62
2012-12-16,62
2012-12-17,62
2012-12-18,62
2012-12-19,62
2012-12-20,62
2012-12-21,62
2012-12-22,62
2012-12-23,57
2012-12-24,52
2012-12-25,47
2012-12-26,43
2012-12-27,38
2012-12-28,33
2012-12-29,29
2012-12-30,30
2013-01-06,34
2013-01-07,33
2013-01-08,32
2013-01-09,31
2013-01-10,30
2013-01-11,29
2013-01-12,28
2013-01-13,28
2013-01-14,29
2013-01-15,30
2013-01-16,31
2013-01-17,32
2013-01-18,33
