Date,MAP Pharmaceuticals
2007-05-30,92
2007-05-31,92
2007-06-01,93
2007-06-02,93
2007-06-03,93
2007-06-04,93
2007-06-05,93
2007-06-06,93
2007-06-07,93
2007-06-08,93
2007-06-09,93
2007-06-10,93
2007-06-11,93
2007-06-12,93
2007-06-13,93
2007-06-14,93
2007-06-15,93
2007-06-16,94
2007-06-17,94
2007-06-18,94
2007-06-19,94
2007-06-20,94
2007-06-21,94
2007-06-22,94
2007-06-23,94
2007-06-24,94
2007-06-25,94
2007-06-26,94
2007-06-27,94
2007-06-28,94
2007-06-29,94
2007-06-30,94
2007-07-01,95
2007-07-02,95
2007-07-03,95
2007-07-04,95
2007-07-05,95
2007-07-06,95
2007-07-07,95
2007-07-08,95
2007-07-09,95
2007-07-10,95
2007-07-11,95
2007-07-12,96
2007-07-13,96
2007-07-14,96
2007-07-15,96
2007-07-16,96
2007-07-17,96
2007-07-18,96
2007-07-19,96
2007-07-20,96
2007-07-21,96
2007-07-22,97
2007-07-23,97
2007-07-24,97
2007-07-25,97
2007-07-26,97
2007-07-27,97
2007-07-28,97
2007-07-29,97
2007-07-30,97
2007-07-31,97
2007-08-01,98
2007-08-02,98
2007-08-03,98
2007-08-04,98
2007-08-05,98
2007-08-06,98
2007-08-07,98
2007-08-08,98
2007-08-09,98
2007-08-10,98
2007-08-11,98
2007-08-12,98
2007-08-13,98
2007-08-14,98
2007-08-15,98
2007-08-16,98
2007-08-17,99
2007-08-18,99
2007-08-19,99
2007-08-20,99
2007-08-21,99
2007-08-22,99
2007-08-23,99
2007-08-24,99
2007-08-25,99
2007-08-26,99
2007-08-27,99
2007-08-28,99
2007-08-29,99
2007-08-30,99
2007-08-31,99
2007-09-01,100
2007-09-02,99
2007-09-03,99
2007-09-04,99
2007-09-05,98
2007-09-06,98
2007-09-07,98
2007-09-08,97
2007-09-09,97
2007-09-10,97
2007-09-11,96
2007-09-12,96
2007-09-13,96
2007-09-14,95
2007-09-15,95
2007-09-16,95
2007-09-17,94
2007-09-18,94
2007-09-19,94
2007-09-20,93
2007-09-21,93
2007-09-22,93
2007-09-23,92
2007-09-24,92
2007-09-25,92
2007-09-26,91
2007-09-27,91
2007-09-28,91
2007-09-29,90
2007-09-30,90
2007-10-01,90
2007-10-02,89
2007-10-03,88
2007-10-04,87
2007-10-05,86
2007-10-06,85
2007-10-07,84
2007-10-08,84
2007-10-09,83
2007-10-10,82
2007-10-11,81
2007-10-12,80
2007-10-13,79
2007-10-14,79
2007-10-15,78
2007-10-16,77
2007-10-17,76
2007-10-18,75
2007-10-19,74
2007-10-20,74
2007-10-21,73
2007-10-22,72
2007-10-23,71
2007-10-24,70
2007-10-25,69
2007-10-26,69
2007-10-27,68
2007-10-28,67
2007-10-29,66
2007-10-30,65
2007-10-31,64
2007-11-01,64
2007-11-02,64
2007-11-03,64
2007-11-04,64
2007-11-05,64
2007-11-06,64
2007-11-07,65
2007-11-08,65
2007-11-09,65
2007-11-10,65
2007-11-11,65
2007-11-12,65
2007-11-13,66
2007-11-14,66
2007-11-15,66
2007-11-16,66
2007-11-17,66
2007-11-18,66
2007-11-19,67
2007-11-20,67
2007-11-21,67
2007-11-22,67
2007-11-23,67
2007-11-24,67
2007-11-25,68
2007-11-26,68
2007-11-27,68
2007-11-28,68
2007-11-29,68
2007-11-30,68
2007-12-01,69
2007-12-02,69
2007-12-03,69
2007-12-04,69
2007-12-05,69
2007-12-06,69
2007-12-07,69
2007-12-08,70
2007-12-09,70
2007-12-10,70
2007-12-11,70
2007-12-12,70
2007-12-13,70
2007-12-14,71
2007-12-15,71
2007-12-16,71
2007-12-17,71
2007-12-18,71
2007-12-19,71
2007-12-20,72
2007-12-21,72
2007-12-22,72
2007-12-23,72
2007-12-24,72
2007-12-25,72
2007-12-26,73
2007-12-27,73
2007-12-28,73
2007-12-29,73
2007-12-30,73
2007-12-31,73
2008-01-01,74
2008-01-02,73
2008-01-03,72
2008-01-04,71
2008-01-05,70
2008-01-06,69
2008-01-07,68
2008-01-08,68
2008-01-09,67
2008-01-10,66
2008-01-11,65
2008-01-12,64
2008-01-13,63
2008-01-14,63
2008-01-15,62
2008-01-16,61
2008-01-17,60
2008-01-18,59
2008-01-19,58
2008-01-20,58
2008-01-21,57
2008-01-22,56
2008-01-23,55
2008-01-24,54
2008-01-25,53
2008-01-26,53
2008-01-27,52
2008-01-28,51
2008-01-29,50
2008-01-30,49
2008-01-31,48
2008-02-01,48
2008-02-02,48
2008-02-03,48
2008-02-04,48
2008-02-05,49
2008-02-06,49
2008-02-07,49
2008-02-08,50
2008-02-09,50
2008-02-10,50
2008-02-11,51
2008-02-12,51
2008-02-13,51
2008-02-14,52
2008-02-15,52
2008-02-16,52
2008-02-17,52
2008-02-18,53
2008-02-19,53
2008-02-20,53
2008-02-21,54
2008-02-22,54
2008-02-23,54
2008-02-24,55
2008-02-25,55
2008-02-26,55
2008-02-27,56
2008-02-28,56
2008-02-29,56
2008-03-01,57
2008-03-02,57
2008-03-03,57
2008-03-04,57
2008-03-05,58
2008-03-06,58
2008-03-07,58
2008-03-08,59
2008-03-09,59
2008-03-10,59
2008-03-11,60
2008-03-12,60
2008-03-13,60
2008-03-14,61
2008-03-15,61
2008-03-16,61
2008-03-17,62
2008-03-18,62
2008-03-19,62
2008-03-20,63
2008-03-21,63
2008-03-22,63
2008-03-23,64
2008-03-24,64
2008-03-25,64
2008-03-26,65
2008-03-27,65
2008-03-28,65
2008-03-29,66
2008-03-30,66
2008-03-31,66
2008-04-01,67
2008-04-02,67
2008-04-03,67
2008-04-04,68
2008-04-05,68
2008-04-06,68
2008-04-07,69
2008-04-08,69
2008-04-09,69
2008-04-10,70
2008-04-11,70
2008-04-12,70
2008-04-13,71
2008-04-14,71
2008-04-15,71
2008-04-16,72
2008-04-17,72
2008-04-18,72
2008-04-19,73
2008-04-20,73
2008-04-21,73
2008-04-22,74
2008-04-23,74
2008-04-24,74
2008-04-25,75
2008-04-26,75
2008-04-27,75
2008-04-28,76
2008-04-29,76
2008-04-30,76
2008-05-01,77
2008-05-02,76
2008-05-03,76
2008-05-04,75
2008-05-05,75
2008-05-06,74
2008-05-07,74
2008-05-08,73
2008-05-09,73
2008-05-10,72
2008-05-11,72
2008-05-12,71
2008-05-13,71
2008-05-14,70
2008-05-15,70
2008-05-16,69
2008-05-17,69
2008-05-18,68
2008-05-19,68
2008-05-20,67
2008-05-21,67
2008-05-22,66
2008-05-23,66
2008-05-24,65
2008-05-25,65
2008-05-26,64
2008-05-27,64
2008-05-28,63
2008-05-29,63
2008-05-30,62
2008-05-31,62
2008-06-01,62
2008-06-02,61
2008-06-03,61
2008-06-04,61
2008-06-05,61
2008-06-06,61
2008-06-07,60
2008-06-08,60
2008-06-09,60
2008-06-10,60
2008-06-11,60
2008-06-12,59
2008-06-13,59
2008-06-14,59
2008-06-15,59
2008-06-16,59
2008-06-17,58
2008-06-18,58
2008-06-19,58
2008-06-20,58
2008-06-21,58
2008-06-22,57
2008-06-23,57
2008-06-24,57
2008-06-25,57
2008-06-26,57
2008-06-27,56
2008-06-28,56
2008-06-29,56
2008-06-30,56
2008-07-01,56
2008-07-02,57
2008-07-03,58
2008-07-04,59
2008-07-05,60
2008-07-06,61
2008-07-07,62
2008-07-08,63
2008-07-09,64
2008-07-10,65
2008-07-11,66
2008-07-12,68
2008-07-13,69
2008-07-14,70
2008-07-15,71
2008-07-16,72
2008-07-17,73
2008-07-18,74
2008-07-19,75
2008-07-20,76
2008-07-21,77
2008-07-22,79
2008-07-23,80
2008-07-24,81
2008-07-25,82
2008-07-26,83
2008-07-27,84
2008-07-28,85
2008-07-29,86
2008-07-30,87
2008-07-31,88
2008-08-01,90
2008-08-02,89
2008-08-03,88
2008-08-04,87
2008-08-05,86
2008-08-06,85
2008-08-07,84
2008-08-08,83
2008-08-09,83
2008-08-10,82
2008-08-11,81
2008-08-12,80
2008-08-13,79
2008-08-14,78
2008-08-15,77
2008-08-16,76
2008-08-17,76
2008-08-18,75
2008-08-19,74
2008-08-20,73
2008-08-21,72
2008-08-22,71
2008-08-23,70
2008-08-24,69
2008-08-25,69
2008-08-26,68
2008-08-27,67
2008-08-28,66
2008-08-29,65
2008-08-30,64
2008-08-31,63
2008-09-01,63
2008-09-02,62
2008-09-03,61
2008-09-04,60
2008-09-05,59
2008-09-06,58
2008-09-07,58
2008-09-08,57
2008-09-09,56
2008-09-10,55
2008-09-11,54
2008-09-12,53
2008-09-13,53
2008-09-14,52
2008-09-15,51
2008-09-16,50
2008-09-17,49
2008-09-18,48
2008-09-19,48
2008-09-20,47
2008-09-21,46
2008-09-22,45
2008-09-23,44
2008-09-24,43
2008-09-25,43
2008-09-26,42
2008-09-27,41
2008-09-28,40
2008-09-29,39
2008-09-30,38
2008-10-01,38
2008-10-02,38
2008-10-03,38
2008-10-04,38
2008-10-05,38
2008-10-06,38
2008-10-07,38
2008-10-08,38
2008-10-09,38
2008-10-10,38
2008-10-11,38
2008-10-12,38
2008-10-13,38
2008-10-14,38
2008-10-15,38
2008-10-16,38
2008-10-17,38
2008-10-18,38
2008-10-19,38
2008-10-20,38
2008-10-21,38
2008-10-22,38
2008-10-23,38
2008-10-24,38
2008-10-25,38
2008-10-26,38
2008-10-27,38
2008-10-28,38
2008-10-29,38
2008-10-30,38
2008-10-31,38
2008-11-01,38
2008-11-02,39
2008-11-03,40
2008-11-04,41
2008-11-05,42
2008-11-06,43
2008-11-07,44
2008-11-08,45
2008-11-09,46
2008-11-10,47
2008-11-11,48
2008-11-12,49
2008-11-13,50
2008-11-14,51
2008-11-15,52
2008-11-16,53
2008-11-17,54
2008-11-18,55
2008-11-19,56
2008-11-20,57
2008-11-21,58
2008-11-22,59
2008-11-23,60
2008-11-24,61
2008-11-25,62
2008-11-26,63
2008-11-27,64
2008-11-28,65
2008-11-29,66
2008-11-30,67
