Date,Skullcandy
2010-07-10,41
2010-07-11,39
2010-07-12,38
2010-07-13,36
2010-07-14,35
2010-07-15,33
2010-07-16,32
2010-07-17,31
2010-07-18,31
2010-07-19,31
2010-07-20,31
2010-07-21,31
2010-07-22,31
2010-07-23,31
2010-07-24,31
2010-07-25,31
2010-07-26,31
2010-07-27,31
2010-07-28,31
2010-07-29,31
2010-07-30,31
2010-07-31,31
2010-08-01,32
2010-08-02,33
2010-08-03,35
2010-08-04,36
2010-08-05,38
2010-08-06,39
2010-08-07,41
2010-08-08,39
2010-08-09,38
2010-08-10,36
2010-08-11,35
2010-08-12,33
2010-08-13,32
2010-08-14,31
2010-08-15,33
2010-08-16,35
2010-08-17,37
2010-08-18,40
2010-08-19,42
2010-08-20,44
2010-08-21,47
2010-08-22,45
2010-08-23,43
2010-08-24,42
2010-08-25,40
2010-08-26,39
2010-08-27,37
2010-08-28,36
2010-08-29,35
2010-08-30,35
2010-08-31,35
2010-09-01,34
2010-09-02,34
2010-09-03,34
2010-09-04,34
2010-09-05,34
2010-09-06,34
2010-09-07,34
2010-09-08,34
2010-09-09,34
2010-09-10,34
2010-09-11,34
2010-09-12,34
2010-09-13,34
2010-09-14,34
2010-09-15,34
2010-09-16,34
2010-09-17,34
2010-09-18,34
2010-09-19,33
2010-09-20,33
2010-09-21,32
2010-09-22,32
2010-09-23,31
2010-09-24,31
2010-09-25,31
2010-09-26,30
2010-10-03,32
2010-10-04,42
2010-10-05,36
2010-10-06,38
2010-10-07,40
2010-10-08,42
2010-10-09,44
2010-10-10,43
2010-10-11,43
2010-10-12,43
2010-10-13,42
2010-10-14,42
2010-10-15,42
2010-10-16,42
2010-10-17,40
2010-10-18,38
2010-10-19,36
2010-10-20,35
2010-10-21,33
2010-10-22,31
2010-10-23,30
2010-10-24,32
2010-10-25,35
2010-10-26,38
2010-10-27,40
2010-10-28,43
2010-10-29,46
2010-10-30,49
2010-10-31,48
2010-11-01,47
2010-11-02,47
2010-11-03,46
2010-11-04,45
2010-11-05,44
2010-11-06,43
2010-11-07,42
2010-11-08,39
2010-11-09,38
2010-11-10,36
2010-11-11,35
2010-11-12,33
2010-11-13,32
2010-11-14,37
2010-11-15,43
2010-11-16,49
2010-11-17,54
2010-11-18,60
2010-11-19,65
2010-11-20,71
2010-11-21,68
2010-11-22,63
2010-11-23,60
2010-11-24,57
2010-11-25,54
2010-11-26,51
2010-11-27,48
2010-11-28,48
2010-11-29,48
2010-11-30,48
2010-12-01,48
2010-12-02,48
2010-12-03,48
2010-12-04,49
2010-12-05,56
2010-12-06,64
2010-12-07,71
2010-12-08,78
2010-12-09,86
2010-12-10,93
2010-12-11,100
2010-12-12,94
2010-12-13,86
2010-12-14,79
2010-12-15,73
2010-12-16,66
2010-12-17,59
2010-12-18,53
2010-12-19,51
