Date,Cinemark
2007-09-23,32
2007-09-24,30
2007-09-25,28
2007-09-26,27
2007-09-27,25
2007-09-28,23
2007-09-29,22
2007-09-30,23
2007-10-01,24
2007-10-02,26
2007-10-03,27
2007-10-04,29
2007-10-05,30
2007-10-06,32
2007-10-07,33
2007-10-08,35
2007-10-09,36
2007-10-10,38
2007-10-11,39
2007-10-12,41
2007-10-13,43
2007-10-14,45
2007-10-15,47
2007-10-16,49
2007-10-17,51
2007-10-18,53
2007-10-19,55
2007-10-20,57
2007-10-21,53
2007-10-22,49
2007-10-23,46
2007-10-24,42
2007-10-25,39
2007-10-26,35
2007-10-27,32
2007-10-28,34
2007-11-04,47
2007-11-05,49
2007-11-06,51
2007-11-07,52
2007-11-08,54
2007-11-09,56
2007-11-10,57
2007-11-11,55
2007-11-12,51
2007-11-13,49
2007-11-14,46
2007-11-15,44
2007-11-16,41
2007-11-17,39
2007-11-18,41
2007-11-19,44
2007-11-20,46
2007-11-21,49
2007-11-22,51
2007-11-23,54
2007-11-24,56
2007-11-25,53
2007-11-26,49
2007-11-27,46
2007-11-28,43
2007-11-29,40
2007-11-30,37
2007-12-01,34
2007-12-02,35
2007-12-03,36
2007-12-04,38
2007-12-05,39
2007-12-06,40
2007-12-07,41
2007-12-08,42
2007-12-09,41
2007-12-10,38
2007-12-11,36
2007-12-12,34
2007-12-13,32
2007-12-14,30
2007-12-15,28
2007-12-16,29
2007-12-17,30
2007-12-18,32
2007-12-19,33
2007-12-20,35
2007-12-21,36
2007-12-22,38
2007-12-23,40
2007-12-24,42
2007-12-25,44
2007-12-26,46
2007-12-27,48
2007-12-28,50
2007-12-29,52
2007-12-30,50
2007-12-31,46
2008-01-01,44
2008-01-02,41
2008-01-03,39
2008-01-04,36
2008-01-05,34
2008-01-06,38
2008-01-07,43
2008-01-08,48
2008-01-09,53
2008-01-10,58
2008-01-11,63
2008-01-12,68
2008-01-13,68
2008-01-14,69
2008-01-15,70
2008-01-16,70
2008-01-17,71
2008-01-18,72
2008-01-19,73
2008-01-20,72
2008-01-21,71
2008-01-22,70
2008-01-23,69
2008-01-24,68
2008-01-25,67
2008-01-26,66
2008-01-27,63
2008-02-03,51
2008-02-04,53
2008-02-05,54
2008-02-06,56
2008-02-07,58
2008-02-08,59
2008-02-09,61
2008-02-10,58
2008-02-11,56
2008-02-12,53
2008-02-13,51
2008-02-14,48
2008-02-15,46
2008-02-16,44
2008-02-17,47
2008-02-18,50
2008-02-19,54
2008-02-20,57
2008-02-21,60
2008-02-22,64
2008-02-23,67
2008-02-24,65
2008-02-25,63
2008-02-26,60
2008-02-27,58
2008-02-28,56
2008-02-29,54
2008-03-01,51
2008-03-02,49
2008-03-03,45
2008-03-04,42
2008-03-05,40
2008-03-06,37
2008-03-07,34
2008-03-08,32
2008-03-09,31
2008-03-10,31
2008-03-11,31
2008-03-12,31
2008-03-13,31
2008-03-14,31
2008-03-15,31
2008-03-16,34
2008-03-17,37
2008-03-18,40
2008-03-19,43
2008-03-20,46
2008-03-21,49
2008-03-22,52
2008-03-23,49
2008-03-24,46
2008-03-25,44
2008-03-26,41
2008-03-27,39
2008-03-28,36
2008-03-29,34
2008-03-30,35
2008-03-31,36
2008-04-01,38
2008-04-02,39
2008-04-03,40
2008-04-04,41
2008-04-05,43
2008-04-06,43
2008-04-07,43
2008-04-08,43
2008-04-09,43
2008-04-10,43
2008-04-11,43
2008-04-12,43
2008-04-13,43
2008-04-14,43
2008-04-15,43
2008-04-16,43
2008-04-17,43
2008-04-18,44
2008-04-19,44
2008-04-20,42
2008-04-21,40
2008-04-22,38
2008-04-23,37
2008-04-24,35
2008-04-25,33
2008-04-26,32
2008-04-27,34
2008-05-04,43
2008-05-05,41
2008-05-06,38
2008-05-07,36
2008-05-08,33
2008-05-09,31
2008-05-10,29
2008-05-11,33
2008-05-12,37
2008-05-13,41
2008-05-14,45
2008-05-15,50
2008-05-16,54
2008-05-17,58
2008-05-18,56
2008-05-19,54
2008-05-20,52
2008-05-21,50
2008-05-22,48
2008-05-23,46
2008-05-24,45
2008-05-25,47
2008-05-26,49
2008-05-27,52
2008-05-28,54
2008-05-29,57
2008-05-30,59
2008-05-31,62
2008-06-01,61
2008-06-02,60
2008-06-03,59
2008-06-04,59
2008-06-05,58
2008-06-06,57
2008-06-07,57
2008-06-08,58
2008-06-09,60
2008-06-10,61
2008-06-11,62
2008-06-12,64
2008-06-13,65
2008-06-14,66
2008-06-15,64
2008-06-16,61
2008-06-17,58
2008-06-18,56
2008-06-19,53
2008-06-20,51
2008-06-21,49
2008-06-22,50
2008-06-23,52
2008-06-24,53
2008-06-25,55
2008-06-26,56
2008-06-27,58
2008-06-28,60
2008-06-29,61
2008-06-30,63
2008-07-01,64
2008-07-02,65
2008-07-03,67
2008-07-04,68
2008-07-05,69
2008-07-06,66
2008-07-07,62
2008-07-08,58
2008-07-09,55
2008-07-10,51
2008-07-11,48
2008-07-12,45
2008-07-13,50
2008-07-14,56
2008-07-15,62
2008-07-16,67
2008-07-17,73
2008-07-18,78
2008-07-19,84
2008-07-20,81
2008-07-21,78
2008-07-22,75
2008-07-23,72
2008-07-24,69
2008-07-25,66
2008-07-26,63
2008-07-27,62
