Date,Energy Recovery
2007-10-01,0
2007-10-02,1
2007-10-03,2
2007-10-04,3
2007-10-05,4
2007-10-06,5
2007-10-07,6
2007-10-08,7
2007-10-09,8
2007-10-10,9
2007-10-11,10
2007-10-12,11
2007-10-13,12
2007-10-14,13
2007-10-15,14
2007-10-16,15
2007-10-17,17
2007-10-18,18
2007-10-19,19
2007-10-20,20
2007-10-21,21
2007-10-22,22
2007-10-23,23
2007-10-24,24
2007-10-25,25
2007-10-26,26
2007-10-27,27
2007-10-28,28
2007-10-29,29
2007-10-30,30
2007-10-31,31
2007-11-01,33
2007-11-02,33
2007-11-03,33
2007-11-04,33
2007-11-05,33
2007-11-06,34
2007-11-07,34
2007-11-08,34
2007-11-09,34
2007-11-10,34
2007-11-11,35
2007-11-12,35
2007-11-13,35
2007-11-14,35
2007-11-15,35
2007-11-16,36
2007-11-17,36
2007-11-18,36
2007-11-19,36
2007-11-20,36
2007-11-21,37
2007-11-22,37
2007-11-23,37
2007-11-24,37
2007-11-25,37
2007-11-26,38
2007-11-27,38
2007-11-28,38
2007-11-29,38
2007-11-30,38
2007-12-01,39
2007-12-02,39
2007-12-03,39
2007-12-04,39
2007-12-05,39
2007-12-06,39
2007-12-07,40
2007-12-08,40
2007-12-09,40
2007-12-10,40
2007-12-11,40
2007-12-12,41
2007-12-13,41
2007-12-14,41
2007-12-15,41
2007-12-16,41
2007-12-17,42
2007-12-18,42
2007-12-19,42
2007-12-20,42
2007-12-21,42
2007-12-22,43
2007-12-23,43
2007-12-24,43
2007-12-25,43
2007-12-26,43
2007-12-27,44
2007-12-28,44
2007-12-29,44
2007-12-30,44
2007-12-31,44
2008-01-01,45
2008-01-02,44
2008-01-03,44
2008-01-04,44
2008-01-05,44
2008-01-06,43
2008-01-07,43
2008-01-08,43
2008-01-09,43
2008-01-10,42
2008-01-11,42
2008-01-12,42
2008-01-13,42
2008-01-14,42
2008-01-15,41
2008-01-16,41
2008-01-17,41
2008-01-18,41
2008-01-19,40
2008-01-20,40
2008-01-21,40
2008-01-22,40
2008-01-23,40
2008-01-24,39
2008-01-25,39
2008-01-26,39
2008-01-27,39
2008-01-28,38
2008-01-29,38
2008-01-30,38
2008-01-31,38
2008-02-01,38
2008-02-02,38
2008-02-03,38
2008-02-04,39
2008-02-05,39
2008-02-06,39
2008-02-07,40
2008-02-08,40
2008-02-09,41
2008-02-10,41
2008-02-11,41
2008-02-12,42
2008-02-13,42
2008-02-14,42
2008-02-15,43
2008-02-16,43
2008-02-17,44
2008-02-18,44
2008-02-19,44
2008-02-20,45
2008-02-21,45
2008-02-22,45
2008-02-23,46
2008-02-24,46
2008-02-25,47
2008-02-26,47
2008-02-27,47
2008-02-28,48
2008-02-29,48
2008-03-01,49
2008-03-02,49
2008-03-03,49
2008-03-04,50
2008-03-05,50
2008-03-06,51
2008-03-07,51
2008-03-08,52
2008-03-09,52
2008-03-10,53
2008-03-11,53
2008-03-12,54
2008-03-13,54
2008-03-14,55
2008-03-15,55
2008-03-16,56
2008-03-17,56
2008-03-18,57
2008-03-19,57
2008-03-20,58
2008-03-21,58
2008-03-22,59
2008-03-23,59
