Date,Angies List
2011-02-12,37
2011-02-13,37
2011-02-14,36
2011-02-15,36
2011-02-16,36
2011-02-17,39
2011-02-18,36
2011-02-19,36
2011-02-20,37
2011-02-21,38
2011-02-22,39
2011-02-23,40
2011-02-24,44
2011-02-25,44
2011-02-26,44
2011-02-27,45
2011-02-28,44
2011-03-01,44
2011-03-02,48
2011-03-03,44
2011-03-04,44
2011-03-05,45
2011-03-06,46
2011-03-07,48
2011-03-08,49
2011-03-09,52
2011-03-10,55
2011-03-11,54
2011-03-12,56
2011-03-13,59
2011-03-14,55
2011-03-15,54
2011-03-16,54
2011-03-17,57
2011-03-18,53
2011-03-19,53
2011-03-20,54
2011-03-21,56
2011-03-22,57
2011-03-23,61
2011-03-24,62
2011-03-25,65
2011-03-26,64
2011-03-27,64
2011-03-28,64
2011-03-29,64
2011-03-30,66
2011-03-31,65
2011-05-01,79
2011-05-02,78
2011-05-03,77
2011-05-04,78
2011-05-05,76
2011-05-06,75
2011-05-07,76
2011-05-08,73
2011-05-09,73
2011-05-10,73
2011-05-11,76
2011-05-12,73
2011-05-13,74
2011-05-14,73
2011-05-15,73
2011-05-16,73
2011-05-17,73
2011-05-18,73
2011-05-19,77
2011-05-20,73
2011-05-21,77
2011-05-22,73
2011-05-23,72
2011-05-24,71
2011-05-25,73
2011-05-26,69
2011-05-27,69
2011-05-28,71
2011-05-29,69
2011-05-30,71
2011-05-31,72
2011-06-01,76
2011-06-02,78
2011-06-03,79
2011-06-04,79
2011-06-05,78
2011-06-06,78
2011-06-07,77
2011-06-08,81
2011-06-09,77
2011-06-10,76
2011-06-11,76
2011-06-12,76
2011-06-13,76
2011-06-14,77
2011-06-15,76
2011-06-16,78
2011-06-17,76
2011-06-18,81
2011-06-19,78
2011-06-20,79
2011-06-21,81
2011-06-22,82
2011-06-23,84
2011-06-24,84
2011-06-25,87
2011-06-26,88
2011-06-27,85
2011-06-28,85
2011-06-29,85
2011-06-30,87
2011-07-01,84
2011-07-02,85
2011-07-03,89
2011-07-04,87
2011-07-05,88
2011-07-06,91
2011-07-07,93
2011-07-08,95
2011-07-09,95
2011-07-10,98
2011-07-11,96
2011-07-12,96
2011-07-13,101
2011-07-14,98
2011-07-15,98
2011-07-16,102
2011-07-17,99
2011-07-18,99
2011-07-19,99
2011-07-20,101
2011-07-21,101
2011-07-22,102
2011-07-23,101
2011-07-24,99
2011-07-25,99
2011-07-26,102
2011-07-27,99
2011-07-28,101
2011-07-29,102
2011-07-30,103
2011-07-31,98
2011-08-01,97
2011-08-02,96
2011-08-03,95
2011-08-04,97
2011-08-05,95
2011-08-06,95
2011-08-07,92
2011-08-08,91
2011-08-09,91
2011-08-10,89
2011-08-11,93
2011-08-12,90
2011-08-13,87
2011-08-14,87
2011-08-15,87
2011-08-16,88
2011-08-17,90
2011-08-18,88
2011-08-19,91
2011-08-20,90
2011-08-21,88
2011-08-22,87
2011-08-23,89
2011-08-24,88
2011-08-25,87
2011-08-26,84
2011-08-27,86
2011-08-28,83
2011-08-29,82
2011-08-30,81
2011-08-31,84
2011-09-01,81
2011-09-02,80
2011-09-03,82
2011-09-04,79
2011-09-05,77
2011-09-06,77
2011-09-07,76
2011-09-08,78
2011-09-09,78
2011-09-10,75
2011-09-11,75
2011-09-12,75
2011-09-13,75
2011-09-14,75
2011-09-15,76
2011-09-16,79
2011-09-17,75
2011-09-18,78
2011-09-19,74
2011-09-20,75
2011-09-21,73
2011-09-22,75
2011-09-23,74
2011-09-24,72
2011-09-25,72
2011-09-26,71
2011-09-27,71
2011-09-28,71
2011-09-29,73
2011-09-30,74
2011-10-01,72
2011-10-02,71
2011-10-03,69
2011-10-04,70
2011-10-05,67
2011-10-06,68
2011-10-07,65
2011-10-08,64
2011-10-09,63
2011-10-10,63
2011-10-11,63
2011-10-12,63
2011-10-13,63
2011-10-14,64
2011-10-15,62
2011-10-16,62
2011-10-17,62
2011-10-18,62
2011-10-19,62
2011-10-20,62
2011-10-21,62
2011-10-22,63
2011-10-23,63
2011-10-24,60
2011-10-25,60
2011-10-26,60
2011-10-27,59
2011-10-28,59
2011-10-29,60
2011-10-30,58
2011-10-31,58
2011-11-01,58
2011-11-02,58
2011-11-03,60
2011-11-04,58
2011-11-05,61
2011-11-06,58
2011-11-07,59
2011-11-08,60
2011-11-09,60
2011-11-10,60
2011-11-11,64
2011-11-12,62
2011-11-13,64
2011-11-14,64
2011-11-15,67
2011-11-16,69
2011-11-17,69
2011-11-18,76
2011-11-19,75
2011-11-20,68
2011-11-21,62
2011-11-22,60
2011-11-23,54
2011-11-24,53
2011-11-25,42
2011-11-26,38
2011-11-27,39
2011-11-28,41
2011-11-29,43
2011-11-30,45
2011-12-01,47
2011-12-02,51
2011-12-03,52
2011-12-04,53
2011-12-05,50
2011-12-06,50
2011-12-07,49
2011-12-08,49
2011-12-09,48
2011-12-10,51
2011-12-11,48
2011-12-12,48
