Date,Virgin Mobile USA
2006-11-01,67
2006-11-02,66
2006-11-03,65
2006-11-04,64
2006-11-05,63
2006-11-06,62
2006-11-07,61
2006-11-08,60
2006-11-09,59
2006-11-10,58
2006-11-11,57
2006-11-12,56
2006-11-13,55
2006-11-14,54
2006-11-15,53
2006-11-16,52
2006-11-17,51
2006-11-18,50
2006-11-19,49
2006-11-20,48
2006-11-21,47
2006-11-22,46
2006-11-23,45
2006-11-24,44
2006-11-25,43
2006-11-26,42
2006-11-27,41
2006-11-28,40
2006-11-29,39
2006-11-30,38
2006-12-01,38
2006-12-02,38
2006-12-03,38
2006-12-04,38
2006-12-05,38
2006-12-06,38
2006-12-07,38
2006-12-08,38
2006-12-09,38
2006-12-10,38
2006-12-11,38
2006-12-12,38
2006-12-13,38
2006-12-14,38
2006-12-15,38
2006-12-16,38
2006-12-17,38
2006-12-18,38
2006-12-19,38
2006-12-20,38
2006-12-21,38
2006-12-22,38
2006-12-23,38
2006-12-24,38
2006-12-25,38
2006-12-26,38
2006-12-27,38
2006-12-28,38
2006-12-29,38
2006-12-30,38
2006-12-31,38
2007-01-01,39
2007-01-02,39
2007-01-03,40
2007-01-04,40
2007-01-05,41
2007-01-06,41
2007-01-07,42
2007-01-08,42
2007-01-09,43
2007-01-10,43
2007-01-11,44
2007-01-12,45
2007-01-13,45
2007-01-14,46
2007-01-15,46
2007-01-16,47
2007-01-17,47
2007-01-18,48
2007-01-19,48
2007-01-20,49
2007-01-21,49
2007-01-22,50
2007-01-23,51
2007-01-24,51
2007-01-25,52
2007-01-26,52
2007-01-27,53
2007-01-28,53
2007-01-29,54
2007-01-30,54
2007-01-31,55
2007-02-01,56
2007-02-02,55
2007-02-03,55
2007-02-04,55
2007-02-05,55
2007-02-06,55
2007-02-07,55
2007-02-08,55
2007-02-09,55
2007-02-10,55
2007-02-11,54
2007-02-12,54
2007-02-13,54
2007-02-14,54
2007-02-15,54
2007-02-16,54
2007-02-17,54
2007-02-18,54
2007-02-19,54
2007-02-20,53
2007-02-21,53
2007-02-22,53
2007-02-23,53
2007-02-24,53
2007-02-25,53
2007-02-26,53
2007-02-27,53
2007-02-28,53
2007-03-01,53
2007-03-02,53
2007-03-03,53
2007-03-04,53
2007-03-05,53
2007-03-06,53
2007-03-07,53
2007-03-08,53
2007-03-09,53
2007-03-10,53
2007-03-11,53
2007-03-12,53
2007-03-13,53
2007-03-14,53
2007-03-15,53
2007-03-16,53
2007-03-17,53
2007-03-18,53
2007-03-19,53
2007-03-20,53
2007-03-21,53
2007-03-22,53
2007-03-23,53
2007-03-24,53
2007-03-25,53
2007-03-26,53
2007-03-27,53
2007-03-28,53
2007-03-29,53
2007-03-30,53
2007-03-31,53
2007-04-01,54
2007-04-02,54
2007-04-03,55
2007-04-04,55
2007-04-05,56
2007-04-06,56
2007-04-07,57
2007-04-08,57
2007-04-09,58
2007-04-10,58
2007-04-11,59
2007-04-12,59
2007-04-13,60
2007-04-14,60
2007-04-15,61
2007-04-16,61
2007-04-17,62
2007-04-18,62
2007-04-19,63
2007-04-20,63
2007-04-21,64
2007-04-22,64
2007-04-23,65
2007-04-24,65
2007-04-25,66
2007-04-26,66
2007-04-27,67
2007-04-28,67
