Date,Allison Transmission
2010-09-11,0
2010-09-12,10
2010-09-13,21
2010-09-14,32
2010-09-15,42
2010-09-16,53
2010-09-17,64
2010-09-18,75
2010-09-19,76
2010-09-20,77
2010-09-21,78
2010-09-22,79
2010-09-23,80
2010-09-24,81
2010-09-25,82
2010-09-26,80
2010-09-27,77
2010-09-28,75
2010-09-29,73
2010-09-30,71
2010-10-01,69
2010-10-02,67
2010-10-03,67
2010-10-04,68
2010-10-05,69
2010-10-06,69
2010-10-07,70
2010-10-08,71
2010-10-09,74
2010-10-10,67
2010-10-11,67
2010-10-12,68
2010-10-13,68
2010-10-14,69
2010-10-15,69
2010-10-16,70
2010-10-17,70
2010-10-18,70
2010-10-19,70
2010-10-20,71
2010-10-21,71
2010-10-22,71
2010-10-23,72
2010-10-24,72
2010-10-25,72
2010-10-26,73
2010-10-27,73
2010-10-28,74
2010-10-29,74
2010-10-30,75
2010-10-31,75
2010-11-01,75
2010-11-02,76
2010-11-03,76
2010-11-04,77
2010-11-05,77
2010-11-06,78
2010-11-07,77
2010-11-08,77
2010-11-09,76
2010-11-10,76
2010-11-11,75
2010-11-12,75
2010-11-13,75
2010-11-14,75
2010-11-15,75
2010-11-16,75
2010-11-17,75
2010-11-18,75
2010-11-19,75
2010-11-20,75
2010-11-21,75
2010-11-22,75
2010-11-23,75
2010-11-24,75
2010-11-25,75
2010-11-26,75
2010-11-27,75
2010-11-28,75
2010-12-05,74
2010-12-06,73
2010-12-07,73
2010-12-08,72
2010-12-09,71
2010-12-10,70
2010-12-11,70
2010-12-12,69
2010-12-13,68
2010-12-14,67
2010-12-15,66
2010-12-16,65
2010-12-17,64
2010-12-18,64
2010-12-19,64
2010-12-20,65
2010-12-21,66
2010-12-22,66
2010-12-23,67
2010-12-24,68
2010-12-25,69
2010-12-26,69
2010-12-27,70
2010-12-28,71
2010-12-29,71
2010-12-30,72
2010-12-31,73
2011-01-01,74
2011-01-02,74
2011-01-03,75
2011-01-04,76
2011-01-05,76
2011-01-06,77
2011-01-07,78
2011-01-08,79
2011-01-09,79
2011-01-10,80
2011-01-11,81
2011-01-12,82
2011-01-13,83
2011-01-14,83
2011-01-15,84
2011-01-16,81
2011-01-17,78
2011-01-18,75
2011-01-19,72
2011-01-20,69
2011-01-21,66
2011-01-22,63
2011-01-23,63
2011-01-24,63
2011-01-25,63
2011-01-26,63
2011-01-27,63
2011-01-28,63
2011-01-29,63
2011-01-30,63
2011-01-31,63
2011-02-01,63
2011-02-02,63
2011-02-03,63
2011-02-04,63
2011-02-05,63
2011-02-06,62
2011-02-07,61
2011-02-08,60
2011-02-09,60
2011-02-10,59
2011-02-11,58
2011-02-12,58
2011-02-13,58
2011-02-14,58
2011-02-15,58
2011-02-16,58
2011-02-17,58
2011-02-18,58
2011-02-19,58
2011-02-20,58
2011-02-21,58
2011-02-22,58
2011-02-23,58
2011-02-24,58
2011-02-25,58
2011-02-26,59
2011-02-27,59
2011-03-06,60
2011-03-07,60
2011-03-08,60
2011-03-09,60
2011-03-10,60
2011-03-11,60
2011-03-12,61
2011-03-13,61
2011-03-14,76
2011-03-15,61
2011-03-16,61
2011-03-17,61
2011-03-18,61
2011-03-19,62
2011-03-20,62
2011-03-21,62
2011-03-22,62
2011-03-23,62
2011-03-24,62
2011-03-25,62
2011-03-26,63
2011-03-27,62
2011-03-28,61
2011-03-29,60
2011-03-30,60
2011-03-31,59
2011-04-01,58
2011-04-02,58
2011-04-03,64
2011-04-04,70
2011-04-05,76
2011-04-06,82
2011-04-07,88
2011-04-08,94
2011-04-09,100
2011-04-10,98
2011-04-11,96
2011-04-12,94
2011-04-13,92
2011-04-14,90
2011-04-15,88
2011-04-16,86
2011-04-17,86
2011-04-18,86
2011-04-19,86
2011-04-20,86
2011-04-21,86
2011-04-22,86
2011-04-23,86
2011-04-24,84
2011-04-25,82
2011-04-26,80
2011-04-27,78
2011-04-28,76
2011-04-29,74
2011-04-30,72
2011-05-01,70
2011-05-02,68
2011-05-03,66
2011-05-04,64
2011-05-05,62
2011-05-06,60
2011-05-07,58
2011-05-08,58
2011-05-09,58
2011-05-10,58
2011-05-11,58
2011-05-12,58
2011-05-13,58
2011-05-14,58
2011-05-15,58
2011-05-16,57
2011-05-17,57
2011-05-18,57
2011-05-19,57
2011-05-20,57
2011-05-21,57
2011-05-22,57
2011-05-23,57
2011-05-24,57
2011-05-25,57
2011-05-26,57
2011-05-27,57
2011-05-28,58
2011-05-29,58
2011-06-05,61
2011-06-06,61
2011-06-07,61
2011-06-08,62
2011-06-09,62
2011-06-10,62
2011-06-11,63
2011-06-12,63
2011-06-13,78
2011-06-14,64
2011-06-15,64
2011-06-16,65
2011-06-17,65
2011-06-18,66
2011-06-19,66
2011-06-20,66
2011-06-21,67
2011-06-22,67
2011-06-23,68
2011-06-24,68
2011-06-25,69
2011-06-26,69
2011-06-27,69
2011-06-28,69
2011-06-29,69
2011-06-30,69
2011-07-01,69
2011-07-02,69
2011-07-03,68
2011-07-04,67
2011-07-05,66
2011-07-06,66
2011-07-07,65
2011-07-08,64
2011-07-09,64
2011-07-10,64
2011-07-11,64
2011-07-12,64
2011-07-13,64
2011-07-14,64
2011-07-15,64
2011-07-16,64
2011-07-17,64
2011-07-18,64
2011-07-19,64
2011-07-20,64
2011-07-21,64
2011-07-22,64
2011-07-23,64
2011-07-24,62
2011-07-25,61
2011-07-26,60
2011-07-27,59
2011-07-28,58
2011-07-29,57
2011-07-30,56
2011-07-31,56
2011-08-01,56
2011-08-02,56
2011-08-03,56
2011-08-04,56
2011-08-05,56
2011-08-06,56
2011-08-07,56
2011-08-08,56
2011-08-09,56
2011-08-10,56
2011-08-11,56
2011-08-12,56
2011-08-13,56
2011-08-14,56
2011-08-15,56
2011-08-16,56
2011-08-17,57
2011-08-18,57
2011-08-19,57
2011-08-20,58
2011-08-21,58
2011-08-22,60
2011-08-23,60
2011-08-24,61
2011-08-25,62
2011-08-26,63
2011-08-27,66
2011-08-28,60
2011-09-04,63
2011-09-05,64
2011-09-06,64
2011-09-07,65
2011-09-08,65
2011-09-09,66
2011-09-10,67
2011-09-11,67
2011-09-12,67
2011-09-13,68
2011-09-14,68
2011-09-15,69
2011-09-16,69
2011-09-17,70
2011-09-18,70
2011-09-19,71
2011-09-20,71
2011-09-21,72
2011-09-22,72
2011-09-23,73
2011-09-24,74
2011-09-25,72
2011-09-26,70
2011-09-27,68
2011-09-28,67
2011-09-29,65
2011-09-30,63
2011-10-01,62
2011-10-02,61
2011-10-03,60
2011-10-04,59
2011-10-05,58
2011-10-06,57
2011-10-07,57
2011-10-08,56
2011-10-09,56
2011-10-10,56
2011-10-11,57
2011-10-12,57
2011-10-13,58
2011-10-14,58
2011-10-15,59
2011-10-16,59
2011-10-17,59
2011-10-18,59
2011-10-19,60
2011-10-20,60
2011-10-21,60
2011-10-22,61
2011-10-23,60
2011-10-24,59
2011-10-25,58
2011-10-26,57
2011-10-27,56
2011-10-28,55
2011-10-29,55
2011-10-30,55
2011-10-31,55
2011-11-01,55
2011-11-02,55
2011-11-03,55
2011-11-04,55
2011-11-05,55
2011-11-06,55
2011-11-07,55
2011-11-08,55
2011-11-09,55
2011-11-10,55
2011-11-11,55
2011-11-12,55
2011-11-13,55
2011-11-14,55
2011-11-15,55
2011-11-16,55
2011-11-17,55
2011-11-18,55
2011-11-19,55
2011-11-20,54
2011-11-21,55
2011-11-22,54
2011-11-23,54
2011-11-24,54
2011-11-25,54
2011-11-26,55
2011-11-27,49
2011-12-04,48
2011-12-05,48
2011-12-06,48
2011-12-07,48
2011-12-08,48
2011-12-09,48
2011-12-10,48
2011-12-11,48
2011-12-12,48
2011-12-13,49
2011-12-14,49
2011-12-15,50
2011-12-16,50
2011-12-17,51
2011-12-18,51
2011-12-19,51
2011-12-20,51
2011-12-21,52
2011-12-22,52
2011-12-23,52
2011-12-24,53
2011-12-25,53
