Date,Nielsen Holdings
2009-12-01,83
2009-12-02,85
2009-12-03,88
2009-12-04,86
2009-12-05,90
2009-12-06,93
2009-12-07,86
2009-12-08,86
2009-12-09,88
2009-12-10,85
2009-12-11,89
2009-12-12,98
2009-12-13,84
2009-12-14,83
2009-12-15,83
2009-12-16,85
2009-12-17,82
2009-12-18,84
2009-12-19,85
2009-12-20,81
2009-12-21,72
2009-12-22,68
2009-12-23,66
2009-12-24,65
2009-12-25,55
2009-12-26,51
2009-12-27,51
2009-12-28,51
2009-12-29,53
2009-12-30,52
2009-12-31,58
2010-01-01,54
2010-01-02,54
2010-01-03,58
2010-01-04,62
2010-01-05,66
2010-01-06,74
2010-01-07,74
2010-01-08,82
2010-01-09,92
2010-01-10,83
2010-01-11,83
2010-01-12,83
2010-01-13,93
2010-01-14,83
2010-01-15,83
2010-01-16,96
2010-01-17,82
2010-01-18,81
2010-01-19,80
2010-01-20,78
2010-01-21,77
2010-01-22,80
2010-01-23,85
2010-01-24,75
2010-01-25,75
2010-01-26,76
2010-01-27,80
2010-01-28,77
2010-01-29,80
2010-01-30,81
2010-01-31,78
2010-02-01,78
2010-02-02,78
2010-02-03,83
2010-02-04,79
2010-02-05,79
2010-02-06,89
2010-02-07,80
2010-02-08,81
2010-02-09,87
2010-02-10,82
2010-02-11,83
2010-02-12,87
2010-02-13,92
2010-02-14,85
2010-02-15,85
2010-02-16,86
2010-02-17,85
2010-02-18,85
2010-02-19,89
2010-02-20,88
2010-02-21,86
2010-02-22,81
2010-02-23,79
2010-02-24,79
2010-02-25,75
2010-02-26,77
2010-02-27,79
2010-02-28,72
2010-03-01,74
2010-03-02,76
2010-03-03,77
2010-03-04,80
2010-03-05,85
2010-03-06,93
2010-03-07,83
2010-03-08,83
2010-03-09,85
2010-03-10,83
2010-03-11,84
2010-03-12,83
2010-03-13,89
2010-03-14,84
2010-03-15,82
2010-03-16,81
2010-03-17,86
2010-03-18,80
2010-03-19,80
2010-03-20,87
2010-03-21,80
2010-03-22,78
2010-03-23,80
2010-03-24,79
2010-03-25,76
2010-03-26,74
2010-03-27,76
2010-03-28,72
2010-03-29,72
2010-03-30,71
2010-03-31,73
2010-04-01,70
2010-04-02,74
2010-04-03,70
2010-04-04,71
2010-04-05,72
2010-04-06,73
2010-04-07,75
2010-04-08,78
2010-04-09,77
2010-04-10,86
2010-04-11,85
2010-04-12,79
2010-04-13,80
2010-04-14,80
2010-04-15,83
2010-04-16,82
2010-04-17,86
2010-04-18,82
2010-04-19,79
2010-04-20,79
2010-04-21,83
2010-04-22,80
2010-04-23,79
2010-04-24,83
2010-04-25,78
2010-04-26,79
2010-04-27,84
2010-04-28,82
2010-04-29,83
2010-04-30,90
2010-05-01,89
2010-05-02,91
2010-05-03,84
2010-05-04,83
2010-05-05,82
2010-05-06,85
2010-05-07,82
2010-05-08,86
2010-05-09,79
2010-05-10,79
2010-05-11,86
2010-05-12,79
2010-05-13,86
2010-05-14,79
2010-05-15,82
2010-05-16,81
2010-05-17,77
2010-05-18,76
2010-05-19,82
2010-05-20,74
2010-05-21,76
2010-05-22,74
2010-05-23,73
2010-05-24,74
2010-05-25,76
2010-05-26,76
2010-05-27,77
2010-05-28,83
2010-05-29,84
2010-05-30,79
2010-05-31,82
2010-06-01,80
2010-06-02,84
2010-06-03,81
2010-06-04,82
2010-06-05,96
2010-06-06,82
2010-06-07,82
2010-06-08,83
2010-06-09,87
2010-06-10,84
2010-06-11,85
2010-06-12,90
2010-06-13,85
2010-06-14,85
2010-06-15,85
2010-06-16,86
2010-06-17,86
2010-06-18,94
2010-06-19,89
2010-06-20,85
2010-06-21,84
2010-06-22,83
2010-06-23,85
2010-06-24,81
2010-06-25,83
2010-06-26,84
2010-06-27,78
2010-06-28,77
2010-06-29,76
2010-06-30,77
2010-07-01,76
2010-07-02,74
2010-07-03,79
2010-07-04,72
2010-07-05,71
2010-07-06,76
2010-07-07,70
2010-07-08,71
2010-07-09,68
2010-07-10,71
2010-07-11,67
2010-07-12,66
2010-07-13,65
2010-07-14,67
2010-07-15,64
2010-07-16,62
2010-07-17,61
2010-07-18,61
2010-07-19,62
2010-07-20,63
2010-07-21,64
2010-07-22,68
2010-07-23,67
2010-07-24,71
2010-07-25,68
2010-07-26,69
2010-07-27,72
2010-07-28,73
2010-07-29,75
2010-07-30,74
2010-07-31,78
2010-08-01,80
2010-08-02,75
2010-08-03,76
2010-08-04,77
2010-08-05,73
2010-08-06,73
2010-08-07,82
2010-08-08,73
2010-08-09,73
2010-08-10,73
2010-08-11,74
2010-08-12,73
2010-08-13,78
2010-08-14,74
2010-08-15,73
2010-08-16,70
2010-08-17,68
2010-08-18,66
2010-08-19,66
2010-08-20,62
2010-08-21,68
2010-08-22,63
2010-08-23,66
2010-08-24,68
2010-08-25,74
2010-08-26,73
2010-08-27,78
2010-08-28,85
2010-08-29,78
2010-08-30,76
2010-08-31,77
2010-09-01,73
2010-09-02,76
2010-09-03,70
2010-09-04,76
2010-09-05,69
2010-09-06,67
2010-09-07,66
2010-09-08,66
2010-09-09,68
2010-09-10,65
2010-09-11,65
2010-09-12,66
2010-09-13,68
2010-09-14,70
2010-09-15,73
2010-09-16,76
2010-09-17,83
2010-09-18,82
2010-09-19,80
2010-09-20,80
2010-09-21,85
2010-09-22,81
2010-09-23,85
2010-09-24,90
2010-09-25,82
2010-09-26,82
2010-09-27,83
2010-09-28,86
2010-09-29,87
2010-09-30,86
2010-10-01,87
2010-10-02,97
2010-10-03,89
2010-10-04,84
2010-10-05,83
2010-10-06,84
2010-10-07,83
2010-10-08,77
2010-10-09,84
2010-10-10,76
2010-10-11,76
2010-10-12,77
2010-10-13,78
2010-10-14,77
2010-10-15,77
2010-10-16,90
2010-10-17,78
2010-10-18,78
2010-10-19,79
2010-10-20,79
2010-10-21,80
2010-10-22,85
2010-10-23,90
2010-10-24,80
2010-10-25,79
2010-10-26,78
2010-10-27,77
2010-10-28,76
2010-10-29,79
2010-10-30,79
2010-10-31,74
2010-11-01,72
2010-11-02,75
2010-11-03,71
2010-11-04,76
2010-11-05,71
2010-11-06,78
2010-11-07,69
2010-11-08,68
2010-11-09,68
2010-11-10,67
2010-11-11,66
2010-11-12,69
2010-11-13,70
2010-11-14,66
2010-11-15,68
2010-11-16,70
2010-11-17,73
2010-11-18,73
2010-11-19,75
2010-11-20,90
2010-11-21,75
2010-11-22,74
2010-11-23,78
2010-11-24,71
2010-11-25,77
2010-11-26,72
2010-11-27,68
2010-11-28,78
2010-11-29,77
2010-11-30,90
2010-12-01,86
2010-12-02,90
2010-12-03,95
2010-12-04,110
2010-12-05,98
2010-12-06,92
2010-12-07,88
2010-12-08,84
2010-12-09,80
2010-12-10,76
2010-12-11,80
2010-12-12,73
2010-12-13,71
2010-12-14,72
2010-12-15,72
2010-12-16,70
2010-12-17,72
2010-12-18,75
2010-12-19,70
2010-12-20,65
2010-12-21,63
2010-12-22,60
2010-12-23,62
2010-12-24,57
2010-12-25,56
2010-12-26,52
2010-12-27,51
2010-12-28,51
2010-12-29,48
2010-12-30,46
2010-12-31,50
2011-01-01,44
2011-01-02,48
2011-01-03,52
2011-01-04,57
2011-01-05,60
2011-01-06,69
2011-01-07,68
2011-01-08,84
2011-01-09,73
2011-01-10,73
2011-01-11,74
2011-01-12,74
2011-01-13,73
2011-01-14,78
2011-01-15,76
2011-01-16,75
2011-01-17,77
2011-01-18,79
2011-01-19,83
2011-01-20,87
2011-01-21,85
2011-01-22,94
2011-01-23,88
2011-01-24,90
2011-01-25,92
2011-01-26,93
2011-01-27,99
2011-01-28,103
2011-01-29,103
2011-01-30,102
2011-01-31,92
2011-02-01,88
2011-02-02,87
2011-02-03,81
2011-02-04,83
2011-02-05,79
2011-02-06,78
2011-02-07,75
