Date,ChemoCentryx
2011-04-01,45
2011-04-02,45
2011-04-03,45
2011-04-04,45
2011-04-05,45
2011-04-06,45
2011-04-07,45
2011-04-08,45
2011-04-09,45
2011-04-10,45
2011-04-11,45
2011-04-12,45
2011-04-13,45
2011-04-14,45
2011-04-15,45
2011-04-16,45
2011-04-17,45
2011-04-18,45
2011-04-19,45
2011-04-20,45
2011-04-21,45
2011-04-22,45
2011-04-23,45
2011-04-24,45
2011-04-25,45
2011-04-26,45
2011-04-27,45
2011-04-28,45
2011-04-29,45
2011-04-30,45
2011-05-01,46
2011-05-02,46
2011-05-03,46
2011-05-04,46
2011-05-05,46
2011-05-06,46
2011-05-07,46
2011-05-08,46
2011-05-09,46
2011-05-10,46
2011-05-11,46
2011-05-12,46
2011-05-13,46
2011-05-14,46
2011-05-15,46
2011-05-16,46
2011-05-17,46
2011-05-18,46
2011-05-19,46
2011-05-20,46
2011-05-21,46
2011-05-22,46
2011-05-23,46
2011-05-24,46
2011-05-25,46
2011-05-26,46
2011-05-27,46
2011-05-28,46
2011-05-29,46
2011-05-30,46
2011-05-31,46
2011-06-01,46
2011-06-02,46
2011-06-03,46
2011-06-04,46
2011-06-05,46
2011-06-06,46
2011-06-07,46
2011-06-08,46
2011-06-09,46
2011-06-10,46
2011-06-11,46
2011-06-12,46
2011-06-13,46
2011-06-14,46
2011-06-15,46
2011-06-16,46
2011-06-17,46
2011-06-18,46
2011-06-19,46
2011-06-20,46
2011-06-21,46
2011-06-22,46
2011-06-23,46
2011-06-24,46
2011-06-25,46
2011-06-26,46
2011-06-27,46
2011-06-28,46
2011-06-29,46
2011-06-30,46
2011-07-01,46
2011-07-02,46
2011-07-03,46
2011-07-04,46
2011-07-05,47
2011-07-06,47
2011-07-07,47
2011-07-08,48
2011-07-09,48
2011-07-10,48
2011-07-11,49
2011-07-12,49
2011-07-13,49
2011-07-14,50
2011-07-15,50
2011-07-16,50
2011-07-17,51
2011-07-18,51
2011-07-19,51
2011-07-20,52
2011-07-21,52
2011-07-22,52
2011-07-23,53
2011-07-24,53
2011-07-25,53
2011-07-26,54
2011-07-27,54
2011-07-28,54
2011-07-29,55
2011-07-30,55
2011-07-31,55
2011-08-01,56
2011-08-02,55
2011-08-03,55
2011-08-04,54
2011-08-05,54
2011-08-06,54
2011-08-07,53
2011-08-08,53
2011-08-09,52
2011-08-10,52
2011-08-11,52
2011-08-12,51
2011-08-13,51
2011-08-14,50
2011-08-15,50
2011-08-16,50
2011-08-17,49
2011-08-18,49
2011-08-19,49
2011-08-20,48
2011-08-21,48
2011-08-22,47
2011-08-23,47
2011-08-24,47
2011-08-25,46
2011-08-26,46
2011-08-27,45
2011-08-28,45
2011-08-29,45
2011-08-30,44
2011-08-31,44
2011-09-01,44
2011-09-02,44
2011-09-03,44
2011-09-04,44
2011-09-05,44
2011-09-06,44
2011-09-07,44
2011-09-08,44
2011-09-09,44
2011-09-10,44
2011-09-11,44
2011-09-12,44
2011-09-13,44
2011-09-14,44
2011-09-15,44
2011-09-16,44
2011-09-17,44
2011-09-18,44
2011-09-19,44
2011-09-20,44
2011-09-21,44
2011-09-22,44
2011-09-23,44
2011-09-24,44
2011-09-25,44
2011-09-26,44
2011-09-27,44
2011-09-28,44
2011-09-29,44
2011-09-30,44
2011-10-01,44
2011-10-02,44
2011-10-03,44
2011-10-04,44
2011-10-05,44
2011-10-06,44
2011-10-07,44
2011-10-08,44
2011-10-09,44
2011-10-10,44
2011-10-11,44
2011-10-12,44
2011-10-13,44
2011-10-14,44
2011-10-15,44
2011-10-16,44
2011-10-17,44
2011-10-18,44
2011-10-19,44
2011-10-20,44
2011-10-21,44
2011-10-22,44
2011-10-23,44
2011-10-24,44
2011-10-25,44
2011-10-26,44
2011-10-27,44
2011-10-28,44
2011-10-29,44
2011-10-30,44
2011-10-31,44
2011-11-01,45
2011-11-02,45
2011-11-03,46
2011-11-04,47
2011-11-05,47
2011-11-06,48
2011-11-07,49
2011-11-08,49
2011-11-09,50
2011-11-10,51
2011-11-11,51
2011-11-12,52
2011-11-13,53
2011-11-14,53
2011-11-15,54
2011-11-16,55
2011-11-17,55
2011-11-18,56
2011-11-19,57
2011-11-20,57
2011-11-21,58
2011-11-22,59
2011-11-23,59
2011-11-24,60
2011-11-25,61
2011-11-26,61
2011-11-27,62
2011-11-28,63
2011-11-29,63
2011-11-30,64
2011-12-01,65
2011-12-02,65
2011-12-03,66
2011-12-04,66
2011-12-05,67
2011-12-06,68
2011-12-07,68
2011-12-08,69
2011-12-09,70
2011-12-10,70
2011-12-11,71
2011-12-12,72
2011-12-13,72
2011-12-14,73
2011-12-15,74
2011-12-16,74
2011-12-17,75
2011-12-18,75
2011-12-19,76
2011-12-20,77
2011-12-21,77
2011-12-22,78
2011-12-23,79
2011-12-24,79
2011-12-25,80
2011-12-26,81
2011-12-27,81
2011-12-28,82
2011-12-29,83
2011-12-30,83
2011-12-31,84
2012-01-01,85
2012-01-02,85
2012-01-03,85
2012-01-04,86
2012-01-05,86
2012-01-06,87
2012-01-07,87
2012-01-08,88
2012-01-09,88
2012-01-10,89
2012-01-11,89
2012-01-12,90
2012-01-13,90
2012-01-14,91
2012-01-15,91
2012-01-16,92
2012-01-17,92
2012-01-18,93
2012-01-19,93
2012-01-20,94
2012-01-21,94
2012-01-22,95
2012-01-23,95
2012-01-24,96
2012-01-25,96
2012-01-26,97
2012-01-27,97
2012-01-28,98
2012-01-29,98
2012-01-30,99
2012-01-31,99
2012-02-01,100
2012-02-02,98
2012-02-03,97
2012-02-04,96
2012-02-05,95
2012-02-06,94
2012-02-07,92
2012-02-08,91
2012-02-09,90
2012-02-10,89
2012-02-11,88
2012-02-12,87
2012-02-13,85
2012-02-14,84
2012-02-15,83
2012-02-16,82
2012-02-17,81
2012-02-18,80
2012-02-19,78
2012-02-20,77
2012-02-21,76
2012-02-22,75
2012-02-23,74
2012-02-24,73
2012-02-25,71
2012-02-26,70
2012-02-27,69
2012-02-28,68
2012-02-29,67
2012-03-01,66
2012-03-02,65
2012-03-03,65
2012-03-04,65
2012-03-05,65
2012-03-06,65
