Date,Ubiquiti Networks
2010-12-11,0
2010-12-12,7
2010-12-13,14
2010-12-14,21
2010-12-15,28
2010-12-16,35
2010-12-17,42
2010-12-18,49
2010-12-19,49
2010-12-20,49
2010-12-21,49
2010-12-22,49
2010-12-23,49
2010-12-24,49
2010-12-25,50
2010-12-26,50
2010-12-27,50
2010-12-28,50
2010-12-29,50
2010-12-30,50
2010-12-31,50
2011-01-01,51
2011-01-02,51
2011-01-03,51
2011-01-04,51
2011-01-05,52
2011-01-06,52
2011-01-07,52
2011-01-08,53
2011-01-09,53
2011-01-10,63
2011-01-11,53
2011-01-12,53
2011-01-13,53
2011-01-14,53
2011-01-15,54
2011-01-16,54
2011-01-17,54
2011-01-18,54
2011-01-19,54
2011-01-20,54
2011-01-21,54
2011-01-22,55
2011-01-23,55
2011-01-24,56
2011-01-25,56
2011-01-26,57
2011-01-27,58
2011-01-28,58
2011-01-29,59
2011-01-30,57
2011-01-31,55
2011-02-01,53
2011-02-02,51
2011-02-03,49
2011-02-04,47
2011-02-05,45
2011-02-06,45
2011-02-07,45
2011-02-08,45
2011-02-09,45
2011-02-10,45
2011-02-11,45
2011-02-12,45
2011-02-13,46
2011-02-14,47
2011-02-15,48
2011-02-16,49
2011-02-17,51
2011-02-18,52
2011-02-19,53
2011-02-20,52
2011-02-21,50
2011-02-22,49
2011-02-23,47
2011-02-24,46
2011-02-25,45
2011-02-26,44
2011-02-27,44
2011-03-06,44
2011-03-07,44
2011-03-08,44
2011-03-09,44
2011-03-10,44
2011-03-11,44
2011-03-12,44
2011-03-13,44
2011-03-14,44
2011-03-15,44
2011-03-16,44
2011-03-17,44
2011-03-18,44
2011-03-19,44
2011-03-20,44
2011-03-21,45
2011-03-22,46
2011-03-23,46
2011-03-24,47
2011-03-25,48
2011-03-26,49
2011-03-27,49
2011-03-28,50
2011-03-29,51
2011-03-30,51
2011-03-31,52
2011-04-01,53
2011-04-02,54
2011-04-03,54
2011-04-04,55
2011-04-05,55
2011-04-06,56
2011-04-07,56
2011-04-08,57
2011-04-09,58
2011-04-10,57
2011-04-11,57
2011-04-12,57
2011-04-13,57
2011-04-14,57
2011-04-15,57
2011-04-16,57
2011-04-17,57
2011-04-18,57
2011-04-19,57
2011-04-20,57
2011-04-21,57
2011-04-22,57
2011-04-23,57
2011-04-24,58
2011-04-25,59
2011-04-26,60
2011-04-27,61
2011-04-28,63
2011-04-29,64
2011-04-30,65
2011-05-01,64
2011-05-02,64
2011-05-03,63
2011-05-04,63
2011-05-05,62
2011-05-06,62
2011-05-07,62
2011-05-08,59
2011-05-09,56
2011-05-10,54
2011-05-11,51
2011-05-12,49
2011-05-13,46
2011-05-14,44
2011-05-15,44
2011-05-16,44
2011-05-17,44
2011-05-18,44
2011-05-19,44
2011-05-20,44
2011-05-21,44
2011-05-22,44
2011-05-23,45
2011-05-24,45
2011-05-25,45
2011-05-26,46
2011-05-27,47
2011-05-28,48
2011-05-29,44
2011-06-01,44
2011-06-02,44
2011-06-03,44
2011-06-04,45
2011-06-05,45
2011-06-06,45
2011-06-07,45
2011-06-08,45
2011-06-09,45
2011-06-10,45
2011-06-11,46
2011-06-12,46
2011-06-13,46
2011-06-14,46
2011-06-15,47
2011-06-16,47
2011-06-17,47
2011-06-18,48
2011-06-19,48
2011-06-20,48
2011-06-21,48
2011-06-22,48
2011-06-23,48
2011-06-24,48
2011-06-25,49
2011-06-26,49
2011-06-27,50
2011-06-28,51
2011-06-29,52
2011-06-30,53
2011-07-01,54
2011-07-02,55
2011-07-03,56
2011-07-04,57
2011-07-05,58
2011-07-06,59
2011-07-07,60
