Date,Thermon
2010-08-01,73
2010-08-02,73
2010-08-03,73
2010-08-04,73
2010-08-05,73
2010-08-06,73
2010-08-07,74
2010-08-08,73
2010-08-09,72
2010-08-10,72
2010-08-11,71
2010-08-12,71
2010-08-13,71
2010-08-14,71
2010-08-15,68
2010-08-16,66
2010-08-17,64
2010-08-18,62
2010-08-19,60
2010-08-20,58
2010-08-21,56
2010-08-22,55
2010-08-23,55
2010-08-24,54
2010-08-25,54
2010-08-26,53
2010-08-27,53
2010-08-28,53
2010-08-29,56
2010-08-30,60
2010-08-31,63
2010-09-01,67
2010-09-02,70
2010-09-03,74
2010-09-04,78
2010-09-05,79
2010-09-06,80
2010-09-07,81
2010-09-08,82
2010-09-09,83
2010-09-10,84
2010-09-11,85
2010-09-12,80
2010-09-13,75
2010-09-14,70
2010-09-15,65
2010-09-16,60
2010-09-17,55
2010-09-18,51
2010-09-19,56
2010-09-20,62
2010-09-21,68
2010-09-22,73
2010-09-23,79
2010-09-24,85
2010-09-25,91
2010-09-26,89
2010-09-27,87
2010-09-28,85
2010-09-29,84
2010-09-30,82
2010-10-01,80
2010-10-02,79
2010-10-03,79
2010-10-04,81
2010-10-05,82
2010-10-06,82
2010-10-07,83
2010-10-08,84
2010-10-09,85
2010-10-10,81
2010-10-11,77
2010-10-12,73
2010-10-13,69
2010-10-14,66
2010-10-15,62
2010-10-16,59
2010-10-17,59
2010-10-18,60
2010-10-19,60
2010-10-20,61
2010-10-21,61
2010-10-22,62
2010-10-23,63
2010-10-24,62
2010-10-25,61
2010-10-26,60
2010-10-27,60
2010-10-28,59
2010-10-29,58
2010-10-30,58
2010-10-31,59
2010-11-07,69
2010-11-08,70
2010-11-09,71
2010-11-10,72
2010-11-11,73
2010-11-12,74
2010-11-13,76
2010-11-14,77
2010-11-15,78
2010-11-16,80
2010-11-17,81
2010-11-18,83
2010-11-19,84
2010-11-20,86
2010-11-21,82
2010-11-22,79
2010-11-23,76
2010-11-24,73
2010-11-25,70
2010-11-26,67
2010-11-27,64
2010-11-28,64
2010-11-29,64
2010-11-30,64
2010-12-01,64
2010-12-02,64
2010-12-03,64
2010-12-04,64
2010-12-05,68
2010-12-06,72
2010-12-07,77
2010-12-08,81
2010-12-09,85
2010-12-10,90
2010-12-11,94
2010-12-12,90
2010-12-13,87
2010-12-14,83
2010-12-15,80
2010-12-16,77
2010-12-17,73
2010-12-18,70
2010-12-19,68
2010-12-20,67
2010-12-21,66
2010-12-22,64
2010-12-23,63
2010-12-24,62
2010-12-25,61
2010-12-26,61
2010-12-27,61
2010-12-28,61
2010-12-29,61
2010-12-30,61
2010-12-31,61
2011-01-01,61
2011-01-02,61
2011-01-03,61
2011-01-04,61
2011-01-05,61
2011-01-06,61
2011-01-07,61
2011-01-08,61
2011-01-09,60
2011-01-10,60
2011-01-11,59
2011-01-12,59
2011-01-13,58
2011-01-14,58
2011-01-15,58
2011-01-16,61
2011-01-17,66
2011-01-18,69
2011-01-19,73
2011-01-20,77
2011-01-21,82
2011-01-22,88
2011-01-23,74
2011-01-24,69
2011-01-25,64
2011-01-26,59
2011-01-27,54
2011-01-28,49
2011-01-29,44
2011-01-30,44
2011-02-06,52
2011-02-07,59
2011-02-08,65
2011-02-09,72
2011-02-10,78
2011-02-11,85
2011-02-12,91
2011-02-13,86
2011-02-14,80
2011-02-15,75
2011-02-16,70
2011-02-17,65
2011-02-18,60
2011-02-19,55
2011-02-20,56
2011-02-21,58
2011-02-22,60
2011-02-23,62
2011-02-24,64
2011-02-25,66
2011-02-26,68
2011-02-27,67
2011-02-28,66
2011-03-01,65
2011-03-02,65
2011-03-03,64
2011-03-04,63
2011-03-05,63
2011-03-06,61
2011-03-07,60
2011-03-08,59
2011-03-09,58
2011-03-10,57
2011-03-11,56
2011-03-12,55
2011-03-13,57
2011-03-14,60
2011-03-15,62
2011-03-16,65
2011-03-17,67
2011-03-18,70
2011-03-19,72
2011-03-20,70
2011-03-21,67
2011-03-22,64
2011-03-23,62
2011-03-24,59
2011-03-25,57
2011-03-26,55
2011-03-27,57
2011-05-01,69
2011-05-02,72
2011-05-03,74
2011-05-04,77
2011-05-05,80
2011-05-06,82
2011-05-07,85
2011-05-08,83
2011-05-09,81
2011-05-10,80
2011-05-11,78
2011-05-12,76
2011-05-13,75
2011-05-14,73
2011-05-15,72
2011-05-16,70
2011-05-17,69
2011-05-18,68
2011-05-19,67
2011-05-20,65
2011-05-21,64
2011-05-22,63
2011-05-23,61
2011-05-24,60
2011-05-25,58
2011-05-26,57
2011-05-27,56
2011-05-28,55
2011-05-29,54
2011-05-30,54
2011-05-31,53
2011-06-01,53
2011-06-02,52
2011-06-03,52
2011-06-04,52
2011-06-05,51
2011-06-06,51
2011-06-07,51
2011-06-08,50
2011-06-09,50
2011-06-10,50
2011-06-11,50
2011-06-12,48
2011-06-13,47
2011-06-14,46
2011-06-15,45
2011-06-16,44
2011-06-17,43
2011-06-18,42
2011-06-19,42
2011-06-20,42
2011-06-21,42
2011-06-22,42
2011-06-23,42
2011-06-24,42
2011-06-25,43
2011-06-26,44
2011-06-27,45
