Date,Aspen Technology Inc
2006-10-01,75
2006-10-02,77
2006-10-03,79
2006-10-04,82
2006-10-05,84
2006-10-06,86
2006-10-07,89
2006-10-08,86
2006-10-09,84
2006-10-10,81
2006-10-11,78
2006-10-12,75
2006-10-13,72
2006-10-14,69
2006-10-15,67
2006-10-16,63
2006-10-17,61
2006-10-18,58
2006-10-19,56
2006-10-20,53
2006-10-21,51
2006-10-22,54
2006-10-23,58
2006-10-24,61
2006-10-25,64
2006-10-26,68
2006-10-27,71
2006-10-28,74
2006-10-29,72
2006-10-30,69
2006-10-31,67
2006-11-01,64
2006-11-02,62
2006-11-03,60
2006-11-04,58
2006-11-05,61
2006-11-06,65
2006-11-07,68
2006-11-08,72
2006-11-09,75
2006-11-10,79
2006-11-11,82
2006-11-12,78
2006-11-13,71
2006-11-14,67
2006-11-15,62
2006-11-16,58
2006-11-17,53
2006-11-18,49
2006-11-19,48
2006-11-20,48
2006-11-21,48
2006-11-22,47
2006-11-23,47
2006-11-24,47
2006-11-25,47
2006-11-26,49
2006-11-27,51
2006-11-28,53
2006-11-29,55
2006-11-30,57
2006-12-01,59
2006-12-02,62
2006-12-03,63
2006-12-04,65
2006-12-05,66
2006-12-06,68
2006-12-07,69
2006-12-08,70
2006-12-09,72
2006-12-10,69
2006-12-11,65
2006-12-12,62
2006-12-13,58
2006-12-14,55
2006-12-15,52
2006-12-16,49
2006-12-17,52
2006-12-18,55
2006-12-19,58
2006-12-20,61
2006-12-21,65
2006-12-22,68
2006-12-23,71
2006-12-24,68
2006-12-25,65
2006-12-26,62
2006-12-27,59
2006-12-28,56
2006-12-29,53
2006-12-30,50
2006-12-31,50
2007-01-07,57
2007-01-08,65
2007-01-09,72
2007-01-10,80
2007-01-11,87
2007-01-12,95
2007-01-13,102
2007-01-14,94
2007-01-15,83
2007-01-16,74
2007-01-17,66
2007-01-18,57
2007-01-19,49
2007-01-20,41
2007-01-21,45
2007-01-22,51
2007-01-23,55
2007-01-24,60
2007-01-25,65
2007-01-26,70
2007-01-27,75
2007-01-28,72
2007-01-29,67
2007-01-30,63
2007-01-31,60
2007-02-01,56
2007-02-02,53
2007-02-03,50
2007-02-04,53
2007-02-05,58
2007-02-06,62
2007-02-07,65
2007-02-08,69
2007-02-09,73
2007-02-10,77
2007-02-11,73
2007-02-12,68
2007-02-13,64
2007-02-14,59
2007-02-15,55
2007-02-16,51
2007-02-17,47
2007-02-18,51
2007-02-19,55
2007-02-20,59
2007-02-21,63
2007-02-22,67
2007-02-23,71
2007-02-24,76
2007-02-25,76
2007-02-26,78
2007-02-27,78
2007-02-28,79
2007-03-01,80
2007-03-02,80
2007-03-03,81
2007-03-04,77
2007-03-05,72
2007-03-06,69
2007-03-07,65
2007-03-08,62
2007-03-09,58
2007-03-10,55
2007-03-11,54
2007-03-12,54
2007-03-13,53
2007-03-14,53
2007-03-15,52
2007-03-16,52
2007-03-17,52
2007-03-18,54
2007-03-19,56
2007-03-20,58
2007-03-21,61
2007-03-22,63
2007-03-23,65
2007-03-24,68
2007-03-25,72
2007-04-01,91
2007-04-02,83
2007-04-03,75
2007-04-04,68
2007-04-05,60
2007-04-06,52
2007-04-07,45
2007-04-08,45
2007-04-09,45
2007-04-10,45
2007-04-11,45
2007-04-12,45
2007-04-13,45
2007-04-14,45
2007-04-15,48
2007-04-16,52
2007-04-17,56
2007-04-18,59
2007-04-19,63
2007-04-20,67
2007-04-21,71
2007-04-22,70
2007-04-23,69
2007-04-24,68
2007-04-25,67
2007-04-26,67
2007-04-27,66
2007-04-28,65
2007-04-29,63
2007-04-30,61
2007-05-01,59
2007-05-02,57
2007-05-03,55
2007-05-04,53
2007-05-05,51
2007-05-06,54
2007-05-07,58
2007-05-08,61
2007-05-09,64
2007-05-10,68
2007-05-11,71
2007-05-12,75
2007-05-13,73
2007-05-14,72
2007-05-15,70
2007-05-16,69
2007-05-17,67
2007-05-18,66
2007-05-19,65
2007-05-20,65
2007-05-21,66
2007-05-22,67
2007-05-23,67
2007-05-24,68
2007-05-25,69
2007-05-26,70
2007-05-27,68
2007-05-28,66
2007-05-29,64
2007-05-30,62
2007-05-31,60
2007-06-01,58
2007-06-02,57
2007-06-03,55
2007-06-04,53
2007-06-05,51
2007-06-06,49
2007-06-07,47
2007-06-08,46
2007-06-09,44
2007-06-10,50
2007-06-11,57
2007-06-12,64
2007-06-13,70
2007-06-14,77
2007-06-15,84
2007-06-16,91
2007-06-17,89
2007-06-18,88
2007-06-19,87
2007-06-20,86
2007-06-21,85
2007-06-22,83
2007-06-23,82
2007-06-24,79
2007-07-01,57
2007-07-02,56
2007-07-03,55
2007-07-04,53
2007-07-05,52
2007-07-06,51
2007-07-07,50
2007-07-08,52
2007-07-09,55
2007-07-10,58
2007-07-11,60
2007-07-12,63
2007-07-13,65
2007-07-14,68
2007-07-15,67
2007-07-16,65
2007-07-17,63
2007-07-18,62
2007-07-19,60
2007-07-20,59
2007-07-21,58
2007-07-22,60
2007-07-23,63
2007-07-24,66
2007-07-25,69
2007-07-26,72
2007-07-27,75
2007-07-28,78
2007-07-29,76
2007-07-30,74
2007-07-31,72
2007-08-01,70
2007-08-02,68
2007-08-03,66
2007-08-04,64
2007-08-05,62
2007-08-06,57
2007-08-07,54
2007-08-08,52
2007-08-09,49
2007-08-10,46
2007-08-11,44
2007-08-12,46
2007-08-13,48
2007-08-14,50
2007-08-15,53
2007-08-16,55
2007-08-17,57
2007-08-18,60
2007-08-19,62
2007-08-20,65
2007-08-21,67
2007-08-22,70
2007-08-23,72
2007-08-24,75
2007-08-25,78
2007-08-26,79
2007-08-27,80
2007-08-28,81
2007-08-29,83
2007-08-30,84
2007-08-31,85
2007-09-01,86
2007-09-02,83
2007-09-03,79
2007-09-04,76
2007-09-05,74
2007-09-06,71
2007-09-07,68
2007-09-08,66
2007-09-09,66
2007-09-10,66
2007-09-11,66
2007-09-12,67
2007-09-13,67
2007-09-14,67
2007-09-15,68
2007-09-16,70
2007-09-17,73
2007-09-18,76
2007-09-19,78
2007-09-20,81
2007-09-21,84
2007-09-22,87
2007-09-23,87
2007-09-24,87
2007-09-25,88
2007-09-26,88
2007-09-27,88
2007-09-28,88
2007-09-29,88
2007-09-30,85
2007-10-07,63
2007-10-08,62
2007-10-09,61
2007-10-10,61
2007-10-11,60
2007-10-12,59
2007-10-13,59
2007-10-14,60
2007-10-15,62
2007-10-16,63
2007-10-17,65
2007-10-18,66
2007-10-19,68
2007-10-20,69
2007-10-21,68
2007-10-22,65
2007-10-23,63
2007-10-24,62
2007-10-25,60
2007-10-26,58
2007-10-27,57
2007-10-28,58
2007-10-29,59
2007-10-30,60
2007-10-31,61
2007-11-01,62
2007-11-02,64
2007-11-03,65
2007-11-04,62
2007-11-05,59
2007-11-06,56
2007-11-07,53
2007-11-08,50
2007-11-09,47
2007-11-10,44
2007-11-11,50
2007-11-12,57
2007-11-13,63
2007-11-14,70
2007-11-15,76
2007-11-16,83
2007-11-17,89
2007-11-18,88
2007-11-19,86
2007-11-20,85
2007-11-21,83
2007-11-22,82
2007-11-23,81
2007-11-24,80
2007-11-25,79
2007-11-26,79
2007-11-27,78
2007-11-28,78
2007-11-29,77
2007-11-30,77
2007-12-01,76
2007-12-02,72
2007-12-03,68
2007-12-04,64
2007-12-05,61
2007-12-06,57
2007-12-07,53
2007-12-08,50
2007-12-09,51
2007-12-10,54
2007-12-11,55
2007-12-12,57
2007-12-13,59
2007-12-14,61
2007-12-15,63
2007-12-16,61
2007-12-17,60
2007-12-18,58
2007-12-19,56
2007-12-20,54
2007-12-21,53
2007-12-22,51
2007-12-23,49
2007-12-24,47
2007-12-25,45
2007-12-26,43
2007-12-27,41
2007-12-28,39
2007-12-29,37
2007-12-30,37
2008-01-06,43
2008-01-07,44
2008-01-08,45
2008-01-09,46
2008-01-10,47
2008-01-11,48
2008-01-12,49
2008-01-13,51
2008-01-14,54
2008-01-15,57
2008-01-16,59
2008-01-17,62
2008-01-18,65
2008-01-19,68
2008-01-20,68
2008-01-21,68
2008-01-22,68
2008-01-23,68
2008-01-24,68
2008-01-25,68
2008-01-26,68
2008-01-27,69
2008-01-28,70
2008-01-29,71
2008-01-30,73
2008-01-31,74
2008-02-01,75
2008-02-02,76
2008-02-03,74
2008-02-04,71
2008-02-05,68
2008-02-06,66
2008-02-07,63
2008-02-08,61
2008-02-09,59
2008-02-10,60
2008-02-11,61
2008-02-12,62
2008-02-13,63
2008-02-14,64
2008-02-15,65
2008-02-16,66
2008-02-17,65
2008-02-18,64
2008-02-19,63
2008-02-20,63
2008-02-21,62
2008-02-22,61
2008-02-23,61
2008-02-24,63
2008-02-25,65
2008-02-26,67
2008-02-27,69
2008-02-28,71
2008-02-29,73
2008-03-01,75
2008-03-02,74
2008-03-03,72
2008-03-04,70
2008-03-05,69
2008-03-06,67
2008-03-07,66
2008-03-08,65
2008-03-09,65
2008-03-10,65
2008-03-11,66
2008-03-12,66
2008-03-13,66
2008-03-14,66
2008-03-15,67
2008-03-16,69
2008-03-17,71
2008-03-18,73
2008-03-19,75
2008-03-20,77
2008-03-21,79
2008-03-22,81
2008-03-23,79
2008-03-24,77
2008-03-25,75
2008-03-26,74
2008-03-27,72
2008-03-28,70
2008-03-29,69
2008-03-30,67
2008-04-06,60
2008-04-07,61
2008-04-08,62
2008-04-09,63
2008-04-10,64
2008-04-11,65
2008-04-12,67
2008-04-13,69
2008-04-14,73
2008-04-15,75
2008-04-16,78
2008-04-17,81
2008-04-18,84
2008-04-19,87
2008-04-20,82
2008-04-21,77
2008-04-22,72
2008-04-23,68
2008-04-24,63
2008-04-25,59
2008-04-26,55
2008-04-27,57
2008-04-28,59
2008-04-29,62
2008-04-30,64
2008-05-01,66
2008-05-02,68
2008-05-03,71
2008-05-04,69
2008-05-05,67
2008-05-06,66
2008-05-07,64
2008-05-08,63
2008-05-09,62
2008-05-10,61
2008-05-11,61
2008-05-12,61
2008-05-13,61
2008-05-14,62
2008-05-15,62
2008-05-16,62
2008-05-17,63
2008-05-18,65
2008-05-19,67
2008-05-20,69
2008-05-21,71
2008-05-22,73
2008-05-23,76
2008-05-24,78
2008-05-25,76
2008-05-26,75
2008-05-27,74
2008-05-28,72
2008-05-29,71
2008-05-30,70
2008-05-31,69
2008-06-01,68
2008-06-02,68
2008-06-03,68
2008-06-04,68
2008-06-05,68
2008-06-06,68
2008-06-07,68
2008-06-08,67
2008-06-09,67
2008-06-10,66
2008-06-11,66
2008-06-12,65
2008-06-13,65
2008-06-14,65
2008-06-15,66
2008-06-16,68
2008-06-17,69
2008-06-18,71
2008-06-19,72
2008-06-20,74
2008-06-21,76
2008-06-22,75
2008-06-23,74
2008-06-24,73
2008-06-25,72
2008-06-26,71
2008-06-27,70
2008-06-28,70
2008-06-29,66
2008-07-06,46
2008-07-07,49
2008-07-08,52
2008-07-09,55
2008-07-10,59
2008-07-11,62
2008-07-12,65
2008-07-13,63
2008-07-14,60
2008-07-15,58
2008-07-16,56
2008-07-17,54
2008-07-18,52
2008-07-19,50
2008-07-20,50
2008-07-21,51
2008-07-22,52
2008-07-23,53
2008-07-24,54
2008-07-25,55
2008-07-26,56
2008-07-27,58
2008-07-28,60
2008-07-29,63
2008-07-30,65
2008-07-31,68
2008-08-01,70
2008-08-02,73
2008-08-03,74
2008-08-04,77
2008-08-05,79
2008-08-06,81
2008-08-07,83
2008-08-08,85
2008-08-09,87
2008-08-10,82
2008-08-11,76
2008-08-12,72
2008-08-13,67
2008-08-14,63
2008-08-15,58
2008-08-16,54
2008-08-17,56
2008-08-18,59
2008-08-19,61
2008-08-20,64
2008-08-21,66
2008-08-22,69
2008-08-23,72
2008-08-24,71
2008-08-25,71
2008-08-26,71
2008-08-27,70
2008-08-28,70
2008-08-29,69
2008-08-30,69
2008-08-31,66
2008-09-01,63
2008-09-02,60
2008-09-03,57
2008-09-04,55
2008-09-05,52
2008-09-06,49
2008-09-07,49
2008-09-08,48
2008-09-09,48
2008-09-10,48
2008-09-11,48
2008-09-12,48
2008-09-13,48
2008-09-14,49
2008-09-15,51
2008-09-16,52
2008-09-17,54
2008-09-18,55
2008-09-19,56
2008-09-20,58
2008-09-21,56
2008-09-22,54
2008-09-23,53
2008-09-24,51
2008-09-25,50
2008-09-26,48
2008-09-27,47
