Date,Mead Johnson Nutrition
2008-06-07,18
2008-06-08,18
2008-06-09,19
2008-06-10,20
2008-06-11,20
2008-06-12,21
2008-06-13,22
2008-06-14,23
2008-06-15,22
2008-06-16,22
2008-06-17,22
2008-06-18,21
2008-06-19,21
2008-06-20,21
2008-06-21,21
2008-06-22,20
2008-06-23,19
2008-06-24,18
2008-06-25,18
2008-06-26,17
2008-06-27,16
2008-06-28,16
2008-06-29,16
2008-06-30,16
2008-07-01,16
2008-07-02,17
2008-07-03,17
2008-07-04,17
2008-07-05,18
2008-07-06,18
2008-07-07,19
2008-07-08,19
2008-07-09,20
2008-07-10,20
2008-07-11,21
2008-07-12,22
2008-07-13,22
2008-07-14,23
2008-07-15,23
2008-07-16,24
2008-07-17,25
2008-07-18,25
2008-07-19,26
2008-07-20,24
2008-07-21,22
2008-07-22,20
2008-07-23,19
2008-07-24,17
2008-07-25,15
2008-07-26,14
2008-07-27,14
2008-07-28,14
2008-07-29,14
2008-07-30,14
2008-07-31,14
2008-08-01,14
2008-08-02,14
2008-08-03,14
2008-08-04,15
2008-08-05,16
2008-08-06,16
2008-08-07,17
2008-08-08,18
2008-08-09,19
2008-08-10,18
2008-08-11,18
2008-08-12,17
2008-08-13,17
2008-08-14,16
2008-08-15,16
2008-08-16,16
2008-08-17,17
2008-08-18,18
2008-08-19,19
2008-08-20,20
2008-08-21,21
2008-08-22,22
2008-08-23,23
2008-08-24,22
2008-08-25,20
2008-08-26,19
2008-08-27,18
2008-08-28,17
2008-08-29,16
2008-08-30,15
2008-08-31,15
2008-09-07,22
2008-09-08,24
2008-09-09,26
2008-09-10,28
2008-09-11,29
2008-09-12,31
2008-09-13,33
2008-09-14,32
2008-09-15,31
2008-09-16,30
2008-09-17,30
2008-09-18,29
2008-09-19,28
2008-09-20,28
2008-09-21,27
2008-09-22,26
2008-09-23,26
2008-09-24,25
2008-09-25,24
2008-09-26,23
2008-09-27,23
2008-09-28,22
2008-09-29,21
2008-09-30,21
2008-10-01,20
2008-10-02,20
2008-10-03,19
2008-10-04,19
2008-10-05,19
2008-10-06,20
2008-10-07,21
2008-10-08,21
2008-10-09,22
2008-10-10,23
2008-10-11,24
2008-10-12,23
2008-10-13,23
2008-10-14,22
2008-10-15,22
2008-10-16,21
2008-10-17,21
2008-10-18,21
2008-10-19,20
2008-10-20,20
2008-10-21,19
2008-10-22,19
2008-10-23,18
2008-10-24,18
2008-10-25,18
2008-10-26,18
2008-10-27,18
2008-10-28,18
2008-10-29,18
2008-10-30,18
2008-10-31,19
2008-11-01,19
2008-11-02,18
2008-11-03,17
2008-11-04,16
2008-11-05,15
2008-11-06,14
2008-11-07,13
2008-11-08,13
2008-11-09,13
2008-11-10,14
2008-11-11,14
2008-11-12,15
2008-11-13,15
2008-11-14,16
2008-11-15,17
2008-11-16,16
2008-11-17,16
2008-11-18,16
2008-11-19,15
2008-11-20,15
2008-11-21,15
2008-11-22,15
2008-11-23,16
2008-11-24,17
2008-11-25,18
2008-11-26,19
2008-11-27,20
2008-11-28,21
2008-11-29,23
2008-11-30,21
2008-12-07,16
2008-12-08,17
2008-12-09,18
2008-12-10,19
2008-12-11,20
2008-12-12,21
2008-12-13,22
2008-12-14,21
2008-12-15,20
2008-12-16,20
2008-12-17,19
2008-12-18,19
2008-12-19,18
2008-12-20,18
2008-12-21,18
2008-12-22,18
2008-12-23,18
2008-12-24,18
2008-12-25,18
2008-12-26,18
2008-12-27,18
2008-12-28,17
2008-12-29,17
2008-12-30,16
2008-12-31,16
2009-01-01,15
2009-01-02,15
2009-01-03,15
2009-01-04,15
2009-01-05,15
2009-01-06,15
2009-01-07,15
2009-01-08,15
2009-01-09,15
2009-01-10,15
2009-01-11,15
2009-01-12,15
2009-01-13,15
2009-01-14,15
2009-01-15,15
2009-01-16,15
2009-01-17,16
2009-01-18,16
2009-01-19,17
2009-01-20,17
2009-01-21,18
2009-01-22,18
2009-01-23,19
2009-01-24,20
2009-01-25,20
2009-01-26,20
2009-01-27,20
2009-01-28,20
2009-01-29,20
2009-01-30,20
2009-01-31,21
2009-02-01,23
2009-02-02,25
2009-02-03,27
2009-02-04,29
2009-02-05,31
2009-02-06,33
2009-02-07,36
2009-02-08,45
2009-02-09,55
2009-02-10,64
2009-02-11,73
2009-02-12,83
2009-02-13,92
2009-02-14,102
2009-02-15,93
2009-02-16,83
2009-02-17,74
2009-02-18,65
2009-02-19,56
2009-02-20,47
2009-02-21,38
2009-02-22,37
2009-03-01,27
2009-03-02,26
2009-03-03,25
2009-03-04,24
2009-03-05,23
2009-03-06,22
2009-03-07,22
2009-03-08,21
2009-03-09,21
2009-03-10,21
2009-03-11,21
2009-03-12,21
2009-03-13,21
2009-03-14,21
2009-03-15,22
2009-03-16,24
2009-03-17,26
2009-03-18,28
2009-03-19,30
2009-03-20,32
2009-03-21,34
2009-03-22,33
2009-03-23,32
2009-03-24,32
2009-03-25,31
2009-03-26,31
2009-03-27,30
2009-03-28,30
2009-03-29,31
2009-03-30,32
2009-03-31,33
2009-04-01,34
2009-04-02,35
2009-04-03,36
2009-04-04,37
2009-04-05,35
