Date,Portola
2012-10-07,65
2012-10-08,64
2012-10-09,62
2012-10-10,61
2012-10-11,59
2012-10-12,58
2012-10-13,57
2012-10-14,55
2012-10-15,53
2012-10-16,51
2012-10-17,49
2012-10-18,47
2012-10-19,45
2012-10-20,44
2012-10-21,48
2012-10-22,54
2012-10-23,59
2012-10-24,64
2012-10-25,68
2012-10-26,73
2012-10-27,78
2012-10-28,73
2012-10-29,67
2012-10-30,61
2012-10-31,56
2012-11-01,50
2012-11-02,45
2012-11-03,40
2012-11-04,40
2012-11-05,40
2012-11-06,40
2012-11-07,40
2012-11-08,40
2012-11-09,40
2012-11-10,40
2012-11-11,41
2012-11-12,43
2012-11-13,45
2012-11-14,47
2012-11-15,49
2012-11-16,50
2012-11-17,52
2012-11-18,50
2012-11-19,48
2012-11-20,46
2012-11-21,45
2012-11-22,43
2012-11-23,41
2012-11-24,40
2012-11-25,42
2012-11-26,44
2012-11-27,46
2012-11-28,48
2012-11-29,50
2012-11-30,52
2012-12-01,54
2012-12-02,52
2012-12-03,51
2012-12-04,50
2012-12-05,49
2012-12-06,48
2012-12-07,47
2012-12-08,46
2012-12-09,48
2012-12-10,51
2012-12-11,53
2012-12-12,56
2012-12-13,58
2012-12-14,61
2012-12-15,63
2012-12-16,63
2012-12-17,62
2012-12-18,61
2012-12-19,61
2012-12-20,60
2012-12-21,60
2012-12-22,60
2012-12-23,61
2012-12-24,62
2012-12-25,63
2012-12-26,65
2012-12-27,66
2012-12-28,67
2012-12-29,69
2012-12-30,70
2013-01-06,78
2013-01-07,80
2013-01-08,81
2013-01-09,82
2013-01-10,84
2013-01-11,85
2013-01-12,86
2013-01-13,80
2013-01-14,74
2013-01-15,68
2013-01-16,62
2013-01-17,56
2013-01-18,50
2013-01-19,45
2013-01-20,45
2013-01-21,45
2013-01-22,45
2013-01-23,45
2013-01-24,45
2013-01-25,45
2013-01-26,45
2013-01-27,46
2013-01-28,48
2013-01-29,50
2013-01-30,52
2013-01-31,54
2013-02-01,56
2013-02-02,58
2013-02-03,57
2013-02-04,57
2013-02-05,57
2013-02-06,57
2013-02-07,56
2013-02-08,56
2013-02-09,55
2013-02-10,57
2013-02-11,57
2013-02-12,58
2013-02-13,59
2013-02-14,60
2013-02-15,61
2013-02-16,62
2013-02-17,62
2013-02-18,63
2013-02-19,64
2013-02-20,65
2013-02-21,66
2013-02-22,67
2013-02-23,68
2013-02-24,69
2013-02-25,70
2013-02-26,71
2013-02-27,72
2013-02-28,73
2013-03-01,74
2013-03-02,75
2013-03-03,74
2013-03-04,74
2013-03-05,73
2013-03-06,73
2013-03-07,72
2013-03-08,72
2013-03-09,71
2013-03-10,70
2013-03-11,68
2013-03-12,66
2013-03-13,65
2013-03-14,63
2013-03-15,62
2013-03-16,60
2013-03-17,60
2013-03-18,60
2013-03-19,60
2013-03-20,60
2013-03-21,60
2013-03-22,60
2013-03-23,61
2013-03-24,61
2013-03-25,61
2013-03-26,61
2013-03-27,61
2013-03-28,61
2013-03-29,61
2013-03-30,62
2013-03-31,59
2013-04-07,47
2013-04-08,48
2013-04-09,49
2013-04-10,50
2013-04-11,51
2013-04-12,52
2013-04-13,53
2013-04-14,55
2013-04-15,57
2013-04-16,59
2013-04-17,61
2013-04-18,63
2013-04-19,65
2013-04-20,68
2013-04-21,72
2013-04-22,77
2013-04-23,82
2013-04-24,86
2013-04-25,91
2013-04-26,96
2013-04-27,100
2013-04-28,92
2013-04-29,84
2013-04-30,76
2013-05-01,68
2013-05-02,60
2013-05-03,52
2013-05-04,44
2013-05-05,50
2013-05-06,56
2013-05-07,62
2013-05-08,68
2013-05-09,75
2013-05-10,81
2013-05-11,87
2013-05-12,83
2013-05-13,78
2013-05-14,74
2013-05-15,69
2013-05-16,65
2013-05-17,61
2013-05-18,57
2013-05-19,56
2013-05-20,56
2013-05-21,55
2013-05-22,55
2013-05-23,54
2013-05-24,54
2013-05-25,53
2013-05-26,54
2013-05-27,53
2013-05-28,53
2013-05-29,54
2013-05-30,54
2013-05-31,54
2013-06-01,55
2013-06-02,55
2013-06-03,55
2013-06-04,56
2013-06-05,56
2013-06-06,56
2013-06-07,56
2013-06-08,57
2013-06-09,54
2013-06-10,52
2013-06-11,49
2013-06-12,47
2013-06-13,44
2013-06-14,42
2013-06-15,40
2013-06-16,41
2013-06-17,42
2013-06-18,44
2013-06-19,45
2013-06-20,47
2013-06-21,48
2013-06-22,50
2013-06-23,50
2013-06-24,51
2013-06-25,51
2013-06-26,52
2013-06-27,52
2013-06-28,53
2013-06-29,54
2013-06-30,54
2013-07-07,60
2013-07-08,61
2013-07-09,62
2013-07-10,63
2013-07-11,64
2013-07-12,65
2013-07-13,66
2013-07-14,67
2013-07-15,69
2013-07-16,71
2013-07-17,72
2013-07-18,74
2013-07-19,76
2013-07-20,78
2013-07-21,74
2013-07-22,71
2013-07-23,67
2013-07-24,64
2013-07-25,60
2013-07-26,57
2013-07-27,54
2013-07-28,55
2013-07-29,56
2013-07-30,57
2013-07-31,58
2013-08-01,59
2013-08-02,60
2013-08-03,61
2013-08-04,60
2013-08-05,59
2013-08-06,58
2013-08-07,57
2013-08-08,56
2013-08-09,55
2013-08-10,55
2013-08-11,58
2013-08-12,61
2013-08-13,64
2013-08-14,68
