Date,AthenaHealth
2007-05-31,47
2007-06-01,48
2007-06-02,47
2007-06-03,46
2007-06-04,45
2007-06-05,45
2007-06-06,44
2007-06-07,43
2007-06-08,42
2007-06-09,42
2007-06-10,41
2007-06-11,40
2007-06-12,39
2007-06-13,39
2007-06-14,38
2007-06-15,37
2007-06-16,37
2007-06-17,36
2007-06-18,35
2007-06-19,34
2007-06-20,34
2007-06-21,33
2007-06-22,32
2007-06-23,31
2007-06-24,31
2007-06-25,30
2007-06-26,29
2007-06-27,28
2007-06-28,28
2007-06-29,27
2007-06-30,26
2007-07-01,26
2007-07-02,26
2007-07-03,26
2007-07-04,26
2007-07-05,27
2007-07-06,27
2007-07-07,27
2007-07-08,28
2007-07-09,28
2007-07-10,28
2007-07-11,28
2007-07-12,29
2007-07-13,29
2007-07-14,29
2007-07-15,30
2007-07-16,30
2007-07-17,30
2007-07-18,30
2007-07-19,31
2007-07-20,31
2007-07-21,31
2007-07-22,32
2007-07-23,32
2007-07-24,32
2007-07-25,32
2007-07-26,33
2007-07-27,33
2007-07-28,33
2007-07-29,34
2007-07-30,34
2007-07-31,34
2007-08-01,35
2007-08-02,37
2007-08-03,39
2007-08-04,41
2007-08-05,43
2007-08-06,45
2007-08-07,47
2007-08-08,49
2007-08-09,51
2007-08-10,53
2007-08-11,55
2007-08-12,58
2007-08-13,60
2007-08-14,62
2007-08-15,64
2007-08-16,66
2007-08-17,68
2007-08-18,70
2007-08-19,72
2007-08-20,74
2007-08-21,76
2007-08-22,79
2007-08-23,81
2007-08-24,83
2007-08-25,85
2007-08-26,87
2007-08-27,89
2007-08-28,91
2007-08-29,93
2007-08-30,95
2007-08-31,97
2007-09-01,100
2007-09-02,98
2007-09-03,97
2007-09-04,96
2007-09-05,94
2007-09-06,93
2007-09-07,92
2007-09-08,90
2007-09-09,89
2007-09-10,88
2007-09-11,87
2007-09-12,85
2007-09-13,84
2007-09-14,83
2007-09-15,81
2007-09-16,80
2007-09-17,79
2007-09-18,77
2007-09-19,76
2007-09-20,75
2007-09-21,74
2007-09-22,72
2007-09-23,71
2007-09-24,70
2007-09-25,68
2007-09-26,67
2007-09-27,66
2007-09-28,64
2007-09-29,63
2007-09-30,62
2007-10-01,61
2007-10-02,60
2007-10-03,59
2007-10-04,58
2007-10-05,57
2007-10-06,56
2007-10-07,55
2007-10-08,54
2007-10-09,54
2007-10-10,53
2007-10-11,52
2007-10-12,51
2007-10-13,50
2007-10-14,49
2007-10-15,48
2007-10-16,47
2007-10-17,47
2007-10-18,46
2007-10-19,45
2007-10-20,44
2007-10-21,43
2007-10-22,42
2007-10-23,41
2007-10-24,40
2007-10-25,40
2007-10-26,39
2007-10-27,38
2007-10-28,37
2007-10-29,36
2007-10-30,35
2007-10-31,34
2007-11-01,34
2007-11-02,33
2007-11-03,33
2007-11-04,33
2007-11-05,32
2007-11-06,32
2007-11-07,32
2007-11-08,31
2007-11-09,31
2007-11-10,31
2007-11-11,30
2007-11-12,30
2007-11-13,30
2007-11-14,29
2007-11-15,29
2007-11-16,29
2007-11-17,28
2007-11-18,28
2007-11-19,28
2007-11-20,27
2007-11-21,27
2007-11-22,27
2007-11-23,26
2007-11-24,26
2007-11-25,26
2007-11-26,25
2007-11-27,25
2007-11-28,25
2007-11-29,24
2007-11-30,24
2007-12-01,24
2007-12-02,24
2007-12-03,24
2007-12-04,24
2007-12-05,24
2007-12-06,24
2007-12-07,24
2007-12-08,24
2007-12-09,24
2007-12-10,24
2007-12-11,24
2007-12-12,24
2007-12-13,24
2007-12-14,24
2007-12-15,24
2007-12-16,24
2007-12-17,24
2007-12-18,24
2007-12-19,24
2007-12-20,24
2007-12-21,24
2007-12-22,24
2007-12-23,24
2007-12-24,24
2007-12-25,24
2007-12-26,24
2007-12-27,24
2007-12-28,24
2007-12-29,24
2007-12-30,24
2007-12-31,24
2008-01-01,24
2008-01-02,23
2008-01-03,23
2008-01-04,23
2008-01-05,23
2008-01-06,23
2008-01-07,23
2008-01-08,23
2008-01-09,23
2008-01-10,23
2008-01-11,23
2008-01-12,23
2008-01-13,23
2008-01-14,23
2008-01-15,23
2008-01-16,23
2008-01-17,23
2008-01-18,23
2008-01-19,23
2008-01-20,23
2008-01-21,23
2008-01-22,23
2008-01-23,23
2008-01-24,23
2008-01-25,23
2008-01-26,23
2008-01-27,23
2008-01-28,23
2008-01-29,23
2008-01-30,23
2008-01-31,23
2008-02-01,23
2008-02-02,23
2008-02-03,23
2008-02-04,23
2008-02-05,23
2008-02-06,23
2008-02-07,23
2008-02-08,23
2008-02-09,24
2008-02-10,24
2008-02-11,24
2008-02-12,24
2008-02-13,24
2008-02-14,24
2008-02-15,24
2008-02-16,25
2008-02-17,25
2008-02-18,25
2008-02-19,25
2008-02-20,25
2008-02-21,25
2008-02-22,25
2008-02-23,26
2008-02-24,26
2008-02-25,26
2008-02-26,26
2008-02-27,26
2008-02-28,26
2008-02-29,26
2008-03-01,27
2008-03-02,27
2008-03-03,27
2008-03-04,27
2008-03-05,27
2008-03-06,27
2008-03-07,27
2008-03-08,27
2008-03-09,28
2008-03-10,28
2008-03-11,28
2008-03-12,28
2008-03-13,28
2008-03-14,28
2008-03-15,28
2008-03-16,28
2008-03-17,29
2008-03-18,29
2008-03-19,29
2008-03-20,29
2008-03-21,29
2008-03-22,29
2008-03-23,29
2008-03-24,29
2008-03-25,30
2008-03-26,30
2008-03-27,30
2008-03-28,30
2008-03-29,30
2008-03-30,30
2008-03-31,30
2008-04-01,31
2008-04-02,31
2008-04-03,31
2008-04-04,31
2008-04-05,31
2008-04-06,31
2008-04-07,31
2008-04-08,31
2008-04-09,32
2008-04-10,32
2008-04-11,32
2008-04-12,32
2008-04-13,32
2008-04-14,32
2008-04-15,32
2008-04-16,33
2008-04-17,33
2008-04-18,33
2008-04-19,33
2008-04-20,33
2008-04-21,33
2008-04-22,33
2008-04-23,33
2008-04-24,34
2008-04-25,34
2008-04-26,34
2008-04-27,34
2008-04-28,34
2008-04-29,34
2008-04-30,34
2008-05-01,35
2008-05-02,34
2008-05-03,34
2008-05-04,34
2008-05-05,34
2008-05-06,34
2008-05-07,34
2008-05-08,34
2008-05-09,33
2008-05-10,33
2008-05-11,33
2008-05-12,33
2008-05-13,33
2008-05-14,33
2008-05-15,33
2008-05-16,33
2008-05-17,32
2008-05-18,32
2008-05-19,32
2008-05-20,32
2008-05-21,32
2008-05-22,32
2008-05-23,32
2008-05-24,32
2008-05-25,31
2008-05-26,31
2008-05-27,31
2008-05-28,31
2008-05-29,31
2008-05-30,31
2008-05-31,31
2008-06-01,31
2008-06-02,30
2008-06-03,30
2008-06-04,29
2008-06-05,29
2008-06-06,29
2008-06-07,28
2008-06-08,28
2008-06-09,28
2008-06-10,27
2008-06-11,27
2008-06-12,26
2008-06-13,26
2008-06-14,26
2008-06-15,25
2008-06-16,25
2008-06-17,25
2008-06-18,24
2008-06-19,24
2008-06-20,24
2008-06-21,23
2008-06-22,23
2008-06-23,22
2008-06-24,22
2008-06-25,22
2008-06-26,21
2008-06-27,21
2008-06-28,21
2008-06-29,20
2008-06-30,20
2008-07-01,20
2008-07-02,19
2008-07-03,19
2008-07-04,19
2008-07-05,19
2008-07-06,19
2008-07-07,19
2008-07-08,19
2008-07-09,19
2008-07-10,19
2008-07-11,19
2008-07-12,18
2008-07-13,18
2008-07-14,18
2008-07-15,18
2008-07-16,18
2008-07-17,18
2008-07-18,18
2008-07-19,18
2008-07-20,18
2008-07-21,18
2008-07-22,17
2008-07-23,17
2008-07-24,17
2008-07-25,17
2008-07-26,17
2008-07-27,17
2008-07-28,17
2008-07-29,17
2008-07-30,17
2008-07-31,17
2008-08-01,17
2008-08-02,17
2008-08-03,17
2008-08-04,17
2008-08-05,17
2008-08-06,17
2008-08-07,17
2008-08-08,17
2008-08-09,17
2008-08-10,17
2008-08-11,17
2008-08-12,17
2008-08-13,17
2008-08-14,17
2008-08-15,17
2008-08-16,17
2008-08-17,17
2008-08-18,17
2008-08-19,17
2008-08-20,17
2008-08-21,17
2008-08-22,17
2008-08-23,17
2008-08-24,17
2008-08-25,17
2008-08-26,17
2008-08-27,17
2008-08-28,17
2008-08-29,17
2008-08-30,17
2008-08-31,17
2008-09-01,17
2008-09-02,17
2008-09-03,17
2008-09-04,17
2008-09-05,17
2008-09-06,17
2008-09-07,17
2008-09-08,17
2008-09-09,17
2008-09-10,17
2008-09-11,17
2008-09-12,17
2008-09-13,17
2008-09-14,17
2008-09-15,17
2008-09-16,17
2008-09-17,17
2008-09-18,17
2008-09-19,17
2008-09-20,17
2008-09-21,17
2008-09-22,17
2008-09-23,17
2008-09-24,17
2008-09-25,17
2008-09-26,17
2008-09-27,17
2008-09-28,17
2008-09-29,17
2008-09-30,17
2008-10-01,17
2008-10-02,16
2008-10-03,16
2008-10-04,16
2008-10-05,16
2008-10-06,16
2008-10-07,16
2008-10-08,16
2008-10-09,16
2008-10-10,16
2008-10-11,16
2008-10-12,16
2008-10-13,16
2008-10-14,16
2008-10-15,16
2008-10-16,16
2008-10-17,16
2008-10-18,16
2008-10-19,16
2008-10-20,16
2008-10-21,16
2008-10-22,16
2008-10-23,16
2008-10-24,16
2008-10-25,16
2008-10-26,16
2008-10-27,16
2008-10-28,16
2008-10-29,16
2008-10-30,16
2008-10-31,16
2008-11-01,16
2008-11-02,15
2008-11-03,14
2008-11-04,14
2008-11-05,13
2008-11-06,13
2008-11-07,12
2008-11-08,12
2008-11-09,11
2008-11-10,11
2008-11-11,10
2008-11-12,10
2008-11-13,9
2008-11-14,9
2008-11-15,8
2008-11-16,8
2008-11-17,7
2008-11-18,6
2008-11-19,6
2008-11-20,5
2008-11-21,5
2008-11-22,4
2008-11-23,4
2008-11-24,3
2008-11-25,3
2008-11-26,2
2008-11-27,2
2008-11-28,1
2008-11-29,1
2008-11-30,0
