Date,Initiate Systems
2007-05-01,100
2007-05-02,99
2007-05-03,99
2007-05-04,98
2007-05-05,98
2007-05-06,97
2007-05-07,97
2007-05-08,96
2007-05-09,96
2007-05-10,95
2007-05-11,95
2007-05-12,95
2007-05-13,94
2007-05-14,94
2007-05-15,93
2007-05-16,93
2007-05-17,92
2007-05-18,92
2007-05-19,91
2007-05-20,91
2007-05-21,90
2007-05-22,90
2007-05-23,90
2007-05-24,89
2007-05-25,89
2007-05-26,88
2007-05-27,88
2007-05-28,87
2007-05-29,87
2007-05-30,86
2007-05-31,86
2007-06-01,86
2007-06-02,85
2007-06-03,84
2007-06-04,83
2007-06-05,83
2007-06-06,82
2007-06-07,81
2007-06-08,81
2007-06-09,80
2007-06-10,79
2007-06-11,79
2007-06-12,78
2007-06-13,77
2007-06-14,76
2007-06-15,76
2007-06-16,75
2007-06-17,74
2007-06-18,74
2007-06-19,73
2007-06-20,72
2007-06-21,72
2007-06-22,71
2007-06-23,70
2007-06-24,69
2007-06-25,69
2007-06-26,68
2007-06-27,67
2007-06-28,67
2007-06-29,66
2007-06-30,65
2007-07-01,65
2007-07-02,65
2007-07-03,65
2007-07-04,66
2007-07-05,66
2007-07-06,67
2007-07-07,67
2007-07-08,68
2007-07-09,68
2007-07-10,69
2007-07-11,69
2007-07-12,70
2007-07-13,70
2007-07-14,71
2007-07-15,71
2007-07-16,72
2007-07-17,72
2007-07-18,73
2007-07-19,73
2007-07-20,74
2007-07-21,74
2007-07-22,75
2007-07-23,75
2007-07-24,76
2007-07-25,76
2007-07-26,77
2007-07-27,77
2007-07-28,78
2007-07-29,78
2007-07-30,79
2007-07-31,79
2007-08-01,80
2007-08-02,79
2007-08-03,78
2007-08-04,77
2007-08-05,76
2007-08-06,76
2007-08-07,75
2007-08-08,74
2007-08-09,73
2007-08-10,73
2007-08-11,72
2007-08-12,71
2007-08-13,70
2007-08-14,69
2007-08-15,69
2007-08-16,68
2007-08-17,67
2007-08-18,66
2007-08-19,66
2007-08-20,65
2007-08-21,64
2007-08-22,63
2007-08-23,62
2007-08-24,62
2007-08-25,61
2007-08-26,60
2007-08-27,59
2007-08-28,59
2007-08-29,58
2007-08-30,57
2007-08-31,56
2007-09-01,56
2007-09-02,56
2007-09-03,56
2007-09-04,57
2007-09-05,57
2007-09-06,58
2007-09-07,58
2007-09-08,59
2007-09-09,59
2007-09-10,59
2007-09-11,60
2007-09-12,60
2007-09-13,61
2007-09-14,61
2007-09-15,62
2007-09-16,62
2007-09-17,62
2007-09-18,63
2007-09-19,63
2007-09-20,64
2007-09-21,64
2007-09-22,65
2007-09-23,65
2007-09-24,65
2007-09-25,66
2007-09-26,66
2007-09-27,67
2007-09-28,67
2007-09-29,68
2007-09-30,68
2007-10-01,69
2007-10-02,69
2007-10-03,70
2007-10-04,70
2007-10-05,71
2007-10-06,72
2007-10-07,72
2007-10-08,73
2007-10-09,73
2007-10-10,74
2007-10-11,75
2007-10-12,75
2007-10-13,76
2007-10-14,76
2007-10-15,77
2007-10-16,78
2007-10-17,78
2007-10-18,79
2007-10-19,80
2007-10-20,80
2007-10-21,81
2007-10-22,81
2007-10-23,82
2007-10-24,83
2007-10-25,83
2007-10-26,84
2007-10-27,84
2007-10-28,85
2007-10-29,86
2007-10-30,86
2007-10-31,87
2007-11-01,88
2007-11-02,86
2007-11-03,85
2007-11-04,84
2007-11-05,83
2007-11-06,82
2007-11-07,81
2007-11-08,80
2007-11-09,79
2007-11-10,78
2007-11-11,77
2007-11-12,76
2007-11-13,75
2007-11-14,74
2007-11-15,73
2007-11-16,72
2007-11-17,71
2007-11-18,70
2007-11-19,69
2007-11-20,68
2007-11-21,67
2007-11-22,66
2007-11-23,65
2007-11-24,64
2007-11-25,63
2007-11-26,62
2007-11-27,61
2007-11-28,60
2007-11-29,59
2007-11-30,58
2007-12-01,57
2007-12-02,56
2007-12-03,56
2007-12-04,55
2007-12-05,55
2007-12-06,55
2007-12-07,54
2007-12-08,54
2007-12-09,54
2007-12-10,53
2007-12-11,53
2007-12-12,53
2007-12-13,52
2007-12-14,52
2007-12-15,52
2007-12-16,51
2007-12-17,51
2007-12-18,50
2007-12-19,50
2007-12-20,50
2007-12-21,49
2007-12-22,49
2007-12-23,49
2007-12-24,48
2007-12-25,48
2007-12-26,48
2007-12-27,47
2007-12-28,47
2007-12-29,47
2007-12-30,46
2007-12-31,46
2008-01-01,46
2008-01-02,46
2008-01-03,47
2008-01-04,47
2008-01-05,48
2008-01-06,48
2008-01-07,49
2008-01-08,49
2008-01-09,50
2008-01-10,50
2008-01-11,51
2008-01-12,51
2008-01-13,52
2008-01-14,52
2008-01-15,53
2008-01-16,53
2008-01-17,54
2008-01-18,54
2008-01-19,55
2008-01-20,55
2008-01-21,56
2008-01-22,56
2008-01-23,57
2008-01-24,57
2008-01-25,58
2008-01-26,58
2008-01-27,59
2008-01-28,59
2008-01-29,60
2008-01-30,60
2008-01-31,61
2008-02-01,62
2008-02-02,61
2008-02-03,60
2008-02-04,60
2008-02-05,59
2008-02-06,58
2008-02-07,58
2008-02-08,57
2008-02-09,56
2008-02-10,56
2008-02-11,55
2008-02-12,54
2008-02-13,54
2008-02-14,53
2008-02-15,52
2008-02-16,52
2008-02-17,51
2008-02-18,50
2008-02-19,50
2008-02-20,49
2008-02-21,48
2008-02-22,48
2008-02-23,47
2008-02-24,46
2008-02-25,46
2008-02-26,45
2008-02-27,44
2008-02-28,44
2008-02-29,43
2008-03-01,43
2008-03-02,43
2008-03-03,43
2008-03-04,43
2008-03-05,43
2008-03-06,43
2008-03-07,43
2008-03-08,43
2008-03-09,43
2008-03-10,43
2008-03-11,43
2008-03-12,43
2008-03-13,43
2008-03-14,43
2008-03-15,43
2008-03-16,43
2008-03-17,43
2008-03-18,43
2008-03-19,43
2008-03-20,43
2008-03-21,43
2008-03-22,43
2008-03-23,43
2008-03-24,43
2008-03-25,43
2008-03-26,43
2008-03-27,43
2008-03-28,43
2008-03-29,43
2008-03-30,43
2008-03-31,43
2008-04-01,43
2008-04-02,43
2008-04-03,44
2008-04-04,44
2008-04-05,45
2008-04-06,45
2008-04-07,46
2008-04-08,46
2008-04-09,47
2008-04-10,48
2008-04-11,48
2008-04-12,49
2008-04-13,49
2008-04-14,50
2008-04-15,50
2008-04-16,51
2008-04-17,52
2008-04-18,52
2008-04-19,53
2008-04-20,53
2008-04-21,54
2008-04-22,54
2008-04-23,55
2008-04-24,56
2008-04-25,56
2008-04-26,57
2008-04-27,57
2008-04-28,58
2008-04-29,58
2008-04-30,59
2008-05-01,60
2008-05-02,59
2008-05-03,58
2008-05-04,58
2008-05-05,57
2008-05-06,57
2008-05-07,56
2008-05-08,56
2008-05-09,55
2008-05-10,55
2008-05-11,54
2008-05-12,54
2008-05-13,53
2008-05-14,53
2008-05-15,52
2008-05-16,52
2008-05-17,51
2008-05-18,51
2008-05-19,50
2008-05-20,50
2008-05-21,49
2008-05-22,49
2008-05-23,48
2008-05-24,48
2008-05-25,47
2008-05-26,47
2008-05-27,46
2008-05-28,46
2008-05-29,45
2008-05-30,45
2008-05-31,44
2008-06-01,44
2008-06-02,44
2008-06-03,44
2008-06-04,45
2008-06-05,45
2008-06-06,46
2008-06-07,46
2008-06-08,46
2008-06-09,47
2008-06-10,47
2008-06-11,48
2008-06-12,48
2008-06-13,48
2008-06-14,49
2008-06-15,49
2008-06-16,50
2008-06-17,50
2008-06-18,50
2008-06-19,51
2008-06-20,51
2008-06-21,52
2008-06-22,52
2008-06-23,52
2008-06-24,53
2008-06-25,53
2008-06-26,54
2008-06-27,54
2008-06-28,54
2008-06-29,55
2008-06-30,55
2008-07-01,56
2008-07-02,55
2008-07-03,55
2008-07-04,55
2008-07-05,54
2008-07-06,54
2008-07-07,54
2008-07-08,53
2008-07-09,53
2008-07-10,53
2008-07-11,53
2008-07-12,52
2008-07-13,52
2008-07-14,52
2008-07-15,51
2008-07-16,51
2008-07-17,51
2008-07-18,51
2008-07-19,50
2008-07-20,50
2008-07-21,50
2008-07-22,49
2008-07-23,49
2008-07-24,49
2008-07-25,49
2008-07-26,48
2008-07-27,48
2008-07-28,48
2008-07-29,47
2008-07-30,47
2008-07-31,47
2008-08-01,47
2008-08-02,47
2008-08-03,47
2008-08-04,47
2008-08-05,47
2008-08-06,47
2008-08-07,47
2008-08-08,47
2008-08-09,47
2008-08-10,47
2008-08-11,47
2008-08-12,47
2008-08-13,47
2008-08-14,47
2008-08-15,47
2008-08-16,47
2008-08-17,47
2008-08-18,47
2008-08-19,47
2008-08-20,47
2008-08-21,47
2008-08-22,47
2008-08-23,47
2008-08-24,47
2008-08-25,47
2008-08-26,47
2008-08-27,47
2008-08-28,47
2008-08-29,47
2008-08-30,47
2008-08-31,47
2008-09-01,47
2008-09-02,47
2008-09-03,48
2008-09-04,48
2008-09-05,49
2008-09-06,49
2008-09-07,50
2008-09-08,50
2008-09-09,51
2008-09-10,52
2008-09-11,52
2008-09-12,53
2008-09-13,53
2008-09-14,54
2008-09-15,54
2008-09-16,55
2008-09-17,56
2008-09-18,56
2008-09-19,57
2008-09-20,57
2008-09-21,58
2008-09-22,58
2008-09-23,59
2008-09-24,60
2008-09-25,60
2008-09-26,61
2008-09-27,61
2008-09-28,62
2008-09-29,62
2008-09-30,63
2008-10-01,64
2008-10-02,63
2008-10-03,63
2008-10-04,63
2008-10-05,63
2008-10-06,63
2008-10-07,63
2008-10-08,63
2008-10-09,62
2008-10-10,62
2008-10-11,62
2008-10-12,62
2008-10-13,62
2008-10-14,62
2008-10-15,62
2008-10-16,62
2008-10-17,61
2008-10-18,61
2008-10-19,61
2008-10-20,61
2008-10-21,61
2008-10-22,61
2008-10-23,61
2008-10-24,61
2008-10-25,60
2008-10-26,60
2008-10-27,60
2008-10-28,60
2008-10-29,60
2008-10-30,60
2008-10-31,60
2008-11-01,60
2008-11-02,59
2008-11-03,59
2008-11-04,58
2008-11-05,58
2008-11-06,58
2008-11-07,57
2008-11-08,57
2008-11-09,56
2008-11-10,56
2008-11-11,56
2008-11-12,55
2008-11-13,55
2008-11-14,54
2008-11-15,54
2008-11-16,54
2008-11-17,53
2008-11-18,53
2008-11-19,52
2008-11-20,52
2008-11-21,52
2008-11-22,51
2008-11-23,51
2008-11-24,50
2008-11-25,50
2008-11-26,50
2008-11-27,49
2008-11-28,49
2008-11-29,48
2008-11-30,48
2008-12-01,48
2008-12-02,48
2008-12-03,48
2008-12-04,48
2008-12-05,48
2008-12-06,48
2008-12-07,48
2008-12-08,48
2008-12-09,48
2008-12-10,48
2008-12-11,48
2008-12-12,48
2008-12-13,48
2008-12-14,48
2008-12-15,48
2008-12-16,48
2008-12-17,48
2008-12-18,48
2008-12-19,48
2008-12-20,48
2008-12-21,48
2008-12-22,48
2008-12-23,48
2008-12-24,48
2008-12-25,48
2008-12-26,48
2008-12-27,48
2008-12-28,48
2008-12-29,48
2008-12-30,48
2008-12-31,48
2009-01-01,48
2009-01-02,47
2009-01-03,47
2009-01-04,47
2009-01-05,46
2009-01-06,46
2009-01-07,46
2009-01-08,46
2009-01-09,45
2009-01-10,45
2009-01-11,45
2009-01-12,45
2009-01-13,44
2009-01-14,44
2009-01-15,44
2009-01-16,44
2009-01-17,43
2009-01-18,43
2009-01-19,43
2009-01-20,43
2009-01-21,42
2009-01-22,42
2009-01-23,42
2009-01-24,42
2009-01-25,41
2009-01-26,41
2009-01-27,41
2009-01-28,41
2009-01-29,40
2009-01-30,40
2009-01-31,40
2009-02-01,40
2009-02-02,40
2009-02-03,40
2009-02-04,41
2009-02-05,41
2009-02-06,42
2009-02-07,42
2009-02-08,43
2009-02-09,43
2009-02-10,44
2009-02-11,44
2009-02-12,45
2009-02-13,45
2009-02-14,46
2009-02-15,46
2009-02-16,46
2009-02-17,47
2009-02-18,47
2009-02-19,48
2009-02-20,48
2009-02-21,49
2009-02-22,49
2009-02-23,50
2009-02-24,50
2009-02-25,51
2009-02-26,51
2009-02-27,52
2009-02-28,52
2009-03-01,53
2009-03-02,51
2009-03-03,49
2009-03-04,47
2009-03-05,46
2009-03-06,44
2009-03-07,42
2009-03-08,41
2009-03-09,39
2009-03-10,37
2009-03-11,35
2009-03-12,34
2009-03-13,32
2009-03-14,30
2009-03-15,29
2009-03-16,27
2009-03-17,25
2009-03-18,23
2009-03-19,22
2009-03-20,20
2009-03-21,18
2009-03-22,17
2009-03-23,15
2009-03-24,13
2009-03-25,11
2009-03-26,10
2009-03-27,8
2009-03-28,6
2009-03-29,5
2009-03-30,3
2009-03-31,1
