Date,SolarWinds
2007-09-01,0
2007-09-02,0
2007-09-03,0
2007-09-04,0
2007-09-05,0
2007-09-06,0
2007-09-07,0
2007-09-08,0
2007-09-09,0
2007-09-10,0
2007-09-11,0
2007-09-12,0
2007-09-13,0
2007-09-14,0
2007-09-15,0
2007-09-16,0
2007-09-17,0
2007-09-18,0
2007-09-19,0
2007-09-20,0
2007-09-21,0
2007-09-22,0
2007-09-23,0
2007-09-24,0
2007-09-25,0
2007-09-26,0
2007-09-27,0
2007-09-28,0
2007-09-29,0
2007-09-30,0
2007-10-01,0
2007-10-02,0
2007-10-03,1
2007-10-04,2
2007-10-05,3
2007-10-06,4
2007-10-07,5
2007-10-08,6
2007-10-09,7
2007-10-10,8
2007-10-11,9
2007-10-12,10
2007-10-13,11
2007-10-14,12
2007-10-15,13
2007-10-16,14
2007-10-17,15
2007-10-18,16
2007-10-19,17
2007-10-20,18
2007-10-21,19
2007-10-22,20
2007-10-23,21
2007-10-24,22
2007-10-25,23
2007-10-26,24
2007-10-27,25
2007-10-28,26
2007-10-29,27
2007-10-30,28
2007-10-31,29
2007-11-01,30
2007-11-02,29
2007-11-03,29
2007-11-04,29
2007-11-05,29
2007-11-06,29
2007-11-07,29
2007-11-08,29
2007-11-09,29
2007-11-10,29
2007-11-11,29
2007-11-12,29
2007-11-13,29
2007-11-14,29
2007-11-15,29
2007-11-16,29
2007-11-17,29
2007-11-18,29
2007-11-19,29
2007-11-20,29
2007-11-21,29
2007-11-22,29
2007-11-23,29
2007-11-24,29
2007-11-25,29
2007-11-26,29
2007-11-27,29
2007-11-28,29
2007-11-29,29
2007-11-30,29
2007-12-01,29
2007-12-02,29
2007-12-03,29
2007-12-04,29
2007-12-05,29
2007-12-06,29
2007-12-07,29
2007-12-08,29
2007-12-09,30
2007-12-10,30
2007-12-11,30
2007-12-12,30
2007-12-13,30
2007-12-14,30
2007-12-15,30
2007-12-16,30
2007-12-17,31
2007-12-18,31
2007-12-19,31
2007-12-20,31
2007-12-21,31
2007-12-22,31
2007-12-23,31
2007-12-24,31
2007-12-25,32
2007-12-26,32
2007-12-27,32
2007-12-28,32
2007-12-29,32
2007-12-30,32
2007-12-31,32
2008-01-01,33
2008-01-02,32
2008-01-03,32
2008-01-04,32
2008-01-05,32
2008-01-06,32
2008-01-07,32
2008-01-08,32
2008-01-09,31
2008-01-10,31
2008-01-11,31
2008-01-12,31
2008-01-13,31
2008-01-14,31
2008-01-15,31
2008-01-16,31
2008-01-17,30
2008-01-18,30
2008-01-19,30
2008-01-20,30
2008-01-21,30
2008-01-22,30
2008-01-23,30
2008-01-24,30
2008-01-25,29
2008-01-26,29
2008-01-27,29
2008-01-28,29
2008-01-29,29
2008-01-30,29
2008-01-31,29
2008-02-01,29
2008-02-02,29
2008-02-03,30
2008-02-04,30
2008-02-05,31
2008-02-06,32
2008-02-07,32
2008-02-08,33
2008-02-09,33
2008-02-10,34
2008-02-11,35
2008-02-12,35
