Date,Kosmos Energy
2010-07-01,65
2010-07-02,64
2010-07-03,63
2010-07-04,63
2010-07-05,62
2010-07-06,61
2010-07-07,61
2010-07-08,60
2010-07-09,59
2010-07-10,59
2010-07-11,58
2010-07-12,57
2010-07-13,57
2010-07-14,56
2010-07-15,55
2010-07-16,55
2010-07-17,54
2010-07-18,54
2010-07-19,53
2010-07-20,52
2010-07-21,52
2010-07-22,51
2010-07-23,50
2010-07-24,50
2010-07-25,49
2010-07-26,48
2010-07-27,48
2010-07-28,47
2010-07-29,46
2010-07-30,46
2010-07-31,45
2010-08-01,45
2010-08-02,44
2010-08-03,44
2010-08-04,44
2010-08-05,44
2010-08-06,44
2010-08-07,44
2010-08-08,44
2010-08-09,44
2010-08-10,44
2010-08-11,44
2010-08-12,44
2010-08-13,44
2010-08-14,44
2010-08-15,44
2010-08-16,44
2010-08-17,44
2010-08-18,44
2010-08-19,44
2010-08-20,44
2010-08-21,44
2010-08-22,44
2010-08-23,44
2010-08-24,44
2010-08-25,44
2010-08-26,44
2010-08-27,44
2010-08-28,44
2010-08-29,44
2010-08-30,44
2010-08-31,44
2010-09-01,44
2010-09-02,44
2010-09-03,45
2010-09-04,45
2010-09-05,46
2010-09-06,47
2010-09-07,47
2010-09-08,48
2010-09-09,49
2010-09-10,49
2010-09-11,50
2010-09-12,50
2010-09-13,51
2010-09-14,52
2010-09-15,52
2010-09-16,53
2010-09-17,54
2010-09-18,54
2010-09-19,55
2010-09-20,56
2010-09-21,56
2010-09-22,57
2010-09-23,57
2010-09-24,58
2010-09-25,59
2010-09-26,59
2010-09-27,60
2010-09-28,61
2010-09-29,61
2010-09-30,62
2010-10-01,63
2010-10-02,63
2010-10-03,63
2010-10-04,63
2010-10-05,63
2010-10-06,63
2010-10-07,63
2010-10-08,63
2010-10-09,63
2010-10-10,63
2010-10-11,63
2010-10-12,64
2010-10-13,64
2010-10-14,64
2010-10-15,64
2010-10-16,64
2010-10-17,64
2010-10-18,64
2010-10-19,64
2010-10-20,64
2010-10-21,64
2010-10-22,65
2010-10-23,65
2010-10-24,65
2010-10-25,65
2010-10-26,65
2010-10-27,65
2010-10-28,65
2010-10-29,65
2010-10-30,65
2010-10-31,65
2010-11-01,66
2010-11-02,66
2010-11-03,66
2010-11-04,67
2010-11-05,67
2010-11-06,68
2010-11-07,68
2010-11-08,69
2010-11-09,69
2010-11-10,69
2010-11-11,70
2010-11-12,70
2010-11-13,71
2010-11-14,71
2010-11-15,72
2010-11-16,72
2010-11-17,72
2010-11-18,73
2010-11-19,73
2010-11-20,74
2010-11-21,74
2010-11-22,75
2010-11-23,75
2010-11-24,75
2010-11-25,76
2010-11-26,76
2010-11-27,77
2010-11-28,77
2010-11-29,78
2010-11-30,78
2010-12-01,79
2010-12-02,79
2010-12-03,79
2010-12-04,79
2010-12-05,79
2010-12-06,79
2010-12-07,79
2010-12-08,79
2010-12-09,79
2010-12-10,79
2010-12-11,79
2010-12-12,79
2010-12-13,79
2010-12-14,79
2010-12-15,79
2010-12-16,79
2010-12-17,79
2010-12-18,79
2010-12-19,79
2010-12-20,79
2010-12-21,79
2010-12-22,79
2010-12-23,79
2010-12-24,79
2010-12-25,79
2010-12-26,79
2010-12-27,79
2010-12-28,79
2010-12-29,79
2010-12-30,79
2010-12-31,79
2011-01-01,80
2011-01-02,79
2011-01-03,78
2011-01-04,78
2011-01-05,77
2011-01-06,77
2011-01-07,76
2011-01-08,75
2011-01-09,75
2011-01-10,74
2011-01-11,74
2011-01-12,73
2011-01-13,73
2011-01-14,72
2011-01-15,71
2011-01-16,71
2011-01-17,70
2011-01-18,70
2011-01-19,69
2011-01-20,68
2011-01-21,68
2011-01-22,67
2011-01-23,67
2011-01-24,66
2011-01-25,66
2011-01-26,65
2011-01-27,64
2011-01-28,64
2011-01-29,63
2011-01-30,63
2011-01-31,62
2011-02-01,62
2011-02-02,62
2011-02-03,62
2011-02-04,62
2011-02-05,62
2011-02-06,63
2011-02-07,63
2011-02-08,63
2011-02-09,63
2011-02-10,63
2011-02-11,64
2011-02-12,64
2011-02-13,64
2011-02-14,64
2011-02-15,65
2011-02-16,65
2011-02-17,65
2011-02-18,65
2011-02-19,65
2011-02-20,66
2011-02-21,66
2011-02-22,66
2011-02-23,66
2011-02-24,66
2011-02-25,67
2011-02-26,67
2011-02-27,67
2011-02-28,67
2011-03-01,68
2011-03-02,67
2011-03-03,67
2011-03-04,67
2011-03-05,67
2011-03-06,67
2011-03-07,67
2011-03-08,66
2011-03-09,66
2011-03-10,66
2011-03-11,66
2011-03-12,66
2011-03-13,66
2011-03-14,65
2011-03-15,65
2011-03-16,65
2011-03-17,65
2011-03-18,65
