Date,Dayton Superior
2006-04-01,100
2006-04-02,99
2006-04-03,98
2006-04-04,97
2006-04-05,96
2006-04-06,95
2006-04-07,95
2006-04-08,94
2006-04-09,93
2006-04-10,92
2006-04-11,91
2006-04-12,90
2006-04-13,90
2006-04-14,89
2006-04-15,88
2006-04-16,87
2006-04-17,86
2006-04-18,85
2006-04-19,85
2006-04-20,84
2006-04-21,83
2006-04-22,82
2006-04-23,81
2006-04-24,80
2006-04-25,80
2006-04-26,79
2006-04-27,78
2006-04-28,77
2006-04-29,76
2006-04-30,75
2006-05-01,75
2006-05-02,74
2006-05-03,73
2006-05-04,72
2006-05-05,71
2006-05-06,70
2006-05-07,70
2006-05-08,69
2006-05-09,68
2006-05-10,67
2006-05-11,66
2006-05-12,66
2006-05-13,65
2006-05-14,64
2006-05-15,63
2006-05-16,62
2006-05-17,62
2006-05-18,61
2006-05-19,60
2006-05-20,59
2006-05-21,58
2006-05-22,58
2006-05-23,57
2006-05-24,56
2006-05-25,55
2006-05-26,54
2006-05-27,54
2006-05-28,53
2006-05-29,52
2006-05-30,51
2006-05-31,50
2006-06-01,50
2006-06-02,50
2006-06-03,50
2006-06-04,51
2006-06-05,51
2006-06-06,52
2006-06-07,52
2006-06-08,53
2006-06-09,53
2006-06-10,54
2006-06-11,54
2006-06-12,55
2006-06-13,55
2006-06-14,56
2006-06-15,56
2006-06-16,57
2006-06-17,57
2006-06-18,57
2006-06-19,58
2006-06-20,58
2006-06-21,59
2006-06-22,59
2006-06-23,60
2006-06-24,60
2006-06-25,61
2006-06-26,61
2006-06-27,62
2006-06-28,62
2006-06-29,63
2006-06-30,63
2006-07-01,64
2006-07-02,64
2006-07-03,65
2006-07-04,65
2006-07-05,66
2006-07-06,66
2006-07-07,67
2006-07-08,67
2006-07-09,68
2006-07-10,68
2006-07-11,69
2006-07-12,70
2006-07-13,70
2006-07-14,71
2006-07-15,71
2006-07-16,72
2006-07-17,72
2006-07-18,73
2006-07-19,73
2006-07-20,74
2006-07-21,74
2006-07-22,75
2006-07-23,76
2006-07-24,76
2006-07-25,77
2006-07-26,77
2006-07-27,78
2006-07-28,78
2006-07-29,79
2006-07-30,79
2006-07-31,80
2006-08-01,81
2006-08-02,80
2006-08-03,80
2006-08-04,80
2006-08-05,80
2006-08-06,80
2006-08-07,80
2006-08-08,80
2006-08-09,80
2006-08-10,80
2006-08-11,80
2006-08-12,79
2006-08-13,79
2006-08-14,79
2006-08-15,79
2006-08-16,79
2006-08-17,79
2006-08-18,79
2006-08-19,79
2006-08-20,79
2006-08-21,79
2006-08-22,78
2006-08-23,78
2006-08-24,78
2006-08-25,78
2006-08-26,78
2006-08-27,78
2006-08-28,78
2006-08-29,78
2006-08-30,78
2006-08-31,78
2006-09-01,78
2006-09-02,78
2006-09-03,78
2006-09-04,78
2006-09-05,79
2006-09-06,79
2006-09-07,79
2006-09-08,79
2006-09-09,80
2006-09-10,80
2006-09-11,80
2006-09-12,80
2006-09-13,81
2006-09-14,81
2006-09-15,81
2006-09-16,82
2006-09-17,82
2006-09-18,82
2006-09-19,82
2006-09-20,83
2006-09-21,83
2006-09-22,83
2006-09-23,83
2006-09-24,84
2006-09-25,84
2006-09-26,84
2006-09-27,84
2006-09-28,85
2006-09-29,85
2006-09-30,85
2006-10-01,86
2006-10-02,85
2006-10-03,84
2006-10-04,83
2006-10-05,82
2006-10-06,81
2006-10-07,81
2006-10-08,80
2006-10-09,79
2006-10-10,78
2006-10-11,77
2006-10-12,77
2006-10-13,76
2006-10-14,75
2006-10-15,74
2006-10-16,73
2006-10-17,73
2006-10-18,72
2006-10-19,71
2006-10-20,70
2006-10-21,69
2006-10-22,69
2006-10-23,68
2006-10-24,67
2006-10-25,66
2006-10-26,65
2006-10-27,65
2006-10-28,64
2006-10-29,63
2006-10-30,62
2006-10-31,61
2006-11-01,61
2006-11-02,61
2006-11-03,62
2006-11-04,63
2006-11-05,63
2006-11-06,64
2006-11-07,65
2006-11-08,65
2006-11-09,66
2006-11-10,67
2006-11-11,68
2006-11-12,68
2006-11-13,69
2006-11-14,70
2006-11-15,70
2006-11-16,71
2006-11-17,72
2006-11-18,72
2006-11-19,73
2006-11-20,74
2006-11-21,75
2006-11-22,75
2006-11-23,76
2006-11-24,77
2006-11-25,77
2006-11-26,78
2006-11-27,79
2006-11-28,79
2006-11-29,80
2006-11-30,81
2006-12-01,82
2006-12-02,82
2006-12-03,82
2006-12-04,82
2006-12-05,82
2006-12-06,82
2006-12-07,82
2006-12-08,82
2006-12-09,82
2006-12-10,82
2006-12-11,82
2006-12-12,82
2006-12-13,82
2006-12-14,82
2006-12-15,82
2006-12-16,82
2006-12-17,83
2006-12-18,83
2006-12-19,83
2006-12-20,83
2006-12-21,83
2006-12-22,83
2006-12-23,83
2006-12-24,83
2006-12-25,83
2006-12-26,83
2006-12-27,83
2006-12-28,83
2006-12-29,83
2006-12-30,83
2006-12-31,83
2007-01-01,84
2007-01-02,83
2007-01-03,82
2007-01-04,81
2007-01-05,81
2007-01-06,80
2007-01-07,79
2007-01-08,78
2007-01-09,78
2007-01-10,77
2007-01-11,76
2007-01-12,75
2007-01-13,75
2007-01-14,74
2007-01-15,73
2007-01-16,72
2007-01-17,72
2007-01-18,71
2007-01-19,70
2007-01-20,69
2007-01-21,69
2007-01-22,68
2007-01-23,67
2007-01-24,66
2007-01-25,66
2007-01-26,65
2007-01-27,64
2007-01-28,63
2007-01-29,63
2007-01-30,62
2007-01-31,61
2007-02-01,61
2007-02-02,61
2007-02-03,61
2007-02-04,62
2007-02-05,62
2007-02-06,62
2007-02-07,63
2007-02-08,63
2007-02-09,64
2007-02-10,64
2007-02-11,64
2007-02-12,65
2007-02-13,65
2007-02-14,66
2007-02-15,66
2007-02-16,66
2007-02-17,67
2007-02-18,67
2007-02-19,68
2007-02-20,68
2007-02-21,68
2007-02-22,69
2007-02-23,69
2007-02-24,70
2007-02-25,70
2007-02-26,70
2007-02-27,71
2007-02-28,71
2007-03-01,72
2007-03-02,72
2007-03-03,72
2007-03-04,72
2007-03-05,72
2007-03-06,72
2007-03-07,73
2007-03-08,73
2007-03-09,73
2007-03-10,73
2007-03-11,73
2007-03-12,74
2007-03-13,74
2007-03-14,74
2007-03-15,74
2007-03-16,74
2007-03-17,75
2007-03-18,75
2007-03-19,75
2007-03-20,75
2007-03-21,75
2007-03-22,76
2007-03-23,76
2007-03-24,76
2007-03-25,76
2007-03-26,76
2007-03-27,77
2007-03-28,77
2007-03-29,77
2007-03-30,77
2007-03-31,77
2007-04-01,78
2007-04-02,77
2007-04-03,77
2007-04-04,77
2007-04-05,77
2007-04-06,77
2007-04-07,77
2007-04-08,77
2007-04-09,77
2007-04-10,77
2007-04-11,77
2007-04-12,77
2007-04-13,77
2007-04-14,77
2007-04-15,77
2007-04-16,77
2007-04-17,77
2007-04-18,77
2007-04-19,77
2007-04-20,77
2007-04-21,77
2007-04-22,77
2007-04-23,77
2007-04-24,77
2007-04-25,77
2007-04-26,77
2007-04-27,77
2007-04-28,77
2007-04-29,77
2007-04-30,77
2007-05-01,77
2007-05-02,76
2007-05-03,76
2007-05-04,76
2007-05-05,76
2007-05-06,76
2007-05-07,76
2007-05-08,76
2007-05-09,76
2007-05-10,76
2007-05-11,76
2007-05-12,76
2007-05-13,76
2007-05-14,76
2007-05-15,76
2007-05-16,76
2007-05-17,76
2007-05-18,76
2007-05-19,76
2007-05-20,76
2007-05-21,76
2007-05-22,76
2007-05-23,76
2007-05-24,76
2007-05-25,76
2007-05-26,76
2007-05-27,76
2007-05-28,76
2007-05-29,76
2007-05-30,76
2007-05-31,76
2007-06-01,76
2007-06-02,75
2007-06-03,74
2007-06-04,74
2007-06-05,73
2007-06-06,72
2007-06-07,72
2007-06-08,71
2007-06-09,70
2007-06-10,70
2007-06-11,69
2007-06-12,69
2007-06-13,68
2007-06-14,67
2007-06-15,67
2007-06-16,66
2007-06-17,65
2007-06-18,65
2007-06-19,64
2007-06-20,63
2007-06-21,63
2007-06-22,62
2007-06-23,62
2007-06-24,61
2007-06-25,60
2007-06-26,60
2007-06-27,59
2007-06-28,58
2007-06-29,58
2007-06-30,57
2007-07-01,57
2007-07-02,57
2007-07-03,58
2007-07-04,58
2007-07-05,59
2007-07-06,59
2007-07-07,60
2007-07-08,60
2007-07-09,61
2007-07-10,61
2007-07-11,62
2007-07-12,63
2007-07-13,63
2007-07-14,64
2007-07-15,64
2007-07-16,65
2007-07-17,65
2007-07-18,66
2007-07-19,66
2007-07-20,67
2007-07-21,67
2007-07-22,68
2007-07-23,69
2007-07-24,69
2007-07-25,70
2007-07-26,70
2007-07-27,71
2007-07-28,71
2007-07-29,72
2007-07-30,72
2007-07-31,73
2007-08-01,74
2007-08-02,73
2007-08-03,73
2007-08-04,73
2007-08-05,72
2007-08-06,72
2007-08-07,72
2007-08-08,71
2007-08-09,71
2007-08-10,71
2007-08-11,70
2007-08-12,70
2007-08-13,70
2007-08-14,69
2007-08-15,69
2007-08-16,69
2007-08-17,68
2007-08-18,68
2007-08-19,68
2007-08-20,67
2007-08-21,67
2007-08-22,67
2007-08-23,66
2007-08-24,66
2007-08-25,66
2007-08-26,65
2007-08-27,65
2007-08-28,65
2007-08-29,64
2007-08-30,64
2007-08-31,64
2007-09-01,64
2007-09-02,63
2007-09-03,63
2007-09-04,62
2007-09-05,62
2007-09-06,61
2007-09-07,61
2007-09-08,60
2007-09-09,60
2007-09-10,59
2007-09-11,59
2007-09-12,58
2007-09-13,58
2007-09-14,57
2007-09-15,57
2007-09-16,57
2007-09-17,56
2007-09-18,56
2007-09-19,55
2007-09-20,55
2007-09-21,54
2007-09-22,54
2007-09-23,53
2007-09-24,53
2007-09-25,52
2007-09-26,52
2007-09-27,51
2007-09-28,51
2007-09-29,50
2007-09-30,50
2007-10-01,50
2007-10-02,51
2007-10-03,52
2007-10-04,53
2007-10-05,54
2007-10-06,55
2007-10-07,56
2007-10-08,57
2007-10-09,58
2007-10-10,59
2007-10-11,60
2007-10-12,61
2007-10-13,62
2007-10-14,63
2007-10-15,64
2007-10-16,65
2007-10-17,67
2007-10-18,68
2007-10-19,69
2007-10-20,70
2007-10-21,71
2007-10-22,72
2007-10-23,73
2007-10-24,74
2007-10-25,75
2007-10-26,76
2007-10-27,77
2007-10-28,78
2007-10-29,79
2007-10-30,80
2007-10-31,81
2007-11-01,83
2007-11-02,81
2007-11-03,80
2007-11-04,79
2007-11-05,78
2007-11-06,77
2007-11-07,76
2007-11-08,75
2007-11-09,74
2007-11-10,73
2007-11-11,72
2007-11-12,70
2007-11-13,69
2007-11-14,68
2007-11-15,67
2007-11-16,66
2007-11-17,65
2007-11-18,64
2007-11-19,63
2007-11-20,62
2007-11-21,61
2007-11-22,59
2007-11-23,58
2007-11-24,57
2007-11-25,56
2007-11-26,55
2007-11-27,54
2007-11-28,53
2007-11-29,52
2007-11-30,51
2007-12-01,50
2007-12-02,51
2007-12-03,52
2007-12-04,53
2007-12-05,54
2007-12-06,55
2007-12-07,56
2007-12-08,57
2007-12-09,58
2007-12-10,59
2007-12-11,60
2007-12-12,61
2007-12-13,62
2007-12-14,63
2007-12-15,64
2007-12-16,65
2007-12-17,67
2007-12-18,68
2007-12-19,69
2007-12-20,70
2007-12-21,71
2007-12-22,72
2007-12-23,73
2007-12-24,74
2007-12-25,75
2007-12-26,76
2007-12-27,77
2007-12-28,78
2007-12-29,79
2007-12-30,80
2007-12-31,81
2008-01-06,79
2008-01-07,98
2008-01-08,78
2008-01-09,77
2008-01-10,77
2008-01-11,76
2008-01-12,75
2008-01-13,75
2008-01-14,74
2008-01-15,73
2008-01-16,73
2008-01-17,72
2008-01-18,72
2008-01-19,71
2008-01-20,70
2008-01-21,70
2008-01-22,69
2008-01-23,68
2008-01-24,68
2008-01-25,67
2008-01-26,66
2008-01-27,66
2008-01-28,65
2008-01-29,64
2008-01-30,64
2008-01-31,63
2008-02-01,63
2008-02-02,63
2008-02-03,64
2008-02-04,65
2008-02-05,65
2008-02-06,66
2008-02-07,67
2008-02-08,67
2008-02-09,68
2008-02-10,68
2008-02-11,68
2008-02-12,69
2008-02-13,70
2008-02-14,70
2008-02-15,71
2008-02-16,71
2008-02-17,72
2008-02-18,72
2008-02-19,73
2008-02-20,74
2008-02-21,74
2008-02-22,75
2008-02-23,75
2008-02-24,76
2008-02-25,77
2008-02-26,77
2008-02-27,78
2008-02-28,78
2008-02-29,79
2008-03-01,80
