Date,Esperion
2013-05-25,95
2013-05-26,95
2013-05-27,96
2013-05-28,97
2013-05-29,97
2013-05-30,98
2013-05-31,99
2013-06-01,100
2013-06-02,99
2013-06-03,99
2013-06-04,99
2013-06-05,99
2013-06-06,99
2013-06-07,99
2013-06-08,99
2013-06-09,99
2013-06-10,99
2013-06-11,99
2013-06-12,98
2013-06-13,98
2013-06-14,98
2013-06-15,98
2013-06-16,98
2013-06-17,98
2013-06-18,98
2013-06-19,98
2013-06-20,98
2013-06-21,98
2013-06-22,97
2013-06-23,97
2013-06-24,97
2013-06-25,97
2013-06-26,97
2013-06-27,97
2013-06-28,97
2013-06-29,97
2013-06-30,97
2013-07-01,97
2013-07-02,96
2013-07-03,95
2013-07-04,95
2013-07-05,94
2013-07-06,94
2013-07-07,93
2013-07-08,92
2013-07-09,92
2013-07-10,91
2013-07-11,91
2013-07-12,90
2013-07-13,90
2013-07-14,89
2013-07-15,88
2013-07-16,88
2013-07-17,87
2013-07-18,87
2013-07-19,86
2013-07-20,85
2013-07-21,85
2013-07-22,84
2013-07-23,84
2013-07-24,83
2013-07-25,83
2013-07-26,82
2013-07-27,81
2013-07-28,81
2013-07-29,80
2013-07-30,80
2013-07-31,79
2013-08-01,79
2013-08-02,79
2013-08-03,79
2013-08-04,79
2013-08-05,79
2013-08-06,79
2013-08-07,79
2013-08-08,79
2013-08-09,79
2013-08-10,79
2013-08-11,79
2013-08-12,80
2013-08-13,80
2013-08-14,80
2013-08-15,80
2013-08-16,80
2013-08-17,80
2013-08-18,80
2013-08-19,80
2013-08-20,80
2013-08-21,80
2013-08-22,81
2013-08-23,81
2013-08-24,81
2013-08-25,81
2013-08-26,81
2013-08-27,81
2013-08-28,81
2013-08-29,81
2013-08-30,81
2013-08-31,81
2013-09-01,82
2013-09-02,81
2013-09-03,81
2013-09-04,80
2013-09-05,80
2013-09-06,79
2013-09-07,79
2013-09-08,78
2013-09-09,78
2013-09-10,78
2013-09-11,77
2013-09-12,77
2013-09-13,76
2013-09-14,76
2013-09-15,75
2013-09-16,75
2013-09-17,75
2013-09-18,74
2013-09-19,74
2013-09-20,73
2013-09-21,73
2013-09-22,72
2013-09-23,72
2013-09-24,72
2013-09-25,71
2013-09-26,71
2013-09-27,70
2013-09-28,70
2013-09-29,69
2013-09-30,69
2013-10-01,69
2013-10-02,68
2013-10-03,67
2013-10-04,67
2013-10-05,66
2013-10-06,65
2013-10-07,65
2013-10-08,64
2013-10-09,64
2013-10-10,63
2013-10-11,62
2013-10-12,62
2013-10-13,61
2013-10-14,61
2013-10-15,60
2013-10-16,59
2013-10-17,59
2013-10-18,58
2013-10-19,57
2013-10-20,57
2013-10-21,56
2013-10-22,56
2013-10-23,55
2013-10-24,54
2013-10-25,54
2013-10-26,53
2013-10-27,53
2013-10-28,52
2013-10-29,51
2013-10-30,51
2013-10-31,50
2013-11-01,50
2013-11-02,49
2013-11-03,49
2013-11-04,49
2013-11-05,49
2013-11-06,49
2013-11-07,49
2013-11-08,49
2013-11-09,48
2013-11-10,48
2013-11-11,48
2013-11-12,48
2013-11-13,48
2013-11-14,48
2013-11-15,48
2013-11-16,48
2013-11-17,47
2013-11-18,47
2013-11-19,47
2013-11-20,47
2013-11-21,47
2013-11-22,47
2013-11-23,47
2013-11-24,46
2013-11-25,46
2013-11-26,46
2013-11-27,46
2013-11-28,46
2013-11-29,46
2013-11-30,46
2013-12-01,46
2013-12-02,44
2013-12-03,43
2013-12-04,41
2013-12-05,40
2013-12-06,38
2013-12-07,37
2013-12-08,35
2013-12-09,34
2013-12-10,32
2013-12-11,31
2013-12-12,29
2013-12-13,28
2013-12-14,26
2013-12-15,25
2013-12-16,23
2013-12-17,22
2013-12-18,20
2013-12-19,19
2013-12-20,17
2013-12-21,16
2013-12-22,14
2013-12-23,13
2013-12-24,11
2013-12-25,10
2013-12-26,8
2013-12-27,7
2013-12-28,5
2013-12-29,4
2013-12-30,2
2013-12-31,1
2014-01-01,0
2014-01-02,0
2014-01-03,0
2014-01-04,0
2014-01-05,0
2014-01-06,0
2014-01-07,0
2014-01-08,0
2014-01-09,0
2014-01-10,0
2014-01-11,0
2014-01-12,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,0
2014-01-17,0
2014-01-18,0
2014-01-19,0
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,0
2014-01-25,0
2014-01-26,0
2014-01-27,0
2014-01-28,0
2014-01-29,0
2014-01-30,0
2014-01-31,0
