Date,Employers
2006-06-01,69
2006-06-02,69
2006-06-03,70
2006-06-04,69
2006-06-05,69
2006-06-06,69
2006-06-07,68
2006-06-08,68
2006-06-09,68
2006-06-10,68
2006-06-11,68
2006-06-12,69
2006-06-13,69
2006-06-14,70
2006-06-15,70
2006-06-16,75
2006-06-17,72
2006-06-18,70
2006-06-19,68
2006-06-20,67
2006-06-21,65
2006-06-22,64
2006-06-23,62
2006-06-24,61
2006-06-25,61
2006-06-26,62
2006-06-27,67
2006-06-28,64
2006-06-29,65
2006-06-30,66
2006-07-01,67
2006-07-02,64
2006-07-03,62
2006-07-04,60
2006-07-05,57
2006-07-06,55
2006-07-07,53
2006-07-08,51
2006-07-09,53
2006-07-10,56
2006-07-11,58
2006-07-12,65
2006-07-13,63
2006-07-14,68
2006-07-15,69
2006-07-16,70
2006-07-17,72
2006-07-18,74
2006-07-19,76
2006-07-20,77
2006-07-21,79
2006-07-22,85
2006-07-23,83
2006-07-24,86
2006-07-25,89
2006-07-26,93
2006-07-27,96
2006-07-28,97
2006-07-29,101
2006-07-30,95
2006-07-31,90
2006-08-01,85
2006-08-02,80
2006-08-03,75
2006-08-04,70
2006-08-05,66
2006-08-06,67
2006-08-07,68
2006-08-08,72
2006-08-09,71
2006-08-10,72
2006-08-11,80
2006-08-12,75
2006-08-13,71
2006-08-14,67
2006-08-15,64
2006-08-16,61
2006-08-17,57
2006-08-18,55
2006-08-19,50
2006-08-20,53
2006-08-21,57
2006-08-22,60
2006-08-23,64
2006-08-24,67
2006-08-25,73
2006-08-26,75
2006-08-27,72
2006-08-28,70
2006-08-29,68
2006-08-30,65
2006-08-31,63
2006-09-01,61
2006-09-02,59
2006-09-03,61
2006-09-04,63
2006-09-05,66
2006-09-06,68
2006-09-07,75
2006-09-08,73
2006-09-09,80
2006-09-10,77
2006-09-11,78
2006-09-12,79
2006-09-13,89
2006-09-14,82
2006-09-15,91
2006-09-16,85
2006-09-17,81
2006-09-18,78
2006-09-19,77
2006-09-20,71
2006-09-21,69
2006-09-22,65
2006-09-23,62
2006-09-24,63
2006-09-25,64
2006-09-26,65
2006-09-27,66
2006-09-28,71
2006-09-29,68
2006-09-30,69
2006-10-01,69
2006-10-02,69
2006-10-03,69
2006-10-04,70
2006-10-05,72
2006-10-06,70
2006-10-07,71
2006-10-08,71
2006-10-09,71
2006-10-10,77
2006-10-11,72
2006-10-12,73
2006-10-13,73
2006-10-14,74
2006-10-15,73
2006-10-16,72
2006-10-17,72
2006-10-18,70
2006-10-19,69
2006-10-20,68
2006-10-21,67
2006-10-22,66
2006-10-23,65
2006-10-24,71
2006-10-25,64
2006-10-26,67
2006-10-27,64
2006-10-28,63
2006-10-29,65
2006-10-30,67
2006-10-31,74
2006-11-01,75
2006-11-02,75
2006-11-03,77
2006-11-04,81
2006-11-05,78
2006-11-06,76
2006-11-07,74
2006-11-08,78
2006-11-09,74
2006-11-10,69
2006-11-11,70
2006-11-12,69
2006-11-13,70
2006-11-14,71
2006-11-15,73
2006-11-16,76
2006-11-17,75
2006-11-18,79
2006-11-19,73
2006-11-20,70
2006-11-21,67
2006-11-22,65
2006-11-23,66
2006-11-24,58
2006-11-25,55
2006-11-26,55
2006-11-27,56
2006-11-28,56
2006-11-29,57
2006-11-30,57
2006-12-01,58
2006-12-02,59
2006-12-03,62
2006-12-04,65
2006-12-05,74
2006-12-06,71
2006-12-07,74
2006-12-08,82
2006-12-09,81
2006-12-10,78
2006-12-11,75
2006-12-12,72
2006-12-13,69
2006-12-14,66
2006-12-15,66
2006-12-16,60
2006-12-17,58
2006-12-18,57
2006-12-19,55
2006-12-20,54
2006-12-21,52
2006-12-22,51
2006-12-23,50
2006-12-24,49
2006-12-25,49
2006-12-26,49
2006-12-27,49
2006-12-28,49
2006-12-29,49
2006-12-30,49
2006-12-31,50
2007-01-01,52
2007-01-02,53
2007-01-03,55
2007-01-04,56
2007-01-05,58
2007-01-06,60
2007-01-07,64
2007-01-08,68
2007-01-09,72
2007-01-10,76
2007-01-11,90
2007-01-12,89
2007-01-13,88
2007-01-14,86
2007-01-15,85
2007-01-16,84
2007-01-17,83
2007-01-18,88
2007-01-19,81
2007-01-20,86
2007-01-21,79
2007-01-22,79
2007-01-23,79
2007-01-24,82
2007-01-25,78
2007-01-26,82
2007-01-27,78
2007-01-28,78
2007-01-29,78
2007-01-30,78
2007-01-31,81
2007-02-01,78
2007-02-02,84
2007-02-03,79
2007-02-04,79
2007-02-05,79
2007-02-06,82
2007-02-07,80
2007-02-08,83
2007-02-09,90
2007-02-10,82
2007-02-11,80
2007-02-12,78
2007-02-13,79
2007-02-14,75
2007-02-15,73
2007-02-16,73
2007-02-17,70
2007-02-18,70
2007-02-19,70
2007-02-20,71
2007-02-21,73
2007-02-22,74
2007-02-23,72
2007-02-24,75
2007-02-25,72
2007-02-26,71
2007-02-27,70
2007-02-28,69
2007-03-01,68
2007-03-02,72
2007-03-03,66
2007-03-04,66
2007-03-05,67
2007-03-06,71
2007-03-07,69
2007-03-08,71
2007-03-09,77
2007-03-10,72
2007-03-11,71
2007-03-12,70
2007-03-13,70
2007-03-14,70
2007-03-15,67
2007-03-16,69
2007-03-17,65
2007-03-18,65
2007-03-19,65
2007-03-20,66
2007-03-21,66
2007-03-22,69
2007-03-23,69
2007-03-24,67
2007-03-25,67
2007-03-26,67
2007-03-27,67
2007-03-28,71
2007-03-29,68
2007-03-30,69
2007-03-31,67
2007-04-01,66
2007-04-02,66
2007-04-03,66
2007-04-04,72
2007-04-05,66
2007-04-06,66
2007-04-07,66
2007-04-08,68
2007-04-09,70
2007-04-10,72
2007-04-11,74
2007-04-12,79
2007-04-13,81
2007-04-14,80
2007-04-15,79
2007-04-16,79
2007-04-17,79
2007-04-18,80
2007-04-19,78
2007-04-20,82
2007-04-21,78
2007-04-22,75
2007-04-23,73
2007-04-24,75
2007-04-25,69
2007-04-26,67
2007-04-27,65
2007-04-28,63
2007-04-29,64
2007-04-30,65
2007-05-01,67
2007-05-02,68
2007-05-03,74
2007-05-04,72
2007-05-05,78
2007-05-06,70
2007-05-07,68
2007-05-08,66
2007-05-09,63
2007-05-10,65
2007-05-11,59
2007-05-12,57
2007-05-13,57
2007-05-14,57
2007-05-15,58
2007-05-16,61
2007-05-17,57
2007-05-18,59
2007-05-19,57
2007-05-20,58
2007-05-21,60
2007-05-22,62
2007-05-23,64
2007-05-24,67
2007-05-25,68
2007-05-26,71
2007-05-27,67
2007-05-28,64
2007-05-29,61
2007-05-30,58
