Date,Athlon Energy
2013-10-06,54
2013-10-07,54
2013-10-08,54
2013-10-09,53
2013-10-10,53
2013-10-11,53
2013-10-12,53
2013-10-13,52
2013-10-14,52
2013-10-15,52
2013-10-16,52
2013-10-17,51
2013-10-18,51
2013-10-19,51
2013-10-20,51
2013-10-21,50
2013-10-22,50
2013-10-23,50
2013-10-24,50
2013-10-25,49
2013-10-26,49
2013-10-27,49
2013-10-28,49
2013-10-29,48
2013-10-30,48
2013-10-31,48
2013-11-01,48
2013-11-02,48
2013-11-03,48
2013-11-04,48
2013-11-05,48
2013-11-06,48
2013-11-07,48
2013-11-08,48
2013-11-09,48
2013-11-10,48
2013-11-11,48
2013-11-12,48
2013-11-13,48
2013-11-14,48
2013-11-15,48
2013-11-16,48
2013-11-17,48
2013-11-18,48
2013-11-19,48
2013-11-20,48
2013-11-21,48
2013-11-22,48
2013-11-23,48
2013-11-24,48
2013-11-25,48
2013-11-26,48
2013-11-27,48
2013-11-28,48
2013-11-29,48
2013-11-30,48
2013-12-01,48
2013-12-02,48
2013-12-03,48
2013-12-04,48
2013-12-05,48
2013-12-06,48
2013-12-07,48
2013-12-08,48
2013-12-09,48
2013-12-10,48
2013-12-11,48
2013-12-12,48
2013-12-13,48
2013-12-14,48
2013-12-15,48
2013-12-16,48
2013-12-17,48
2013-12-18,48
2013-12-19,48
2013-12-20,48
2013-12-21,48
2013-12-22,48
2013-12-23,48
2013-12-24,48
2013-12-25,48
2013-12-26,48
2013-12-27,48
2013-12-28,48
2013-12-29,48
2013-12-30,48
2013-12-31,48
2014-01-01,48
2014-01-02,49
2014-01-03,51
2014-01-04,53
2014-01-05,54
2014-01-06,56
2014-01-07,58
2014-01-08,59
2014-01-09,61
2014-01-10,63
2014-01-11,64
2014-01-12,66
2014-01-13,68
2014-01-14,69
2014-01-15,71
2014-01-16,73
2014-01-17,74
2014-01-18,76
2014-01-19,78
2014-01-20,79
2014-01-21,81
2014-01-22,83
2014-01-23,84
2014-01-24,86
2014-01-25,88
2014-01-26,89
2014-01-27,91
2014-01-28,93
2014-01-29,94
2014-01-30,96
2014-01-31,98
2014-02-01,100
