Date,Green Dot Corp
2009-08-08,0
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,0
2009-09-01,0
2009-09-02,0
2009-09-03,0
2009-09-04,0
2009-09-05,0
2009-09-06,7
2009-09-07,17
2009-09-08,21
2009-09-09,28
2009-09-10,35
2009-09-11,42
2009-09-12,50
2009-09-13,50
2009-09-14,50
2009-09-15,50
2009-09-16,50
2009-09-17,50
2009-09-18,50
2009-09-19,50
2009-09-20,50
2009-09-21,50
2009-09-22,50
2009-09-23,50
2009-09-24,50
2009-09-25,50
2009-09-26,51
2009-09-27,51
2009-09-28,51
2009-09-29,51
2009-09-30,51
2009-10-01,51
2009-10-02,51
2009-10-03,51
2009-10-04,51
2009-10-05,51
2009-10-06,51
2009-10-07,51
2009-10-08,51
2009-10-09,51
2009-10-10,52
2009-10-11,52
2009-10-12,52
2009-10-13,52
2009-10-14,52
2009-10-15,52
2009-10-16,52
2009-10-17,52
2009-10-18,52
2009-10-19,53
2009-10-20,54
2009-10-21,55
2009-10-22,56
2009-10-23,57
2009-10-24,58
2009-10-25,58
2009-11-01,62
2009-11-02,61
2009-11-03,61
2009-11-04,60
2009-11-05,60
2009-11-06,59
2009-11-07,59
2009-11-08,57
2009-11-09,55
2009-11-10,53
2009-11-11,51
2009-11-12,49
2009-11-13,47
2009-11-14,46
2009-11-15,46
2009-11-16,46
2009-11-17,46
2009-11-18,46
2009-11-19,46
2009-11-20,46
2009-11-21,46
2009-11-22,45
2009-11-23,44
2009-11-24,44
2009-11-25,43
2009-11-26,43
2009-11-27,42
2009-11-28,42
2009-11-29,42
2009-11-30,42
2009-12-01,42
2009-12-02,42
2009-12-03,42
2009-12-04,42
2009-12-05,42
2009-12-06,42
2009-12-07,42
2009-12-08,42
2009-12-09,42
2009-12-10,42
2009-12-11,42
2009-12-12,42
2009-12-13,42
2009-12-14,43
2009-12-15,43
2009-12-16,44
2009-12-17,44
2009-12-18,45
2009-12-19,46
2009-12-20,46
2009-12-21,47
2009-12-22,47
2009-12-23,48
2009-12-24,48
2009-12-25,48
2009-12-26,49
2009-12-27,48
2009-12-28,46
2009-12-29,45
2009-12-30,44
2009-12-31,43
2010-01-01,42
2010-01-02,41
2010-01-03,41
2010-01-04,41
2010-01-05,41
2010-01-06,41
2010-01-07,41
2010-01-08,41
2010-01-09,41
2010-01-10,41
2010-01-11,41
2010-01-12,41
2010-01-13,41
2010-01-14,41
2010-01-15,41
2010-01-16,42
2010-01-17,42
2010-01-18,42
2010-01-19,42
2010-01-20,42
2010-01-21,42
2010-01-22,42
2010-01-23,43
2010-01-24,42
2010-01-25,41
2010-01-26,40
2010-01-27,40
2010-01-28,39
2010-01-29,38
2010-01-30,38
2010-01-31,39
2010-02-07,50
2010-02-08,51
2010-02-09,51
2010-02-10,52
2010-02-11,52
2010-02-12,53
2010-02-13,54
2010-02-14,53
2010-02-15,53
2010-02-16,52
2010-02-17,52
2010-02-18,51
2010-02-19,51
2010-02-20,51
2010-02-21,50
2010-02-22,49
2010-02-23,48
2010-02-24,47
2010-02-25,46
2010-02-26,45
2010-02-27,44
2010-02-28,48
2010-03-01,53
2010-03-02,57
2010-03-03,62
2010-03-04,66
2010-03-05,71
2010-03-06,76
2010-03-07,72
2010-03-08,69
2010-03-09,66
2010-03-10,62
2010-03-11,59
2010-03-12,56
2010-03-13,53
2010-03-14,53
2010-03-15,54
2010-03-16,54
2010-03-17,55
2010-03-18,55
2010-03-19,56
2010-03-20,57
2010-03-21,60
2010-03-22,63
2010-03-23,66
2010-03-24,70
2010-03-25,73
2010-03-26,76
2010-03-27,79
2010-03-28,74
2010-05-02,59
2010-05-03,60
2010-05-04,61
2010-05-05,62
2010-05-06,63
2010-05-07,64
2010-05-08,65
2010-05-09,63
2010-05-10,61
2010-05-11,59
2010-05-12,57
2010-05-13,55
2010-05-14,53
2010-05-15,51
2010-05-16,49
2010-05-17,47
2010-05-18,45
2010-05-19,44
2010-05-20,42
2010-05-21,40
2010-05-22,39
2010-05-23,40
2010-05-24,41
2010-05-25,42
2010-05-26,43
2010-05-27,44
2010-05-28,45
2010-05-29,47
2010-05-30,48
2010-05-31,49
2010-06-01,50
2010-06-02,51
2010-06-03,53
2010-06-04,54
2010-06-05,55
2010-06-06,54
2010-06-07,52
2010-06-08,51
2010-06-09,50
2010-06-10,49
2010-06-11,48
2010-06-12,47
2010-06-13,46
2010-06-14,45
2010-06-15,45
2010-06-16,44
2010-06-17,44
2010-06-18,43
2010-06-19,43
2010-06-20,44
2010-06-21,46
2010-06-22,48
2010-06-23,49
2010-06-24,51
2010-06-25,53
2010-06-26,55
2010-06-27,53
2010-06-28,52
2010-06-29,51
2010-06-30,50
2010-07-01,49
2010-07-02,48
2010-07-03,47
2010-07-04,48
2010-07-05,50
2010-07-06,52
2010-07-07,54
2010-07-08,56
2010-07-09,58
2010-07-10,60
2010-07-11,62
2010-07-12,64
2010-07-13,66
2010-07-14,68
2010-07-15,70
2010-07-16,72
2010-07-17,74
2010-07-18,77
2010-07-19,82
2010-07-20,86
2010-07-21,90
2010-07-22,94
2010-07-23,98
2010-07-24,102
2010-07-25,97
2010-08-01,66
2010-08-02,67
2010-08-03,68
2010-08-04,69
2010-08-05,70
2010-08-06,70
2010-08-07,71
2010-08-08,66
2010-08-09,61
2010-08-10,56
2010-08-11,51
2010-08-12,46
2010-08-13,41
2010-08-14,37
2010-08-15,40
2010-08-16,44
2010-08-17,48
2010-08-18,52
2010-08-19,56
2010-08-20,60
2010-08-21,63
2010-08-22,61
2010-08-23,59
2010-08-24,57
2010-08-25,55
2010-08-26,53
2010-08-27,51
2010-08-28,49
2010-08-29,49
2010-08-30,49
2010-08-31,49
2010-09-01,49
2010-09-02,49
2010-09-03,49
2010-09-04,49
2010-09-05,49
2010-09-06,49
2010-09-07,49
2010-09-08,49
2010-09-09,49
2010-09-10,49
2010-09-11,49
2010-09-12,47
2010-09-13,45
2010-09-14,43
2010-09-15,42
2010-09-16,40
2010-09-17,38
2010-09-18,37
2010-09-19,38
2010-09-20,40
2010-09-21,42
2010-09-22,44
2010-09-23,46
2010-09-24,48
2010-09-25,50
2010-09-26,51
2010-09-27,53
2010-09-28,55
2010-09-29,56
2010-09-30,58
2010-10-01,60
2010-10-02,62
2010-10-03,61
2010-10-04,60
2010-10-05,59
2010-10-06,58
2010-10-07,58
2010-10-08,57
2010-10-09,56
2010-10-10,56
2010-10-11,55
2010-10-12,55
2010-10-13,54
2010-10-14,54
2010-10-15,53
2010-10-16,53
2010-10-17,51
2010-10-18,48
2010-10-19,46
2010-10-20,44
2010-10-21,42
2010-10-22,40
2010-10-23,38
2010-10-24,38
2010-10-25,38
2010-10-26,38
2010-10-27,38
2010-10-28,38
2010-10-29,38
2010-10-30,38
2010-10-31,37
2010-11-07,39
2010-11-08,44
2010-11-09,49
2010-11-10,54
2010-11-11,59
2010-11-12,64
2010-11-13,69
2010-11-14,68
2010-11-15,68
2010-11-16,67
2010-11-17,66
2010-11-18,66
2010-11-19,65
2010-11-20,64
2010-11-21,60
2010-11-22,54
2010-11-23,50
2010-11-24,45
2010-11-25,41
2010-11-26,36
2010-11-27,32
2010-11-28,34
2010-11-29,36
2010-11-30,39
2010-12-01,41
2010-12-02,44
2010-12-03,46
2010-12-04,49
2010-12-05,52
2010-12-06,56
2010-12-07,60
2010-12-08,63
2010-12-09,67
2010-12-10,71
2010-12-11,75
2010-12-12,73
2010-12-13,72
2010-12-14,71
2010-12-15,69
2010-12-16,68
2010-12-17,67
2010-12-18,66
2010-12-19,67
2010-12-20,69
2010-12-21,70
2010-12-22,72
2010-12-23,73
2010-12-24,75
2010-12-25,76
2010-12-26,72
2010-12-27,67
2010-12-28,63
2010-12-29,58
2010-12-30,54
2010-12-31,50
2011-01-01,46
2011-01-02,43
2011-01-03,42
2011-01-04,39
2011-01-05,37
2011-01-06,35
2011-01-07,33
2011-01-08,31
2011-01-09,34
2011-01-10,38
2011-01-11,41
2011-01-12,45
2011-01-13,48
2011-01-14,52
2011-01-15,56
2011-01-16,57
2011-01-17,60
2011-01-18,61
2011-01-19,63
2011-01-20,65
2011-01-21,67
2011-01-22,69
2011-01-23,63
2011-01-24,56
2011-01-25,51
2011-01-26,45
2011-01-27,40
2011-01-28,34
2011-01-29,29
2011-01-30,33
2011-02-06,62
2011-02-07,66
2011-02-08,70
2011-02-09,74
2011-02-10,78
2011-02-11,82
