Date,Merrimack Pharmaceuticals
2011-01-01,31
2011-01-02,31
2011-01-03,31
2011-01-04,31
2011-01-05,31
2011-01-06,31
2011-01-07,31
2011-01-08,31
2011-01-09,31
2011-01-10,31
2011-01-11,31
2011-01-12,32
2011-01-13,32
2011-01-14,32
2011-01-15,32
2011-01-16,32
2011-01-17,32
2011-01-18,32
2011-01-19,32
2011-01-20,32
2011-01-21,32
2011-01-22,33
2011-01-23,33
2011-01-24,33
2011-01-25,33
2011-01-26,33
2011-01-27,33
2011-01-28,33
2011-01-29,33
2011-01-30,33
2011-01-31,33
2011-02-01,34
2011-02-02,34
2011-02-03,34
2011-02-04,34
2011-02-05,34
2011-02-06,35
2011-02-07,35
2011-02-08,35
2011-02-09,35
2011-02-10,35
2011-02-11,36
2011-02-12,36
2011-02-13,36
2011-02-14,36
2011-02-15,37
2011-02-16,37
2011-02-17,37
2011-02-18,37
2011-02-19,37
2011-02-20,38
2011-02-21,38
2011-02-22,38
2011-02-23,38
2011-02-24,38
2011-02-25,39
2011-02-26,39
2011-02-27,39
2011-02-28,39
2011-03-01,40
2011-03-02,40
2011-03-03,40
2011-03-04,40
2011-03-05,40
2011-03-06,41
2011-03-07,41
2011-03-08,41
2011-03-09,41
2011-03-10,42
2011-03-11,42
2011-03-12,42
2011-03-13,42
2011-03-14,42
2011-03-15,43
2011-03-16,43
2011-03-17,43
2011-03-18,43
2011-03-19,44
2011-03-20,44
2011-03-21,44
2011-03-22,44
2011-03-23,44
2011-03-24,45
2011-03-25,45
2011-03-26,45
2011-03-27,45
2011-03-28,46
2011-03-29,46
2011-03-30,46
2011-03-31,46
2011-04-01,47
2011-04-02,46
2011-04-03,46
2011-04-04,46
2011-04-05,46
2011-04-06,46
2011-04-07,46
2011-04-08,45
2011-04-09,45
2011-04-10,45
2011-04-11,45
2011-04-12,45
2011-04-13,45
2011-04-14,44
2011-04-15,44
2011-04-16,44
2011-04-17,44
2011-04-18,44
2011-04-19,44
2011-04-20,43
2011-04-21,43
2011-04-22,43
2011-04-23,43
2011-04-24,43
2011-04-25,43
2011-04-26,42
2011-04-27,42
2011-04-28,42
2011-04-29,42
2011-04-30,42
2011-05-01,42
2011-05-02,41
2011-05-03,41
2011-05-04,40
2011-05-05,40
2011-05-06,39
2011-05-07,39
2011-05-08,39
2011-05-09,38
2011-05-10,38
2011-05-11,37
2011-05-12,37
2011-05-13,36
2011-05-14,36
2011-05-15,36
2011-05-16,35
2011-05-17,35
2011-05-18,34
2011-05-19,34
2011-05-20,34
2011-05-21,33
2011-05-22,33
2011-05-23,32
2011-05-24,32
2011-05-25,31
2011-05-26,31
2011-05-27,31
2011-05-28,30
2011-05-29,30
2011-05-30,29
2011-05-31,29
2011-06-01,29
2011-06-02,29
2011-06-03,29
2011-06-04,30
2011-06-05,30
2011-06-06,30
2011-06-07,31
2011-06-08,31
2011-06-09,31
2011-06-10,32
2011-06-11,32
2011-06-12,33
2011-06-13,33
2011-06-14,33
2011-06-15,34
2011-06-16,34
2011-06-17,34
2011-06-18,35
2011-06-19,35
2011-06-20,35
2011-06-21,36
2011-06-22,36
2011-06-23,37
2011-06-24,37
2011-06-25,37
2011-06-26,38
2011-06-27,38
2011-06-28,38
2011-06-29,39
2011-06-30,39
2011-07-01,40
2011-07-02,40
2011-07-03,40
2011-07-04,40
2011-07-05,40
2011-07-06,40
2011-07-07,40
2011-07-08,40
2011-07-09,41
2011-07-10,41
2011-07-11,41
2011-07-12,41
2011-07-13,41
2011-07-14,41
2011-07-15,41
2011-07-16,41
2011-07-17,42
2011-07-18,42
2011-07-19,42
2011-07-20,42
2011-07-21,42
2011-07-22,42
2011-07-23,42
2011-07-24,42
2011-07-25,43
2011-07-26,43
2011-07-27,43
2011-07-28,43
2011-07-29,43
2011-07-30,43
2011-07-31,43
2011-08-01,44
2011-08-02,44
2011-08-03,44
2011-08-04,44
2011-08-05,44
2011-08-06,44
2011-08-07,44
2011-08-08,44
2011-08-09,44
2011-08-10,44
2011-08-11,44
2011-08-12,44
2011-08-13,44
2011-08-14,44
2011-08-15,44
2011-08-16,44
2011-08-17,44
2011-08-18,44
2011-08-19,44
2011-08-20,44
2011-08-21,44
2011-08-22,44
2011-08-23,44
2011-08-24,44
2011-08-25,44
2011-08-26,44
2011-08-27,44
2011-08-28,44
2011-08-29,44
2011-08-30,44
2011-08-31,44
2011-09-01,45
2011-09-02,44
2011-09-03,43
2011-09-04,43
2011-09-05,42
2011-09-06,42
2011-09-07,41
2011-09-08,41
2011-09-09,40
2011-09-10,40
2011-09-11,39
2011-09-12,39
2011-09-13,38
2011-09-14,38
2011-09-15,37
2011-09-16,37
2011-09-17,36
2011-09-18,35
2011-09-19,35
2011-09-20,34
2011-09-21,34
2011-09-22,33
2011-09-23,33
2011-09-24,32
2011-09-25,32
2011-09-26,31
2011-09-27,31
2011-09-28,30
2011-09-29,30
2011-09-30,29
2011-10-01,29
2011-10-02,29
2011-10-03,29
2011-10-04,29
2011-10-05,29
2011-10-06,29
2011-10-07,29
2011-10-08,29
2011-10-09,29
2011-10-10,29
2011-10-11,29
2011-10-12,29
2011-10-13,29
2011-10-14,29
2011-10-15,29
2011-10-16,29
2011-10-17,30
2011-10-18,30
2011-10-19,30
2011-10-20,30
2011-10-21,30
2011-10-22,30
2011-10-23,30
2011-10-24,30
2011-10-25,30
2011-10-26,30
2011-10-27,30
2011-10-28,30
2011-10-29,30
2011-10-30,30
2011-10-31,30
2011-11-01,31
2011-11-02,31
2011-11-03,31
2011-11-04,31
2011-11-05,31
2011-11-06,31
2011-11-07,31
2011-11-08,31
2011-11-09,31
2011-11-10,31
2011-11-11,31
2011-11-12,31
2011-11-13,31
2011-11-14,31
2011-11-15,31
2011-11-16,31
2011-11-17,31
2011-11-18,31
2011-11-19,31
2011-11-20,31
2011-11-21,31
2011-11-22,31
2011-11-23,31
2011-11-24,31
2011-11-25,31
2011-11-26,31
2011-11-27,31
2011-11-28,31
2011-11-29,31
2011-11-30,31
2011-12-01,31
2011-12-02,32
2011-12-03,34
2011-12-04,35
2011-12-05,37
2011-12-06,38
2011-12-07,40
2011-12-08,41
2011-12-09,43
2011-12-10,44
2011-12-11,46
2011-12-12,47
2011-12-13,49
2011-12-14,50
2011-12-15,52
2011-12-16,53
2011-12-17,55
2011-12-18,56
2011-12-19,58
2011-12-20,59
2011-12-21,61
2011-12-22,62
2011-12-23,64
2011-12-24,65
2011-12-25,67
2011-12-26,68
2011-12-27,70
2011-12-28,71
2011-12-29,73
2011-12-30,74
2011-12-31,76
2012-01-01,78
2012-01-02,78
2012-01-03,79
2012-01-04,80
2012-01-05,80
2012-01-06,81
2012-01-07,82
2012-01-08,82
2012-01-09,103
2012-01-10,84
2012-01-11,85
2012-01-12,85
2012-01-13,86
2012-01-14,87
2012-01-15,87
2012-01-16,88
2012-01-17,89
2012-01-18,90
2012-01-19,91
2012-01-20,91
2012-01-21,92
2012-01-22,93
2012-01-23,93
2012-01-24,94
2012-01-25,95
2012-01-26,95
2012-01-27,96
2012-01-28,97
2012-01-29,97
2012-01-30,99
2012-01-31,100
2012-02-01,101
2012-02-02,101
2012-02-03,101
2012-02-04,101
2012-02-05,101
2012-02-06,99
2012-02-07,98
2012-02-08,98
2012-02-09,98
2012-02-10,98
2012-02-11,98
2012-02-12,98
2012-02-13,97
2012-02-14,97
2012-02-15,97
2012-02-16,97
2012-02-17,97
2012-02-18,97
2012-02-19,96
2012-02-20,96
2012-02-21,96
2012-02-22,96
2012-02-23,96
2012-02-24,96
2012-02-25,95
2012-02-26,95
2012-02-27,95
2012-02-28,95
2012-02-29,95
2012-03-01,95
2012-03-02,93
2012-03-03,91
2012-03-04,90
2012-03-05,88
2012-03-06,86
2012-03-07,85
2012-03-08,83
2012-03-09,81
2012-03-10,80
2012-03-11,78
2012-03-12,76
2012-03-13,75
2012-03-14,73
2012-03-15,71
2012-03-16,70
2012-03-17,68
2012-03-18,67
2012-03-19,65
2012-03-20,63
2012-03-21,62
2012-03-22,60
2012-03-23,58
2012-03-24,57
2012-03-25,55
2012-04-01,44
2012-04-02,44
2012-04-03,45
2012-04-04,46
2012-04-05,47
2012-04-06,48
2012-04-07,49
2012-04-08,50
2012-04-09,51
2012-04-10,52
2012-04-11,53
2012-04-12,54
2012-04-13,55
2012-04-14,56
2012-04-15,57
2012-04-16,58
2012-04-17,58
2012-04-18,59
2012-04-19,60
2012-04-20,61
2012-04-21,62
2012-04-22,63
2012-04-23,64
2012-04-24,65
2012-04-25,66
2012-04-26,67
2012-04-27,68
2012-04-28,69
2012-04-29,70
2012-04-30,71
2012-05-01,72
2012-05-02,70
2012-05-03,69
2012-05-04,68
2012-05-05,67
2012-05-06,66
2012-05-07,65
2012-05-08,64
2012-05-09,63
2012-05-10,62
2012-05-11,61
2012-05-12,60
2012-05-13,59
2012-05-14,58
2012-05-15,57
2012-05-16,56
2012-05-17,55
2012-05-18,54
2012-05-19,53
2012-05-20,52
2012-05-21,51
2012-05-22,50
2012-05-23,49
2012-05-24,48
2012-05-25,47
2012-05-26,46
2012-05-27,45
2012-05-28,44
2012-05-29,43
2012-05-30,42
2012-05-31,41
2012-06-01,40
2012-06-02,39
2012-06-03,39
2012-06-04,39
2012-06-05,39
2012-06-06,39
2012-06-07,38
2012-06-08,38
2012-06-09,38
2012-06-10,38
2012-06-11,38
2012-06-12,37
2012-06-13,37
2012-06-14,37
2012-06-15,37
2012-06-16,37
2012-06-17,36
2012-06-18,36
2012-06-19,36
2012-06-20,36
2012-06-21,36
2012-06-22,35
2012-06-23,35
2012-06-24,35
2012-06-25,35
2012-06-26,35
2012-06-27,34
2012-06-28,34
2012-06-29,34
2012-06-30,34
2012-07-01,34
2012-07-02,34
2012-07-03,34
2012-07-04,34
2012-07-05,34
2012-07-06,34
2012-07-07,34
2012-07-08,34
2012-07-09,34
2012-07-10,34
2012-07-11,34
2012-07-12,34
2012-07-13,34
2012-07-14,34
2012-07-15,34
2012-07-16,34
2012-07-17,35
2012-07-18,35
2012-07-19,35
2012-07-20,35
2012-07-21,35
2012-07-22,35
2012-07-23,35
2012-07-24,35
2012-07-25,35
2012-07-26,35
2012-07-27,35
2012-07-28,35
2012-07-29,35
2012-07-30,35
2012-07-31,35
2012-08-01,36
2012-08-02,36
2012-08-03,36
2012-08-04,37
2012-08-05,37
2012-08-06,38
2012-08-07,38
2012-08-08,39
2012-08-09,39
2012-08-10,40
2012-08-11,40
2012-08-12,41
2012-08-13,41
2012-08-14,42
2012-08-15,42
2012-08-16,43
2012-08-17,43
2012-08-18,44
2012-08-19,44
2012-08-20,45
2012-08-21,45
2012-08-22,46
2012-08-23,46
2012-08-24,47
2012-08-25,47
2012-08-26,48
2012-08-27,48
2012-08-28,49
2012-08-29,49
2012-08-30,50
2012-08-31,50
2012-09-01,51
2012-09-02,50
2012-09-03,49
2012-09-04,49
2012-09-05,48
2012-09-06,48
2012-09-07,47
2012-09-08,47
2012-09-09,46
2012-09-10,46
2012-09-11,45
2012-09-12,45
2012-09-13,44
2012-09-14,44
2012-09-15,43
2012-09-16,43
2012-09-17,42
2012-09-18,41
2012-09-19,41
2012-09-20,40
2012-09-21,40
2012-09-22,39
2012-09-23,39
2012-09-24,38
2012-09-25,38
2012-09-26,37
2012-09-27,37
2012-09-28,36
2012-09-29,36
2012-09-30,35
2012-10-01,35
2012-10-02,34
2012-10-03,34
2012-10-04,33
2012-10-05,33
2012-10-06,33
2012-10-07,32
2012-10-08,32
2012-10-09,31
2012-10-10,31
2012-10-11,31
2012-10-12,30
2012-10-13,30
2012-10-14,29
2012-10-15,29
2012-10-16,29
2012-10-17,28
2012-10-18,28
2012-10-19,28
2012-10-20,27
2012-10-21,27
2012-10-22,26
2012-10-23,26
2012-10-24,26
2012-10-25,25
2012-10-26,25
2012-10-27,24
2012-10-28,24
2012-10-29,24
2012-10-30,23
2012-10-31,23
2012-11-01,23
2012-11-02,22
2012-11-03,21
2012-11-04,20
2012-11-05,19
2012-11-06,19
2012-11-07,18
2012-11-08,17
2012-11-09,16
2012-11-10,16
2012-11-11,15
2012-11-12,14
2012-11-13,13
2012-11-14,13
2012-11-15,12
2012-11-16,11
2012-11-17,10
2012-11-18,9
2012-11-19,9
2012-11-20,8
2012-11-21,7
2012-11-22,6
2012-11-23,6
2012-11-24,5
2012-11-25,4
2012-11-26,3
2012-11-27,3
2012-11-28,2
2012-11-29,1
2012-11-30,0
