Date,MedAssets
2007-02-01,55
2007-02-02,55
2007-02-03,55
2007-02-04,56
2007-02-05,56
2007-02-06,56
2007-02-07,57
2007-02-08,57
2007-02-09,58
2007-02-10,58
2007-02-11,58
2007-02-12,59
2007-02-13,59
2007-02-14,60
2007-02-15,60
2007-02-16,60
2007-02-17,61
2007-02-18,61
2007-02-19,62
2007-02-20,62
2007-02-21,62
2007-02-22,63
2007-02-23,63
2007-02-24,64
2007-02-25,64
2007-02-26,64
2007-02-27,65
2007-02-28,65
2007-03-01,66
2007-03-02,66
2007-03-03,66
2007-03-04,67
2007-03-05,67
2007-03-06,67
2007-03-07,68
2007-03-08,68
2007-03-09,69
2007-03-10,69
2007-03-11,69
2007-03-12,70
2007-03-13,70
2007-03-14,71
2007-03-15,71
2007-03-16,71
2007-03-17,72
2007-03-18,72
2007-03-19,72
2007-03-20,73
2007-03-21,73
2007-03-22,74
2007-03-23,74
2007-03-24,74
2007-03-25,75
2007-03-26,75
2007-03-27,76
2007-03-28,76
2007-03-29,76
2007-03-30,77
2007-03-31,77
2007-04-01,78
2007-04-02,77
2007-04-03,76
2007-04-04,75
2007-04-05,74
2007-04-06,73
2007-04-07,72
2007-04-08,71
2007-04-09,70
2007-04-10,69
2007-04-11,69
2007-04-12,68
2007-04-13,67
2007-04-14,66
2007-04-15,65
2007-04-16,64
2007-04-17,63
2007-04-18,62
2007-04-19,61
2007-04-20,60
2007-04-21,60
2007-04-22,59
2007-04-23,58
2007-04-24,57
2007-04-25,56
2007-04-26,55
2007-04-27,54
2007-04-28,53
2007-04-29,52
2007-04-30,51
2007-05-01,51
2007-05-02,51
2007-05-03,52
2007-05-04,52
2007-05-05,53
2007-05-06,54
2007-05-07,54
2007-05-08,55
2007-05-09,55
2007-05-10,56
2007-05-11,57
2007-05-12,57
2007-05-13,58
2007-05-14,58
2007-05-15,59
2007-05-16,60
2007-05-17,60
2007-05-18,61
2007-05-19,62
2007-05-20,62
2007-05-21,63
2007-05-22,63
2007-05-23,64
2007-05-24,65
2007-05-25,65
2007-05-26,66
2007-05-27,66
2007-05-28,67
2007-05-29,68
2007-05-30,68
2007-05-31,69
2007-06-01,70
2007-06-02,69
2007-06-03,68
2007-06-04,67
2007-06-05,67
2007-06-06,66
2007-06-07,65
2007-06-08,64
2007-06-09,64
2007-06-10,63
2007-06-11,62
2007-06-12,61
2007-06-13,61
2007-06-14,60
2007-06-15,59
2007-06-16,59
2007-06-17,58
2007-06-18,57
2007-06-19,56
2007-06-20,56
2007-06-21,55
2007-06-22,54
2007-06-23,53
2007-06-24,53
2007-06-25,52
2007-06-26,51
2007-06-27,50
2007-06-28,50
2007-06-29,49
2007-06-30,48
2007-07-01,48
2007-07-02,48
2007-07-03,49
2007-07-04,50
2007-07-05,50
2007-07-06,51
2007-07-07,52
2007-07-08,52
2007-07-09,53
2007-07-10,54
2007-07-11,54
2007-07-12,55
2007-07-13,56
2007-07-14,56
2007-07-15,57
2007-07-16,58
2007-07-17,58
2007-07-18,59
2007-07-19,60
2007-07-20,60
2007-07-21,61
2007-07-22,62
2007-07-23,62
2007-07-24,63
2007-07-25,64
2007-07-26,64
2007-07-27,65
2007-07-28,66
2007-07-29,66
2007-07-30,67
2007-07-31,68
2007-08-01,69
2007-08-02,69
2007-08-03,70
2007-08-04,70
2007-08-05,71
2007-08-06,72
2007-08-07,72
2007-08-08,73
2007-08-09,74
2007-08-10,74
2007-08-11,75
2007-08-12,76
2007-08-13,76
2007-08-14,77
2007-08-15,78
2007-08-16,78
2007-08-17,79
2007-08-18,79
2007-08-19,80
2007-08-20,81
2007-08-21,81
2007-08-22,82
2007-08-23,83
2007-08-24,83
2007-08-25,84
2007-08-26,85
2007-08-27,85
2007-08-28,86
2007-08-29,87
2007-08-30,87
2007-08-31,88
2007-09-01,89
2007-09-02,88
2007-09-03,88
2007-09-04,88
2007-09-05,87
2007-09-06,87
2007-09-07,87
2007-09-08,86
2007-09-09,86
2007-09-10,86
2007-09-11,86
2007-09-12,85
2007-09-13,85
2007-09-14,85
2007-09-15,84
2007-09-16,84
2007-09-17,84
2007-09-18,83
2007-09-19,83
2007-09-20,83
2007-09-21,83
2007-09-22,82
2007-09-23,82
2007-09-24,82
2007-09-25,81
2007-09-26,81
2007-09-27,81
2007-09-28,80
2007-09-29,80
2007-09-30,80
2007-10-01,80
2007-10-02,79
2007-10-03,78
2007-10-04,77
2007-10-05,76
2007-10-06,75
2007-10-07,74
2007-10-08,73
2007-10-09,72
2007-10-10,71
2007-10-11,70
2007-10-12,69
2007-10-13,68
2007-10-14,67
2007-10-15,66
2007-10-16,65
2007-10-17,64
2007-10-18,63
2007-10-19,62
2007-10-20,61
2007-10-21,60
2007-10-22,59
2007-10-23,58
2007-10-24,57
2007-10-25,56
2007-10-26,55
2007-10-27,54
2007-10-28,53
2007-10-29,52
2007-10-30,51
2007-10-31,50
2007-11-01,49
2007-11-02,50
2007-11-03,52
2007-11-04,54
2007-11-05,55
2007-11-06,57
2007-11-07,59
2007-11-08,60
2007-11-09,62
2007-11-10,64
2007-11-11,66
2007-11-12,67
2007-11-13,69
2007-11-14,71
2007-11-15,72
2007-11-16,74
2007-11-17,76
2007-11-18,77
2007-11-19,79
2007-11-20,81
2007-11-21,83
