Date,Constant Contact
2007-01-01,22
2007-01-02,22
2007-01-03,23
2007-01-04,23
2007-01-05,23
2007-01-06,24
2007-01-07,26
2007-01-08,28
2007-01-09,32
2007-01-10,33
2007-01-11,35
2007-01-12,37
2007-01-13,42
2007-01-14,40
2007-01-15,40
2007-01-16,40
2007-01-17,40
2007-01-18,40
2007-01-19,40
2007-01-20,42
2007-01-21,40
2007-01-22,41
2007-01-23,45
2007-01-24,43
2007-01-25,45
2007-01-26,45
2007-01-27,49
2007-01-28,45
2007-01-29,45
2007-01-30,45
2007-01-31,44
2007-02-01,44
2007-02-02,44
2007-02-03,45
2007-02-04,47
2007-02-05,45
2007-02-06,46
2007-02-07,47
2007-02-08,52
2007-02-09,49
2007-02-10,53
2007-02-11,48
2007-02-12,46
2007-02-13,44
2007-02-14,42
2007-02-15,43
2007-02-16,38
2007-02-17,37
2007-02-18,38
2007-02-19,39
2007-02-20,40
2007-02-21,41
2007-02-22,42
2007-02-23,43
2007-02-24,44
2007-02-25,43
2007-02-26,42
2007-02-27,44
2007-02-28,41
2007-03-01,40
2007-03-02,41
2007-03-03,39
2007-03-04,39
2007-03-05,40
2007-03-06,41
2007-03-07,41
2007-03-08,46
2007-03-09,44
2007-03-10,44
2007-03-11,45
2007-03-12,46
2007-03-13,48
2007-03-14,48
2007-03-15,49
2007-03-16,52
2007-03-17,56
2007-03-18,50
2007-03-19,49
2007-03-20,48
2007-03-21,47
2007-03-22,46
2007-03-23,45
2007-03-24,46
2007-03-25,44
2007-03-26,45
2007-03-27,46
2007-03-28,49
2007-03-29,47
2007-03-30,50
2007-03-31,49
2007-04-01,48
2007-04-02,48
2007-04-03,48
2007-04-04,47
2007-04-05,46
2007-04-06,48
2007-04-07,46
2007-04-08,44
2007-04-09,43
2007-04-10,44
2007-04-11,40
2007-04-12,40
2007-04-13,39
2007-04-14,37
2007-04-15,38
2007-04-16,39
2007-04-17,40
2007-04-18,41
2007-04-19,43
2007-04-20,44
2007-04-21,45
2007-04-22,45
2007-04-23,46
2007-04-24,47
2007-04-25,48
2007-04-26,49
2007-04-27,54
2007-04-28,51
2007-04-29,51
2007-04-30,51
2007-05-01,51
2007-05-02,51
2007-05-03,56
2007-05-04,51
2007-05-05,52
2007-05-06,51
2007-05-07,50
2007-05-08,49
2007-05-09,51
2007-05-10,47
2007-05-11,50
2007-05-12,46
2007-05-13,47
2007-05-14,48
2007-05-15,50
2007-05-16,51
2007-05-17,53
2007-05-18,56
2007-05-19,56
2007-05-20,56
2007-05-21,56
2007-05-22,60
2007-05-23,56
2007-05-24,56
2007-05-25,58
2007-05-26,56
2007-05-27,55
2007-05-28,54
2007-05-29,53
2007-05-30,52
2007-05-31,55
2007-06-01,50
2007-06-02,52
2007-06-03,52
2007-06-04,54
2007-06-05,56
2007-06-06,58
2007-06-07,60
2007-06-08,62
2007-06-09,68
2007-06-10,62
2007-06-11,61
2007-06-12,60
2007-06-13,59
2007-06-14,58
2007-06-15,59
2007-06-16,59
2007-06-17,55
2007-06-18,55
2007-06-19,55
2007-06-20,55
2007-06-21,56
2007-06-22,57
2007-06-23,54
2007-06-24,55
2007-06-25,56
2007-06-26,57
2007-06-27,61
2007-06-28,59
2007-06-29,67
2007-06-30,62
2007-07-01,59
2007-07-02,61
2007-07-03,55
2007-07-04,54
2007-07-05,50
2007-07-06,48
2007-07-07,47
2007-07-08,47
2007-07-09,48
2007-07-10,49
2007-07-11,56
2007-07-12,51
2007-07-13,54
2007-07-14,57
2007-07-15,53
2007-07-16,53
2007-07-17,53
2007-07-18,52
2007-07-19,55
2007-07-20,52
2007-07-21,54
2007-07-22,52
2007-07-23,52
2007-07-24,52
2007-07-25,52
2007-07-26,53
2007-07-27,56
2007-07-28,53
2007-07-29,53
2007-07-30,53
2007-07-31,54
2007-08-01,55
2007-08-02,56
2007-08-03,55
2007-08-04,56
2007-08-05,55
2007-08-06,54
2007-08-07,54
2007-08-08,54
2007-08-09,53
2007-08-10,56
2007-08-11,52
2007-08-12,53
2007-08-13,54
2007-08-14,55
2007-08-15,56
2007-08-16,58
2007-08-17,61
2007-08-18,63
2007-08-19,59
2007-08-20,58
2007-08-21,58
2007-08-22,58
2007-08-23,59
2007-08-24,56
2007-08-25,56
2007-08-26,56
2007-08-27,57
2007-08-28,58
2007-08-29,64
2007-08-30,60
2007-08-31,67
