Date,CafePress
2010-12-05,89
2010-12-06,84
2010-12-07,80
2010-12-08,75
2010-12-09,71
2010-12-10,66
2010-12-11,62
2010-12-12,64
2010-12-13,66
2010-12-14,69
2010-12-15,71
2010-12-16,74
2010-12-17,76
2010-12-18,79
2010-12-19,75
2010-12-20,73
2010-12-21,69
2010-12-22,66
2010-12-23,62
2010-12-24,59
2010-12-25,56
2010-12-26,54
2010-12-27,51
2010-12-28,49
2010-12-29,47
2010-12-30,45
2010-12-31,43
2011-01-01,41
2011-01-02,44
2011-01-03,48
2011-01-04,51
2011-01-05,55
2011-01-06,59
2011-01-07,62
2011-01-08,66
2011-01-09,62
2011-01-10,58
2011-01-11,55
2011-01-12,51
2011-01-13,48
2011-01-14,44
2011-01-15,41
2011-01-16,45
2011-01-17,50
2011-01-18,55
2011-01-19,59
2011-01-20,64
2011-01-21,69
2011-01-22,74
2011-01-23,70
2011-01-24,67
2011-01-25,63
2011-01-26,59
2011-01-27,56
2011-01-28,52
2011-01-29,49
2011-01-30,47
2011-01-31,46
2011-02-01,44
2011-02-02,42
2011-02-03,41
2011-02-04,39
2011-02-05,38
2011-02-06,42
2011-02-07,46
2011-02-08,50
2011-02-09,54
2011-02-10,58
2011-02-11,62
2011-02-12,67
2011-02-13,65
2011-02-14,63
2011-02-15,61
2011-02-16,59
2011-02-17,58
2011-02-18,56
2011-02-19,54
2011-02-20,55
2011-02-21,55
2011-02-22,56
2011-02-23,57
2011-02-24,58
2011-02-25,59
2011-02-26,60
2011-02-27,60
2011-03-06,62
2011-03-07,62
2011-03-08,61
2011-03-09,61
2011-03-10,60
2011-03-11,59
2011-03-12,59
2011-03-13,59
2011-03-14,58
2011-03-15,58
2011-03-16,58
2011-03-17,58
2011-03-18,57
2011-03-19,57
2011-03-20,57
2011-03-21,57
2011-03-22,57
2011-03-23,58
2011-03-24,58
2011-03-25,58
2011-03-26,59
2011-03-27,59
2011-03-28,59
2011-03-29,59
2011-03-30,60
2011-03-31,60
2011-04-01,60
2011-04-02,61
2011-04-03,61
2011-04-04,62
2011-04-05,62
2011-04-06,62
2011-04-07,63
2011-04-08,63
2011-04-09,64
2011-04-10,61
2011-04-11,60
2011-04-12,57
2011-04-13,55
2011-04-14,53
2011-04-15,50
2011-04-16,48
2011-04-17,47
2011-04-18,45
2011-04-19,43
2011-04-20,42
2011-04-21,40
2011-04-22,39
2011-04-23,38
2011-04-24,40
2011-04-25,43
2011-04-26,45
2011-04-27,48
2011-04-28,50
2011-04-29,53
2011-04-30,56
2011-05-01,57
2011-05-02,58
2011-05-03,59
2011-05-04,60
2011-05-05,61
2011-05-06,62
2011-05-07,63
2011-05-08,64
2011-05-09,65
2011-05-10,67
2011-05-11,68
2011-05-12,69
2011-05-13,70
2011-05-14,72
2011-05-15,70
2011-05-16,69
2011-05-17,67
2011-05-18,66
2011-05-19,64
2011-05-20,63
2011-05-21,62
2011-05-22,59
2011-05-23,57
2011-05-24,54
2011-05-25,52
2011-05-26,49
2011-05-27,47
2011-05-28,45
2011-05-29,48
2011-06-05,71
2011-06-06,73
2011-06-07,75
2011-06-08,77
2011-06-09,78
2011-06-10,80
2011-06-11,82
2011-06-12,80
2011-06-13,78
2011-06-14,76
2011-06-15,74
2011-06-16,72
2011-06-17,70
2011-06-18,68
2011-06-19,71
2011-06-20,75
2011-06-21,78
2011-06-22,81
2011-06-23,84
2011-06-24,87
2011-06-25,91
2011-06-26,86
2011-06-27,81
2011-06-28,77
2011-06-29,72
2011-06-30,68
2011-07-01,64
2011-07-02,60
2011-07-03,60
2011-07-04,61
2011-07-05,62
2011-07-06,63
2011-07-07,64
2011-07-08,65
2011-07-09,66
2011-07-10,63
2011-07-11,60
2011-07-12,57
2011-07-13,54
2011-07-14,51
2011-07-15,48
2011-07-16,45
2011-07-17,47
2011-07-18,49
2011-07-19,51
2011-07-20,53
2011-07-21,55
2011-07-22,57
2011-07-23,60
2011-07-24,60
2011-07-25,60
2011-07-26,60
2011-07-27,60
2011-07-28,60
2011-07-29,61
2011-07-30,61
2011-07-31,58
2011-08-01,54
2011-08-02,51
2011-08-03,48
2011-08-04,45
2011-08-05,42
2011-08-06,39
2011-08-07,43
2011-08-08,47
2011-08-09,51
2011-08-10,55
2011-08-11,59
2011-08-12,63
2011-08-13,68
2011-08-14,68
2011-08-15,70
2011-08-16,71
2011-08-17,72
2011-08-18,73
2011-08-19,73
2011-08-20,74
2011-08-21,72
2011-08-22,69
2011-08-23,67
2011-08-24,65
2011-08-25,62
2011-08-26,60
2011-08-27,58
2011-08-28,56
2011-09-04,46
2011-09-05,48
2011-09-06,50
2011-09-07,51
2011-09-08,53
2011-09-09,55
2011-09-10,57
2011-09-11,55
2011-09-12,54
2011-09-13,53
2011-09-14,52
2011-09-15,51
2011-09-16,50
2011-09-17,49
2011-09-18,50
2011-09-19,52
2011-09-20,53
2011-09-21,55
2011-09-22,56
2011-09-23,57
2011-09-24,59
2011-09-25,60
2011-09-26,61
2011-09-27,62
2011-09-28,63
2011-09-29,64
2011-09-30,65
2011-10-01,67
2011-10-02,68
2011-10-03,69
2011-10-04,71
2011-10-05,72
2011-10-06,74
2011-10-07,75
2011-10-08,77
2011-10-09,74
2011-10-10,71
2011-10-11,68
2011-10-12,66
2011-10-13,63
2011-10-14,60
2011-10-15,57
2011-10-16,55
2011-10-17,52
2011-10-18,49
2011-10-19,47
2011-10-20,44
2011-10-21,42
2011-10-22,40
2011-10-23,45
2011-10-24,51
2011-10-25,57
2011-10-26,62
2011-10-27,68
2011-10-28,74
2011-10-29,80
2011-10-30,78
2011-10-31,74
2011-11-01,72
2011-11-02,71
2011-11-03,69
2011-11-04,67
2011-11-05,66
2011-11-06,66
2011-11-07,66
2011-11-08,66
2011-11-09,66
2011-11-10,66
2011-11-11,66
2011-11-12,66
2011-11-13,65
2011-11-14,64
2011-11-15,63
2011-11-16,62
2011-11-17,61
2011-11-18,60
2011-11-19,59
2011-11-20,60
2011-11-21,61
2011-11-22,62
2011-11-23,63
2011-11-24,64
2011-11-25,65
2011-11-26,67
2011-11-27,68
2011-12-04,75
2011-12-05,73
2011-12-06,71
2011-12-07,70
2011-12-08,68
2011-12-09,66
2011-12-10,65
2011-12-11,68
2011-12-12,73
2011-12-13,77
2011-12-14,81
2011-12-15,85
2011-12-16,89
2011-12-17,93
2011-12-18,90
2011-12-19,86
2011-12-20,82
2011-12-21,79
2011-12-22,76
2011-12-23,72
2011-12-24,69
2011-12-25,67
2011-12-26,63
2011-12-27,61
2011-12-28,58
2011-12-29,56
2011-12-30,53
2011-12-31,51
2012-01-01,51
2012-01-02,52
2012-01-03,53
2012-01-04,54
2012-01-05,54
2012-01-06,55
2012-01-07,56
2012-01-08,54
2012-01-09,52
2012-01-10,50
2012-01-11,48
