Date,OpenTable
2008-07-12,44
2008-07-13,44
2008-07-14,45
2008-07-15,45
2008-07-16,46
2008-07-17,46
2008-07-18,47
2008-07-19,48
2008-07-20,48
2008-07-21,48
2008-07-22,48
2008-07-23,48
2008-07-24,48
2008-07-25,48
2008-07-26,49
2008-07-27,49
2008-07-28,49
2008-07-29,49
2008-07-30,50
2008-07-31,50
2008-08-01,50
2008-08-02,51
2008-08-03,48
2008-08-04,45
2008-08-05,43
2008-08-06,40
2008-08-07,38
2008-08-08,35
2008-08-09,33
2008-08-10,33
2008-08-11,33
2008-08-12,33
2008-08-13,33
2008-08-14,33
2008-08-15,33
2008-08-16,33
2008-08-17,33
2008-08-18,33
2008-08-19,33
2008-08-20,33
2008-08-21,33
2008-08-22,33
2008-08-23,33
2008-08-24,33
2008-08-25,33
2008-08-26,33
2008-08-27,34
2008-08-28,34
2008-08-29,34
2008-08-30,35
2008-08-31,35
2008-09-01,35
2008-09-02,35
2008-09-03,36
2008-09-04,36
2008-09-05,36
2008-09-06,37
2008-09-07,36
2008-09-08,35
2008-09-09,34
2008-09-10,33
2008-09-11,32
2008-09-12,31
2008-09-13,30
2008-09-14,30
2008-09-15,30
2008-09-16,30
2008-09-17,30
2008-09-18,30
2008-09-19,30
2008-09-20,30
2008-09-21,31
2008-09-22,33
2008-09-23,35
2008-09-24,37
2008-09-25,38
2008-09-26,40
2008-09-27,42
2008-09-28,41
2008-10-05,38
2008-10-06,40
2008-10-07,42
2008-10-08,44
2008-10-09,46
2008-10-10,48
2008-10-11,50
2008-10-12,49
2008-10-13,50
2008-10-14,50
2008-10-15,49
2008-10-16,49
2008-10-17,49
2008-10-18,49
2008-10-19,47
2008-10-20,44
2008-10-21,42
2008-10-22,40
2008-10-23,38
2008-10-24,36
2008-10-25,34
2008-10-26,37
2008-10-27,40
2008-10-28,43
2008-10-29,46
2008-10-30,49
2008-10-31,52
2008-11-01,56
2008-11-02,55
2008-11-03,55
2008-11-04,54
2008-11-05,54
2008-11-06,53
2008-11-07,53
2008-11-08,53
2008-11-09,50
2008-11-10,48
2008-11-11,45
2008-11-12,43
2008-11-13,41
2008-11-14,38
2008-11-15,36
2008-11-16,36
2008-11-17,36
2008-11-18,36
2008-11-19,36
2008-11-20,36
2008-11-21,36
2008-11-22,36
2008-11-23,35
2008-11-24,33
2008-11-25,32
2008-11-26,31
2008-11-27,30
2008-11-28,29
2008-11-29,28
2008-11-30,29
2008-12-01,31
2008-12-02,33
2008-12-03,35
2008-12-04,37
2008-12-05,39
2008-12-06,41
2008-12-07,40
2008-12-08,39
2008-12-09,38
2008-12-10,37
2008-12-11,36
2008-12-12,35
2008-12-13,34
2008-12-14,34
2008-12-15,34
2008-12-16,35
2008-12-17,35
2008-12-18,36
2008-12-19,36
2008-12-20,37
2008-12-21,37
2008-12-22,37
2008-12-23,37
2008-12-24,37
2008-12-25,37
2008-12-26,37
2008-12-27,38
2008-12-28,38
2009-01-04,39
2009-01-05,39
2009-01-06,39
2009-01-07,39
2009-01-08,39
2009-01-09,39
2009-01-10,40
2009-01-11,39
2009-01-12,38
2009-01-13,37
2009-01-14,36
2009-01-15,35
2009-01-16,35
2009-01-17,34
2009-01-18,35
2009-01-19,36
2009-01-20,37
2009-01-21,38
2009-01-22,39
2009-01-23,40
2009-01-24,42
2009-01-25,39
2009-01-26,37
2009-01-27,35
2009-01-28,32
2009-01-29,30
2009-01-30,28
2009-01-31,26
2009-02-01,30
2009-02-02,34
2009-02-03,39
2009-02-04,43
2009-02-05,47
2009-02-06,51
2009-02-07,56
2009-02-08,56
2009-02-09,58
2009-02-10,58
2009-02-11,59
2009-02-12,60
2009-02-13,61
2009-02-14,62
2009-02-15,58
2009-02-16,53
2009-02-17,49
2009-02-18,45
2009-02-19,41
2009-02-20,37
2009-02-21,34
2009-02-22,33
2009-02-23,32
2009-02-24,31
2009-02-25,30
2009-02-26,29
2009-02-27,28
2009-02-28,28
2009-03-01,27
2009-03-02,27
2009-03-03,26
2009-03-04,26
2009-03-05,25
2009-03-06,25
2009-03-07,25
2009-03-08,27
2009-03-09,29
2009-03-10,31
2009-03-11,33
2009-03-12,35
2009-03-13,38
2009-03-14,40
2009-03-15,38
2009-03-16,36
2009-03-17,34
2009-03-18,33
2009-03-19,31
2009-03-20,29
2009-03-21,28
2009-03-22,27
2009-03-23,26
2009-03-24,26
2009-03-25,25
2009-03-26,25
2009-03-27,24
2009-03-28,24
2009-03-29,28
2009-04-05,53
2009-04-06,51
2009-04-07,49
2009-04-08,46
2009-04-09,44
2009-04-10,42
2009-04-11,40
2009-04-12,39
2009-04-13,39
2009-04-14,39
2009-04-15,39
2009-04-16,39
2009-04-17,39
2009-04-18,39
2009-04-19,39
2009-04-20,39
2009-04-21,39
2009-04-22,39
2009-04-23,39
2009-04-24,39
2009-04-25,40
2009-04-26,40
2009-04-27,41
2009-04-28,42
2009-04-29,43
2009-04-30,44
2009-05-01,45
2009-05-02,46
2009-05-03,46
2009-05-04,47
2009-05-05,48
2009-05-06,49
2009-05-07,50
2009-05-08,51
2009-05-09,52
2009-05-10,54
2009-05-11,56
2009-05-12,58
2009-05-13,60
2009-05-14,62
2009-05-15,64
2009-05-16,66
2009-05-17,70
2009-05-18,76
2009-05-19,81
2009-05-20,86
2009-05-21,91
2009-05-22,96
2009-05-23,101
2009-05-24,98
2009-05-25,94
2009-05-26,91
2009-05-27,88
2009-05-28,85
2009-05-29,82
2009-05-30,78
2009-05-31,74
2009-06-01,69
2009-06-02,65
2009-06-03,61
2009-06-04,56
2009-06-05,52
2009-06-06,48
2009-06-07,45
2009-06-08,43
2009-06-09,41
2009-06-10,39
2009-06-11,37
2009-06-12,35
2009-06-13,33
2009-06-14,34
2009-06-15,36
2009-06-16,38
2009-06-17,40
2009-06-18,41
2009-06-19,43
2009-06-20,45
2009-06-21,44
2009-06-22,43
2009-06-23,42
2009-06-24,42
2009-06-25,41
2009-06-26,40
2009-06-27,40
2009-06-28,38
2009-07-05,28
2009-07-06,29
