Date,NetSpend
2011-01-22,38
2011-01-23,42
2011-01-24,47
2011-01-25,51
2011-01-26,56
2011-01-27,60
2011-01-28,65
2011-01-29,70
2011-01-30,67
2011-01-31,65
2011-02-01,63
2011-02-02,60
2011-02-03,58
2011-02-04,55
2011-02-05,53
2011-02-06,53
2011-02-07,52
2011-02-08,52
2011-02-09,52
2011-02-10,52
2011-02-11,52
2011-02-12,52
2011-02-13,55
2011-02-14,59
2011-02-15,63
2011-02-16,66
2011-02-17,70
2011-02-18,74
2011-02-19,78
2011-02-20,77
2011-02-21,76
2011-02-22,75
2011-02-23,75
2011-02-24,74
2011-02-25,73
2011-02-26,72
2011-02-27,69
2011-02-28,65
2011-03-01,62
2011-03-02,58
2011-03-03,55
2011-03-04,52
2011-03-05,49
2011-03-06,53
2011-03-07,58
2011-03-08,62
2011-03-09,66
2011-03-10,71
2011-03-11,75
2011-03-12,80
2011-03-13,78
2011-03-14,74
2011-03-15,72
2011-03-16,70
2011-03-17,68
2011-03-18,66
2011-03-19,64
2011-03-20,62
2011-03-21,60
2011-03-22,58
2011-03-23,56
2011-03-24,54
2011-03-25,52
2011-03-26,51
2011-03-27,54
2011-04-03,71
2011-04-04,69
2011-04-05,67
2011-04-06,66
2011-04-07,64
2011-04-08,62
2011-04-09,61
2011-04-10,62
2011-04-11,64
2011-04-12,66
2011-04-13,68
2011-04-14,69
2011-04-15,71
2011-04-16,73
2011-04-17,72
2011-04-18,70
2011-04-19,69
2011-04-20,67
2011-04-21,66
2011-04-22,65
2011-04-23,64
2011-04-24,62
2011-04-25,61
2011-04-26,59
2011-04-27,58
2011-04-28,56
2011-04-29,55
2011-04-30,53
2011-05-01,51
2011-05-02,49
2011-05-03,47
2011-05-04,46
2011-05-05,44
2011-05-06,42
2011-05-07,41
2011-05-08,43
2011-05-09,45
2011-05-10,47
2011-05-11,50
2011-05-12,52
2011-05-13,54
2011-05-14,57
2011-05-15,58
2011-05-16,61
2011-05-17,62
2011-05-18,64
2011-05-19,66
2011-05-20,68
2011-05-21,70
2011-05-22,68
2011-05-23,66
2011-05-24,65
2011-05-25,63
2011-05-26,62
2011-05-27,60
2011-05-28,59
2011-05-29,57
2011-05-30,55
2011-05-31,53
2011-06-01,51
2011-06-02,49
2011-06-03,47
2011-06-04,45
2011-06-05,45
2011-06-06,43
2011-06-07,43
2011-06-08,42
2011-06-09,42
2011-06-10,41
2011-06-11,41
2011-06-12,41
2011-06-13,41
2011-06-14,42
2011-06-15,42
2011-06-16,43
2011-06-17,43
2011-06-18,44
2011-06-19,44
2011-06-20,44
2011-06-21,44
2011-06-22,44
2011-06-23,44
