Date,Wesco Aircraft
2011-09-20,66
2011-09-21,66
2011-09-22,65
2011-09-23,64
2011-09-24,63
2011-09-25,63
2011-09-26,62
2011-09-27,61
2011-09-28,61
2011-09-29,60
2011-09-30,59
2011-10-01,59
2011-10-02,59
2011-10-03,59
2011-10-04,59
2011-10-05,59
2011-10-06,59
2011-10-07,59
2011-10-08,59
2011-10-09,59
2011-10-10,59
2011-10-11,59
2011-10-12,59
2011-10-13,59
2011-10-14,59
2011-10-15,59
2011-10-16,59
2011-10-17,59
2011-10-18,59
2011-10-19,59
2011-10-20,59
2011-10-21,59
2011-10-22,59
2011-10-23,59
2011-10-24,59
2011-10-25,59
2011-10-26,59
2011-10-27,59
2011-10-28,59
2011-10-29,59
2011-10-30,59
2011-10-31,59
2011-11-01,59
2011-11-02,58
2011-11-03,58
2011-11-04,58
2011-11-05,58
2011-11-06,58
2011-11-07,58
2011-11-08,58
2011-11-09,57
2011-11-10,57
2011-11-11,57
2011-11-12,57
2011-11-13,57
2011-11-14,57
2011-11-15,57
2011-11-16,57
2011-11-17,56
2011-11-18,56
2011-11-19,56
2011-11-20,56
2011-11-21,56
2011-11-22,56
2011-11-23,56
2011-11-24,55
2011-11-25,55
2011-11-26,55
2011-11-27,55
2011-11-28,55
2011-11-29,55
2011-11-30,55
2011-12-01,55
2011-12-02,55
2011-12-03,55
2011-12-04,55
2011-12-05,55
2011-12-06,55
2011-12-07,55
2011-12-08,55
2011-12-09,55
2011-12-10,55
2011-12-11,55
2011-12-12,55
2011-12-13,55
2011-12-14,55
2011-12-15,55
2011-12-16,55
2011-12-17,55
2011-12-18,55
2011-12-19,55
2011-12-20,55
2011-12-21,55
2011-12-22,55
2011-12-23,55
2011-12-24,55
2011-12-25,55
2011-12-26,55
2011-12-27,55
2011-12-28,55
2011-12-29,55
2011-12-30,55
2011-12-31,55
2012-01-01,55
2012-01-02,55
2012-01-03,55
2012-01-04,55
2012-01-05,55
2012-01-06,55
2012-01-07,55
2012-01-08,55
2012-01-09,55
2012-01-10,55
2012-01-11,55
2012-01-12,55
2012-01-13,55
2012-01-14,55
2012-01-15,55
2012-01-16,55
2012-01-17,55
2012-01-18,55
2012-01-19,55
2012-01-20,55
2012-01-21,55
2012-01-22,55
2012-01-23,55
2012-01-24,55
2012-01-25,55
2012-01-26,55
2012-01-27,55
2012-01-28,55
2012-01-29,55
2012-01-30,55
2012-01-31,55
2012-02-01,55
2012-02-02,55
2012-02-03,55
2012-02-04,55
2012-02-05,55
2012-02-06,55
2012-02-07,55
2012-02-08,55
2012-02-09,55
2012-02-10,55
2012-02-11,55
2012-02-12,55
2012-02-13,55
2012-02-14,55
2012-02-15,55
2012-02-16,55
2012-02-17,55
2012-02-18,55
2012-02-19,55
2012-02-20,55
2012-02-21,55
2012-02-22,55
2012-02-23,55
2012-02-24,55
2012-02-25,55
2012-02-26,55
2012-02-27,55
2012-02-28,55
2012-02-29,55
2012-03-01,56
2012-03-02,56
2012-03-03,56
2012-03-04,56
2012-03-05,56
2012-03-06,56
2012-03-07,56
2012-03-08,56
2012-03-09,56
2012-03-10,56
2012-03-11,56
2012-03-12,56
2012-03-13,56
2012-03-14,56
2012-03-15,56
2012-03-16,56
2012-03-17,56
2012-03-18,56
2012-03-19,56
2012-03-20,56
2012-03-21,56
2012-03-22,56
2012-03-23,56
2012-03-24,56
2012-03-25,56
2012-03-26,56
2012-03-27,56
2012-03-28,56
2012-03-29,56
2012-03-30,56
2012-03-31,56
2012-04-01,57
2012-04-02,57
2012-04-03,57
2012-04-04,57
2012-04-05,57
2012-04-06,57
2012-04-07,57
2012-04-08,57
2012-04-09,57
2012-04-10,57
2012-04-11,57
2012-04-12,57
2012-04-13,57
2012-04-14,57
2012-04-15,57
2012-04-16,57
2012-04-17,57
2012-04-18,57
2012-04-19,57
2012-04-20,57
2012-04-21,57
2012-04-22,57
2012-04-23,57
2012-04-24,57
2012-04-25,57
2012-04-26,57
2012-04-27,57
2012-04-28,57
2012-04-29,57
2012-04-30,57
2012-05-01,57
2012-05-02,57
2012-05-03,57
2012-05-04,57
2012-05-05,57
2012-05-06,57
2012-05-07,57
2012-05-08,57
2012-05-09,57
2012-05-10,57
2012-05-11,57
2012-05-12,57
2012-05-13,57
2012-05-14,57
2012-05-15,57
2012-05-16,57
2012-05-17,57
2012-05-18,57
2012-05-19,57
2012-05-20,57
2012-05-21,57
2012-05-22,57
2012-05-23,57
2012-05-24,57
2012-05-25,57
2012-05-26,57
2012-05-27,57
2012-05-28,57
2012-05-29,57
2012-05-30,57
2012-05-31,57
2012-06-01,58
2012-06-02,56
