Date,Cvent
2013-10-17,46
2013-10-18,47
2013-10-19,45
2013-10-20,44
2013-10-21,44
2013-10-22,45
2013-10-23,45
2013-10-24,44
2013-10-25,47
2013-10-26,44
2013-10-27,45
2013-10-28,46
2013-10-29,47
2013-10-30,48
2013-10-31,53
2013-11-01,52
2013-11-02,51
2013-11-03,50
2013-11-04,50
2013-11-05,50
2013-11-06,51
2013-11-07,50
2013-11-08,51
2013-11-09,55
2013-11-10,50
2013-11-11,51
2013-11-12,52
2013-11-13,54
2013-11-14,57
2013-11-15,54
2013-11-16,55
2013-11-17,53
2013-11-18,52
2013-11-19,55
2013-11-20,49
2013-11-21,52
2013-11-22,46
2013-11-23,45
2013-11-24,44
2013-11-25,43
2013-11-26,44
2013-11-27,41
2013-11-28,41
2013-11-29,39
2013-11-30,38
2013-12-01,38
2013-12-02,38
2013-12-03,39
2013-12-04,38
2013-12-05,38
2013-12-06,42
2013-12-07,39
2013-12-08,39
2013-12-09,40
2013-12-10,40
2013-12-11,41
2013-12-12,42
2013-12-13,42
2013-12-14,43
2013-12-15,43
2013-12-16,43
2013-12-17,44
2013-12-18,43
2013-12-19,48
2013-12-20,43
2013-12-21,44
2013-12-22,39
2013-12-23,34
2013-12-24,29
2013-12-25,24
2013-12-26,19
2013-12-27,14
2013-12-28,10
2013-12-29,12
2013-12-30,15
2013-12-31,17
2014-01-01,19
2014-01-02,23
2014-01-03,24
2014-01-04,27
2014-01-05,30
2014-01-06,34
2014-01-07,38
2014-01-08,43
2014-01-09,51
2014-01-10,51
2014-01-11,54
2014-01-12,53
2014-01-13,52
2014-01-14,51
2014-01-15,51
2014-01-16,49
2014-01-17,50
2014-01-18,47
2014-01-19,47
2014-01-20,47
2014-01-21,48
2014-01-22,49
2014-01-23,49
2014-01-24,49
2014-01-25,50
2014-01-26,49
2014-01-27,49
2014-01-28,50
2014-01-29,53
2014-01-30,48
2014-01-31,49
2014-02-01,51
2014-02-02,48
2014-02-03,48
2014-02-04,48
2014-02-05,50
2014-02-06,50
2014-02-07,48
2014-02-08,48
2014-02-09,48
2014-02-10,48
2014-02-11,48
2014-02-12,48
2014-02-13,51
2014-02-14,48
2014-02-15,48
2014-02-16,48
2014-02-17,48
2014-02-18,50
2014-02-19,49
2014-02-20,49
2014-02-21,51
2014-02-22,53
2014-02-23,51
2014-02-24,53
2014-02-25,55
2014-02-26,57
2014-02-27,59
2014-02-28,65
2014-03-01,63
