Date,Endurance
2013-03-01,89
2013-03-02,91
2013-03-03,91
2013-03-04,92
2013-03-05,99
2013-03-06,93
2013-03-07,98
2013-03-08,95
2013-03-09,102
2013-03-10,96
2013-03-11,96
2013-03-12,97
2013-03-13,107
2013-03-14,98
2013-03-15,100
2013-03-16,99
2013-03-17,98
2013-03-18,97
2013-03-19,99
2013-03-20,99
2013-03-21,96
2013-03-22,95
2013-03-23,95
2013-03-24,94
2013-03-25,94
2013-03-26,94
2013-03-27,99
2013-03-28,92
2013-03-29,92
2013-03-30,92
2013-03-31,89
2013-04-01,87
2013-04-02,89
2013-04-03,83
2013-04-04,79
2013-04-05,77
2013-04-06,75
2013-04-07,76
2013-04-08,77
2013-04-09,78
2013-04-10,81
2013-04-11,85
2013-04-12,82
2013-04-13,84
2013-04-14,86
2013-04-15,88
2013-04-16,90
2013-04-17,98
2013-04-18,94
2013-04-19,96
2013-04-20,101
2013-04-21,97
2013-04-22,96
2013-04-23,99
2013-04-24,95
2013-04-25,99
2013-04-26,93
2013-04-27,93
2013-04-28,92
2013-04-29,91
2013-04-30,90
2013-05-01,90
2013-05-02,89
2013-05-03,93
2013-05-04,89
2013-05-05,87
2013-05-06,87
2013-05-07,86
2013-05-08,91
2013-05-09,92
2013-05-10,85
2013-05-11,85
2013-05-12,86
2013-05-13,87
2013-05-14,89
2013-05-15,89
2013-05-16,95
2013-05-17,91
2013-05-18,92
2013-05-19,94
2013-05-20,90
2013-05-21,87
2013-05-22,85
2013-05-23,86
2013-05-24,82
2013-05-25,81
2013-05-26,80
2013-05-27,79
2013-05-28,78
2013-05-29,77
2013-05-30,82
2013-05-31,75
2013-06-01,74
2013-06-02,75
2013-06-03,79
2013-06-04,77
2013-06-05,80
2013-06-06,79
2013-06-07,83
2013-06-08,82
2013-06-09,82
2013-06-10,82
2013-06-11,84
2013-06-12,82
2013-06-13,82
2013-06-14,89
2013-06-15,82
2013-06-16,82
2013-06-17,83
2013-06-18,83
2013-06-19,89
2013-06-20,84
2013-06-21,88
2013-06-22,90
2013-06-23,86
2013-06-24,86
2013-06-25,87
2013-06-26,87
2013-06-27,88
2013-06-28,89
2013-06-29,90
2013-06-30,84
2013-07-01,79
2013-07-02,78
2013-07-03,70
2013-07-04,66
2013-07-05,61
2013-07-06,57
2013-07-07,59
2013-07-08,61
2013-07-09,64
2013-07-10,66
2013-07-11,69
2013-07-12,71
2013-07-13,74
2013-07-14,76
2013-07-15,78
2013-07-16,83
2013-07-17,83
2013-07-18,93
2013-07-19,88
2013-07-20,91
2013-07-21,89
2013-07-22,91
2013-07-23,87
2013-07-24,84
2013-07-25,85
2013-07-26,81
2013-07-27,80
2013-07-28,79
2013-07-29,83
2013-07-30,79
2013-07-31,77
2013-08-01,76
2013-08-02,75
2013-08-03,78
2013-08-04,76
2013-08-05,78
2013-08-06,78
2013-08-07,81
2013-08-08,81
2013-08-09,81
2013-08-10,82
2013-08-11,82
2013-08-12,82
2013-08-13,89
2013-08-14,82
2013-08-15,83
2013-08-16,82
2013-08-17,88
2013-08-18,81
2013-08-19,80
2013-08-20,79
2013-08-21,84
2013-08-22,76
2013-08-23,75
2013-08-24,74
2013-08-25,74
2013-08-26,72
2013-08-27,71
2013-08-28,71
2013-08-29,69
2013-08-30,68
2013-08-31,67
2013-09-01,69
2013-09-02,72
2013-09-03,77
2013-09-04,78
2013-09-05,81
2013-09-06,88
2013-09-07,87
2013-09-08,85
2013-09-09,84
2013-09-10,85
2013-09-11,82
2013-09-12,79
2013-09-13,78
2013-09-14,81
2013-09-15,78
2013-09-16,80
2013-09-17,82
2013-09-18,86
2013-09-19,84
2013-09-20,86
2013-09-21,88
2013-09-22,89
2013-09-23,91
2013-09-24,94
2013-09-25,99
2013-09-26,95
2013-09-27,97
2013-09-28,101
2013-09-29,101
2013-09-30,93
2013-10-01,95
2013-10-02,87
2013-10-03,85
2013-10-04,81
2013-10-05,79
2013-10-06,79
2013-10-07,80
2013-10-08,81
2013-10-09,83
2013-10-10,84
2013-10-11,89
2013-10-12,87
2013-10-13,88
2013-10-14,89
2013-10-15,90
2013-10-16,92
2013-10-17,94
2013-10-18,93
2013-10-19,94
2013-10-20,93
2013-10-21,92
2013-10-22,91
2013-10-23,95
2013-10-24,90
2013-10-25,91
2013-10-26,89
2013-10-27,87
2013-10-28,86
2013-10-29,96
2013-10-30,85
2013-10-31,83
2013-11-01,84
2013-11-02,82
2013-11-03,81
2013-11-04,81
2013-11-05,81
2013-11-06,81
2013-11-07,89
2013-11-08,81
2013-11-09,87
2013-11-10,78
2013-11-11,74
2013-11-12,75
2013-11-13,69
2013-11-14,62
2013-11-15,58
2013-11-16,55
2013-11-17,59
2013-11-18,63
2013-11-19,68
2013-11-20,72
2013-11-21,79
2013-11-22,84
2013-11-23,86
2013-11-24,85
2013-11-25,84
2013-11-26,83
2013-11-27,84
2013-11-28,81
2013-11-29,80
2013-11-30,80
2013-12-01,80
2013-12-02,84
2013-12-03,80
2013-12-04,85
2013-12-05,80
2013-12-06,80
2013-12-07,83
2013-12-08,83
2013-12-09,86
2013-12-10,93
2013-12-11,94
2013-12-12,95
2013-12-13,100
2013-12-14,100
2013-12-15,103
2013-12-16,93
2013-12-17,90
2013-12-18,87
2013-12-19,88
2013-12-20,81
2013-12-21,78
2013-12-22,75
2013-12-23,72
2013-12-24,71
2013-12-25,66
2013-12-26,63
2013-12-27,60
2013-12-28,58
2013-12-29,59
2013-12-30,62
2013-12-31,63
2014-01-01,64
2014-01-02,66
2014-01-03,71
2014-01-04,70
2014-01-05,74
2014-01-06,71
2014-01-07,72
2014-01-08,81
2014-01-09,74
2014-01-10,75
2014-01-11,76
2014-01-12,77
2014-01-13,79
2014-01-14,81
2014-01-15,82
2014-01-16,86
2014-01-17,86
2014-01-18,90
2014-01-19,87
2014-01-20,90
2014-01-21,90
2014-01-22,88
2014-01-23,88
2014-01-24,90
2014-01-25,94
2014-01-26,88
2014-01-27,90
2014-01-28,88
2014-01-29,87
2014-01-30,97
2014-01-31,87
2014-02-01,87
2014-02-02,87
2014-02-03,88
2014-02-04,90
2014-02-05,94
2014-02-06,89
2014-02-07,90
2014-02-08,94
2014-02-09,91
2014-02-10,92
2014-02-11,93
2014-02-12,94
2014-02-13,95
2014-02-14,107
2014-02-15,97
2014-02-16,94
2014-02-17,91
2014-02-18,88
2014-02-19,89
2014-02-20,83
2014-02-21,80
2014-02-22,76
2014-02-23,78
2014-02-24,81
2014-02-25,83
2014-02-26,86
2014-02-27,88
2014-02-28,97
2014-03-01,94
