Date,ARAMARK
2013-03-01,80
2013-03-02,87
2013-03-03,87
2013-03-04,80
2013-03-05,80
2013-03-06,80
2013-03-07,80
2013-03-08,82
2013-03-09,93
2013-03-10,80
2013-03-11,80
2013-03-12,80
2013-03-13,81
2013-03-14,81
2013-03-15,86
2013-03-16,93
2013-03-17,83
2013-03-18,84
2013-03-19,86
2013-03-20,86
2013-03-21,87
2013-03-22,90
2013-03-23,102
2013-03-24,91
2013-03-25,83
2013-03-26,81
2013-03-27,82
2013-03-28,76
2013-03-29,77
2013-03-30,77
2013-03-31,76
2013-04-01,71
2013-04-02,71
2013-04-03,72
2013-04-04,74
2013-04-05,71
2013-04-06,82
2013-04-07,71
2013-04-08,72
2013-04-09,73
2013-04-10,75
2013-04-11,78
2013-04-12,75
2013-04-13,85
2013-04-14,79
2013-04-15,76
2013-04-16,76
2013-04-17,76
2013-04-18,78
2013-04-19,79
2013-04-20,84
2013-04-21,80
2013-04-22,77
2013-04-23,79
2013-04-24,79
2013-04-25,79
2013-04-26,82
2013-04-27,90
2013-04-28,79
2013-04-29,79
2013-04-30,82
2013-05-01,78
2013-05-02,78
2013-05-03,85
2013-05-04,88
2013-05-05,78
2013-05-06,78
2013-05-07,81
2013-05-08,78
2013-05-09,80
2013-05-10,78
2013-05-11,93
2013-05-12,79
2013-05-13,80
2013-05-14,81
2013-05-15,82
2013-05-16,81
2013-05-17,86
2013-05-18,92
2013-05-19,82
2013-05-20,79
2013-05-21,79
2013-05-22,78
2013-05-23,73
2013-05-24,75
2013-05-25,73
2013-05-26,73
2013-05-27,70
2013-05-28,71
2013-05-29,72
2013-05-30,72
2013-05-31,75
2013-06-01,74
2013-06-02,76
2013-06-03,74
2013-06-04,74
2013-06-05,75
2013-06-06,75
2013-06-07,78
2013-06-08,84
2013-06-09,76
2013-06-10,77
2013-06-11,78
2013-06-12,81
2013-06-13,81
2013-06-14,81
2013-06-15,92
2013-06-16,83
2013-06-17,82
2013-06-18,82
2013-06-19,82
2013-06-20,82
2013-06-21,87
2013-06-22,85
2013-06-23,87
2013-06-24,82
2013-06-25,82
2013-06-26,86
2013-06-27,82
2013-06-28,84
2013-06-29,94
2013-06-30,82
2013-07-01,79
2013-07-02,80
2013-07-03,76
2013-07-04,84
2013-07-05,72
2013-07-06,80
2013-07-07,72
2013-07-08,73
2013-07-09,74
2013-07-10,75
2013-07-11,76
2013-07-12,82
2013-07-13,83
2013-07-14,81
2013-07-15,82
2013-07-16,89
2013-07-17,86
2013-07-18,88
2013-07-19,97
2013-07-20,105
2013-07-21,92
2013-07-22,91
2013-07-23,91
2013-07-24,92
2013-07-25,92
2013-07-26,89
2013-07-27,97
2013-07-28,96
2013-07-29,91
2013-07-30,93
2013-07-31,96
2013-08-01,94
2013-08-02,100
2013-08-03,109
2013-08-04,95
2013-08-05,93
2013-08-06,92
2013-08-07,91
2013-08-08,90
2013-08-09,93
2013-08-10,93
2013-08-11,87
2013-08-12,85
2013-08-13,88
2013-08-14,84
2013-08-15,84
2013-08-16,85
2013-08-17,100
2013-08-18,84
2013-08-19,85
2013-08-20,87
2013-08-21,89
2013-08-22,88
2013-08-23,93
2013-08-24,95
2013-08-25,89
2013-08-26,87
2013-08-27,86
2013-08-28,90
2013-08-29,85
2013-08-30,84
2013-08-31,93
2013-09-01,83
2013-09-02,82
2013-09-03,81
2013-09-04,80
2013-09-05,79
2013-09-06,78
2013-09-07,89
2013-09-08,80
2013-09-09,79
2013-09-10,82
2013-09-11,82
2013-09-12,87
2013-09-13,85
2013-09-14,98
2013-09-15,90
2013-09-16,85
2013-09-17,86
2013-09-18,84
2013-09-19,86
2013-09-20,85
2013-09-21,95
2013-09-22,84
2013-09-23,85
2013-09-24,88
2013-09-25,88
2013-09-26,92
2013-09-27,93
2013-09-28,98
2013-09-29,92
2013-09-30,90
2013-10-01,90
2013-10-02,94
2013-10-03,89
2013-10-04,93
2013-10-05,98
2013-10-06,86
2013-10-07,85
2013-10-08,84
2013-10-09,82
2013-10-10,80
2013-10-11,82
2013-10-12,85
2013-10-13,80
2013-10-14,79
2013-10-15,80
2013-10-16,81
2013-10-17,82
2013-10-18,83
2013-10-19,95
2013-10-20,83
2013-10-21,83
2013-10-22,83
2013-10-23,82
2013-10-24,87
2013-10-25,82
2013-10-26,88
2013-10-27,91
2013-10-28,82
2013-10-29,82
2013-10-30,85
2013-10-31,86
2013-11-01,83
2013-11-02,95
2013-11-03,84
2013-11-04,85
2013-11-05,87
2013-11-06,87
2013-11-07,88
2013-11-08,96
2013-11-09,99
2013-11-10,89
2013-11-11,89
2013-11-12,89
2013-11-13,92
2013-11-14,89
2013-11-15,90
2013-11-16,102
2013-11-17,93
2013-11-18,86
2013-11-19,85
2013-11-20,84
2013-11-21,82
2013-11-22,81
2013-11-23,91
2013-11-24,77
2013-11-25,75
2013-11-26,75
2013-11-27,72
2013-11-28,79
2013-11-29,68
2013-11-30,72
2013-12-01,69
2013-12-02,72
2013-12-03,75
2013-12-04,79
2013-12-05,82
2013-12-06,83
2013-12-07,93
2013-12-08,91
2013-12-09,90
2013-12-10,92
2013-12-11,97
2013-12-12,96
2013-12-13,103
2013-12-14,118
2013-12-15,101
2013-12-16,91
2013-12-17,87
2013-12-18,83
2013-12-19,79
2013-12-20,81
2013-12-21,78
2013-12-22,67
2013-12-23,64
2013-12-24,65
2013-12-25,58
2013-12-26,55
2013-12-27,52
2013-12-28,56
2013-12-29,50
2013-12-30,52
2013-12-31,56
2014-01-01,61
2014-01-02,57
2014-01-03,59
2014-01-04,68
2014-01-05,64
2014-01-06,68
2014-01-07,71
2014-01-08,78
2014-01-09,78
2014-01-10,84
2014-01-11,100
2014-01-12,86
2014-01-13,87
2014-01-14,88
2014-01-15,91
2014-01-16,89
2014-01-17,95
2014-01-18,97
2014-01-19,93
2014-01-20,89
2014-01-21,88
2014-01-22,88
2014-01-23,86
2014-01-24,87
2014-01-25,95
2014-01-26,86
2014-01-27,87
2014-01-28,88
2014-01-29,89
2014-01-30,92
2014-01-31,91
2014-02-01,104
2014-02-02,94
2014-02-03,90
2014-02-04,89
2014-02-05,89
2014-02-06,93
2014-02-07,87
2014-02-08,94
2014-02-09,91
2014-02-10,83
2014-02-11,82
2014-02-12,83
2014-02-13,79
2014-02-14,81
2014-02-15,84
2014-02-16,76
2014-02-17,77
2014-02-18,80
2014-02-19,79
2014-02-20,81
2014-02-21,81
2014-02-22,93
2014-02-23,87
2014-02-24,84
2014-02-25,86
2014-02-26,88
2014-02-27,91
2014-02-28,89
2014-03-01,91
