Date,Apollo Global Management
2007-10-07,45
2007-10-08,48
2007-10-09,50
2007-10-10,52
2007-10-11,55
2007-10-12,57
2007-10-13,59
2007-10-14,56
2007-10-15,51
2007-10-16,47
2007-10-17,44
2007-10-18,40
2007-10-19,36
2007-10-20,33
2007-10-21,37
2007-10-22,42
2007-10-23,46
2007-10-24,50
2007-10-25,55
2007-10-26,59
2007-10-27,64
2007-10-28,61
2007-10-29,58
2007-10-30,55
2007-10-31,53
2007-11-01,50
2007-11-02,47
2007-11-03,45
2007-11-04,45
2007-11-05,46
2007-11-06,47
2007-11-07,47
2007-11-08,48
2007-11-09,49
2007-11-10,50
2007-11-11,49
2007-11-12,48
2007-11-13,47
2007-11-14,46
2007-11-15,45
2007-11-16,45
2007-11-17,44
2007-11-18,42
2007-11-19,41
2007-11-20,39
2007-11-21,38
2007-11-22,36
2007-11-23,35
2007-11-24,34
2007-11-25,35
2007-11-26,37
2007-11-27,39
2007-11-28,41
2007-11-29,42
2007-11-30,44
2007-12-01,46
2007-12-02,44
2007-12-03,42
2007-12-04,41
2007-12-05,39
2007-12-06,38
2007-12-07,36
2007-12-08,35
2007-12-09,34
2007-12-10,33
2007-12-11,32
2007-12-12,31
2007-12-13,30
2007-12-14,29
2007-12-15,28
2007-12-16,27
2007-12-17,25
2007-12-18,24
2007-12-19,23
2007-12-20,22
2007-12-21,21
2007-12-22,20
2007-12-23,20
2007-12-24,20
2007-12-25,20
2007-12-26,20
2007-12-27,20
2007-12-28,20
2007-12-29,21
2007-12-30,22
2008-01-06,35
2008-01-07,39
2008-01-08,42
2008-01-09,45
2008-01-10,49
2008-01-11,52
2008-01-12,56
2008-01-13,54
2008-01-14,53
2008-01-15,52
2008-01-16,50
2008-01-17,48
2008-01-18,47
2008-01-19,45
2008-01-20,44
2008-01-21,42
2008-01-22,41
2008-01-23,39
2008-01-24,38
2008-01-25,37
2008-01-26,36
2008-01-27,37
2008-01-28,39
2008-01-29,41
2008-01-30,43
2008-01-31,45
2008-02-01,47
2008-02-02,49
2008-02-03,48
2008-02-04,47
2008-02-05,47
2008-02-06,46
2008-02-07,45
2008-02-08,44
2008-02-09,44
2008-02-10,43
2008-02-11,42
2008-02-12,41
2008-02-13,40
2008-02-14,39
2008-02-15,38
2008-02-16,37
2008-02-17,37
2008-02-18,38
2008-02-19,39
2008-02-20,39
2008-02-21,40
2008-02-22,41
2008-02-23,42
2008-02-24,42
2008-02-25,43
2008-02-26,43
2008-02-27,44
2008-02-28,44
2008-02-29,45
2008-03-01,46
2008-03-02,45
2008-03-03,45
2008-03-04,45
2008-03-05,45
2008-03-06,45
2008-03-07,45
2008-03-08,45
2008-03-09,45
2008-03-10,46
2008-03-11,47
2008-03-12,47
2008-03-13,48
2008-03-14,49
2008-03-15,49
2008-03-16,47
2008-03-17,45
2008-03-18,42
2008-03-19,40
2008-03-20,38
2008-03-21,36
2008-03-22,34
2008-03-23,33
2008-03-24,31
2008-03-25,30
2008-03-26,28
2008-03-27,27
2008-03-28,26
2008-03-29,25
2008-03-30,26
2008-04-06,46
2008-04-07,56
2008-04-08,65
2008-04-09,74
2008-04-10,84
2008-04-11,93
2008-04-12,102
2008-04-13,94
2008-04-14,83
2008-04-15,74
2008-04-16,66
2008-04-17,57
2008-04-18,48
2008-04-19,40
2008-04-20,39
2008-04-21,39
2008-04-22,38
2008-04-23,38
2008-04-24,37
2008-04-25,37
2008-04-26,37
2008-04-27,37
2008-04-28,38
2008-04-29,39
2008-04-30,40
2008-05-01,41
2008-05-02,42
2008-05-03,43
2008-05-04,42
2008-05-05,41
2008-05-06,40
2008-05-07,40
2008-05-08,39
2008-05-09,38
2008-05-10,38
2008-05-11,39
2008-05-12,40
2008-05-13,41
2008-05-14,43
2008-05-15,44
2008-05-16,45
2008-05-17,47
2008-05-18,48
2008-05-19,50
2008-05-20,51
2008-05-21,52
2008-05-22,54
2008-05-23,55
2008-05-24,56
2008-05-25,56
2008-05-26,55
2008-05-27,54
2008-05-28,53
2008-05-29,53
2008-05-30,52
2008-05-31,52
2008-06-01,49
2008-06-02,46
2008-06-03,43
2008-06-04,41
2008-06-05,38
2008-06-06,35
2008-06-07,33
2008-06-08,34
2008-06-09,36
2008-06-10,37
2008-06-11,39
2008-06-12,40
2008-06-13,42
2008-06-14,44
2008-06-15,43
2008-06-16,42
2008-06-17,41
2008-06-18,40
2008-06-19,39
2008-06-20,38
2008-06-21,38
2008-06-22,40
2008-06-23,42
2008-06-24,44
2008-06-25,47
2008-06-26,49
2008-06-27,51
2008-06-28,54
2008-06-29,54
2008-07-06,51
2008-07-07,48
2008-07-08,46
2008-07-09,43
2008-07-10,41
2008-07-11,38
2008-07-12,36
2008-07-13,37
2008-07-14,38
2008-07-15,39
2008-07-16,40
2008-07-17,41
2008-07-18,42
2008-07-19,43
2008-07-20,42
2008-07-21,40
2008-07-22,39
2008-07-23,37
2008-07-24,36
2008-07-25,35
2008-07-26,34
2008-07-27,34
2008-07-28,35
2008-07-29,36
2008-07-30,37
2008-07-31,38
2008-08-01,39
2008-08-02,40
2008-08-03,42
2008-08-04,44
2008-08-05,46
2008-08-06,48
2008-08-07,50
2008-08-08,52
2008-08-09,54
2008-08-10,51
2008-08-11,48
2008-08-12,45
2008-08-13,42
2008-08-14,39
2008-08-15,36
2008-08-16,33
2008-08-17,34
2008-08-18,36
2008-08-19,37
2008-08-20,39
2008-08-21,41
2008-08-22,42
2008-08-23,44
2008-08-24,42
2008-08-25,39
2008-08-26,37
2008-08-27,35
2008-08-28,33
2008-08-29,31
2008-08-30,29
2008-08-31,28
2008-09-01,28
2008-09-02,27
2008-09-03,27
2008-09-04,26
2008-09-05,26
2008-09-06,26
2008-09-07,27
2008-09-08,28
2008-09-09,29
2008-09-10,31
2008-09-11,32
2008-09-12,33
2008-09-13,35
2008-09-14,34
2008-09-15,33
2008-09-16,33
2008-09-17,32
2008-09-18,32
2008-09-19,31
2008-09-20,31
2008-09-21,33
2008-09-22,35
2008-09-23,37
2008-09-24,39
2008-09-25,41
2008-09-26,43
2008-09-27,46
2008-09-28,46
2008-10-05,44
2008-10-06,43
2008-10-07,42
2008-10-08,40
2008-10-09,39
2008-10-10,38
2008-10-11,37
2008-10-12,37
2008-10-13,38
2008-10-14,39
2008-10-15,40
2008-10-16,40
2008-10-17,41
2008-10-18,42
2008-10-19,40
2008-10-20,38
2008-10-21,36
2008-10-22,34
2008-10-23,32
2008-10-24,30
2008-10-25,29
2008-10-26,29
2008-10-27,30
2008-10-28,30
2008-10-29,31
2008-10-30,31
2008-10-31,32
2008-11-01,33
2008-11-02,34
2008-11-03,36
2008-11-04,38
2008-11-05,39
2008-11-06,41
2008-11-07,42
2008-11-08,44
2008-11-09,41
2008-11-10,38
2008-11-11,36
2008-11-12,33
2008-11-13,31
2008-11-14,28
2008-11-15,26
2008-11-16,27
2008-11-17,28
2008-11-18,29
2008-11-19,30
2008-11-20,32
2008-11-21,33
2008-11-22,34
2008-11-23,32
2008-11-24,30
2008-11-25,28
2008-11-26,26
2008-11-27,24
2008-11-28,22
2008-11-29,21
2008-11-30,22
2008-12-01,23
2008-12-02,24
2008-12-03,26
2008-12-04,27
2008-12-05,28
2008-12-06,30
2008-12-07,32
2008-12-08,35
2008-12-09,37
2008-12-10,40
2008-12-11,42
2008-12-12,45
2008-12-13,47
2008-12-14,44
2008-12-15,41
2008-12-16,38
2008-12-17,36
2008-12-18,33
2008-12-19,30
2008-12-20,27
2008-12-21,25
2008-12-22,23
2008-12-23,22
2008-12-24,20
2008-12-25,19
2008-12-26,17
2008-12-27,16
2008-12-28,16
2009-01-04,21
2009-01-05,24
2009-01-06,27
2009-01-07,30
2009-01-08,33
2009-01-09,36
2009-01-10,39
2009-01-11,38
2009-01-12,38
2009-01-13,38
2009-01-14,38
2009-01-15,38
2009-01-16,38
2009-01-17,38
2009-01-18,36
2009-01-19,33
2009-01-20,31
2009-01-21,29
2009-01-22,27
2009-01-23,25
2009-01-24,23
2009-01-25,24
2009-01-26,26
2009-01-27,27
2009-01-28,29
2009-01-29,30
2009-01-30,32
2009-01-31,34
2009-02-01,34
2009-02-02,34
2009-02-03,34
2009-02-04,34
2009-02-05,34
2009-02-06,35
2009-02-07,35
2009-02-08,35
2009-02-09,34
2009-02-10,34
2009-02-11,34
2009-02-12,34
2009-02-13,34
2009-02-14,34
2009-02-15,33
2009-02-16,32
2009-02-17,32
2009-02-18,31
2009-02-19,31
2009-02-20,30
2009-02-21,30
2009-02-22,30
2009-02-23,32
2009-02-24,32
2009-02-25,33
2009-02-26,34
2009-02-27,35
2009-02-28,36
2009-03-01,34
2009-03-02,32
2009-03-03,30
2009-03-04,28
2009-03-05,26
2009-03-06,24
2009-03-07,23
2009-03-08,25
2009-03-09,27
2009-03-10,29
2009-03-11,31
2009-03-12,33
2009-03-13,35
2009-03-14,38
2009-03-15,37
2009-03-16,37
2009-03-17,36
2009-03-18,36
2009-03-19,35
2009-03-20,35
2009-03-21,35
2009-03-22,35
2009-03-23,35
2009-03-24,35
2009-03-25,35
2009-03-26,35
2009-03-27,35
2009-03-28,35
2009-03-29,35
2009-04-05,34
2009-04-06,33
2009-04-07,32
2009-04-08,32
2009-04-09,31
2009-04-10,30
2009-04-11,29
2009-04-12,28
2009-04-13,26
2009-04-14,25
2009-04-15,24
2009-04-16,23
2009-04-17,22
2009-04-18,21
2009-04-19,20
2009-04-20,20
2009-04-21,20
2009-04-22,20
2009-04-23,20
2009-04-24,20
2009-04-25,20
2009-04-26,21
2009-04-27,22
2009-04-28,23
2009-04-29,24
2009-04-30,25
2009-05-01,26
2009-05-02,28
2009-05-03,27
2009-05-04,27
2009-05-05,26
2009-05-06,26
2009-05-07,25
2009-05-08,24
2009-05-09,24
2009-05-10,23
2009-05-11,22
2009-05-12,21
2009-05-13,21
2009-05-14,20
2009-05-15,19
2009-05-16,19
2009-05-17,20
2009-05-18,21
2009-05-19,22
2009-05-20,23
2009-05-21,25
2009-05-22,26
2009-05-23,27
2009-05-24,26
2009-05-25,24
2009-05-26,23
2009-05-27,22
2009-05-28,21
2009-05-29,20
2009-05-30,19
2009-05-31,19
2009-06-01,20
2009-06-02,21
2009-06-03,22
2009-06-04,23
2009-06-05,24
2009-06-06,25
2009-06-07,25
2009-06-08,25
2009-06-09,25
2009-06-10,25
2009-06-11,25
2009-06-12,25
2009-06-13,26
2009-06-14,24
2009-06-15,23
2009-06-16,22
2009-06-17,20
2009-06-18,19
2009-06-19,18
2009-06-20,17
2009-06-21,18
2009-06-22,19
2009-06-23,20
2009-06-24,21
2009-06-25,22
2009-06-26,23
2009-06-27,25
2009-06-28,25
2009-07-05,30
2009-07-06,31
2009-07-07,32
2009-07-08,33
2009-07-09,34
2009-07-10,35
2009-07-11,36
2009-07-12,36
2009-07-13,35
2009-07-14,34
2009-07-15,34
2009-07-16,34
2009-07-17,33
2009-07-18,33
2009-07-19,32
2009-07-20,30
2009-07-21,29
2009-07-22,28
2009-07-23,27
2009-07-24,26
2009-07-25,25
2009-07-26,26
2009-07-27,27
2009-07-28,28
2009-07-29,29
2009-07-30,30
2009-07-31,31
2009-08-01,33
2009-08-02,32
2009-08-03,31
2009-08-04,31
2009-08-05,30
2009-08-06,29
2009-08-07,29
2009-08-08,28
2009-08-09,27
2009-08-10,25
2009-08-11,24
2009-08-12,22
2009-08-13,21
2009-08-14,20
2009-08-15,19
2009-08-16,18
2009-08-17,18
2009-08-18,18
2009-08-19,18
2009-08-20,18
2009-08-21,18
2009-08-22,18
2009-08-23,18
2009-08-24,19
2009-08-25,19
2009-08-26,20
2009-08-27,20
2009-08-28,21
2009-08-29,22
2009-08-30,22
2009-08-31,23
2009-09-01,24
2009-09-02,24
2009-09-03,25
2009-09-04,26
2009-09-05,27
2009-09-06,26
2009-09-07,25
2009-09-08,24
2009-09-09,23
2009-09-10,22
2009-09-11,22
2009-09-12,21
2009-09-13,21
2009-09-14,21
2009-09-15,21
2009-09-16,21
2009-09-17,21
2009-09-18,21
2009-09-19,21
2009-09-20,22
2009-09-21,23
2009-09-22,25
2009-09-23,26
2009-09-24,28
2009-09-25,29
2009-09-26,31
2009-09-27,29
