Date,Cellu Tissue
2009-04-01,0
2009-04-02,1
2009-04-03,3
2009-04-04,5
2009-04-05,7
2009-04-06,9
2009-04-07,11
2009-04-08,13
2009-04-09,14
2009-04-10,16
2009-04-11,18
2009-04-12,20
2009-04-13,22
2009-04-14,24
2009-04-15,26
2009-04-16,28
2009-04-17,29
2009-04-18,31
2009-04-19,33
2009-04-20,35
2009-04-21,37
2009-04-22,39
2009-04-23,41
2009-04-24,42
2009-04-25,44
2009-04-26,46
2009-04-27,48
2009-04-28,50
2009-04-29,52
2009-04-30,54
2009-05-01,56
2009-05-02,55
2009-05-03,55
2009-05-04,54
2009-05-05,54
2009-05-06,54
2009-05-07,53
2009-05-08,53
2009-05-09,53
2009-05-10,52
2009-05-11,52
2009-05-12,52
2009-05-13,51
2009-05-14,51
2009-05-15,51
2009-05-16,50
2009-05-17,50
2009-05-18,49
2009-05-19,49
2009-05-20,49
2009-05-21,48
2009-05-22,48
2009-05-23,48
2009-05-24,47
2009-05-25,47
2009-05-26,47
2009-05-27,46
2009-05-28,46
2009-05-29,46
2009-05-30,45
2009-05-31,45
2009-06-01,45
2009-06-02,45
2009-06-03,45
2009-06-04,45
2009-06-05,45
2009-06-06,46
2009-06-07,46
2009-06-08,46
2009-06-09,46
2009-06-10,46
2009-06-11,47
2009-06-12,47
2009-06-13,47
2009-06-14,47
2009-06-15,47
2009-06-16,48
2009-06-17,48
2009-06-18,48
2009-06-19,48
2009-06-20,48
2009-06-21,49
2009-06-22,49
2009-06-23,49
2009-06-24,49
2009-06-25,49
2009-06-26,50
2009-06-27,50
2009-06-28,50
2009-06-29,50
2009-06-30,50
2009-07-01,51
2009-07-02,51
2009-07-03,51
2009-07-04,51
2009-07-05,51
2009-07-06,52
2009-07-07,52
2009-07-08,52
2009-07-09,52
2009-07-10,53
2009-07-11,53
2009-07-12,53
2009-07-13,53
2009-07-14,53
2009-07-15,54
2009-07-16,54
2009-07-17,54
2009-07-18,54
2009-07-19,55
2009-07-20,55
2009-07-21,55
2009-07-22,55
2009-07-23,55
2009-07-24,56
2009-07-25,56
2009-07-26,56
2009-07-27,56
2009-07-28,57
2009-07-29,57
2009-07-30,57
2009-07-31,57
2009-08-01,58
2009-08-02,58
2009-08-03,58
2009-08-04,58
2009-08-05,58
2009-08-06,59
2009-08-07,59
2009-08-08,59
2009-08-09,59
2009-08-10,60
2009-08-11,60
2009-08-12,60
2009-08-13,60
2009-08-14,60
2009-08-15,61
2009-08-16,61
2009-08-17,61
2009-08-18,61
2009-08-19,62
2009-08-20,62
2009-08-21,62
2009-08-22,62
2009-08-23,62
2009-08-24,63
2009-08-25,63
2009-08-26,63
2009-08-27,63
2009-08-28,64
2009-08-29,64
2009-08-30,64
2009-08-31,64
2009-09-01,65
2009-09-02,65
2009-09-03,65
2009-09-04,65
2009-09-05,65
2009-09-06,66
2009-09-07,66
2009-09-08,66
2009-09-09,66
2009-09-10,67
2009-09-11,67
2009-09-12,67
2009-09-13,67
2009-09-14,68
2009-09-15,68
2009-09-16,68
2009-09-17,68
2009-09-18,68
2009-09-19,69
2009-09-20,69
2009-09-21,69
2009-09-22,69
2009-09-23,70
2009-09-24,70
2009-09-25,70
2009-09-26,70
2009-09-27,71
2009-09-28,71
2009-09-29,71
2009-09-30,71
2009-10-01,72
2009-10-02,72
2009-10-03,72
2009-10-04,72
2009-10-05,73
2009-10-06,73
2009-10-07,73
2009-10-08,74
2009-10-09,74
2009-10-10,74
2009-10-11,74
2009-10-12,75
2009-10-13,75
2009-10-14,75
2009-10-15,76
2009-10-16,76
2009-10-17,76
2009-10-18,76
2009-10-19,77
2009-10-20,77
2009-10-21,77
2009-10-22,78
2009-10-23,78
2009-10-24,78
2009-10-25,78
2009-10-26,79
2009-10-27,79
2009-10-28,79
2009-10-29,80
2009-10-30,80
2009-10-31,80
2009-11-01,81
2009-11-02,81
2009-11-03,81
2009-11-04,82
2009-11-05,82
2009-11-06,82
2009-11-07,83
2009-11-08,83
2009-11-09,83
2009-11-10,84
2009-11-11,84
2009-11-12,84
2009-11-13,85
2009-11-14,85
2009-11-15,85
2009-11-16,86
2009-11-17,86
2009-11-18,86
2009-11-19,87
2009-11-20,87
2009-11-21,87
2009-11-22,88
2009-11-23,88
2009-11-24,88
2009-11-25,89
2009-11-26,89
2009-11-27,89
2009-11-28,90
2009-11-29,90
2009-11-30,90
2009-12-01,91
2009-12-02,91
2009-12-03,91
2009-12-04,91
2009-12-05,92
2009-12-06,92
2009-12-07,92
2009-12-08,93
2009-12-09,93
2009-12-10,93
2009-12-11,93
2009-12-12,94
2009-12-13,94
2009-12-14,94
2009-12-15,95
2009-12-16,95
2009-12-17,95
2009-12-18,95
2009-12-19,96
2009-12-20,96
2009-12-21,96
2009-12-22,97
2009-12-23,97
2009-12-24,97
2009-12-25,97
2009-12-26,98
2009-12-27,98
2009-12-28,98
2009-12-29,99
2009-12-30,99
2009-12-31,99
2010-01-01,100
2010-01-02,99
2010-01-03,98
2010-01-04,97
2010-01-05,96
2010-01-06,95
2010-01-07,94
2010-01-08,93
2010-01-09,92
2010-01-10,91
2010-01-11,90
2010-01-12,89
2010-01-13,88
2010-01-14,87
2010-01-15,86
2010-01-16,85
2010-01-17,85
2010-01-18,84
2010-01-19,83
2010-01-20,82
2010-01-21,81
2010-01-22,80
2010-01-23,79
2010-01-24,78
2010-01-25,77
2010-01-26,76
2010-01-27,75
2010-01-28,74
2010-01-29,73
2010-01-30,72
2010-01-31,71
2010-02-01,71
2010-02-02,70
2010-02-03,69
2010-02-04,68
2010-02-05,67
2010-02-06,66
2010-02-07,65
2010-02-08,64
2010-02-09,63
2010-02-10,62
2010-02-11,61
2010-02-12,60
2010-02-13,59
2010-02-14,58
2010-02-15,58
2010-02-16,57
2010-02-17,56
2010-02-18,55
2010-02-19,54
2010-02-20,53
2010-02-21,52
2010-02-22,51
2010-02-23,50
2010-02-24,49
2010-02-25,48
2010-02-26,47
2010-02-27,46
2010-02-28,45
2010-03-01,45
2010-03-02,44
2010-03-03,44
2010-03-04,44
2010-03-05,44
2010-03-06,44
2010-03-07,44
2010-03-08,43
2010-03-09,43
2010-03-10,43
2010-03-11,43
2010-03-12,43
2010-03-13,43
2010-03-14,42
2010-03-15,42
2010-03-16,42
2010-03-17,42
2010-03-18,42
2010-03-19,42
2010-03-20,41
2010-03-21,41
2010-03-22,41
2010-03-23,41
2010-03-24,41
2010-03-25,41
2010-03-26,40
2010-03-27,40
2010-03-28,40
2010-03-29,40
2010-03-30,40
2010-03-31,40
2010-04-01,40
2010-04-02,39
2010-04-03,39
2010-04-04,39
2010-04-05,39
2010-04-06,39
2010-04-07,39
2010-04-08,39
2010-04-09,39
2010-04-10,39
2010-04-11,39
2010-04-12,39
2010-04-13,39
2010-04-14,39
2010-04-15,39
2010-04-16,39
2010-04-17,38
2010-04-18,38
2010-04-19,38
2010-04-20,38
2010-04-21,38
2010-04-22,38
2010-04-23,38
2010-04-24,38
2010-04-25,38
2010-04-26,38
2010-04-27,38
2010-04-28,38
2010-04-29,38
2010-04-30,38
2010-05-01,38
2010-05-02,38
2010-05-03,38
2010-05-04,38
2010-05-05,38
2010-05-06,38
2010-05-07,38
2010-05-08,38
2010-05-09,38
2010-05-10,38
2010-05-11,38
2010-05-12,38
2010-05-13,38
2010-05-14,38
2010-05-15,38
2010-05-16,38
2010-05-17,38
2010-05-18,38
2010-05-19,38
2010-05-20,38
2010-05-21,38
2010-05-22,38
2010-05-23,38
2010-05-24,38
2010-05-25,38
2010-05-26,38
2010-05-27,38
2010-05-28,38
2010-05-29,38
2010-05-30,38
2010-05-31,38
2010-06-01,38
2010-06-02,38
2010-06-03,38
2010-06-04,38
2010-06-05,38
2010-06-06,38
2010-06-07,38
2010-06-08,38
2010-06-09,38
2010-06-10,38
2010-06-11,38
2010-06-12,38
2010-06-13,38
2010-06-14,38
2010-06-15,38
2010-06-16,38
2010-06-17,38
2010-06-18,38
2010-06-19,38
2010-06-20,38
2010-06-21,38
2010-06-22,38
2010-06-23,38
2010-06-24,38
2010-06-25,38
2010-06-26,38
2010-06-27,38
2010-06-28,38
2010-06-29,38
2010-06-30,38
2010-07-01,38
2010-07-02,38
2010-07-03,39
2010-07-04,39
2010-07-05,40
2010-07-06,40
2010-07-07,41
2010-07-08,42
2010-07-09,42
2010-07-10,43
2010-07-11,43
2010-07-12,44
2010-07-13,44
2010-07-14,45
2010-07-15,46
2010-07-16,46
2010-07-17,47
2010-07-18,47
2010-07-19,48
2010-07-20,49
2010-07-21,49
2010-07-22,50
2010-07-23,50
2010-07-24,51
2010-07-25,51
2010-07-26,52
2010-07-27,53
2010-07-28,53
2010-07-29,54
2010-07-30,54
2010-07-31,55
2010-08-01,56
2010-08-02,56
2010-08-03,57
2010-08-04,57
2010-08-05,58
2010-08-06,58
2010-08-07,59
2010-08-08,60
2010-08-09,60
2010-08-10,61
2010-08-11,61
2010-08-12,62
2010-08-13,62
2010-08-14,63
2010-08-15,64
2010-08-16,64
2010-08-17,65
2010-08-18,65
2010-08-19,66
2010-08-20,67
2010-08-21,67
2010-08-22,68
2010-08-23,68
2010-08-24,69
2010-08-25,69
2010-08-26,70
2010-08-27,71
2010-08-28,71
2010-08-29,72
2010-08-30,72
2010-08-31,73
2010-09-01,74
2010-09-02,72
2010-09-03,71
2010-09-04,70
2010-09-05,68
2010-09-06,67
2010-09-07,66
2010-09-08,65
2010-09-09,63
2010-09-10,62
2010-09-11,61
2010-09-12,60
2010-09-13,58
2010-09-14,57
2010-09-15,56
2010-09-16,55
2010-09-17,53
2010-09-18,52
2010-09-19,51
2010-09-20,49
2010-09-21,48
2010-09-22,47
2010-09-23,46
2010-09-24,44
