Date,Gulfstream
2007-01-01,33
2007-01-02,36
2007-01-03,41
2007-01-04,42
2007-01-05,45
2007-01-06,52
2007-01-07,49
2007-01-08,46
2007-01-09,45
2007-01-10,44
2007-01-11,43
2007-01-12,42
2007-01-13,41
2007-01-14,42
2007-01-15,43
2007-01-16,48
2007-01-17,45
2007-01-18,50
2007-01-19,47
2007-01-20,49
2007-01-21,50
2007-01-22,48
2007-01-23,49
2007-01-24,47
2007-01-25,47
2007-01-26,47
2007-01-27,48
2007-01-28,49
2007-01-29,53
2007-01-30,51
2007-01-31,52
2007-02-01,59
2007-02-02,55
2007-02-03,57
2007-02-04,58
2007-02-05,59
2007-02-06,66
2007-02-07,61
2007-02-08,62
2007-02-09,65
2007-02-10,66
2007-02-11,69
2007-02-12,62
2007-02-13,61
2007-02-14,65
2007-02-15,60
2007-02-16,61
2007-02-17,61
2007-02-18,58
2007-02-19,57
2007-02-20,57
2007-02-21,57
2007-02-22,56
2007-02-23,57
2007-02-24,55
2007-02-25,54
2007-02-26,54
2007-02-27,55
2007-02-28,53
2007-03-01,58
2007-03-02,52
2007-03-03,52
2007-03-04,53
2007-03-05,52
2007-03-06,52
2007-03-07,52
2007-03-08,54
2007-03-09,52
2007-03-10,54
2007-03-11,51
2007-03-12,51
2007-03-13,54
2007-03-14,50
2007-03-15,52
2007-03-16,50
2007-03-17,51
2007-03-18,53
2007-03-19,48
2007-03-20,48
2007-03-21,47
2007-03-22,47
2007-03-23,50
2007-03-24,46
2007-03-25,45
2007-03-26,45
2007-03-27,47
2007-03-28,44
2007-03-29,43
2007-03-30,43
2007-03-31,44
2007-04-01,43
2007-04-02,46
2007-04-03,44
2007-04-04,44
2007-04-05,49
2007-04-06,45
2007-04-07,46
2007-04-08,46
2007-04-09,46
2007-04-10,48
2007-04-11,46
2007-04-12,47
2007-04-13,48
2007-04-14,47
2007-04-15,45
2007-04-16,48
2007-04-17,43
2007-04-18,43
2007-04-19,41
2007-04-20,40
2007-04-21,39
2007-04-22,40
2007-04-23,42
2007-04-24,48
2007-04-25,46
2007-04-26,50
2007-04-27,51
2007-04-28,52
2007-04-29,54
2007-04-30,50
2007-05-01,49
2007-05-02,51
2007-05-03,48
2007-05-04,52
2007-05-05,47
2007-05-06,46
2007-05-07,46
2007-05-08,46
2007-05-09,46
2007-05-10,47
2007-05-11,47
2007-05-12,46
2007-05-13,46
2007-05-14,46
2007-05-15,46
2007-05-16,49
2007-05-17,46
2007-05-18,48
2007-05-19,47
2007-05-20,46
2007-05-21,48
2007-05-22,45
2007-05-23,47
2007-05-24,43
2007-05-25,42
2007-05-26,42
2007-05-27,42
2007-05-28,42
2007-05-29,44
2007-05-30,42
2007-05-31,47
2007-06-01,42
2007-06-02,43
2007-06-03,42
2007-06-04,42
2007-06-05,43
2007-06-06,45
2007-06-07,44
2007-06-08,44
2007-06-09,45
2007-06-10,45
2007-06-11,45
2007-06-12,45
2007-06-13,49
2007-06-14,45
2007-06-15,46
2007-06-16,46
2007-06-17,46
2007-06-18,49
2007-06-19,47
2007-06-20,50
2007-06-21,48
2007-06-22,48
2007-06-23,52
2007-06-24,48
2007-06-25,48
2007-06-26,47
2007-06-27,47
2007-06-28,45
2007-06-29,44
2007-06-30,44
2007-07-01,44
2007-07-02,44
2007-07-03,45
2007-07-04,46
2007-07-05,46
2007-07-06,44
2007-07-07,45
2007-07-08,45
2007-07-09,46
2007-07-10,53
2007-07-11,50
2007-07-12,51
2007-07-13,55
2007-07-14,54
2007-07-15,57
2007-07-16,51
2007-07-17,50
2007-07-18,48
2007-07-19,47
2007-07-20,48
2007-07-21,46
2007-07-22,45
2007-07-23,44
2007-07-24,44
2007-07-25,44
2007-07-26,44
2007-07-27,43
2007-07-28,46
2007-07-29,43
2007-07-30,43
2007-07-31,46
2007-08-01,44
2007-08-02,45
2007-08-03,45
2007-08-04,47
2007-08-05,46
2007-08-06,46
2007-08-07,46
2007-08-08,52
2007-08-09,47
2007-08-10,47
2007-08-11,48
2007-08-12,47
2007-08-13,46
2007-08-14,47
2007-08-15,44
2007-08-16,43
2007-08-17,42
2007-08-18,43
2007-08-19,41
2007-08-20,41
2007-08-21,41
2007-08-22,40
2007-08-23,45
2007-08-24,40
2007-08-25,40
2007-08-26,40
2007-08-27,40
2007-08-28,45
2007-08-29,41
2007-08-30,41
2007-08-31,41
2007-09-01,42
2007-09-02,45
2007-09-03,43
2007-09-04,44
2007-09-05,44
2007-09-06,47
2007-09-07,46
2007-09-08,47
2007-09-09,48
2007-09-10,45
2007-09-11,44
2007-09-12,44
2007-09-13,43
2007-09-14,44
2007-09-15,43
2007-09-16,42
2007-09-17,44
2007-09-18,42
2007-09-19,43
2007-09-20,44
2007-09-21,42
2007-09-22,43
2007-09-23,45
2007-09-24,44
2007-09-25,46
2007-09-26,46
2007-09-27,49
2007-09-28,48
2007-09-29,50
2007-09-30,48
2007-10-01,47
2007-10-02,48
2007-10-03,48
2007-10-04,46
2007-10-05,45
2007-10-06,46
2007-10-07,44
2007-10-08,44
2007-10-09,46
2007-10-10,47
2007-10-11,44
2007-10-12,45
2007-10-13,44
2007-10-14,44
2007-10-15,44
2007-10-16,44
2007-10-17,44
2007-10-18,44
2007-10-19,44
2007-10-20,46
2007-10-21,46
2007-10-22,46
2007-10-23,50
2007-10-24,47
2007-10-25,47
2007-10-26,49
2007-10-27,49
2007-10-28,47
2007-10-29,46
2007-10-30,44
2007-10-31,49
2007-11-01,42
2007-11-02,40
2007-11-03,39
2007-11-04,39
2007-11-05,41
2007-11-06,40
2007-11-07,41
2007-11-08,41
2007-11-09,42
2007-11-10,48
2007-11-11,44
2007-11-12,45
2007-11-13,46
2007-11-14,49
2007-11-15,48
2007-11-16,52
2007-11-17,56
2007-11-18,48
2007-11-19,48
2007-11-20,45
2007-11-21,41
2007-11-22,40
2007-11-23,37
2007-11-24,35
2007-11-25,36
2007-11-26,40
2007-11-27,40
2007-11-28,42
2007-11-29,44
2007-11-30,47
2007-12-01,49
2007-12-02,47
2007-12-03,48
2007-12-04,47
2007-12-05,46
2007-12-06,47
2007-12-07,46
2007-12-08,49
2007-12-09,46
2007-12-10,43
2007-12-11,44
2007-12-12,41
2007-12-13,40
2007-12-14,40
2007-12-15,38
2007-12-16,38
2007-12-17,38
2007-12-18,42
2007-12-19,39
2007-12-20,44
2007-12-21,40
2007-12-22,41
2007-12-23,39
2007-12-24,37
