Date,Groupon
2010-12-01,37
2010-12-02,41
2010-12-03,43
2010-12-04,44
2010-12-05,44
2010-12-06,42
2010-12-07,43
2010-12-08,42
2010-12-09,41
2010-12-10,40
2010-12-11,40
2010-12-12,39
2010-12-13,40
2010-12-14,39
2010-12-15,38
2010-12-16,38
2010-12-17,38
2010-12-18,39
2010-12-19,37
2010-12-20,37
2010-12-21,37
2010-12-22,37
2010-12-23,37
2010-12-24,38
2010-12-25,38
2010-12-26,36
2010-12-27,36
2010-12-28,35
2010-12-29,35
2010-12-30,36
2010-12-31,36
2011-01-01,34
2011-01-02,35
2011-01-03,37
2011-01-04,39
2011-01-05,41
2011-01-06,43
2011-01-07,44
2011-01-08,47
2011-01-09,48
2011-01-10,47
2011-01-11,48
2011-01-12,50
2011-01-13,50
2011-01-14,50
2011-01-15,52
2011-01-16,51
2011-01-17,49
2011-01-18,48
2011-01-19,48
2011-01-20,46
2011-01-21,45
2011-01-22,48
2011-01-23,44
2011-01-24,43
2011-01-25,43
2011-01-26,42
2011-01-27,42
2011-01-28,41
2011-01-29,43
2011-01-30,41
2011-01-31,41
2011-02-01,41
2011-02-02,41
2011-02-03,41
2011-02-04,41
2011-02-05,42
2011-02-06,42
2011-02-07,43
2011-02-08,46
2011-02-09,46
2011-02-10,48
2011-02-11,48
2011-02-12,54
2011-02-13,49
2011-02-14,49
2011-02-15,50
2011-02-16,50
2011-02-17,47
2011-02-18,48
2011-02-19,48
2011-02-20,46
2011-02-21,46
2011-02-22,45
2011-02-23,45
2011-02-24,44
2011-02-25,45
2011-02-26,45
2011-02-27,43
2011-02-28,43
2011-03-01,43
2011-03-02,44
2011-03-03,43
2011-03-04,43
2011-03-05,45
2011-03-06,44
2011-03-07,45
2011-03-08,47
2011-03-09,47
2011-03-10,48
2011-03-11,49
2011-03-12,50
2011-03-13,51
2011-03-14,50
2011-03-15,50
2011-03-16,51
2011-03-17,51
2011-03-18,52
2011-03-19,54
2011-03-20,51
2011-03-21,51
2011-03-22,51
2011-03-23,50
2011-03-24,51
2011-03-25,50
2011-03-26,52
2011-03-27,50
2011-03-28,50
2011-03-29,50
2011-03-30,50
2011-03-31,50
2011-04-01,52
2011-04-02,52
2011-04-03,51
2011-04-04,50
2011-04-05,49
2011-04-06,49
2011-04-07,49
2011-04-08,48
2011-04-09,50
2011-04-10,47
2011-04-11,47
2011-04-12,48
2011-04-13,47
2011-04-14,47
2011-04-15,47
2011-04-16,47
2011-04-17,47
2011-04-18,47
2011-04-19,47
2011-04-20,47
2011-04-21,48
2011-04-22,49
2011-04-23,48
2011-04-24,48
2011-04-25,47
2011-04-26,47
2011-04-27,47
2011-04-28,48
2011-04-29,48
2011-04-30,48
2011-05-01,47
2011-05-02,47
2011-05-03,48
2011-05-04,47
2011-05-05,47
2011-05-06,47
2011-05-07,51
2011-05-08,47
2011-05-09,47
2011-05-10,48
2011-05-11,47
2011-05-12,48
2011-05-13,47
2011-05-14,50
2011-05-15,47
2011-05-16,48
2011-05-17,48
2011-05-18,49
2011-05-19,50
2011-05-20,51
2011-05-21,53
2011-05-22,50
2011-05-23,50
2011-05-24,50
2011-05-25,50
2011-05-26,51
2011-05-27,50
2011-05-28,51
2011-05-29,52
2011-05-30,55
2011-05-31,58
2011-06-01,61
2011-06-02,64
2011-06-03,67
2011-06-04,78
2011-06-05,69
2011-06-06,67
2011-06-07,67
2011-06-08,66
2011-06-09,65
2011-06-10,63
2011-06-11,64
2011-06-12,61
2011-06-13,61
2011-06-14,60
2011-06-15,60
2011-06-16,59
2011-06-17,61
2011-06-18,61
2011-06-19,58
2011-06-20,57
2011-06-21,56
2011-06-22,56
2011-06-23,54
2011-06-24,55
2011-06-25,56
2011-06-26,53
2011-06-27,53
2011-06-28,53
2011-06-29,55
2011-06-30,54
2011-07-01,56
2011-07-02,55
2011-07-03,54
2011-07-04,54
2011-07-05,54
2011-07-06,53
2011-07-07,54
2011-07-08,53
2011-07-09,56
2011-07-10,53
2011-07-11,53
2011-07-12,53
2011-07-13,54
2011-07-14,54
2011-07-15,54
2011-07-16,58
2011-07-17,54
2011-07-18,54
2011-07-19,54
2011-07-20,54
2011-07-21,55
2011-07-22,54
2011-07-23,58
2011-07-24,54
2011-07-25,55
2011-07-26,56
2011-07-27,58
2011-07-28,58
2011-07-29,59
2011-07-30,64
2011-07-31,59
2011-08-01,58
2011-08-02,57
2011-08-03,58
2011-08-04,57
2011-08-05,55
2011-08-06,58
2011-08-07,55
2011-08-08,55
2011-08-09,57
2011-08-10,56
2011-08-11,57
2011-08-12,59
2011-08-13,59
2011-08-14,58
2011-08-15,57
2011-08-16,57
2011-08-17,60
2011-08-18,58
2011-08-19,57
2011-08-20,58
2011-08-21,56
2011-08-22,55
2011-08-23,55
2011-08-24,56
2011-08-25,54
2011-08-26,54
2011-08-27,54
2011-08-28,53
2011-08-29,53
2011-08-30,53
2011-08-31,54
2011-09-01,54
2011-09-02,55
2011-09-03,59
2011-09-04,55
2011-09-05,55
2011-09-06,55
2011-09-07,55
2011-09-08,55
2011-09-09,56
2011-09-10,58
2011-09-11,56
2011-09-12,57
2011-09-13,58
2011-09-14,58
2011-09-15,59
2011-09-16,61
2011-09-17,63
2011-09-18,60
2011-09-19,60
2011-09-20,59
2011-09-21,59
2011-09-22,58
2011-09-23,59
2011-09-24,60
2011-09-25,58
2011-09-26,58
2011-09-27,60
2011-09-28,59
2011-09-29,59
2011-09-30,60
2011-10-01,62
2011-10-02,59
2011-10-03,59
2011-10-04,59
2011-10-05,58
2011-10-06,59
2011-10-07,58
2011-10-08,60
2011-10-09,58
2011-10-10,58
2011-10-11,58
2011-10-12,59
2011-10-13,58
2011-10-14,59
2011-10-15,61
2011-10-16,59
2011-10-17,60
2011-10-18,61
2011-10-19,61
2011-10-20,62
2011-10-21,63
2011-10-22,68
2011-10-23,64
2011-10-24,65
2011-10-25,66
2011-10-26,69
2011-10-27,68
2011-10-28,69
2011-10-29,74
2011-10-30,74
2011-10-31,78
2011-11-01,83
2011-11-02,87
2011-11-03,91
2011-11-04,95
2011-11-05,112
2011-11-06,101
2011-11-07,93
2011-11-08,91
2011-11-09,88
2011-11-10,82
2011-11-11,82
2011-11-12,79
2011-11-13,74
2011-11-14,73
2011-11-15,73
2011-11-16,71
2011-11-17,70
2011-11-18,69
2011-11-19,72
2011-11-20,68
2011-11-21,68
2011-11-22,68
2011-11-23,70
2011-11-24,68
2011-11-25,70
2011-11-26,70
2011-11-27,68
2011-11-28,69
2011-11-29,70
2011-11-30,71
2011-12-01,72
2011-12-02,74
2011-12-03,76
2011-12-04,73
2011-12-05,73
2011-12-06,71
2011-12-07,72
2011-12-08,71
2011-12-09,69
2011-12-10,73
2011-12-11,68
2011-12-12,68
2011-12-13,69
2011-12-14,68
2011-12-15,70
2011-12-16,68
2011-12-17,70
2011-12-18,67
2011-12-19,66
2011-12-20,65
2011-12-21,65
2011-12-22,63
2011-12-23,65
2011-12-24,63
2011-12-25,60
2011-12-26,60
2011-12-27,59
2011-12-28,59
2011-12-29,58
2011-12-30,60
2011-12-31,60
2012-01-01,58
2012-01-02,59
2012-01-03,60
2012-01-04,61
2012-01-05,64
2012-01-06,64
2012-01-07,67
2012-01-08,63
2012-01-09,63
2012-01-10,63
2012-01-11,62
2012-01-12,63
2012-01-13,63
2012-01-14,62
2012-01-15,61
2012-01-16,61
2012-01-17,61
2012-01-18,62
2012-01-19,61
2012-01-20,63
2012-01-21,61
2012-01-22,61
2012-01-23,61
2012-01-24,62
2012-01-25,61
2012-01-26,61
2012-01-27,61
2012-01-28,63
2012-01-29,61
2012-01-30,62
2012-01-31,64
2012-02-01,63
2012-02-02,65
2012-02-03,65
2012-02-04,68
2012-02-05,66
2012-02-06,66
2012-02-07,66
2012-02-08,66
2012-02-09,67
2012-02-10,67
2012-02-11,68
2012-02-12,65
2012-02-13,64
2012-02-14,66
2012-02-15,63
2012-02-16,64
2012-02-17,63
2012-02-18,63
2012-02-19,62
2012-02-20,62
2012-02-21,62
2012-02-22,62
2012-02-23,62
2012-02-24,62
2012-02-25,64
2012-02-26,62
2012-02-27,63
2012-02-28,63
2012-02-29,65
2012-03-01,64
2012-03-02,67
2012-03-03,68
2012-03-04,65
2012-03-05,64
2012-03-06,64
2012-03-07,65
2012-03-08,63
2012-03-09,62
2012-03-10,65
2012-03-11,61
2012-03-12,61
2012-03-13,62
2012-03-14,61
2012-03-15,62
2012-03-16,61
2012-03-17,62
2012-03-18,60
2012-03-19,60
2012-03-20,60
2012-03-21,60
2012-03-22,59
2012-03-23,60
2012-03-24,62
2012-03-25,59
2012-03-26,59
2012-03-27,59
2012-03-28,59
2012-03-29,62
2012-03-30,60
2012-03-31,61
2012-04-01,59
2012-04-02,59
2012-04-03,60
2012-04-04,60
2012-04-05,60
2012-04-06,61
2012-04-07,59
2012-04-08,60
2012-04-09,57
2012-04-10,57
2012-04-11,57
2012-04-12,56
2012-04-13,55
2012-04-14,59
2012-04-15,55
2012-04-16,56
2012-04-17,58
2012-04-18,57
2012-04-19,58
2012-04-20,61
2012-04-21,61
2012-04-22,59
2012-04-23,58
2012-04-24,59
2012-04-25,57
2012-04-26,58
2012-04-27,56
2012-04-28,57
2012-04-29,56
2012-04-30,56
2012-05-01,57
2012-05-02,56
2012-05-03,56
2012-05-04,56
2012-05-05,58
2012-05-06,57
2012-05-07,57
2012-05-08,57
2012-05-09,57
2012-05-10,57
2012-05-11,58
2012-05-12,59
2012-05-13,57
2012-05-14,58
2012-05-15,58
2012-05-16,60
