Date,First Interstate BancSystem
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,2
2009-08-03,5
2009-08-04,7
2009-08-05,10
2009-08-06,13
2009-08-07,15
2009-08-08,18
2009-08-09,20
2009-08-10,23
2009-08-11,26
2009-08-12,28
2009-08-13,31
2009-08-14,33
2009-08-15,36
2009-08-16,39
2009-08-17,41
2009-08-18,44
2009-08-19,47
2009-08-20,49
2009-08-21,52
2009-08-22,54
2009-08-23,57
2009-08-24,60
2009-08-25,62
2009-08-26,65
2009-08-27,67
2009-08-28,70
2009-08-29,73
2009-08-30,75
2009-08-31,78
2009-09-01,81
2009-09-02,80
2009-09-03,80
2009-09-04,80
2009-09-05,80
2009-09-06,80
2009-09-07,80
2009-09-08,79
2009-09-09,79
2009-09-10,79
2009-09-11,79
2009-09-12,79
2009-09-13,79
2009-09-14,78
2009-09-15,78
2009-09-16,78
2009-09-17,78
2009-09-18,78
2009-09-19,78
2009-09-20,77
2009-09-21,77
2009-09-22,77
2009-09-23,77
2009-09-24,77
2009-09-25,77
2009-09-26,76
2009-09-27,76
2009-09-28,76
2009-09-29,76
2009-09-30,76
2009-10-01,76
2009-10-02,76
2009-10-03,76
2009-10-04,76
2009-10-05,76
2009-10-06,76
2009-10-07,76
2009-10-08,76
2009-10-09,76
2009-10-10,76
2009-10-11,76
2009-10-12,76
2009-10-13,76
2009-10-14,76
2009-10-15,76
2009-10-16,76
2009-10-17,76
2009-10-18,76
2009-10-19,76
2009-10-20,76
2009-10-21,76
2009-10-22,76
2009-10-23,76
2009-10-24,76
2009-10-25,76
2009-10-26,76
2009-10-27,76
2009-10-28,76
2009-10-29,76
2009-10-30,76
2009-10-31,76
2009-11-01,76
2009-11-02,75
2009-11-03,75
2009-11-04,75
2009-11-05,75
2009-11-06,75
2009-11-07,75
2009-11-08,75
2009-11-09,75
2009-11-10,75
2009-11-11,75
2009-11-12,74
2009-11-13,74
2009-11-14,74
2009-11-15,74
2009-11-16,74
2009-11-17,74
2009-11-18,74
2009-11-19,74
2009-11-20,74
2009-11-21,74
2009-11-22,73
2009-11-23,73
2009-11-24,73
2009-11-25,73
2009-11-26,73
2009-11-27,73
2009-11-28,73
2009-11-29,73
2009-11-30,73
2009-12-01,73
2009-12-02,73
2009-12-03,73
2009-12-04,73
2009-12-05,73
2009-12-06,73
2009-12-07,73
2009-12-08,73
2009-12-09,73
2009-12-10,73
