Date,Bridgepoint Education
2008-06-01,0
2008-06-02,0
2008-06-03,0
2008-06-04,0
2008-06-05,0
2008-06-06,0
2008-06-07,0
2008-06-08,0
2008-06-09,0
2008-06-10,0
2008-06-11,0
2008-06-12,0
2008-06-13,0
2008-06-14,0
2008-06-15,0
2008-06-16,0
2008-06-17,0
2008-06-18,0
2008-06-19,0
2008-06-20,0
2008-06-21,0
2008-06-22,0
2008-06-23,0
2008-06-24,0
2008-06-25,0
2008-06-26,0
2008-06-27,0
2008-06-28,0
2008-06-29,0
2008-06-30,0
2008-07-01,0
2008-07-02,0
2008-07-03,1
2008-07-04,2
2008-07-05,3
2008-07-06,4
2008-07-07,5
2008-07-08,6
2008-07-09,6
2008-07-10,7
2008-07-11,8
2008-07-12,9
2008-07-13,10
2008-07-14,11
2008-07-15,12
2008-07-16,13
2008-07-17,13
2008-07-18,14
2008-07-19,15
2008-07-20,16
2008-07-21,17
2008-07-22,18
2008-07-23,19
2008-07-24,20
2008-07-25,20
2008-07-26,21
2008-07-27,22
2008-07-28,23
2008-07-29,24
2008-07-30,25
2008-07-31,26
2008-08-01,27
2008-08-02,26
2008-08-03,26
2008-08-04,26
2008-08-05,26
2008-08-06,25
2008-08-07,25
2008-08-08,25
2008-08-09,25
2008-08-10,24
2008-08-11,24
2008-08-12,24
2008-08-13,24
2008-08-14,24
2008-08-15,23
2008-08-16,23
2008-08-17,23
2008-08-18,23
2008-08-19,22
2008-08-20,22
2008-08-21,22
2008-08-22,22
2008-08-23,22
2008-08-24,21
2008-08-25,21
2008-08-26,21
2008-08-27,21
2008-08-28,20
2008-08-29,20
2008-08-30,20
2008-08-31,20
2008-09-01,20
2008-09-02,20
2008-09-03,20
2008-09-04,20
2008-09-05,20
2008-09-06,21
2008-09-07,21
2008-09-08,21
2008-09-09,21
2008-09-10,21
2008-09-11,22
2008-09-12,22
2008-09-13,22
2008-09-14,22
2008-09-15,22
2008-09-16,23
2008-09-17,23
2008-09-18,23
2008-09-19,23
2008-09-20,23
2008-09-21,24
2008-09-22,24
2008-09-23,24
2008-09-24,24
2008-09-25,24
2008-09-26,25
2008-09-27,25
2008-09-28,25
2008-09-29,25
2008-09-30,25
2008-10-01,26
2008-10-02,25
2008-10-03,25
2008-10-04,25
2008-10-05,25
2008-10-06,25
2008-10-07,25
2008-10-08,25
2008-10-09,25
2008-10-10,25
2008-10-11,25
2008-10-12,25
2008-10-13,25
2008-10-14,25
2008-10-15,25
2008-10-16,25
2008-10-17,24
2008-10-18,24
2008-10-19,24
2008-10-20,24
2008-10-21,24
2008-10-22,24
2008-10-23,24
2008-10-24,24
2008-10-25,24
2008-10-26,24
2008-10-27,24
2008-10-28,24
2008-10-29,24
2008-10-30,24
2008-10-31,24
2008-11-01,24
2008-11-02,23
2008-11-03,23
2008-11-04,23
2008-11-05,23
2008-11-06,23
2008-11-07,22
2008-11-08,22
2008-11-09,22
2008-11-10,22
2008-11-11,22
2008-11-12,21
2008-11-13,21
2008-11-14,21
2008-11-15,21
2008-11-16,21
2008-11-17,20
2008-11-18,20
2008-11-19,20
2008-11-20,20
2008-11-21,20
2008-11-22,19
2008-11-23,19
2008-11-24,19
2008-11-25,19
2008-11-26,19
2008-11-27,18
2008-11-28,18
2008-11-29,18
2008-11-30,18
2008-12-01,18
2008-12-02,18
2008-12-03,18
2008-12-04,18
2008-12-05,19
2008-12-06,19
2008-12-07,19
2008-12-08,19
2008-12-09,20
2008-12-10,20
2008-12-11,20
2008-12-12,20
2008-12-13,21
2008-12-14,21
2008-12-15,21
2008-12-16,21
2008-12-17,22
2008-12-18,22
2008-12-19,22
2008-12-20,22
2008-12-21,23
2008-12-22,23
2008-12-23,23
2008-12-24,23
2008-12-25,24
2008-12-26,24
2008-12-27,24
2008-12-28,24
2008-12-29,25
2008-12-30,25
2008-12-31,25
2009-01-01,26
2009-01-02,25
2009-01-03,25
2009-01-04,25
2009-01-05,25
2009-01-06,25
2009-01-07,25
2009-01-08,24
2009-01-09,24
2009-01-10,24
2009-01-11,24
2009-01-12,24
2009-01-13,24
2009-01-14,23
2009-01-15,23
2009-01-16,23
2009-01-17,23
2009-01-18,23
2009-01-19,23
2009-01-20,22
2009-01-21,22
2009-01-22,22
2009-01-23,22
2009-01-24,22
2009-01-25,22
2009-01-26,21
2009-01-27,21
2009-01-28,21
2009-01-29,21
2009-01-30,21
2009-01-31,21
2009-02-01,21
2009-02-02,21
2009-02-03,21
2009-02-04,21
2009-02-05,21
2009-02-06,21
2009-02-07,21
2009-02-08,21
2009-02-09,21
2009-02-10,21
2009-02-11,22
2009-02-12,22
2009-02-13,22
2009-02-14,22
2009-02-15,22
2009-02-16,22
2009-02-17,22
2009-02-18,22
2009-02-19,22
2009-02-20,23
2009-02-21,23
2009-02-22,23
2009-02-23,23
2009-02-24,23
2009-02-25,23
2009-02-26,23
2009-02-27,23
2009-02-28,23
2009-03-01,24
2009-03-02,26
2009-03-03,28
2009-03-04,31
2009-03-05,33
2009-03-06,36
2009-03-07,38
2009-03-08,41
2009-03-09,43
2009-03-10,46
2009-03-11,48
2009-03-12,50
2009-03-13,53
2009-03-14,55
2009-03-15,58
2009-03-16,60
2009-03-17,63
2009-03-18,65
2009-03-19,68
2009-03-20,70
2009-03-21,73
2009-03-22,75
2009-03-23,93
2009-03-24,80
2009-03-25,82
2009-03-26,85
2009-03-27,87
2009-03-28,90
2009-03-29,92
2009-03-30,95
2009-03-31,97
2009-04-01,100
2009-04-02,98
2009-04-03,96
2009-04-04,94
2009-04-05,92
2009-04-06,90
2009-04-07,88
2009-04-08,86
2009-04-09,84
2009-04-10,82
2009-04-11,81
2009-04-12,79
2009-04-13,78
2009-04-14,76
2009-04-15,75
2009-04-16,73
2009-04-17,71
2009-04-18,70
2009-04-19,68
2009-04-20,64
2009-04-21,62
2009-04-22,60
2009-04-23,58
2009-04-24,56
2009-04-25,54
2009-04-26,52
2009-04-27,50
2009-04-28,48
2009-04-29,46
2009-04-30,44
2009-05-01,43
2009-05-02,42
2009-05-03,42
2009-05-04,42
2009-05-05,42
2009-05-06,42
2009-05-07,42
2009-05-08,42
2009-05-09,43
2009-05-10,38
2009-05-11,38
2009-05-12,38
2009-05-13,37
2009-05-14,37
2009-05-15,36
2009-05-16,36
2009-05-17,35
2009-05-18,35
2009-05-19,34
2009-05-20,34
2009-05-21,33
2009-05-22,33
2009-05-23,33
2009-05-24,32
2009-05-25,32
2009-05-26,31
2009-05-27,31
2009-05-28,30
2009-05-29,30
2009-05-30,29
2009-05-31,29
2009-06-01,29
2009-06-02,28
2009-06-03,28
2009-06-04,28
2009-06-05,27
2009-06-06,27
2009-06-07,27
2009-06-08,27
2009-06-09,26
2009-06-10,26
2009-06-11,26
2009-06-12,26
2009-06-13,25
2009-06-14,25
2009-06-15,25
2009-06-16,25
2009-06-17,24
2009-06-18,24
2009-06-19,24
2009-06-20,23
2009-06-21,23
2009-06-22,23
2009-06-23,23
2009-06-24,22
2009-06-25,22
2009-06-26,22
2009-06-27,22
2009-06-28,21
2009-06-29,21
2009-06-30,21
2009-07-01,21
2009-07-02,22
2009-07-03,23
2009-07-04,24
2009-07-05,25
2009-07-06,26
2009-07-07,27
2009-07-08,28
2009-07-09,29
2009-07-10,30
2009-07-11,31
2009-07-12,32
2009-07-13,33
2009-07-14,34
2009-07-15,35
2009-07-16,36
2009-07-17,37
2009-07-18,38
2009-07-19,39
2009-07-20,40
2009-07-21,41
2009-07-22,42
2009-07-23,43
2009-07-24,44
2009-07-25,45
2009-07-26,46
2009-07-27,47
2009-07-28,48
2009-07-29,49
2009-07-30,50
2009-07-31,51
2009-08-01,53
2009-08-02,52
2009-08-03,52
2009-08-04,52
2009-08-05,52
2009-08-06,52
2009-08-07,52
2009-08-08,51
2009-08-09,51
2009-08-10,51
2009-08-11,51
2009-08-12,51
2009-08-13,51
2009-08-14,50
2009-08-15,50
2009-08-16,50
2009-08-17,50
2009-08-18,50
2009-08-19,50
2009-08-20,49
2009-08-21,49
2009-08-22,49
2009-08-23,49
2009-08-24,49
2009-08-25,49
2009-08-26,48
2009-08-27,48
2009-08-28,48
2009-08-29,48
2009-08-30,48
2009-08-31,48
2009-09-01,48
2009-09-02,47
2009-09-03,46
2009-09-04,45
2009-09-05,45
2009-09-06,44
2009-09-07,43
2009-09-08,43
2009-09-09,42
2009-09-10,41
2009-09-11,41
2009-09-12,40
2009-09-13,39
2009-09-14,38
2009-09-15,38
2009-09-16,37
2009-09-17,36
2009-09-18,36
2009-09-19,35
2009-09-20,34
2009-09-21,34
2009-09-22,33
2009-09-23,32
2009-09-24,31
2009-09-25,31
2009-09-26,30
2009-09-27,29
2009-09-28,29
2009-09-29,28
2009-09-30,27
2009-10-01,27
2009-10-02,26
2009-10-03,26
2009-10-04,26
2009-10-05,26
2009-10-06,26
2009-10-07,26
2009-10-08,26
2009-10-09,25
2009-10-10,25
2009-10-11,25
2009-10-12,25
2009-10-13,25
2009-10-14,25
2009-10-15,25
2009-10-16,25
2009-10-17,24
2009-10-18,24
2009-10-19,24
2009-10-20,24
2009-10-21,24
2009-10-22,24
2009-10-23,24
2009-10-24,24
2009-10-25,23
2009-10-26,23
2009-10-27,23
2009-10-28,23
2009-10-29,23
2009-10-30,23
2009-10-31,23
2009-11-01,23
2009-11-02,23
2009-11-03,23
2009-11-04,23
2009-11-05,23
2009-11-06,23
2009-11-07,23
2009-11-08,23
2009-11-09,24
2009-11-10,24
2009-11-11,24
2009-11-12,24
2009-11-13,24
2009-11-14,24
2009-11-15,24
2009-11-16,25
2009-11-17,25
2009-11-18,25
2009-11-19,25
2009-11-20,25
2009-11-21,25
2009-11-22,25
2009-11-23,25
2009-11-24,26
2009-11-25,26
2009-11-26,26
2009-11-27,26
2009-11-28,26
2009-11-29,26
2009-11-30,26
2009-12-01,27
2009-12-02,26
2009-12-03,26
2009-12-04,26
2009-12-05,26
2009-12-06,26
2009-12-07,26
2009-12-08,26
2009-12-09,26
2009-12-10,26
2009-12-11,26
2009-12-12,26
2009-12-13,26
2009-12-14,26
2009-12-15,26
2009-12-16,26
2009-12-17,26
2009-12-18,26
2009-12-19,26
2009-12-20,26
2009-12-21,26
2009-12-22,26
2009-12-23,26
2009-12-24,26
2009-12-25,26
2009-12-26,26
2009-12-27,26
2009-12-28,26
2009-12-29,26
2009-12-30,26
2009-12-31,26
