Date,Pacific Biosciences
2010-02-01,0
2010-02-02,1
2010-02-03,2
2010-02-04,3
2010-02-05,4
2010-02-06,5
2010-02-07,6
2010-02-08,7
2010-02-09,8
2010-02-10,9
2010-02-11,11
2010-02-12,12
2010-02-13,13
2010-02-14,14
2010-02-15,15
2010-02-16,16
2010-02-17,17
2010-02-18,18
2010-02-19,19
2010-02-20,21
2010-02-21,22
2010-02-22,23
2010-02-23,24
2010-02-24,25
2010-02-25,26
2010-02-26,27
2010-02-27,28
2010-02-28,29
2010-03-01,31
2010-03-02,30
2010-03-03,30
2010-03-04,30
2010-03-05,30
2010-03-06,30
2010-03-07,30
2010-03-08,30
2010-03-09,30
2010-03-10,30
2010-03-11,30
2010-03-12,29
2010-03-13,29
2010-03-14,29
2010-03-15,29
2010-03-16,29
2010-03-17,29
2010-03-18,29
2010-03-19,29
2010-03-20,29
2010-03-21,29
2010-03-22,28
2010-03-23,28
2010-03-24,28
2010-03-25,28
2010-03-26,28
2010-03-27,28
2010-03-28,28
2010-03-29,28
2010-03-30,28
2010-03-31,28
2010-04-01,28
2010-04-02,28
2010-04-03,28
2010-04-04,28
2010-04-05,28
2010-04-06,28
2010-04-07,28
2010-04-08,28
2010-04-09,28
2010-04-10,28
2010-04-11,28
2010-04-12,28
2010-04-13,28
2010-04-14,28
2010-04-15,28
2010-04-16,28
2010-04-17,28
2010-04-18,28
2010-04-19,28
2010-04-20,28
2010-04-21,28
2010-04-22,28
2010-04-23,28
2010-04-24,28
2010-04-25,28
2010-04-26,28
2010-04-27,28
2010-04-28,28
2010-04-29,28
2010-04-30,28
2010-05-01,28
2010-05-02,28
2010-05-03,28
2010-05-04,28
2010-05-05,28
2010-05-06,28
2010-05-07,28
2010-05-08,28
2010-05-09,28
2010-05-10,28
2010-05-11,28
2010-05-12,28
2010-05-13,28
2010-05-14,28
2010-05-15,28
2010-05-16,28
2010-05-17,28
2010-05-18,28
2010-05-19,28
2010-05-20,28
2010-05-21,28
2010-05-22,28
2010-05-23,28
2010-05-24,28
2010-05-25,28
2010-05-26,28
2010-05-27,28
2010-05-28,28
2010-05-29,28
2010-05-30,28
2010-05-31,28
2010-06-01,28
2010-06-02,28
2010-06-03,28
2010-06-04,28
2010-06-05,28
2010-06-06,28
2010-06-07,28
2010-06-08,28
2010-06-09,28
2010-06-10,28
2010-06-11,28
2010-06-12,28
2010-06-13,28
2010-06-14,28
2010-06-15,28
2010-06-16,28
2010-06-17,28
2010-06-18,28
2010-06-19,28
2010-06-20,28
2010-06-21,28
2010-06-22,28
2010-06-23,28
2010-06-24,28
2010-06-25,28
2010-06-26,28
2010-06-27,28
2010-06-28,28
2010-06-29,28
2010-06-30,28
2010-07-01,28
2010-07-02,28
2010-07-03,29
2010-07-04,30
2010-07-05,31
2010-07-06,32
2010-07-07,33
2010-07-08,34
2010-07-09,35
2010-07-10,36
2010-07-11,37
2010-07-12,37
2010-07-13,38
2010-07-14,39
2010-07-15,40
2010-07-16,41
2010-07-17,42
2010-07-18,43
2010-07-19,44
2010-07-20,45
2010-07-21,46
2010-07-22,46
2010-07-23,47
2010-07-24,48
2010-07-25,49
2010-07-26,50
2010-07-27,51
2010-07-28,52
2010-07-29,53
2010-07-30,54
2010-07-31,55
2010-08-01,56
2010-08-02,56
2010-08-03,56
2010-08-04,56
2010-08-05,56
2010-08-06,56
2010-08-07,56
2010-08-08,56
2010-08-09,56
2010-08-10,56
2010-08-11,56
2010-08-12,56
2010-08-13,56
2010-08-14,56
2010-08-15,56
2010-08-16,56
2010-08-17,56
2010-08-18,56
2010-08-19,56
2010-08-20,56
2010-08-21,56
2010-08-22,56
2010-08-23,56
2010-08-24,56
2010-08-25,56
2010-08-26,56
2010-08-27,56
2010-08-28,56
2010-08-29,56
2010-08-30,56
2010-08-31,56
2010-09-01,56
2010-09-02,57
2010-09-03,58
2010-09-04,60
2010-09-05,61
2010-09-06,63
2010-09-07,64
2010-09-08,66
2010-09-09,67
2010-09-10,69
2010-09-11,70
2010-09-12,72
2010-09-13,73
2010-09-14,75
2010-09-15,76
2010-09-16,78
2010-09-17,79
2010-09-18,80
2010-09-19,82
2010-09-20,83
2010-09-21,85
2010-09-22,86
2010-09-23,88
2010-09-24,89
2010-09-25,91
2010-09-26,92
2010-09-27,94
2010-09-28,95
2010-09-29,97
2010-09-30,98
2010-10-01,100
2010-10-02,98
2010-10-03,96
2010-10-04,94
2010-10-05,92
2010-10-06,90
2010-10-07,88
2010-10-08,86
2010-10-09,84
2010-10-10,82
2010-10-11,80
2010-10-12,78
2010-10-13,76
2010-10-14,74
2010-10-15,72
2010-10-16,70
2010-10-17,68
2010-10-18,66
2010-10-19,64
2010-10-20,62
2010-10-21,60
2010-10-22,58
2010-10-23,56
2010-10-24,54
2010-10-25,52
2010-10-26,50
2010-10-27,48
2010-10-28,46
2010-10-29,44
2010-10-30,42
2010-10-31,40
2010-11-01,39
2010-11-02,38
2010-11-03,38
2010-11-04,38
2010-11-05,37
2010-11-06,37
2010-11-07,37
2010-11-08,37
2010-11-09,36
2010-11-10,36
2010-11-11,36
2010-11-12,36
