Date,ServiceSource
2010-06-01,0
2010-06-02,0
2010-06-03,0
2010-06-04,0
2010-06-05,0
2010-06-06,0
2010-06-07,0
2010-06-08,0
2010-06-09,0
2010-06-10,0
2010-06-11,0
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0
2010-07-02,1
2010-07-03,3
2010-07-04,5
2010-07-05,7
2010-07-06,9
2010-07-07,11
2010-07-08,13
2010-07-09,15
2010-07-10,17
2010-07-11,19
2010-07-12,21
2010-07-13,23
2010-07-14,25
2010-07-15,27
2010-07-16,29
2010-07-17,30
2010-07-18,32
2010-07-19,34
2010-07-20,36
2010-07-21,38
2010-07-22,40
2010-07-23,42
2010-07-24,44
2010-07-25,46
2010-07-26,48
2010-07-27,50
2010-07-28,52
2010-07-29,54
2010-07-30,56
2010-07-31,58
2010-08-01,60
2010-08-02,59
2010-08-03,59
2010-08-04,58
2010-08-05,58
2010-08-06,57
2010-08-07,57
2010-08-08,56
2010-08-09,56
2010-08-10,55
2010-08-11,55
2010-08-12,54
2010-08-13,54
2010-08-14,53
2010-08-15,53
2010-08-16,52
2010-08-17,52
2010-08-18,51
2010-08-19,51
2010-08-20,50
2010-08-21,50
2010-08-22,49
2010-08-23,49
2010-08-24,48
2010-08-25,48
2010-08-26,47
2010-08-27,47
2010-08-28,46
2010-08-29,46
2010-08-30,45
2010-08-31,45
2010-09-01,45
2010-09-02,45
2010-09-03,45
2010-09-04,45
2010-09-05,45
2010-09-06,45
2010-09-07,45
2010-09-08,45
2010-09-09,45
2010-09-10,45
2010-09-11,45
2010-09-12,45
2010-09-13,45
2010-09-14,45
2010-09-15,45
2010-09-16,45
2010-09-17,45
2010-09-18,45
2010-09-19,45
2010-09-20,45
2010-09-21,45
2010-09-22,45
2010-09-23,45
2010-09-24,45
2010-09-25,45
2010-09-26,45
2010-09-27,45
2010-09-28,45
2010-09-29,45
2010-09-30,45
2010-10-01,45
2010-10-02,45
2010-10-03,45
2010-10-04,45
2010-10-05,45
2010-10-06,45
2010-10-07,45
2010-10-08,45
2010-10-09,45
2010-10-10,45
2010-10-11,45
2010-10-12,45
2010-10-13,45
2010-10-14,45
2010-10-15,45
2010-10-16,45
2010-10-17,45
2010-10-18,45
2010-10-19,45
2010-10-20,45
2010-10-21,45
2010-10-22,45
2010-10-23,45
2010-10-24,45
2010-10-25,45
2010-10-26,45
2010-10-27,45
2010-10-28,45
2010-10-29,45
2010-10-30,45
2010-10-31,45
2010-11-01,45
2010-11-02,45
2010-11-03,45
2010-11-04,45
2010-11-05,45
2010-11-06,45
2010-11-07,45
2010-11-08,45
2010-11-09,45
2010-11-10,45
2010-11-11,45
2010-11-12,45
2010-11-13,45
