Date,Cheniere Energy
2013-03-01,86
2013-03-02,85
2013-03-03,85
2013-03-04,85
2013-03-05,85
2013-03-06,84
2013-03-07,84
2013-03-08,84
2013-03-09,84
2013-03-10,83
2013-03-11,83
2013-03-12,83
2013-03-13,83
2013-03-14,83
2013-03-15,82
2013-03-16,82
2013-03-17,82
2013-03-18,82
2013-03-19,81
2013-03-20,81
2013-03-21,81
2013-03-22,81
2013-03-23,81
2013-03-24,80
2013-03-25,80
2013-03-26,80
2013-03-27,80
2013-03-28,79
2013-03-29,79
2013-03-30,79
2013-03-31,79
2013-04-01,79
2013-04-02,78
2013-04-03,78
2013-04-04,77
2013-04-05,77
2013-04-06,76
2013-04-07,76
2013-04-08,75
2013-04-09,75
2013-04-10,74
2013-04-11,74
2013-04-12,73
2013-04-13,73
2013-04-14,72
2013-04-15,72
2013-04-16,71
2013-04-17,71
2013-04-18,70
2013-04-19,70
2013-04-20,69
2013-04-21,69
2013-04-22,68
2013-04-23,68
2013-04-24,67
2013-04-25,67
2013-04-26,66
2013-04-27,66
2013-04-28,65
2013-04-29,65
2013-04-30,64
2013-05-01,64
2013-05-02,63
2013-05-03,62
2013-05-04,61
2013-05-05,60
2013-05-06,59
2013-05-07,58
2013-05-08,57
2013-05-09,56
2013-05-10,55
2013-05-11,54
2013-05-12,53
2013-05-13,52
2013-05-14,51
2013-05-15,50
2013-05-16,49
2013-05-17,49
2013-05-18,48
2013-05-19,47
2013-05-20,46
2013-05-21,45
2013-05-22,44
2013-05-23,43
2013-05-24,42
2013-05-25,41
2013-05-26,40
2013-05-27,39
2013-05-28,38
2013-05-29,37
2013-05-30,36
2013-05-31,35
2013-06-01,35
2013-06-02,36
2013-06-03,37
2013-06-04,38
2013-06-05,39
2013-06-06,40
2013-06-07,41
2013-06-08,42
2013-06-09,43
2013-06-10,44
2013-06-11,45
2013-06-12,46
2013-06-13,47
2013-06-14,48
2013-06-15,49
2013-06-16,50
2013-06-17,51
2013-06-18,52
2013-06-19,53
2013-06-20,54
2013-06-21,55
2013-06-22,56
2013-06-23,57
2013-06-24,58
2013-06-25,59
2013-06-26,60
2013-06-27,61
2013-06-28,62
2013-06-29,63
2013-06-30,64
2013-07-01,65
2013-07-02,64
2013-07-03,64
2013-07-04,64
2013-07-05,63
2013-07-06,63
2013-07-07,63
2013-07-08,62
2013-07-09,62
2013-07-10,62
2013-07-11,61
2013-07-12,61
2013-07-13,61
2013-07-14,60
2013-07-15,60
2013-07-16,60
2013-07-17,59
2013-07-18,59
2013-07-19,59
2013-07-20,58
2013-07-21,58
2013-07-22,58
2013-07-23,57
2013-07-24,57
2013-07-25,57
2013-07-26,56
2013-07-27,56
2013-07-28,56
2013-07-29,55
2013-07-30,55
2013-07-31,55
2013-08-01,55
2013-08-02,55
2013-08-03,55
2013-08-04,56
2013-08-05,56
2013-08-06,57
2013-08-07,57
2013-08-08,58
2013-08-09,58
2013-08-10,59
2013-08-11,59
2013-08-12,60
2013-08-13,60
2013-08-14,61
2013-08-15,61
2013-08-16,62
2013-08-17,62
2013-08-18,63
2013-08-19,63
2013-08-20,64
2013-08-21,64
2013-08-22,65
2013-08-23,65
2013-08-24,66
2013-08-25,66
2013-08-26,67
2013-08-27,67
2013-08-28,68
2013-08-29,68
2013-08-30,69
2013-08-31,69
2013-09-01,70
2013-09-02,69
2013-09-03,69
2013-09-04,69
2013-09-05,68
2013-09-06,68
2013-09-07,68
2013-09-08,67
2013-09-09,67
2013-09-10,67
2013-09-11,66
2013-09-12,66
2013-09-13,66
2013-09-14,65
2013-09-15,65
2013-09-16,65
2013-09-17,64
2013-09-18,64
