Date,Education Management Corporation
2008-05-20,76
2008-05-21,76
2008-05-22,76
2008-05-23,76
2008-05-24,76
2008-05-25,76
2008-05-26,76
2008-05-27,76
2008-05-28,76
2008-05-29,76
2008-05-30,76
2008-05-31,76
2008-06-01,76
2008-06-02,76
2008-06-03,76
2008-06-04,76
2008-06-05,76
2008-06-06,76
2008-06-07,76
2008-06-08,76
2008-06-09,77
2008-06-10,77
2008-06-11,77
2008-06-12,77
2008-06-13,77
2008-06-14,77
2008-06-15,77
2008-06-16,78
2008-06-17,78
2008-06-18,78
2008-06-19,78
2008-06-20,78
2008-06-21,78
2008-06-22,78
2008-06-23,78
2008-06-24,79
2008-06-25,79
2008-06-26,79
2008-06-27,79
2008-06-28,79
2008-06-29,79
2008-06-30,79
2008-07-01,80
2008-07-02,80
2008-07-03,80
2008-07-04,80
2008-07-05,80
2008-07-06,80
2008-07-07,80
2008-07-08,80
2008-07-09,81
2008-07-10,81
2008-07-11,81
2008-07-12,81
2008-07-13,81
2008-07-14,81
2008-07-15,81
2008-07-16,81
2008-07-17,82
2008-07-18,82
2008-07-19,82
2008-07-20,82
2008-07-21,82
2008-07-22,82
2008-07-23,82
2008-07-24,82
2008-07-25,83
2008-07-26,83
2008-07-27,83
2008-07-28,83
2008-07-29,83
2008-07-30,83
2008-07-31,83
2008-08-01,84
2008-08-02,84
2008-08-03,84
2008-08-04,84
2008-08-05,84
2008-08-06,84
2008-08-07,84
2008-08-08,84
2008-08-09,85
2008-08-10,85
2008-08-11,85
2008-08-12,85
2008-08-13,85
2008-08-14,85
2008-08-15,85
2008-08-16,85
2008-08-17,86
2008-08-18,86
2008-08-19,86
2008-08-20,86
2008-08-21,86
2008-08-22,86
2008-08-23,86
2008-08-24,86
2008-08-25,87
2008-08-26,87
2008-08-27,87
2008-08-28,87
2008-08-29,87
2008-08-30,87
2008-08-31,87
2008-09-01,88
2008-09-02,88
2008-09-03,88
2008-09-04,88
2008-09-05,88
2008-09-06,88
2008-09-07,89
2008-09-08,89
2008-09-09,89
2008-09-10,89
2008-09-11,89
2008-09-12,89
2008-09-13,90
2008-09-14,90
2008-09-15,90
2008-09-16,90
2008-09-17,90
2008-09-18,90
2008-09-19,91
2008-09-20,91
2008-09-21,91
2008-09-22,91
2008-09-23,91
2008-09-24,91
2008-09-25,92
2008-09-26,92
2008-09-27,92
2008-09-28,92
2008-09-29,92
2008-09-30,92
2008-10-01,93
2008-10-02,92
2008-10-03,91
2008-10-04,90
2008-10-05,90
2008-10-06,89
2008-10-07,88
2008-10-08,88
2008-10-09,87
2008-10-10,86
2008-10-11,86
2008-10-12,85
2008-10-13,84
2008-10-14,84
2008-10-15,83
2008-10-16,82
2008-10-17,82
2008-10-18,81
2008-10-19,80
2008-10-20,80
2008-10-21,79
2008-10-22,78
2008-10-23,78
2008-10-24,77
2008-10-25,76
2008-10-26,76
2008-10-27,75
2008-10-28,74
2008-10-29,74
2008-10-30,73
2008-10-31,72
2008-11-01,72
2008-11-02,72
2008-11-03,72
2008-11-04,72
2008-11-05,72
2008-11-06,72
2008-11-07,72
2008-11-08,72
2008-11-09,72
2008-11-10,72
2008-11-11,72
2008-11-12,72
2008-11-13,72
2008-11-14,72
2008-11-15,72
2008-11-16,72
2008-11-17,72
2008-11-18,72
2008-11-19,72
2008-11-20,72
2008-11-21,72
2008-11-22,72
2008-11-23,72
2008-11-24,72
2008-11-25,72
2008-11-26,72
2008-11-27,72
2008-11-28,72
2008-11-29,72
2008-11-30,72
2008-12-01,72
2008-12-02,72
2008-12-03,72
2008-12-04,72
2008-12-05,72
2008-12-06,72
2008-12-07,72
2008-12-08,72
2008-12-09,72
2008-12-10,72
2008-12-11,72
2008-12-12,72
2008-12-13,72
2008-12-14,72
2008-12-15,72
2008-12-16,72
2008-12-17,72
2008-12-18,72
2008-12-19,72
2008-12-20,72
2008-12-21,72
2008-12-22,72
2008-12-23,72
2008-12-24,72
2008-12-25,72
2008-12-26,72
2008-12-27,72
2008-12-28,72
2008-12-29,72
2008-12-30,72
2008-12-31,72
2009-01-01,72
2009-01-02,72
2009-01-03,72
2009-01-04,73
2009-01-05,73
2009-01-06,73
2009-01-07,74
